policy,prediction_mode,estimator_mode,asg_builder_enabled,oracle_future,baseline_class,retention_policy,mapping_policy,prefetch_policy,prompt_reconstruction_quality,observation_compression_class,data_quality,paper_usable,num_high_quality_traces,num_smoke_traces,num_traces,selected_trace_count,delayed_reuse_ratio,concurrency,memory_budget,total_cycles,p95_llm_step_latency,p99_llm_step_latency,throughput_llm_steps_per_cycle,effective_prefill_tokens,effective_prefill_reduction,cache_hit_ratio,cache_byte_miss,model_compute_cycles,model_comm_cycles,remote_read_bytes,demand_migration_bytes,prefetch_migration_bytes,prefetch_hidden_cycles,prefetch_exposed_cycles,unused_prefetch_events,state_misses,local_state_hits,remote_state_hits,retained_state_type_distribution,LRU_regret_states_preserved,LRU_regret_tokens_preserved,oracle_gap
nocache,none,none,False,False,basic,none,none,none,explicit_selective_state,none,paper_usable,True,52,0,52,,0.02566633761105627,1,0.25,737795000,,,5.63842259706287e-07,436792,0.0,0.0,55663132672,222967000,0,0,0,0,0,0,0,2805,0,0,{},0,0,-101.9078564500485
lru-basic,none,none,False,False,basic,lru,none,none,explicit_selective_state,none,paper_usable,True,52,0,52,,0.02566633761105627,1,0.25,718733000,,,5.787962984863642e-07,330694,0.24290280041759005,0.9996434937611408,37224448,196654000,0,0,0,0,0,0,0,1,869,1935,"{""agent_role"": 1, ""assistant_delta"": 3, ""edit_diff"": 1, ""file_context"": 3, ""system_prefix"": 1, ""task_prefix"": 1, ""test_failure_summary"": 1, ""tool_observation"": 1}",1,159,1.0
lru-system,none,none,False,False,system,lru,static_replica,none,explicit_selective_state,none,paper_usable,True,52,0,52,,0.02566633761105627,1,0.25,718733000,,,5.787962984863642e-07,330694,0.24290280041759005,0.9996434937611408,37224448,196654000,0,0,0,0,0,0,0,1,1560,1244,"{""agent_role"": 1, ""assistant_delta"": 3, ""edit_diff"": 1, ""file_context"": 3, ""system_prefix"": 1, ""task_prefix"": 1, ""test_failure_summary"": 1, ""tool_observation"": 1}",1,159,1.0
kvflow-like,none,none,False,False,system,kvflow,none,none,explicit_selective_state,none,paper_usable,True,52,0,52,,0.02566633761105627,1,0.25,726316000,,,5.72753457172911e-07,390516,0.1059451638308394,0.5411764705882353,31401181184,211285000,0,0,0,0,0,0,0,1287,1112,406,"{""agent_role"": 7, ""system_prefix"": 7, ""task_prefix"": 7, ""test_failure_summary"": 1}",1,159,-57.02327837051406
asg-retention-v2-graph-only,none,none,True,False,asg,asg-v2,none,none,explicit_selective_state,none,paper_usable,True,52,0,52,,0.02566633761105627,1,0.25,718745000,,,5.787866350374612e-07,331725,0.24054240920163372,0.9828877005347594,577765376,197137000,0,0,0,0,0,0,0,48,1691,1066,"{""assistant_delta"": 3, ""edit_diff"": 1, ""file_context"": 1, ""system_prefix"": 52, ""task_prefix"": 52, ""test_failure_summary"": 1, ""tool_observation"": 1}",1,159,-0.0
asg-retention-v2-online,heuristic,heuristic,True,False,asg,asg-v2,none,none,explicit_selective_state,none,paper_usable,True,52,0,52,,0.02566633761105627,1,0.25,718745000,,,5.787866350374612e-07,331725,0.24054240920163372,0.9828877005347594,577765376,197137000,0,0,0,0,0,0,0,48,1736,1021,"{""assistant_delta"": 3, ""edit_diff"": 1, ""file_context"": 1, ""system_prefix"": 52, ""task_prefix"": 52, ""test_failure_summary"": 1, ""tool_observation"": 1}",1,159,-0.0
asg-retention-v2-trace-stats,trace_stats,trace_stats,True,False,asg,asg-v2,none,none,explicit_selective_state,none,paper_usable,True,52,0,52,,0.02566633761105627,1,0.25,718745000,,,5.787866350374612e-07,331725,0.24054240920163372,0.9828877005347594,577765376,197137000,0,0,0,0,0,0,0,48,1436,1321,"{""assistant_delta"": 3, ""edit_diff"": 1, ""file_context"": 1, ""system_prefix"": 52, ""task_prefix"": 52, ""test_failure_summary"": 1, ""tool_observation"": 1}",1,159,-0.0
asg-retention-v2-oracle,oracle,oracle,True,True,oracle,asg-v2,none,none,explicit_selective_state,none,paper_usable,True,52,0,52,,0.02566633761105627,1,0.25,718745000,,,5.787866350374612e-07,331725,0.24054240920163372,0.9828877005347594,577765376,197137000,0,0,0,0,0,0,0,48,1553,1204,"{""assistant_delta"": 3, ""edit_diff"": 1, ""file_context"": 1, ""system_prefix"": 52, ""task_prefix"": 52, ""test_failure_summary"": 1, ""tool_observation"": 1}",1,159,-0.0
asg-placement-v2-online,heuristic,heuristic,True,False,asg,asg-v2,asg_cost_aware,none,explicit_selective_state,none,paper_usable,True,52,0,52,,0.02566633761105627,1,0.25,721083226,,,5.769098281590037e-07,331725,0.24054240920163372,0.9828877005347594,577765376,166850668,5768446,16271802368,88080384,0,0,0,0,48,1744,1013,"{""assistant_delta"": 3, ""edit_diff"": 1, ""file_context"": 1, ""system_prefix"": 52, ""task_prefix"": 52, ""test_failure_summary"": 1, ""tool_observation"": 1}",1,159,-0.0
asg-prefetch-v2-online,heuristic,heuristic,True,False,asg,asg-v2,asg_cost_aware,windowed,explicit_selective_state,none,paper_usable,True,52,0,52,,0.02566633761105627,1,0.25,721103706,,,5.768934433960599e-07,331725,0.24054240920163372,0.9828877005347594,577765376,146577867,12846754,14763950080,0,12172918784,23019090,24532331,188,48,1904,853,"{""assistant_delta"": 3, ""edit_diff"": 1, ""file_context"": 1, ""system_prefix"": 52, ""task_prefix"": 52, ""test_failure_summary"": 1, ""tool_observation"": 1}",1,159,-0.0
