nodes,edges,max_fan_in,max_fan_out,avg_fan_in,avg_fan_out,unique_shared_prefixes,shared_prefix_reuse_events,unique_shared_tokens,logical_shared_tokens,shared_prefix_ratio,job_id,workload,critical_path_weight,total_work_weight
5,4,2,1,0.8,0.8,1,4,160,704,0.5,smoke_debate_0,debate,960.0,1568.0
5,4,2,1,0.8,0.8,1,4,160,704,0.5,smoke_debate_1,debate,960.0,1568.0
