baseline,arrival_rate_jobs_per_s,global_stage_id,job_id,parent_node_id,stage_type,prefix_id,selected_policy
apc_like,4.0,fallback_job_7:fallback_controlled_job_3_agent_12.decode,fallback_job_7,fallback_controlled_job_3_agent_12,decode,sha256:091df722d53547d417453eecc4f6153b0e3e854f11bd6f6419ed9e87ac8ca416,apc_like
apc_like,4.0,highop_job_1:highop_controlled_job_1_agent_0.prefill,highop_job_1,highop_controlled_job_1_agent_0,prefill,sha256:7d5dba5adf4fa6f2897951f73a86f3732e027be7e9463ef0cae21626937252a4,apc_like
apc_like,4.0,highop_job_1:highop_controlled_job_1_agent_1.prefill,highop_job_1,highop_controlled_job_1_agent_1,prefill,sha256:7d5dba5adf4fa6f2897951f73a86f3732e027be7e9463ef0cae21626937252a4,apc_like
apc_like,4.0,highop_job_1:highop_controlled_job_1_agent_0.decode,highop_job_1,highop_controlled_job_1_agent_0,decode,sha256:7d5dba5adf4fa6f2897951f73a86f3732e027be7e9463ef0cae21626937252a4,apc_like
apc_like,4.0,highop_job_1:highop_controlled_job_1_agent_1.decode,highop_job_1,highop_controlled_job_1_agent_1,decode,sha256:7d5dba5adf4fa6f2897951f73a86f3732e027be7e9463ef0cae21626937252a4,apc_like
apc_like,4.0,fallback_job_5:fallback_controlled_job_1_agent_4.decode,fallback_job_5,fallback_controlled_job_1_agent_4,decode,sha256:091df722d53547d417453eecc4f6153b0e3e854f11bd6f6419ed9e87ac8ca416,apc_like
apc_like,4.0,fallback_job_6:fallback_controlled_job_2_agent_13.decode,fallback_job_6,fallback_controlled_job_2_agent_13,decode,sha256:091df722d53547d417453eecc4f6153b0e3e854f11bd6f6419ed9e87ac8ca416,apc_like
apc_like,4.0,fallback_job_4:fallback_controlled_job_0_agent_7.decode,fallback_job_4,fallback_controlled_job_0_agent_7,decode,sha256:091df722d53547d417453eecc4f6153b0e3e854f11bd6f6419ed9e87ac8ca416,apc_like
apc_like,4.0,fallback_job_7:fallback_controlled_job_3_agent_13.decode,fallback_job_7,fallback_controlled_job_3_agent_13,decode,sha256:091df722d53547d417453eecc4f6153b0e3e854f11bd6f6419ed9e87ac8ca416,apc_like
apc_like,4.0,fallback_job_5:fallback_controlled_job_1_agent_5.decode,fallback_job_5,fallback_controlled_job_1_agent_5,decode,sha256:091df722d53547d417453eecc4f6153b0e3e854f11bd6f6419ed9e87ac8ca416,apc_like
apc_like,4.0,fallback_job_6:fallback_controlled_job_2_agent_14.decode,fallback_job_6,fallback_controlled_job_2_agent_14,decode,sha256:091df722d53547d417453eecc4f6153b0e3e854f11bd6f6419ed9e87ac8ca416,apc_like
apc_like,4.0,highop_job_2:highop_controlled_job_2_agent_0.prefill,highop_job_2,highop_controlled_job_2_agent_0,prefill,sha256:7d5dba5adf4fa6f2897951f73a86f3732e027be7e9463ef0cae21626937252a4,apc_like
apc_like,4.0,highop_job_2:highop_controlled_job_2_agent_1.prefill,highop_job_2,highop_controlled_job_2_agent_1,prefill,sha256:7d5dba5adf4fa6f2897951f73a86f3732e027be7e9463ef0cae21626937252a4,apc_like
apc_like,4.0,highop_job_2:highop_controlled_job_2_agent_0.decode,highop_job_2,highop_controlled_job_2_agent_0,decode,sha256:7d5dba5adf4fa6f2897951f73a86f3732e027be7e9463ef0cae21626937252a4,apc_like
apc_like,4.0,highop_job_3:highop_controlled_job_3_agent_0.prefill,highop_job_3,highop_controlled_job_3_agent_0,prefill,sha256:7d5dba5adf4fa6f2897951f73a86f3732e027be7e9463ef0cae21626937252a4,apc_like
apc_like,4.0,highop_job_3:highop_controlled_job_3_agent_1.prefill,highop_job_3,highop_controlled_job_3_agent_1,prefill,sha256:7d5dba5adf4fa6f2897951f73a86f3732e027be7e9463ef0cae21626937252a4,apc_like
apc_like,4.0,fallback_job_4:fallback_controlled_job_0_agent_8.decode,fallback_job_4,fallback_controlled_job_0_agent_8,decode,sha256:091df722d53547d417453eecc4f6153b0e3e854f11bd6f6419ed9e87ac8ca416,apc_like
apc_like,4.0,highop_job_3:highop_controlled_job_3_agent_0.decode,highop_job_3,highop_controlled_job_3_agent_0,decode,sha256:7d5dba5adf4fa6f2897951f73a86f3732e027be7e9463ef0cae21626937252a4,apc_like
