baseline,arrival_rate_jobs_per_s,completed_jobs,jobs_per_s,tokens_per_s,jct_p50_ms,jct_p90_ms,jct_p99_ms,ttft_p50_ms,ttft_p90_ms,ttft_p99_ms,tpot_p50_ms,tpot_p90_ms,tpot_p99_ms,queue_wait_ms,mesh_wait_ms,cross_job_prefix_hit_rate,cross_job_prefix_compute_hits,sram_hit_rate,sram_evictions,sram_reload_bytes,mesh_total_traffic_bytes,mesh_hotspot_ratio,computed_prefill_tokens,avoided_prefill_tokens,compute_energy_j,mesh_energy_j,sram_energy_j,offwafer_energy_j,energy_per_job_j,decode_shared_kv_read_bytes,decode_shared_kv_read_bytes_without_cohort,decode_kv_read_reduction_ratio,shared_attention_cost_model_source,shared_attention_fit_hash,cohort_latency_predicted_ms,cohort_latency_observed_or_fitted_ms,shared_attention_accounting_mode,shared_attention_prediction_stat,cross_region_kv_transfer_bytes,num_decode_cohorts,avg_cohort_size,candidate_cohorts,accepted_cohorts,rejected_wait_cost,rejected_slo_risk,rejected_low_saving,rejected_critical_path,rejected_queue_pressure,rejected_remote_shared_kv,accepted_avg_size,accepted_avg_wait_ms,replica_bytes_total,saved_mesh_traffic_bytes,replication_transfer_bytes,replication_actual_transfer_bytes,shared_prefill_compute_ms_saved,sram_read_bytes,sram_write_bytes,offwafer_reload_bytes,shared_kv_extraction_overhead_ms,placement_planning_overhead_ms,replication_planning_overhead_ms,decode_cohort_planning_overhead_ms,scheduling_loop_overhead_ms,total_runtime_overhead_ms,overhead_per_job_ms,overhead_fraction_of_jct,accounting_mode
apc_like,2.0,100,1.1402445491528908,49951.83320928984,17260.82424587237,29351.981698302065,29358.29083459694,6.911555683145707,10.869016979246226,17.178153274064243,0.10892852648025177,0.11190335356424677,0.11190335356425703,24623.104002112013,0.0,0.9107142857142857,765.0,0.7870588235294118,85.0,67779952640.0,123115467283456.0,7.11930145694717,2163200.0,2112000.0,0.8921284608,24.6230934566912,0.01400897536,0.055485608755200005,0.25584716501606397,35540854374400.0,35540854374400.0,0.0,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,695784.701952,0.0,stage_amortized,latency_p50_ms,35540854374400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13193.271705599907,209044111360.0,71135395840.0,69357010944.0,80.1010625436902,236.17151658982038,0.04378054291009903,1.1639166623353958,123.77292290329933,584.2760661616921,5.842760661616921,0.00033718321754641785,stage_amortized
pat_like_traffic_only,2.0,100,1.1944401944232457,52326.03603729355,13120.305183110742,25441.10777163295,26874.842658447495,5.476547910204317,11.069016979243315,17.378153274061333,0.1086135960742941,0.1114396382560719,0.1116687371939722,14549.134654346028,0.0,0.9107142857142857,765.0,0.8047058823529412,87.0,58015612928.0,72745636017410.0,3.677705947872655,2163200.0,2112000.0,0.8921284608,14.549127203482,0.01400897536,0.047164109619200006,0.155024287492612,21082705965795.0,35540854374400.0,0.4068036253799001,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,19.371232062578198,0.0,stage_amortized,latency_p50_ms,21082705965795.0,151.0,3.8675496688741724,151.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8675496688741724,0.0021855996036304576,0.0,0.0,0.0,0.0,13193.271705599902,218808451072.0,61371056128.0,58955137024.0,78.0381141230464,234.81205198913813,0.03342051059007645,11.127788573503494,133.11456330120564,597.7883962914348,5.977883962914348,0.00041487510378651095,stage_amortized
waferagent_latency_safe,2.0,100,1.7085469771004305,74848.02597281565,78.72581398393595,106.23018080435,1509.9132080020531,5.376599627321411,7.307301812755792,17.178153274064243,0.10872726168626494,0.11158637729048718,0.11182410949580698,56.748025858489456,28.15629419250261,0.9107142857142857,765.0,0.9556521739130435,43.0,16475226112.0,209916718592.0,2.6598458218338346,2163200.0,2112000.0,0.8921284608,0.0419833437184,1.3126782366441,0.013368085708800001,0.022601581268713,26969817638354.0,35540854374400.0,0.24116012085009697,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,36.03711986541748,0.0,stage_amortized,latency_p50_ms,26969817638354.0,280.0,2.0,293.0,280.0,0.0,0.0,0.0,0.0,13.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,13193.271705599906,26240847603154.0,12717129728.0,16710107136.0,78.72316800057888,239.97932765632868,0.02175755798816681,14.334299601614475,124.96813014149666,603.2117176800966,6.032117176800966,0.04477542358989319,stage_amortized
apc_like,4.0,100,1.709791218362721,74902.5336940341,17293.24924281144,29351.981698302036,29358.290834596857,6.911555683145707,10.869016979249864,17.178153274060605,0.10892852648024634,0.11190335356424692,0.11190335356424692,24621.167818575992,0.0,0.9107142857142857,765.0,0.7917647058823529,85.0,68081942528.0,123105786829824.0,4.068823602892105,2163200.0,2112000.0,0.8921284608,24.6211573659648,0.01400897536,0.0558077313024,0.255831025334272,35540854374400.0,35540854374400.0,0.0,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,695784.701952,0.0,stage_amortized,latency_p50_ms,35540854374400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13193.271705599915,208742121472.0,71437385728.0,69759664128.0,172.0355860888958,240.91127887368202,0.024709850549697876,1.1375872418284416,125.71120634675026,677.5305708870292,6.775305708870292,0.0003910594274434259,stage_amortized
pat_like_traffic_only,4.0,100,1.8269721093992983,80035.99416856446,7500.640131994209,25447.416907927727,27030.27579074164,5.476547910206136,11.069016979250591,17.378153274061333,0.10858096372282589,0.1114396382560719,0.11166873719397226,14524.897584131802,0.0,0.9107142857142857,765.0,0.7941176470588235,92.0,64692944896.0,72624450830787.0,3.713728873687833,2163200.0,2112000.0,0.8921284608,14.5248901661574,0.01400897536,0.0526938800128,0.154837214823302,21211984481403.0,35540854374400.0,0.40316616314429554,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,19.501984052360058,0.0,stage_amortized,latency_p50_ms,21211984481403.0,152.0,3.8421052631578947,152.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8421052631578947,0.023631727297673644,0.0,0.0,0.0,0.0,13193.271705599904,212131119104.0,68048388096.0,65867350016.0,78.25123704969883,232.44373686611652,0.022483058273792267,15.486812219023705,140.20767714828253,605.3852969780564,6.053852969780564,0.00042247317430900184,stage_amortized
waferagent_latency_safe,4.0,100,3.411170122981449,149436.5407475713,78.72581398394288,694.7094922839707,1494.3848575524507,5.376599627321411,10.869016979249864,17.178153274060605,0.10872726168627372,0.11158637729048718,0.11182410949580698,124.28993441834871,68.34734989355027,0.9107142857142857,765.0,0.9420415224913494,57.0,25132269568.0,279709937152.0,2.986563530698026,2163200.0,2112000.0,0.8921284608,0.0559419874304,1.2969586563408,0.0203474075648,0.022653765121359998,27145052304032.0,35540854374400.0,0.23622960725489695,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,35.657247856259346,0.0,stage_amortized,latency_p50_ms,27145052304032.0,277.0,2.0,324.0,277.0,0.0,0.0,0.0,0.0,47.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,13193.271705599906,25921590604448.0,17582522368.0,25434259456.0,78.26604042202234,236.94082256406546,0.034067779779434204,14.28916770964861,127.00624484568834,601.3426147401333,6.013426147401333,0.029677799829223247,stage_amortized
apc_like,8.0,100,2.2789546670576346,99836.44605446084,17304.658029211438,29283.598732685947,29358.290834596875,6.911555683145707,10.869016979249864,17.178153274062424,0.10892852648024456,0.11190335356424692,0.11190335356424692,24611.8898869824,0.0,0.9107142857142857,765.0,0.8176470588235294,71.0,58409877504.0,123059397827584.0,4.069509950250079,2163200.0,2112000.0,0.8921284608,24.6118795655168,0.01400897536,0.048016392192,0.255660333938688,35540854374400.0,35540854374400.0,0.0,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,695784.701952,0.0,stage_amortized,latency_p50_ms,35540854374400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13193.271705599936,218414186496.0,61765320704.0,60020490240.0,78.06077878922224,235.09901948273182,0.021643005311489105,1.1703092604875565,125.2268785610795,669.0362878143787,6.690362878143787,0.00038637526615938414,stage_amortized
pat_like_traffic_only,8.0,100,2.329365561765095,102044.84652980529,7039.3635413967695,26595.787259557084,27059.48605918351,5.476547910206136,11.069016979250591,17.378153274063152,0.10858096372282076,0.11143963825606604,0.11166873719397222,14454.757938140003,0.0,0.9107142857142857,765.0,0.7929411764705883,87.0,68451041280.0,72273753329292.0,3.7546506235996295,2163200.0,2112000.0,0.8921284608,14.4547506658584,0.01400897536,0.0559956361216,0.1541688373814,21401177790791.0,35540854374400.0,0.3978429003044389,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,19.505120046436783,0.0,stage_amortized,latency_p50_ms,21401177790791.0,152.0,3.8552631578947367,152.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8552631578947367,0.036024292378804626,0.0,0.0,0.0,0.0,13193.271705599907,208373022720.0,71806484480.0,69994545152.0,83.53504166007042,234.16779842227697,0.03797654062509537,11.14771980792284,135.31053066253662,606.8719737231731,6.068719737231731,0.0004254534317994564,stage_amortized
waferagent_latency_safe,8.0,100,4.872114057764188,213437.57264253357,78.72581398394323,5256.917543021701,7103.580649568296,5.376599627321411,10.869016979249864,17.178153274062424,0.1087272616862755,0.11158637729048718,0.11182410949580698,1312.6888707861883,1238.6816477546488,0.9107142857142857,765.0,0.882960413080895,114.0,62579015680.0,1151051427328.0,2.0634327585184375,2163200.0,2112000.0,0.8921284608,0.2302102854656,1.2090836254647,0.05062692700160001,0.023820492987319,27320286969710.0,35540854374400.0,0.23129909365969703,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,35.27737584710121,0.0,stage_amortized,latency_p50_ms,27320286969710.0,274.0,2.0,451.0,274.0,0.0,0.0,0.0,0.0,177.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,13193.271705599904,24145601494894.0,36071014400.0,63283658752.0,78.74882221221924,239.28572051227093,0.02044718712568283,14.599659480154514,128.41627560555935,603.9611734449863,6.039611734449863,0.004337542233844183,stage_amortized
apc_like,16.0,100,2.739427791860588,120008.85270582863,17260.82424587237,29220.80525625047,29358.290834596883,6.9115556831447975,10.869016979248045,17.178153274060605,0.1089285264802469,0.11190335356424692,0.11190335356424692,24594.625842406396,0.0,0.9107142857142857,765.0,0.8588235294117647,56.0,48687480832.0,122973079051264.0,8.142622096653339,2163200.0,2112000.0,0.8921284608,24.5946158102528,0.01400897536,0.0402384748544,0.25540991721267203,35540854374400.0,35540854374400.0,0.0,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,695784.701952,0.0,stage_amortized,latency_p50_ms,35540854374400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13193.271705599946,228136583168.0,52042924032.0,50298093568.0,78.50545924156904,234.20176561921835,0.01926906406879425,1.1533098295331001,124.68945700675249,574.526178650558,5.74526178650558,0.0003321830685461212,stage_amortized
pat_like_traffic_only,16.0,100,2.6109450651861548,114380.28141567508,4948.954680991981,26950.676753431977,27090.311166963555,5.476547910205124,11.069016979247863,17.378153274060423,0.10858096372282432,0.1114396382560652,0.11166873719397288,14510.780372816198,0.0,0.9107142857142857,765.0,0.8035294117647059,87.0,67108864000.0,72553865727633.0,3.805292212937682,2163200.0,2112000.0,0.8921284608,14.510773145526601,0.01400897536,0.0548682072064,0.15471778788893,21694738805474.0,35540854374400.0,0.3895830815732817,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,19.37424004077911,0.0,stage_amortized,latency_p50_ms,21694738805474.0,151.0,3.880794701986755,151.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,3.880794701986755,0.06177794091624735,0.0,0.0,0.0,0.0,13193.271705599922,209715200000.0,70464307200.0,68585259008.0,78.36083695292473,329.34210542589426,0.02102181315422058,11.383342556655407,135.9203951433301,694.600504823029,6.94600504823029,0.00048709743052338195,stage_amortized
waferagent_latency_safe,16.0,100,5.270585761908782,230893.8210576999,247.59637782146598,6438.830241241187,11904.771373674172,5.376599627320729,10.869016979248045,17.178153274060605,0.10872726168627683,0.11158637729048718,0.11182410949580698,2099.454979077849,2080.0201096955875,0.9107142857142857,765.0,0.8621575342465754,131.0,76269223936.0,1187021778432.0,2.23790129890037,2163200.0,2112000.0,0.8921284608,0.23740435568640003,1.1521323591198,0.061793841971200004,0.023434590175774,27495521635388.0,35540854374400.0,0.22636858006449712,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,34.89750383794308,0.0,stage_amortized,latency_p50_ms,27495521635388.0,271.0,2.0,467.0,271.0,0.0,0.0,0.0,0.0,196.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,13193.271705599904,23000569924668.0,42077257728.0,77242302464.0,78.93981784582138,242.4840172752738,0.02267397940158844,15.018250793218613,130.0293169915676,610.1801805198193,6.101801805198193,0.0027994774313615666,stage_amortized
apc_like,2.0,100,1.1402445491528908,49951.83320928984,17260.82424587237,29351.981698302065,29358.29083459694,6.911555683145707,10.869016979246226,17.178153274064243,0.10892852648025177,0.11190335356424677,0.11190335356425703,24623.104002112013,0.0,0.9107142857142857,765.0,0.7870588235294118,85.0,67779952640.0,123115467283456.0,7.11930145694717,2163200.0,2112000.0,0.8921284608,24.6230934566912,0.01400897536,0.055485608755200005,0.25584716501606397,35540854374400.0,35540854374400.0,0.0,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,695784.701952,0.0,cohort_stage,latency_p50_ms,35540854374400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13193.271705599907,209044111360.0,71135395840.0,69357010944.0,78.13132368028164,235.25177780538797,0.01931469887495041,1.1537112295627594,125.85024256259203,576.6501743346453,5.766501743346453,0.00033278234800576304,cohort_stage
