reuse_group_size,shared_prefix_tokens,private_suffix_tokens,decode_tokens,num_agents_per_job,arrival_rate_jobs_per_s,primary_benefit_source,prefill_saving_delta,shared_kv_read_reduction_delta,placement_mesh_delta,shared_kv_placement_delta,apc_affinity_jct_delta,pat_affinity_jct_delta,jct_p99_delta_vs_apc
8,8192,128,512,16,16.0,mixed_benefit,1.0,0.4602981442047294,16.47473697146152,0.0,-0.799843930798116,-0.8190539867824701,0.0
8,32768,128,32,2,2.0,mixed_benefit,1.0,0.5831134564707016,4364760514560.0,0.0,0.0,0.0,0.9754057213112883
8,32768,128,32,2,16.0,mixed_benefit,1.0,0.5831134564707016,4364760514560.0,0.0,0.0,0.0,0.9754057213112883
8,32768,128,32,16,2.0,mixed_benefit,1.0,0.5192277259113997,19.238144629299256,0.0,-0.7994907511275693,-0.799491007697426,0.0
8,32768,128,32,16,16.0,mixed_benefit,1.0,0.5441531285243322,20.615633447068728,0.0,-0.7994907511275694,-0.7994910076974259,0.0
8,32768,128,512,2,2.0,mixed_benefit,1.0,0.5831134564647751,66212289576960.0,0.0,0.0,0.0,0.9980390271821081
8,32768,128,512,2,16.0,mixed_benefit,1.0,0.5831134564647751,66212289576960.0,0.0,0.0,0.0,0.9980390271821081
8,32768,128,512,16,2.0,mixed_benefit,1.0,0.5742866513614889,22.965023075054653,0.0,-0.7999490206390253,-0.7999490712978773,0.0
8,32768,128,512,16,16.0,mixed_benefit,1.0,0.4911463187328391,17.940093935166818,0.0,-0.7999490206390253,-0.7999490712978773,0.0
64,512,128,32,2,2.0,prefill_cache_benefit,1.0,0.0,0.0,0.0,0.0,0.0,0.8470583132928369
64,512,128,32,2,16.0,prefill_cache_benefit,1.0,0.0,0.0,0.0,0.0,0.0,0.8470583132928379
64,512,128,32,16,2.0,mixed_benefit,1.0,0.0,536870912.0,450971566080.0,-0.7985843161636953,-0.7983462186353637,0.9887859096111453
64,512,128,32,16,16.0,mixed_benefit,1.0,0.0,536870912.0,450971566080.0,-0.7985843161636954,-0.7983462186353637,0.9887859096111454
64,512,128,512,2,2.0,prefill_cache_benefit,1.0,0.0,0.0,0.0,0.0,0.0,0.9689564545020045
