reuse_group_size,shared_prefix_tokens,private_suffix_tokens,decode_tokens,num_agents_per_job,arrival_rate_jobs_per_s,primary_benefit_source,prefill_saving_delta,shared_kv_read_reduction_delta,placement_mesh_delta,shared_kv_placement_delta,apc_affinity_jct_delta,pat_affinity_jct_delta,jct_p99_delta_vs_apc,metric,delta
1,8192,128,32,2,16.0,mixed_benefit,1.0,0.0,1079110533120.0,0.0,0.0,0.0,0.963103748278699,shared_kv_read_reduction_delta,0.0
1,8192,128,32,2,16.0,mixed_benefit,1.0,0.0,1079110533120.0,0.0,0.0,0.0,0.963103748278699,placement_mesh_delta,1079110533120.0
1,8192,128,32,2,16.0,mixed_benefit,1.0,0.0,1079110533120.0,0.0,0.0,0.0,0.963103748278699,shared_kv_placement_delta,0.0
1,8192,128,32,16,2.0,mixed_benefit,1.0,0.3683010262292207,16.623849188952214,0.0,-0.7986803993736292,-0.7986831118858488,0.0,prefill_saving_delta,1.0
1,8192,128,32,16,2.0,mixed_benefit,1.0,0.3683010262292207,16.623849188952214,0.0,-0.7986803993736292,-0.7986831118858488,0.0,shared_kv_read_reduction_delta,0.3683010262292207
1,8192,128,32,16,2.0,mixed_benefit,1.0,0.3683010262292207,16.623849188952214,0.0,-0.7986803993736292,-0.7986831118858488,0.0,placement_mesh_delta,16.623849188952214
1,8192,128,32,16,2.0,mixed_benefit,1.0,0.3683010262292207,16.623849188952214,0.0,-0.7986803993736292,-0.7986831118858488,0.0,shared_kv_placement_delta,0.0
1,8192,128,32,16,16.0,mixed_benefit,1.0,0.3683010262292207,16.46054727088461,0.0,-0.7986803993736291,-0.7986831118858488,0.0,prefill_saving_delta,1.0
1,8192,128,32,16,16.0,mixed_benefit,1.0,0.3683010262292207,16.46054727088461,0.0,-0.7986803993736291,-0.7986831118858488,0.0,shared_kv_read_reduction_delta,0.3683010262292207
1,8192,128,32,16,16.0,mixed_benefit,1.0,0.3683010262292207,16.46054727088461,0.0,-0.7986803993736291,-0.7986831118858488,0.0,placement_mesh_delta,16.46054727088461
1,8192,128,32,16,16.0,mixed_benefit,1.0,0.3683010262292207,16.46054727088461,0.0,-0.7986803993736291,-0.7986831118858488,0.0,shared_kv_placement_delta,0.0
1,8192,128,512,2,2.0,mixed_benefit,1.0,0.0,16540992798720.0,0.0,0.0,0.0,0.9962342722368405,prefill_saving_delta,1.0
1,8192,128,512,2,2.0,mixed_benefit,1.0,0.0,16540992798720.0,0.0,0.0,0.0,0.9962342722368405,shared_kv_read_reduction_delta,0.0
1,8192,128,512,2,2.0,mixed_benefit,1.0,0.0,16540992798720.0,0.0,0.0,0.0,0.9962342722368405,placement_mesh_delta,16540992798720.0
1,8192,128,512,2,2.0,mixed_benefit,1.0,0.0,16540992798720.0,0.0,0.0,0.0,0.9962342722368405,shared_kv_placement_delta,0.0
1,8192,128,512,2,16.0,mixed_benefit,1.0,0.0,16540992798720.0,0.0,0.0,0.0,0.9962342722368405,prefill_saving_delta,1.0
1,8192,128,512,2,16.0,mixed_benefit,1.0,0.0,16540992798720.0,0.0,0.0,0.0,0.9962342722368405,shared_kv_read_reduction_delta,0.0
1,8192,128,512,2,16.0,mixed_benefit,1.0,0.0,16540992798720.0,0.0,0.0,0.0,0.9962342722368405,placement_mesh_delta,16540992798720.0
1,8192,128,512,2,16.0,mixed_benefit,1.0,0.0,16540992798720.0,0.0,0.0,0.0,0.9962342722368405,shared_kv_placement_delta,0.0
1,8192,128,512,16,2.0,mixed_benefit,1.0,0.3649936015927058,16.30720618662872,0.0,-0.799843930798116,-0.7998441579613125,0.0,prefill_saving_delta,1.0
1,8192,128,512,16,2.0,mixed_benefit,1.0,0.3649936015927058,16.30720618662872,0.0,-0.799843930798116,-0.7998441579613125,0.0,shared_kv_read_reduction_delta,0.3649936015927058
1,8192,128,512,16,2.0,mixed_benefit,1.0,0.3649936015927058,16.30720618662872,0.0,-0.799843930798116,-0.7998441579613125,0.0,placement_mesh_delta,16.30720618662872
1,8192,128,512,16,2.0,mixed_benefit,1.0,0.3649936015927058,16.30720618662872,0.0,-0.799843930798116,-0.7998441579613125,0.0,shared_kv_placement_delta,0.0
1,8192,128,512,16,16.0,mixed_benefit,1.0,0.3683010262259854,16.47473697146152,0.0,-0.799843930798116,-0.7998441579613125,0.0,prefill_saving_delta,1.0
1,8192,128,512,16,16.0,mixed_benefit,1.0,0.3683010262259854,16.47473697146152,0.0,-0.799843930798116,-0.7998441579613125,0.0,shared_kv_read_reduction_delta,0.3683010262259854
1,8192,128,512,16,16.0,mixed_benefit,1.0,0.3683010262259854,16.47473697146152,0.0,-0.799843930798116,-0.7998441579613125,0.0,placement_mesh_delta,16.47473697146152
1,8192,128,512,16,16.0,mixed_benefit,1.0,0.3683010262259854,16.47473697146152,0.0,-0.799843930798116,-0.7998441579613125,0.0,shared_kv_placement_delta,0.0
1,32768,128,32,2,2.0,mixed_benefit,1.0,0.0,4364760514560.0,0.0,0.0,0.0,0.9754057213112883,prefill_saving_delta,1.0
1,32768,128,32,2,2.0,mixed_benefit,1.0,0.0,4364760514560.0,0.0,0.0,0.0,0.9754057213112883,shared_kv_read_reduction_delta,0.0
1,32768,128,32,2,2.0,mixed_benefit,1.0,0.0,4364760514560.0,0.0,0.0,0.0,0.9754057213112883,placement_mesh_delta,4364760514560.0
1,32768,128,32,2,2.0,mixed_benefit,1.0,0.0,4364760514560.0,0.0,0.0,0.0,0.9754057213112883,shared_kv_placement_delta,0.0
1,32768,128,32,2,16.0,mixed_benefit,1.0,0.0,4364760514560.0,0.0,0.0,0.0,0.9754057213112883,prefill_saving_delta,1.0
1,32768,128,32,2,16.0,mixed_benefit,1.0,0.0,4364760514560.0,0.0,0.0,0.0,0.9754057213112883,shared_kv_read_reduction_delta,0.0
1,32768,128,32,2,16.0,mixed_benefit,1.0,0.0,4364760514560.0,0.0,0.0,0.0,0.9754057213112883,placement_mesh_delta,4364760514560.0
1,32768,128,32,2,16.0,mixed_benefit,1.0,0.0,4364760514560.0,0.0,0.0,0.0,0.9754057213112883,shared_kv_placement_delta,0.0
1,32768,128,32,16,2.0,mixed_benefit,1.0,0.419908297593197,19.238144629299256,0.0,-0.7994907511275693,-0.799491007697426,0.0,prefill_saving_delta,1.0
1,32768,128,32,16,2.0,mixed_benefit,1.0,0.419908297593197,19.238144629299256,0.0,-0.7994907511275693,-0.799491007697426,0.0,shared_kv_read_reduction_delta,0.419908297593197
1,32768,128,32,16,2.0,mixed_benefit,1.0,0.419908297593197,19.238144629299256,0.0,-0.7994907511275693,-0.799491007697426,0.0,placement_mesh_delta,19.238144629299256
1,32768,128,32,16,2.0,mixed_benefit,1.0,0.419908297593197,19.238144629299256,0.0,-0.7994907511275693,-0.799491007697426,0.0,shared_kv_placement_delta,0.0
1,32768,128,32,16,16.0,mixed_benefit,1.0,0.4416579065969417,20.615633447068728,0.0,-0.7994907511275694,-0.7994910076974259,0.0,prefill_saving_delta,1.0
1,32768,128,32,16,16.0,mixed_benefit,1.0,0.4416579065969417,20.615633447068728,0.0,-0.7994907511275694,-0.7994910076974259,0.0,shared_kv_read_reduction_delta,0.4416579065969417
1,32768,128,32,16,16.0,mixed_benefit,1.0,0.4416579065969417,20.615633447068728,0.0,-0.7994907511275694,-0.7994910076974259,0.0,placement_mesh_delta,20.615633447068728
1,32768,128,32,16,16.0,mixed_benefit,1.0,0.4416579065969417,20.615633447068728,0.0,-0.7994907511275694,-0.7994910076974259,0.0,shared_kv_placement_delta,0.0
1,32768,128,512,2,2.0,mixed_benefit,1.0,0.0,66212289576960.0,0.0,0.0,0.0,0.9980390271821081,prefill_saving_delta,1.0
1,32768,128,512,2,2.0,mixed_benefit,1.0,0.0,66212289576960.0,0.0,0.0,0.0,0.9980390271821081,shared_kv_read_reduction_delta,0.0
1,32768,128,512,2,2.0,mixed_benefit,1.0,0.0,66212289576960.0,0.0,0.0,0.0,0.9980390271821081,placement_mesh_delta,66212289576960.0
1,32768,128,512,2,2.0,mixed_benefit,1.0,0.0,66212289576960.0,0.0,0.0,0.0,0.9980390271821081,shared_kv_placement_delta,0.0
1,32768,128,512,2,16.0,mixed_benefit,1.0,0.0,66212289576960.0,0.0,0.0,0.0,0.9980390271821081,prefill_saving_delta,1.0
1,32768,128,512,2,16.0,mixed_benefit,1.0,0.0,66212289576960.0,0.0,0.0,0.0,0.9980390271821081,shared_kv_read_reduction_delta,0.0
