policy,total_cycles,pure_comp_cycles,pure_comm_cycles,effective_prefill_tokens,total_input_tokens,append_tokens,decode_tokens,llm_output_tokens,tool_output_tokens,cache_hit_ratio,effective_prefill_reduction,kv_migration_bytes,demand_migration_bytes,prefetch_migration_bytes,num_kv_migrations,num_prefetch_events,local_state_hits,remote_state_hits,state_misses,tool_wait_cycles,tool_wait_overlap_ratio,remote_read_bytes,num_remote_reads,remote_read_cycles,migration_skipped_by_cost,num_action_local,num_action_remote_read,num_action_migrate,num_action_replicate,num_action_static_hit,static_replica_bytes,num_static_replicas,unused_prefetch_events,migration_cost_estimate_cycles,remote_read_cost_estimate_cycles,external_wait_cycles,model_compute_cycles,model_comm_cycles,exposed_migration_cycles,exposed_prefetch_cycles,llm_side_cycles,prefetch_hidden_cycles,prefetch_exposed_cycles,compressed_observation_tokens_saved,num_compressed_observations,busybarn_events
lru,26441163000,395400000,0,459917,574003,16602,11844,11844,43795,0.12319538017324351,0.22127818084845197,0,0,0,0,0,256,0,1822,87987000000,0.0,0,0,0,0,0,0,0,0,0,2147483648,8,0,0,0,87987000000,395400000,0,0,0,0,0,0,1626,2,343
asg-oracle-retention,26427927000,354830000,0,404640,574003,16602,11844,11844,43795,0.23820981713185754,0.31487203799493735,0,0,0,0,0,401,94,1583,87987000000,0.0,0,0,0,0,0,0,0,0,0,2147483648,8,0,0,0,87987000000,354830000,0,0,0,0,0,0,1626,2,343
asg-oracle-placement,26434683962,348231352,17288969,404640,574003,16602,11844,11844,43795,0.23820981713185754,0.31487203799493735,0,0,0,0,0,401,94,1583,87987000000,0.0,9582936064,94,37439081,64,209,94,0,0,192,2147483648,8,0,0,37439081,87987000000,348231352,17288969,0,0,0,0,0,1626,2,437
asg-oracle-prefetch,26435381770,340198162,25347929,404640,574003,16602,11844,11844,43795,0.23820981713185754,0.31487203799493735,1530396672,64487424,1465909248,12,11,403,92,1583,87987000000,0.9248939720078417,11634999296,92,45453664,56,210,92,0,1,192,2147483648,8,0,5978223,45453664,87987000000,340198162,25347929,251905,430081,0,5296237,430081,1626,2,447
