baseline,mechanism_profile,job_id,workload,seed,duration_source,job_completion_time_ms,p50_latency_ms,p90_latency_ms,p99_latency_ms,goodput_jobs_per_s,naive_kv_bytes,kv_bytes_total,kv_saving_ratio,kv_duplication_ratio,sram_peak_occupancy_bytes,sram_overflow_bytes,prefill_ms_total,decode_ms_total,queue_wait_ms_total,energy_estimated_j,energy_per_job_j,tool_pause_ms,resume_prefill_ms,resume_reload_bytes,cross_region_sram_bytes,shared_prefill_compute_ms_saved,shared_prefill_tokens_saved,private_prefill_tokens_computed,unique_shared_prefix_tokens_computed,logical_shared_prefix_tokens,prefix_compute_hit_rate,mesh_total_traffic_bytes,mesh_avg_link_load_bytes,mesh_max_link_load_bytes,mesh_hotspot_ratio,mesh_wait_ms,communication_time_ms,prefill_tile_utilization,decode_tile_utilization,tile_busy_time_ms,tile_idle_time_ms,pd_interference_ms,sram_evictions,sram_reload_bytes,sram_spill_bytes,sram_hit_rate,prefix_block_reuse_count,ttl_pinned_bytes,ttl_eviction_avoided_count,calibration_loaded,sram_per_tile_mb
wafer_naive,neutral,sensitivity_sram_per_tile_mb_2,sram_pressure_debate,19,synthetic,4013.895079029069,18.85187419139386,24.49627238217829,26.63558379333643,0.24913456388648117,71940702208.0,71940702208.0,0.0,1.0,8589934592.0,63350767616.0,1606.9453257445834,899.8767722794403,38529.280344000144,0.6043832992768,0.6043832992768,0.0,0.0,0.0,0.0,0.0,0.0,548864.0,0.0,0.0,0.0,1926448177664.0,29188608752.484848,61186507776.0,2.0962461176156997,0.0,38529.69895328172,0.0006573598238192601,0.0002701376176216726,8260.149094942628,16432654.094608124,0.0,0.0,0.0,63082332160.0,0.0,0.0,0.0,0.0,0.0,2
waferagent_full,neutral,sensitivity_sram_per_tile_mb_2,sram_pressure_debate,19,synthetic,1350.3729996337051,11.289600000000036,13.70777456686632,13.70777456686642,0.7405361335506964,71940702208.0,36641439744.0,0.4906716417910447,1.9633699633699633,8589934592.0,28051505152.0,579.9988858898513,899.8767722794443,5917.256310205746,0.256567442944,0.256567442944,0.0,0.0,0.0,0.0,1854.4223846400023,270336.0,274432.0,4096.0,274432.0,0.9848484848484849,187368896000.0,1171055600.0,12851428352.0,10.974225606367451,3764.102879532948,7511.612799532919,0.0005541449824430528,0.00135676476058261,4116.367716273536,5527011.438783383,0.0,0.0,35433480192.0,27111981056.0,0.0,65.0,0.0,0.0,0.0,2
wafer_naive,neutral,sensitivity_sram_per_tile_mb_4,sram_pressure_debate,19,synthetic,3498.2252064582335,18.357191529380984,23.506907058152592,25.74754006110863,0.2858592403238803,71940702208.0,71940702208.0,0.0,1.0,17179869184.0,54760833024.0,1541.940900132217,899.8767722794403,33109.56848736004,0.5501861807104,0.5501861807104,0.0,0.0,0.0,0.0,0.0,0.0,548864.0,0.0,0.0,0.0,1655462584832.0,25082766436.848484,52596573184.0,2.0969207410364294,0.0,33109.9870966411,0.0007238128158904441,0.0003099583331657678,7998.446347618413,14320731.999305306,0.0,0.0,0.0,54223962112.0,0.0,0.0,0.0,0.0,0.0,4
waferagent_full,neutral,sensitivity_sram_per_tile_mb_4,sram_pressure_debate,19,synthetic,1180.0953771420025,11.289600000000036,13.70777456686632,13.707774566866393,0.8473891342764481,71940702208.0,36641439744.0,0.4906716417910447,1.9633699633699633,17179869184.0,19461570560.0,563.7477794867584,899.8767722794441,5058.051909755803,0.251332951552,0.251332951552,0.0,0.0,0.0,0.0,1854.4223846400023,270336.0,274432.0,4096.0,274432.0,0.9848484848484849,161196439040.0,1007477744.0,11106597888.0,11.02416202655093,3177.997020291057,6402.057801091031,0.0006163678918871639,0.0015525342570041956,4050.9420294424835,4829619.722744199,0.0,0.0,35433480192.0,18253611008.0,0.0,65.0,0.0,0.0,0.0,4
wafer_naive,neutral,sensitivity_sram_per_tile_mb_8,sram_pressure_debate,19,synthetic,2466.885461316582,17.367826205355286,21.528176410101082,23.971452596652878,0.4053694489189205,71940702208.0,71940702208.0,0.0,1.0,34359738368.0,37580963840.0,1411.9320489074682,899.8767722794441,22270.144774080014,0.4417919435776,0.4417919435776,0.0,0.0,0.0,0.0,0.0,0.0,548864.0,0.0,0.0,0.0,1113491399168.0,16871081805.575758,35416704000.0,2.0992550690077896,0.0,22270.56338336103,0.0009400655297224994,0.0004395437368436119,7475.040852969986,10096887.808699751,0.0,0.0,0.0,36507222016.0,0.0,0.0,0.0,0.0,0.0,8
waferagent_full,neutral,sensitivity_sram_per_tile_mb_8,sram_pressure_debate,19,synthetic,227.2241881762957,11.289600000000004,13.70777456686632,13.70777456686632,4.40093991764703,71940702208.0,36641439744.0,0.4906716417910447,1.9633699633699633,34359738368.0,2281701376.0,465.3986186308381,899.8767722794444,839.0737523616713,0.2210265885696,0.2210265885696,0.0,0.0,0.0,1073741824.0,1854.4223846400023,270336.0,274432.0,4096.0,274432.0,0.9848484848484849,9664624128.0,56518269.75438596,536875520.0,9.499149962182575,645.7933952416698,839.1824778016689,0.0026425362808202373,0.008063131457306602,3654.175296269355,927056.0994738379,0.0,0.0,0.0,0.0,0.9545454545454546,65.0,0.0,0.0,0.0,8
wafer_naive,neutral,sensitivity_sram_per_tile_mb_16,sram_pressure_debate,19,synthetic,404.1967246332696,15.38909555730374,17.570715113998077,20.41927766774161,2.474042808999273,71940702208.0,71940702208.0,0.0,1.0,68719476736.0,3221225472.0,1151.9143464579806,899.8767722794439,591.1723401600044,0.225003469312,0.225003469312,0.0,0.0,0.0,0.0,0.0,0.0,548864.0,0.0,0.0,0.0,29549027840.0,447712543.030303,1056965632.0,2.3608130896803137,0.0,591.5623568000229,0.004683317241074884,0.0026826146476472924,6428.229863673137,1649161.554234199,0.0,28.0,0.0,1073741824.0,0.0,0.0,0.0,0.0,0.0,16
waferagent_full,neutral,sensitivity_sram_per_tile_mb_16,sram_pressure_debate,19,synthetic,227.2241881762957,11.289600000000004,13.70777456686632,13.70777456686632,4.40093991764703,71940702208.0,36641439744.0,0.4906716417910447,1.9633699633699633,36641439744.0,0.0,465.3986186308381,899.8767722794444,839.0737523616713,0.2210265885696,0.2210265885696,0.0,0.0,0.0,1073741824.0,1854.4223846400023,270336.0,274432.0,4096.0,274432.0,0.9848484848484849,9664624128.0,56518269.75438596,536875520.0,9.499149962182575,645.7933952416698,839.1824778016689,0.0026425362808202373,0.008063131457306602,3654.175296269355,927056.0994738379,0.0,0.0,0.0,0.0,0.9545454545454546,65.0,0.0,0.0,0.0,16
wafer_naive,neutral,sensitivity_sram_per_tile_mb_32,sram_pressure_debate,19,synthetic,186.51256491281381,15.38909555730374,17.447044448494857,19.218258797875944,5.361569074273654,71940702208.0,71940702208.0,0.0,1.0,71940702208.0,0.0,1144.5867954124292,899.8767722794441,0.16544512000032796,0.2190945338368,0.2190945338368,0.0,0.0,0.0,0.0,0.0,0.0,548864.0,0.0,0.0,0.0,4350464.0,65916.12121212122,127488.0,1.934094386253972,0.0,0.41860927999999326,0.010078037354794712,0.005813571083208958,6395.549569741479,757559.9163131439,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32
waferagent_full,neutral,sensitivity_sram_per_tile_mb_32,sram_pressure_debate,19,synthetic,227.2241881762957,11.289600000000004,13.70777456686632,13.70777456686632,4.40093991764703,71940702208.0,36641439744.0,0.4906716417910447,1.9633699633699633,36641439744.0,0.0,465.3986186308381,899.8767722794444,839.0737523616713,0.2210265885696,0.2210265885696,0.0,0.0,0.0,1073741824.0,1854.4223846400023,270336.0,274432.0,4096.0,274432.0,0.9848484848484849,9664624128.0,56518269.75438596,536875520.0,9.499149962182575,645.7933952416698,839.1824778016689,0.0026425362808202373,0.008063131457306602,3654.175296269355,927056.0994738379,0.0,0.0,0.0,0.0,0.9545454545454546,65.0,0.0,0.0,0.0,32
