baseline,n,job_completion_time_ms_mean,job_completion_time_ms_std,job_completion_time_ms_ci95,p50_latency_ms_mean,p50_latency_ms_std,p50_latency_ms_ci95,p90_latency_ms_mean,p90_latency_ms_std,p90_latency_ms_ci95,p99_latency_ms_mean,p99_latency_ms_std,p99_latency_ms_ci95,goodput_jobs_per_s_mean,goodput_jobs_per_s_std,goodput_jobs_per_s_ci95,naive_kv_bytes_mean,naive_kv_bytes_std,naive_kv_bytes_ci95,kv_bytes_total_mean,kv_bytes_total_std,kv_bytes_total_ci95,kv_saving_ratio_mean,kv_saving_ratio_std,kv_saving_ratio_ci95,kv_duplication_ratio_mean,kv_duplication_ratio_std,kv_duplication_ratio_ci95,sram_peak_occupancy_bytes_mean,sram_peak_occupancy_bytes_std,sram_peak_occupancy_bytes_ci95,sram_overflow_bytes_mean,sram_overflow_bytes_std,sram_overflow_bytes_ci95,prefill_ms_total_mean,prefill_ms_total_std,prefill_ms_total_ci95,decode_ms_total_mean,decode_ms_total_std,decode_ms_total_ci95,queue_wait_ms_total_mean,queue_wait_ms_total_std,queue_wait_ms_total_ci95,energy_estimated_j_mean,energy_estimated_j_std,energy_estimated_j_ci95,energy_per_job_j_mean,energy_per_job_j_std,energy_per_job_j_ci95,tool_pause_ms_mean,tool_pause_ms_std,tool_pause_ms_ci95,resume_prefill_ms_mean,resume_prefill_ms_std,resume_prefill_ms_ci95,resume_reload_bytes_mean,resume_reload_bytes_std,resume_reload_bytes_ci95,cross_region_sram_bytes_mean,cross_region_sram_bytes_std,cross_region_sram_bytes_ci95,shared_prefill_compute_ms_saved_mean,shared_prefill_compute_ms_saved_std,shared_prefill_compute_ms_saved_ci95,shared_prefill_tokens_saved_mean,shared_prefill_tokens_saved_std,shared_prefill_tokens_saved_ci95,private_prefill_tokens_computed_mean,private_prefill_tokens_computed_std,private_prefill_tokens_computed_ci95,unique_shared_prefix_tokens_computed_mean,unique_shared_prefix_tokens_computed_std,unique_shared_prefix_tokens_computed_ci95,logical_shared_prefix_tokens_mean,logical_shared_prefix_tokens_std,logical_shared_prefix_tokens_ci95,prefix_compute_hit_rate_mean,prefix_compute_hit_rate_std,prefix_compute_hit_rate_ci95,mesh_total_traffic_bytes_mean,mesh_total_traffic_bytes_std,mesh_total_traffic_bytes_ci95,mesh_avg_link_load_bytes_mean,mesh_avg_link_load_bytes_std,mesh_avg_link_load_bytes_ci95,mesh_max_link_load_bytes_mean,mesh_max_link_load_bytes_std,mesh_max_link_load_bytes_ci95,mesh_hotspot_ratio_mean,mesh_hotspot_ratio_std,mesh_hotspot_ratio_ci95,mesh_wait_ms_mean,mesh_wait_ms_std,mesh_wait_ms_ci95,communication_time_ms_mean,communication_time_ms_std,communication_time_ms_ci95,prefill_tile_utilization_mean,prefill_tile_utilization_std,prefill_tile_utilization_ci95,decode_tile_utilization_mean,decode_tile_utilization_std,decode_tile_utilization_ci95,tile_busy_time_ms_mean,tile_busy_time_ms_std,tile_busy_time_ms_ci95,tile_idle_time_ms_mean,tile_idle_time_ms_std,tile_idle_time_ms_ci95,pd_interference_ms_mean,pd_interference_ms_std,pd_interference_ms_ci95,sram_evictions_mean,sram_evictions_std,sram_evictions_ci95,sram_reload_bytes_mean,sram_reload_bytes_std,sram_reload_bytes_ci95,sram_spill_bytes_mean,sram_spill_bytes_std,sram_spill_bytes_ci95,sram_hit_rate_mean,sram_hit_rate_std,sram_hit_rate_ci95,prefix_block_reuse_count_mean,prefix_block_reuse_count_std,prefix_block_reuse_count_ci95,ttl_pinned_bytes_mean,ttl_pinned_bytes_std,ttl_pinned_bytes_ci95,ttl_eviction_avoided_count_mean,ttl_eviction_avoided_count_std,ttl_eviction_avoided_count_ci95,calibration_loaded_mean,calibration_loaded_std,calibration_loaded_ci95,calibration_coeff_count_mean,calibration_coeff_count_std,calibration_coeff_count_ci95
continuum_like,450,114869.52665003057,92014.43853345209,8501.700371332694,7847.531474276225,7278.548641884024,672.5035839779842,23570.853647174943,20638.358280961416,1906.8870174886463,25546.183347435966,21027.415225300498,1942.8340451603376,0.016079365863103292,0.010132083021554833,0.0009361567093126368,12563338581.333334,16552320399.83253,1529356378.5482836,12563338581.333334,16552320399.83253,1529356378.5482836,0.0,0.0,0.0,1.0,0.0,0.0,10684290389.333334,12845338899.362818,1186848762.3374953,1879048192.0,4450146291.301817,411172539.6606195,62466.84021913285,88389.31993204125,8166.756501099381,541015.0044790646,811194.3547918188,74950.53447344938,901.8125186489485,1677.862952700588,155.02662750948582,0.048402076649244445,0.06883114088405251,0.0063596729528535645,0.048402076649244445,0.06883114088405251,0.0063596729528535645,2333.3333333333335,4994.42896762932,461.4616932455887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95772.44444444444,126318.1917388279,11671.205462191036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45101791459.55556,83919299939.40184,7753747725.118305,876286040.0412999,1590148910.2374113,146922263.46330222,4235380508.4444447,8426946389.227501,778610122.371719,4.191181049500956,2.542242997869284,0.2348912690604054,0.0,0.0,0.0,902.1380291911238,1678.5845163904428,155.09329659303134,0.00045988508009878334,0.0006622461259966981,6.118842026355337e-05,0.008338548567066773,0.015430806962040942,0.0014257338236265257,3009953.3950242796,6626539.308107304,612260.9950600866,467495627.76350117,373062096.58793044,34469179.13799686,0.0,0.0,0.0,5.555555555555555,4.721912882716324,0.43628249162000193,0.0,0.0,0.0,5525296469.333333,9459715835.435581,874033150.8036774,0.0,0.0,0.0,0.0,0.0,0.0,741925774.2222222,1383615570.3454154,127839556.43994734,2.7777777777777777,4.784388536676729,0.4420549475403989,1.0,0.0,0.0,609.0,0.0,0.0
kvflow_like,450,106814.93021716912,84582.96701081679,7815.067434040275,7290.716760085805,7060.385452456273,652.3463336797636,23570.853647174943,20638.358280961416,1906.8870174886463,25546.183347435966,21027.415225300498,1942.8340451603376,0.017067292460756268,0.010690690017848918,0.0009877693625387487,12563338581.333334,16552320399.83253,1529356378.5482836,6598572259.555555,8460086733.220506,781672133.9355779,0.44723212334417073,0.026581947644600618,0.0024560466570546684,1.8133061374363229,0.08820627937337706,0.008149844416318268,6598572259.555555,8460086733.220506,781672133.9355779,0.0,0.0,0.0,17195.714057795627,22706.53690911408,2097.9769734911,541015.0044790646,811194.3547918188,74950.53447344938,1876.7457278934717,4421.329287153681,408.50998431852685,0.058154833533155585,0.09338059789264831,0.008627927056149724,0.058154833533155585,0.09338059789264831,0.008627927056149724,2333.3333333333335,4994.42896762932,461.4616932455887,0.0,0.0,0.0,0.0,0.0,0.0,3388531598.2222223,7040526028.811125,650511416.5507847,121186.3963037708,200213.50491810488,18498.78406299517,46172.444444444445,62749.759667524595,5797.781995621081,47886.22222222222,63159.09586941395,5835.602731095518,1713.7777777777778,1274.9218743501933,117.79677130391512,47886.22222222222,63159.09586941395,5835.602731095518,0.9085448701512518,0.04705010340684757,0.004347207764136,93865575879.11111,221147219310.78723,20432960592.920284,503497316.4979038,975685047.9378642,90148699.12336023,3388536149.3333335,7040523833.533467,650511213.7174776,3.4489313789714027,1.979177274677919,0.18286665048708872,0.0,0.0,0.0,1877.53902869341,4423.52480641029,408.7128399483244,0.00013589777904949907,0.00017924610546774132,1.6561495192529146e-05,0.008912850247601549,0.016484206442297568,0.0015230629699561375,2828256.4996499233,6347492.665456546,586478.4006840896,434685697.66987497,342806206.886286,31673677.553558502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,515433358.2222222,1386806128.6355944,128134348.98590752,0.7348476647283128,0.1781844990074309,0.016463407759929653,16.444444444444443,14.135134566062428,1.3060198019405556,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,609.0,0.0,0.0
oracle,450,64899.668488281946,50969.8442660467,4709.373342161734,4552.726176872171,4176.0395122416885,385.84636539425054,14309.804959612075,12529.494523527752,1157.6662308770212,15509.022568137343,12765.689999305192,1179.4895794311085,0.027937827461227485,0.01752873653017897,0.0016195726262399285,12563338581.333334,16552320399.83253,1529356378.5482836,6598572259.555555,8460086733.220506,781672133.9355779,0.44723212334417073,0.026581947644600618,0.0024560466570546684,1.8133061374363229,0.08820627937337706,0.008149844416318268,6598572259.555555,8460086733.220506,781672133.9355779,0.0,0.0,0.0,10439.47402124772,13785.080478686825,1273.676454395749,328448.82540972176,492474.01791918336,45502.27777016841,12.495222400022815,27.581130213811864,2.5483664163781374,0.03950642205013333,0.052240450627507436,0.0048267713804176675,0.03950642205013333,0.052240450627507436,0.0048267713804176675,2333.3333333333335,4994.42896762932,461.4616932455887,0.0,0.0,0.0,0.0,0.0,0.0,75963505.77777778,171632975.4731624,15858077.868753543,121186.3963037708,200213.50491810488,18498.78406299517,46172.444444444445,62749.759667524595,5797.781995621081,47886.22222222222,63159.09586941395,5835.602731095518,1713.7777777777778,1274.9218743501933,117.79677130391512,47886.22222222222,63159.09586941395,5835.602731095518,0.9085448701512518,0.04705010340684757,0.004347207764136,623518464.0,1379204991.8269413,127432039.7759765,20929026.61139122,42261230.52306013,3904738.484061446,76081351.1111111,171581378.06506768,15853310.511471901,1.7086594405486777,1.0483697817381767,0.0968644258961284,0.10065504001775277,0.27926446976300223,0.025802720574347567,12.57860209779552,27.551681749452843,2.545645517089215,0.00032238587358970325,0.0004568480362855784,4.221060500542728e-05,0.014289310325664942,0.023593001561583827,0.002179882128651455,3434054.573631977,7707093.123132416,712099.0739188101,262394987.5543708,204425037.37507933,18887909.80917165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,932067.5555555555,2639219.253026275,243851.41789812187,0.9004459784206466,0.03979724099858504,0.003677077467061663,16.444444444444443,14.135134566062428,1.3060198019405556,370962887.1111111,691807785.1727077,63919778.21997367,0.0,0.0,0.0,1.0,0.0,0.0,609.0,0.0,0.0
wafer_naive,450,115185.94162677927,92337.2410579939,8531.52580293348,7849.364057832992,7278.146273103916,672.4664069994386,23570.853647174943,20638.35828096142,1906.8870174886467,25546.18334743597,21027.4152253005,1942.8340451603378,0.01606308122908289,0.010137530822726434,0.0009366600604603668,12563338581.333334,16552320399.83253,1529356378.5482836,12563338581.333334,16552320399.83253,1529356378.5482836,0.0,0.0,0.0,1.0,0.0,0.0,10684290389.333334,12845338899.362818,1186848762.3374953,1879048192.0,4450146291.301817,411172539.6606195,62509.80248136661,88428.79417363397,8170.403734943936,541015.0044790646,811194.3547918188,74950.53447344938,2873.463274737866,5363.374548615596,495.5505257469383,0.06812189793848888,0.10443515722527681,0.00964931622812146,0.06812189793848888,0.10443515722527681,0.00964931622812146,2333.3333333333335,4994.42896762932,461.4616932455887,14.838515484444448,27.67231140690832,2.556791128798948,741925774.2222222,1383615570.3454154,127839556.43994734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95772.44444444444,126318.1917388279,11671.205462191036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143700897905.77777,268244833198.01938,24784558101.48298,3703889239.096125,5714671172.942917,528008677.84885776,6148856547.555555,9055498098.035763,836685337.3200148,1.853627047607481,0.35221356758613676,0.03254287333663232,0.0,0.0,0.0,2874.260358115583,5365.4538581588195,495.742644147023,0.0004583873150063167,0.0006588885094233133,6.087819231972518e-05,0.008299532467025023,0.015333332044308548,0.0014167276007175,3010094.630146978,6626726.926892196,612278.3301513897,468791522.27314085,374366890.62259895,34589735.95609907,0.0,0.0,0.0,6.888888888888889,5.048637480626768,0.4664703043116906,741925774.2222222,1383615570.3454154,127839556.43994734,5525296469.333333,9459715835.435581,874033150.8036774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,609.0,0.0,0.0
waferagent_full,450,106462.04519572921,84120.12423204943,7772.302943088298,7290.716760085805,7060.385452456273,652.3463336797636,23570.853647174943,20638.358280961416,1906.8870174886463,25546.183347435966,21027.4152253005,1942.8340451603378,0.01708307780925612,0.010689363804724806,0.00098764682669775,12563338581.333334,16552320399.83253,1529356378.5482836,6598572259.555555,8460086733.220506,781672133.9355779,0.44723212334417073,0.026581947644600618,0.0024560466570546684,1.8133061374363229,0.08820627937337706,0.008149844416318268,6598572259.555555,8460086733.220506,781672133.9355779,0.0,0.0,0.0,17195.714057795623,22706.536909114075,2097.9769734910997,541015.0044790646,811194.3547918188,74950.53447344938,12.495222399979765,27.58113021364262,2.5483664163624997,0.03950642205013333,0.052240450627507436,0.0048267713804176675,0.03950642205013333,0.052240450627507436,0.0048267713804176675,2333.3333333333335,4994.42896762932,461.4616932455887,0.0,0.0,0.0,0.0,0.0,0.0,75963505.77777778,171632975.4731624,15858077.868753543,121186.3963037708,200213.50491810488,18498.78406299517,46172.444444444445,62749.759667524595,5797.781995621081,47886.22222222222,63159.09586941395,5835.602731095518,1713.7777777777778,1274.9218743501933,117.79677130391512,47886.22222222222,63159.09586941395,5835.602731095518,0.9085448701512518,0.04705010340684757,0.004347207764136,623518464.0,1379204991.8269413,127432039.7759765,20929026.61139122,42261230.52306013,3904738.484061446,76081351.1111111,171581378.06506768,15853310.511471901,1.7086594405486777,1.0483697817381767,0.0968644258961284,0.10065503999471224,0.27926446976999464,0.025802720574993634,12.578602097772478,27.551681749374644,2.5456455170819896,0.00016152134914884514,0.00022826774190657913,2.1090863315162278e-05,0.007156447118088902,0.011791322471854547,0.0010894626129900745,2828256.4996499233,6347492.665456546,586478.4006840896,433240280.62205684,340929385.7991854,31500268.13230417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,932067.5555555555,2639219.253026275,243851.41789812187,0.9004459784206466,0.03979724099858504,0.003677077467061663,16.444444444444443,14.135134566062428,1.3060198019405556,370962887.1111111,691807785.1727077,63919778.21997367,0.0,0.0,0.0,1.0,0.0,0.0,609.0,0.0,0.0
