baseline,job_completion_time_ms,p50_latency_ms,p90_latency_ms,p99_latency_ms,goodput_jobs_per_s,kv_bytes_total,kv_saving_ratio,sram_evictions,sram_reload_bytes,sram_hit_rate,shared_prefill_compute_ms_saved,shared_prefill_tokens_saved,prefix_compute_hit_rate,mesh_total_traffic_bytes,mesh_wait_ms,mesh_hotspot_ratio,prefill_tile_utilization,decode_tile_utilization,energy_per_job_j
continuum_like,114869.52665003062,7847.531474276223,23570.853647174947,25546.183347435966,7.235714638396483,12563338581.333334,0.0,5.555555555555555,0.0,0.0,0.0,0.0,0.0,45101791459.55556,0.0,4.1911810495009565,0.0004598850800987833,0.008338548567066775,0.048402076649244445
kvflow_like,106814.93021716914,7290.716760085803,23570.853647174947,25546.18334743597,7.680281607340321,6598572259.555555,0.4472321233441708,0.0,0.0,0.7348476647283126,121186.39630377079,46172.444444444445,0.9085448701512518,93865575879.11111,0.0,3.448931378971403,0.00013589777904949907,0.008912850247601549,0.05815483353315556
oracle,64899.668488281925,4552.726176872171,14309.804959612076,15509.022568137343,12.572022357552369,6598572259.555555,0.4472321233441708,0.0,0.0,0.9004459784206466,121186.39630377079,46172.444444444445,0.9085448701512518,623518464.0,0.10065504001775277,1.7086594405486781,0.00032238587358970325,0.014289310325664944,0.039506422050133334
wafer_naive,115185.94162677925,7849.364057832991,23570.853647174947,25546.183347435974,7.228386553087301,12563338581.333334,0.0,6.888888888888889,741925774.2222222,0.0,0.0,0.0,0.0,143700897905.77777,0.0,1.8536270476074808,0.00045838731500631665,0.008299532467025025,0.06812189793848888
waferagent_full,106462.04519572921,7290.716760085803,23570.853647174947,25546.18334743597,7.687385014165253,6598572259.555555,0.4472321233441708,0.0,0.0,0.9004459784206466,121186.39630377079,46172.444444444445,0.9085448701512518,623518464.0,0.10065503999471224,1.7086594405486781,0.00016152134914884514,0.007156447118088903,0.039506422050133334
