baseline,n,job_completion_time_ms_mean,job_completion_time_ms_std,job_completion_time_ms_ci95,p50_latency_ms_mean,p50_latency_ms_std,p50_latency_ms_ci95,p90_latency_ms_mean,p90_latency_ms_std,p90_latency_ms_ci95,p99_latency_ms_mean,p99_latency_ms_std,p99_latency_ms_ci95,goodput_jobs_per_s_mean,goodput_jobs_per_s_std,goodput_jobs_per_s_ci95,naive_kv_bytes_mean,naive_kv_bytes_std,naive_kv_bytes_ci95,kv_bytes_total_mean,kv_bytes_total_std,kv_bytes_total_ci95,kv_saving_ratio_mean,kv_saving_ratio_std,kv_saving_ratio_ci95,kv_duplication_ratio_mean,kv_duplication_ratio_std,kv_duplication_ratio_ci95,sram_peak_occupancy_bytes_mean,sram_peak_occupancy_bytes_std,sram_peak_occupancy_bytes_ci95,sram_overflow_bytes_mean,sram_overflow_bytes_std,sram_overflow_bytes_ci95,prefill_ms_total_mean,prefill_ms_total_std,prefill_ms_total_ci95,decode_ms_total_mean,decode_ms_total_std,decode_ms_total_ci95,queue_wait_ms_total_mean,queue_wait_ms_total_std,queue_wait_ms_total_ci95,energy_estimated_j_mean,energy_estimated_j_std,energy_estimated_j_ci95,energy_per_job_j_mean,energy_per_job_j_std,energy_per_job_j_ci95,tool_pause_ms_mean,tool_pause_ms_std,tool_pause_ms_ci95,resume_prefill_ms_mean,resume_prefill_ms_std,resume_prefill_ms_ci95,resume_reload_bytes_mean,resume_reload_bytes_std,resume_reload_bytes_ci95,cross_region_sram_bytes_mean,cross_region_sram_bytes_std,cross_region_sram_bytes_ci95,shared_prefill_compute_ms_saved_mean,shared_prefill_compute_ms_saved_std,shared_prefill_compute_ms_saved_ci95,shared_prefill_tokens_saved_mean,shared_prefill_tokens_saved_std,shared_prefill_tokens_saved_ci95,private_prefill_tokens_computed_mean,private_prefill_tokens_computed_std,private_prefill_tokens_computed_ci95,unique_shared_prefix_tokens_computed_mean,unique_shared_prefix_tokens_computed_std,unique_shared_prefix_tokens_computed_ci95,logical_shared_prefix_tokens_mean,logical_shared_prefix_tokens_std,logical_shared_prefix_tokens_ci95,prefix_compute_hit_rate_mean,prefix_compute_hit_rate_std,prefix_compute_hit_rate_ci95,mesh_total_traffic_bytes_mean,mesh_total_traffic_bytes_std,mesh_total_traffic_bytes_ci95,mesh_avg_link_load_bytes_mean,mesh_avg_link_load_bytes_std,mesh_avg_link_load_bytes_ci95,mesh_max_link_load_bytes_mean,mesh_max_link_load_bytes_std,mesh_max_link_load_bytes_ci95,mesh_hotspot_ratio_mean,mesh_hotspot_ratio_std,mesh_hotspot_ratio_ci95,mesh_wait_ms_mean,mesh_wait_ms_std,mesh_wait_ms_ci95,communication_time_ms_mean,communication_time_ms_std,communication_time_ms_ci95,prefill_tile_utilization_mean,prefill_tile_utilization_std,prefill_tile_utilization_ci95,decode_tile_utilization_mean,decode_tile_utilization_std,decode_tile_utilization_ci95,tile_busy_time_ms_mean,tile_busy_time_ms_std,tile_busy_time_ms_ci95,tile_idle_time_ms_mean,tile_idle_time_ms_std,tile_idle_time_ms_ci95,pd_interference_ms_mean,pd_interference_ms_std,pd_interference_ms_ci95,sram_evictions_mean,sram_evictions_std,sram_evictions_ci95,sram_reload_bytes_mean,sram_reload_bytes_std,sram_reload_bytes_ci95,sram_spill_bytes_mean,sram_spill_bytes_std,sram_spill_bytes_ci95,sram_hit_rate_mean,sram_hit_rate_std,sram_hit_rate_ci95,prefix_block_reuse_count_mean,prefix_block_reuse_count_std,prefix_block_reuse_count_ci95,ttl_pinned_bytes_mean,ttl_pinned_bytes_std,ttl_pinned_bytes_ci95,ttl_eviction_avoided_count_mean,ttl_eviction_avoided_count_std,ttl_eviction_avoided_count_ci95,calibration_loaded_mean,calibration_loaded_std,calibration_loaded_ci95
continuum_like,450,970.2426579831607,1214.9801728515702,112.25844064612505,14.12857886834006,3.0395004531073484,0.2808355138900739,234.7373347778456,409.5134013153188,37.837107866092445,331.9354768671477,446.16602768529236,41.22363776494779,5.24334826636102,5.818071675047972,0.5375623968211574,12563338581.333334,16552320399.83253,1529356378.5482836,12563338581.333334,16552320399.83253,1529356378.5482836,0.0,0.0,0.0,1.0,0.0,0.0,10684290389.333334,12845338899.362818,1186848762.3374953,1879048192.0,4450146291.301817,411172539.6606195,241.15317959087486,268.60844292934377,24.818153926628366,272.08929906640077,279.01866737370847,25.78000959227084,901.812518648889,1677.8629527005173,155.0266275094793,0.048402076649244445,0.06883114088405251,0.0063596729528535645,0.048402076649244445,0.06883114088405251,0.0063596729528535645,2333.3333333333335,4994.42896762932,461.4616932455887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95772.44444444444,126318.1917388279,11671.205462191036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45101791459.55556,83919299939.40184,7753747725.118305,876286040.0412999,1590148910.2374113,146922263.46330222,4235380508.4444447,8426946389.227501,778610122.371719,4.191181049500956,2.542242997869284,0.2348912690604054,0.0,0.0,0.0,902.1380291911238,1678.5845163904428,155.09329659303134,0.0005693603382278648,0.0006112519325705686,5.6476797173780084e-05,0.0014855053188860524,0.0019481228079989347,0.0001799973641543761,2000.4419795169865,3481.8069812283,321.7025520886679,3972113.485119509,4976643.542735932,459818.403824598,0.0,0.0,0.0,5.555555555555555,4.721912882716324,0.43628249162000193,0.0,0.0,0.0,5525296469.333333,9459715835.435581,874033150.8036774,0.0,0.0,0.0,0.0,0.0,0.0,741925774.2222222,1383615570.3454154,127839556.43994734,2.7777777777777777,4.784388536676729,0.4420549475403989,0.0,0.0,0.0
kvflow_like,450,1135.13092676345,1311.4970322178417,121.17614347833631,11.674472090929298,1.6744256956970676,0.15470904116533213,233.76929611966963,410.02817397250357,37.884670433016645,330.8107565099941,446.9559893766527,41.29662650140936,5.274358120250669,5.238764982717707,0.4840371892581161,12563338581.333334,16552320399.83253,1529356378.5482836,6598572259.555555,8460086733.220506,781672133.9355779,0.44723212334417073,0.026581947644600618,0.0024560466570546684,1.8133061374363229,0.08820627937337706,0.008149844416318268,6598572259.555555,8460086733.220506,781672133.9355779,0.0,0.0,0.0,101.88388494279344,99.5804728021921,9.200766272046499,272.0892990664007,279.0186673737084,25.780009592270833,1876.7457278933368,4421.329287153294,408.50998431849104,0.058154833533155585,0.09338059789264831,0.008627927056149724,0.058154833533155585,0.09338059789264831,0.008627927056149724,2333.3333333333335,4994.42896762932,461.4616932455887,0.0,0.0,0.0,0.0,0.0,0.0,3388531598.2222223,7040526028.811125,650511416.5507847,308.4405691733336,463.799443428904,42.85288225705894,46172.444444444445,62749.759667524595,5797.781995621081,47886.22222222222,63159.09586941395,5835.602731095518,1713.7777777777778,1274.9218743501933,117.79677130391512,47886.22222222222,63159.09586941395,5835.602731095518,0.9085448701512518,0.04705010340684757,0.004347207764136,93865575879.11111,221147219310.78723,20432960592.920284,503497316.4979038,975685047.9378642,90148699.12336023,3388536149.3333335,7040523833.533467,650511213.7174776,3.4489313789714027,1.979177274677919,0.18286665048708872,0.0,0.0,0.0,1877.53902869341,4423.52480641029,408.7128399483244,0.00023614861648298878,0.0002746232934400854,2.5373897760266954e-05,0.0010552743294666106,0.000863776379829543,7.980886571921495e-05,1508.0024176986042,2754.314370057181,254.4856641620329,4647988.273605392,5371227.91408164,496276.1396958253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,515433358.2222222,1386806128.6355944,128134348.98590752,0.7348476647283128,0.1781844990074309,0.016463407759929653,16.444444444444443,14.135134566062428,1.3060198019405556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oracle,450,736.1186060910505,1259.9721090782389,116.41548346485817,7.0875421454095235,1.0165395570074698,0.09392346317630185,229.23242125022833,412.4528932979431,38.10870306874231,326.5631826254376,449.81316387004256,41.56061595609242,12.802991648553263,10.960707306081483,1.012717687130204,12563338581.333334,16552320399.83253,1529356378.5482836,6598572259.555555,8460086733.220506,781672133.9355779,0.44723212334417073,0.026581947644600618,0.0024560466570546684,1.8133061374363229,0.08820627937337706,0.008149844416318268,6598572259.555555,8460086733.220506,781672133.9355779,0.0,0.0,0.0,61.8534459499165,60.45505033103096,5.58576167001668,165.1847175125286,169.39151928794007,15.650977883295253,12.495222399999347,27.581130213745958,2.5483664163720476,0.03950642205013333,0.052240450627507436,0.0048267713804176675,0.03950642205013333,0.052240450627507436,0.0048267713804176675,2333.3333333333335,4994.42896762932,461.4616932455887,0.0,0.0,0.0,0.0,0.0,0.0,75963505.77777778,171632975.4731624,15858077.868753543,308.4405691733336,463.799443428904,42.85288225705894,46172.444444444445,62749.759667524595,5797.781995621081,47886.22222222222,63159.09586941395,5835.602731095518,1713.7777777777778,1274.9218743501933,117.79677130391512,47886.22222222222,63159.09586941395,5835.602731095518,0.9085448701512518,0.04705010340684757,0.004347207764136,623518464.0,1379204991.8269413,127432039.7759765,20929026.61139122,42261230.52306013,3904738.484061446,76081351.1111111,171581378.06506768,15853310.511471901,1.7086594405486777,1.0483697817381767,0.0968644258961284,0.1006550399997646,0.27926446974665553,0.025802720572837206,12.578602097777537,27.551681749422787,2.5456455170864376,0.002230733526172617,0.004169519323450694,0.0003852439306856433,0.009113647445262883,0.018935996805981663,0.0017495968420047612,1831.0088212250087,3344.2744181391986,308.99519157741656,3013310.8017277187,5161442.015892237,476892.91161810583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,932067.5555555555,2639219.253026275,243851.41789812187,0.9004459784206466,0.03979724099858504,0.003677077467061663,16.444444444444443,14.135134566062428,1.3060198019405556,370962887.1111111,691807785.1727077,63919778.21997367,0.0,0.0,0.0,0.0,0.0,0.0
wafer_naive,450,1286.657634731832,1416.6733487996794,130.89393933723443,14.477698313363502,3.352533618937547,0.3097583027979312,235.89888234057284,408.9027276931722,37.78068450207573,333.1422505294491,445.3413278846521,41.14743939094161,4.94771796612279,5.974958286596411,0.5520579801765194,12563338581.333334,16552320399.83253,1529356378.5482836,12563338581.333334,16552320399.83253,1529356378.5482836,0.0,0.0,0.0,1.0,0.0,0.0,10684290389.333334,12845338899.362818,1186848762.3374953,1879048192.0,4450146291.301817,411172539.6606195,284.115441824664,310.6487987539917,28.702484629743278,272.08929906640077,279.0186673737083,25.780009592270822,2873.463274737779,5363.37454861536,495.55052574691655,0.06812189793848888,0.10443515722527681,0.00964931622812146,0.06812189793848888,0.10443515722527681,0.00964931622812146,2333.3333333333335,4994.42896762932,461.4616932455887,14.838515484444448,27.67231140690832,2.556791128798948,741925774.2222222,1383615570.3454154,127839556.43994734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95772.44444444444,126318.1917388279,11671.205462191036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143700897905.77777,268244833198.01938,24784558101.48298,3703889239.096125,5714671172.942917,528008677.84885776,6148856547.555555,9055498098.035763,836685337.3200148,1.853627047607481,0.35221356758613676,0.03254287333663232,0.0,0.0,0.0,2874.260358115583,5365.4538581588195,495.742644147023,0.00038600770284511084,0.00029037166114463203,2.682897269954349e-05,0.0009587670564095481,0.000896630094117671,8.284439404949423e-05,2141.677102215285,3681.150044690688,340.1209114643505,5268007.994759369,5801618.669239708,536042.2166427085,0.0,0.0,0.0,6.888888888888889,5.048637480626768,0.4664703043116906,741925774.2222222,1383615570.3454154,127839556.43994734,5525296469.333333,9459715835.435581,874033150.8036774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
waferagent_full,450,772.9985577846612,1265.809185718958,116.95480183091935,11.67447209092929,1.6744256956970667,0.15470904116533205,233.76929611966963,410.02817397250357,37.884670433016645,330.8107565099941,446.9559893766527,41.29662650140936,7.965594415572825,6.497985207135506,0.6003832021246774,12563338581.333334,16552320399.83253,1529356378.5482836,6598572259.555555,8460086733.220506,781672133.9355779,0.44723212334417073,0.026581947644600618,0.0024560466570546684,1.8133061374363229,0.08820627937337706,0.008149844416318268,6598572259.555555,8460086733.220506,781672133.9355779,0.0,0.0,0.0,101.88388494279349,99.58047280219218,9.200766272046506,272.08929906640077,279.01866737370864,25.780009592270854,12.4952223999996,27.581130213746153,2.5483664163720654,0.03950642205013333,0.052240450627507436,0.0048267713804176675,0.03950642205013333,0.052240450627507436,0.0048267713804176675,2333.3333333333335,4994.42896762932,461.4616932455887,0.0,0.0,0.0,0.0,0.0,0.0,75963505.77777778,171632975.4731624,15858077.868753543,308.4405691733336,463.799443428904,42.85288225705894,46172.444444444445,62749.759667524595,5797.781995621081,47886.22222222222,63159.09586941395,5835.602731095518,1713.7777777777778,1274.9218743501933,117.79677130391512,47886.22222222222,63159.09586941395,5835.602731095518,0.9085448701512518,0.04705010340684757,0.004347207764136,623518464.0,1379204991.8269413,127432039.7759765,20929026.61139122,42261230.52306013,3904738.484061446,76081351.1111111,171581378.06506768,15853310.511471901,1.7086594405486777,1.0483697817381767,0.0968644258961284,0.10065503999984078,0.27926446974662894,0.02580272057283475,12.578602097777612,27.55168174942283,2.5456455170864416,0.0011508825636741557,0.0020862254372686156,0.00019275739609346377,0.004664864159724373,0.009457420335254029,0.0008738210574077175,1508.0024176986042,2754.314370057181,254.4856641620329,3164694.090268274,5185235.577715201,479091.3245694828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,932067.5555555555,2639219.253026275,243851.41789812187,0.9004459784206466,0.03979724099858504,0.003677077467061663,16.444444444444443,14.135134566062428,1.3060198019405556,370962887.1111111,691807785.1727077,63919778.21997367,0.0,0.0,0.0,0.0,0.0,0.0
