policy,total_cycles,pure_comp_cycles,pure_comm_cycles,total_hop_bytes,communication_distances,kv_distance,kv_hop_bytes,kv_comm_bytes,kv_comm_events,total_comm_events,max_link_load,avg_link_load,resident_bytes,unique_state_bytes,extra_replica_bytes,capacity_violations,max_region_used_bytes,avg_region_used_bytes,sram_capacity_bytes,num_krds,num_agents,num_states,krd_mode,num_workflows,agents_per_workflow,repo_blocks,issue_blocks,private_blocks,block_elems,region_size,gain_threshold,pressure_penalty_scale
central,6229.0,0.0,4917.0,12386304,6216.0,6216.0,12386304,2293760,70,70,5376.0,1668.4137931034484,1572864,1572864,0,0,1179648,786432.0,16777216,2,6,12,workflow,2,3,8,2,4,16384,8,0.0,1.0
full_replication,1934.0,128.0,1102.0,1835008,7224.0,7224.0,1835008,1835008,56,56,1792.0,1792.0,2359296,1572864,786432,0,1179648,1179648.0,16777216,2,6,12,workflow,2,3,8,2,4,16384,8,0.0,1.0
krd_selective,1934.0,128.0,1068.0,1835008,7224.0,7224.0,1835008,1835008,56,56,1792.0,1792.0,2031616,1572864,458752,0,1179648,1015808.0,16777216,2,6,12,workflow,2,3,8,2,4,16384,8,0.0,1.0
