reuse_group_size,shared_prefix_tokens,private_suffix_tokens,decode_tokens,num_agents_per_job,arrival_rate_jobs_per_s,cross_job_prefix_hit_rate_observed,shared_kv_read_reduction_ratio,waferagent_vs_apc_jct_p99_delta_pct,apc_like_jct_p99_ms,waferagent_jct_p99_ms,regime_label
8,8192,2048,32,2,2.0,0.43,0.36550000000250293,-0.9604530073703853,737.8413774148112,29.17940751444823,waferagent_latency_beneficial
8,8192,2048,32,2,16.0,0.43,0.36550000000250293,-0.9604530073703852,737.841377414811,29.179407514448375,waferagent_latency_beneficial
8,8192,2048,32,16,2.0,0.05375,0.0,0.0,10809.54528653483,10809.54528653483,low_reuse_apc_better
8,8192,2048,32,16,16.0,0.05375,0.0,0.0,10809.54528653481,10809.54528653481,low_reuse_apc_better
8,8192,2048,512,2,2.0,0.43,0.3655000000001565,-0.996055523795022,11060.210216320696,43.62673602033101,waferagent_latency_beneficial
8,8192,2048,512,2,16.0,0.43,0.3655000000001565,-0.996055523795022,11060.210216320695,43.6267360203305,waferagent_latency_beneficial
8,8192,2048,512,16,2.0,0.05375,0.0,0.0,165442.81527104072,165442.81527104072,low_reuse_apc_better
8,8192,2048,512,16,16.0,0.05375,0.0,0.0,165442.81527104072,165442.81527104072,low_reuse_apc_better
8,8192,2048,1024,2,2.0,0.43,0.3655000000001565,-0.9978267027560933,22059.641917040237,47.94215897987385,waferagent_latency_beneficial
8,8192,2048,1024,2,16.0,0.43,0.3655000000001565,-0.9978267027560933,22059.641917040237,47.94215897987385,waferagent_latency_beneficial
8,8192,2048,1024,16,2.0,0.05375,0.0,0.0,330373.8748604002,330373.8748604002,low_reuse_apc_better
8,8192,2048,1024,16,16.0,0.05375,0.0,0.0,330373.8748604002,330373.8748604002,low_reuse_apc_better
8,32768,128,32,2,2.0,0.43,0.36550000000250293,-0.9754057213112883,2937.64281170538,72.24920599897268,waferagent_latency_beneficial
8,32768,128,32,2,16.0,0.43,0.36550000000250293,-0.9754057213112883,2937.64281170538,72.24920599897257,waferagent_latency_beneficial
8,32768,128,32,16,2.0,0.05375,0.0,0.0,43675.41321426539,43675.41321426539,low_reuse_apc_better
8,32768,128,32,16,16.0,0.05375,0.0,0.0,43675.41321426538,43675.41321426538,low_reuse_apc_better
8,32768,128,512,2,2.0,0.43,0.3655000000001565,-0.9980390271821081,44183.722726566484,86.64307926006768,waferagent_latency_beneficial
8,32768,128,512,2,16.0,0.43,0.3655000000001565,-0.9980390271821081,44183.72272656648,86.64307926006722,waferagent_latency_beneficial
8,32768,128,512,16,2.0,0.05375,0.0,0.0,662165.0977115267,662165.0977115267,low_reuse_apc_better
8,32768,128,512,16,16.0,0.05375,0.0,0.0,662165.0977115267,662165.0977115267,low_reuse_apc_better
8,32768,128,1024,2,2.0,0.43,0.36550000000005867,-0.9989684246532052,88168.4972064285,90.95244808209374,waferagent_latency_beneficial
8,32768,128,1024,2,16.0,0.43,0.36550000000005867,-0.9989684246532052,88168.4972064285,90.95244808209281,waferagent_latency_beneficial
8,32768,128,1024,16,2.0,0.05375,0.0,0.0,1321876.3837459486,1321876.3837459486,low_reuse_apc_better
8,32768,128,1024,16,16.0,0.05375,0.0,0.0,1321876.3837459486,1321876.3837459486,low_reuse_apc_better
8,32768,2048,32,2,2.0,0.43,0.36550000000250293,-0.9744747830667818,2937.6957110235926,74.98532030766182,waferagent_latency_beneficial
8,32768,2048,32,2,16.0,0.43,0.36550000000250293,-0.974474783066782,2937.695711023593,74.98532030766145,waferagent_latency_beneficial
8,32768,2048,32,16,2.0,0.05375,0.0,0.0,43675.46611358361,43675.46611358361,low_reuse_apc_better
8,32768,2048,32,16,16.0,0.05375,0.0,0.0,43675.46611358359,43675.46611358359,low_reuse_apc_better
8,32768,2048,512,2,2.0,0.43,0.3655000000001565,-0.9979770835624227,44183.77652011272,89.38008779677875,waferagent_latency_beneficial
8,32768,2048,512,2,16.0,0.43,0.3655000000001565,-0.9979770835624227,44183.77652011272,89.38008779677797,waferagent_latency_beneficial
8,32768,2048,512,16,2.0,0.05375,0.0,0.0,662165.151505073,662165.151505073,low_reuse_apc_better
8,32768,2048,512,16,16.0,0.05375,0.0,0.0,662165.1515050728,662165.1515050728,low_reuse_apc_better
8,32768,2048,1024,2,2.0,0.43,0.36550000000005867,-0.998937381223515,88168.5511012516,93.68955789566519,waferagent_latency_beneficial
8,32768,2048,1024,2,16.0,0.43,0.36550000000005867,-0.998937381223515,88168.5511012516,93.68955789566485,waferagent_latency_beneficial
8,32768,2048,1024,16,2.0,0.05375,0.0,0.0,1321876.4376407717,1321876.4376407717,low_reuse_apc_better
8,32768,2048,1024,16,16.0,0.05375,0.0,0.0,1321876.4376407717,1321876.4376407717,low_reuse_apc_better
64,512,128,32,2,2.0,0.49,0.0,-0.8545035121830048,49.17049247446721,7.154133959266974,waferagent_latency_beneficial
64,512,128,32,2,16.0,0.49,0.0,-0.8545035121830076,49.170492474466826,7.15413395926678,waferagent_latency_beneficial
64,512,128,32,16,2.0,0.06125,0.0,-0.9893318113539272,670.6043731145146,7.154133959266974,waferagent_latency_beneficial
64,512,128,32,16,16.0,0.06125,0.0,-0.9893318113539268,670.6043731144691,7.15413395926678,waferagent_latency_beneficial
64,512,128,512,2,2.0,0.49,0.0,-0.9694736172703147,707.8701686049626,21.608715689762022,waferagent_latency_beneficial
64,512,128,512,2,16.0,0.49,0.0,-0.9694736172703151,707.8701686049618,21.608715689761702,waferagent_latency_beneficial
64,512,128,512,16,2.0,0.06125,0.0,-0.9979119462508781,10348.735370845,21.608715689762022,waferagent_latency_beneficial
64,512,128,512,16,16.0,0.06125,0.0,-0.9979119462508783,10348.735370844963,21.608715689761702,waferagent_latency_beneficial
64,512,128,1024,2,2.0,0.49,0.0,-0.9814739825823909,1399.3811803971114,25.92496012191115,waferagent_latency_beneficial
64,512,128,1024,2,16.0,0.49,0.0,-0.9814739825823909,1399.3811803971114,25.924960121911155,waferagent_latency_beneficial
64,512,128,1024,16,2.0,0.06125,0.0,-0.9987452207616643,20660.97312567712,25.92496012191115,waferagent_latency_beneficial
64,512,128,1024,16,16.0,0.06125,0.0,-0.9987452207616643,20660.97312567712,25.924960121911155,waferagent_latency_beneficial
64,512,2048,32,2,2.0,0.49,0.0,-0.7349526577002923,56.78679007950632,15.051187788304563,waferagent_latency_beneficial
64,512,2048,32,2,16.0,0.49,0.0,-0.7349526577002837,56.78679007950461,15.051187788304585,waferagent_latency_beneficial
64,512,2048,32,16,2.0,0.06125,0.0,-0.9778078309345304,678.2206707195546,15.051187788304563,waferagent_latency_beneficial
64,512,2048,32,16,16.0,0.06125,0.0,-0.9778078309345288,678.2206707195071,15.051187788304585,waferagent_latency_beneficial
64,512,2048,512,2,2.0,0.49,0.0,-0.9587563375861662,715.4901300765055,29.50943338530547,waferagent_latency_beneficial
64,512,2048,512,2,16.0,0.49,0.0,-0.9587563375861665,715.4901300765055,29.509433385305247,waferagent_latency_beneficial
64,512,2048,512,16,2.0,0.06125,0.0,-0.9971505966685769,10356.35533231655,29.50943338530547,waferagent_latency_beneficial
64,512,2048,512,16,16.0,0.06125,0.0,-0.9971505966685769,10356.355332316505,29.509433385305247,waferagent_latency_beneficial
64,512,2048,1024,2,2.0,0.49,0.0,-0.9759587382053958,1407.001556824227,33.8260927730268,waferagent_latency_beneficial
64,512,2048,1024,2,16.0,0.49,0.0,-0.975958738205396,1407.0015568242268,33.82609277302661,waferagent_latency_beneficial
64,512,2048,1024,16,2.0,0.06125,0.0,-0.9983634061616441,20668.593502104235,33.8260927730268,waferagent_latency_beneficial
64,512,2048,1024,16,16.0,0.06125,0.0,-0.9983634061616441,20668.59350210423,33.82609277302661,waferagent_latency_beneficial
64,8192,128,32,2,2.0,0.49,0.0,0.0,737.2367782067515,737.2367782067515,low_reuse_apc_better
64,8192,128,32,2,16.0,0.49,0.0,0.0,737.2367782067518,737.2367782067518,low_reuse_apc_better
64,8192,128,32,16,2.0,0.06125,0.0,0.0,10808.940687326776,10808.940687326776,low_reuse_apc_better
64,8192,128,32,16,16.0,0.06125,0.0,0.0,10808.94068732675,10808.94068732675,low_reuse_apc_better
64,8192,128,512,2,2.0,0.49,0.0,0.0,11059.604474478947,11059.604474478947,low_reuse_apc_better
64,8192,128,512,2,16.0,0.49,0.0,0.0,11059.604474478945,11059.604474478945,low_reuse_apc_better
64,8192,128,512,16,2.0,0.06125,0.0,0.0,165442.209529199,165442.209529199,low_reuse_apc_better
64,8192,128,512,16,16.0,0.06125,0.0,0.0,165442.209529199,165442.209529199,low_reuse_apc_better
64,8192,128,1024,2,2.0,0.49,0.0,0.0,22059.036045788147,22059.036045788147,low_reuse_apc_better
64,8192,128,1024,2,16.0,0.49,0.0,0.0,22059.036045788147,22059.036045788147,low_reuse_apc_better
64,8192,128,1024,16,2.0,0.06125,0.0,0.0,330373.26898914814,330373.26898914814,low_reuse_apc_better
64,8192,128,1024,16,16.0,0.06125,0.0,0.0,330373.26898914814,330373.26898914814,low_reuse_apc_better
64,8192,2048,32,2,2.0,0.49,0.0,0.0,737.8413774148112,737.8413774148112,low_reuse_apc_better
64,8192,2048,32,2,16.0,0.49,0.0,0.0,737.841377414811,737.841377414811,low_reuse_apc_better
64,8192,2048,32,16,2.0,0.06125,0.0,0.0,10809.54528653483,10809.54528653483,low_reuse_apc_better
64,8192,2048,32,16,16.0,0.06125,0.0,0.0,10809.54528653481,10809.54528653481,low_reuse_apc_better
64,8192,2048,512,2,2.0,0.49,0.0,0.0,11060.210216320696,11060.210216320696,low_reuse_apc_better
64,8192,2048,512,2,16.0,0.49,0.0,0.0,11060.210216320695,11060.210216320695,low_reuse_apc_better
64,8192,2048,512,16,2.0,0.06125,0.0,0.0,165442.81527104072,165442.81527104072,low_reuse_apc_better
64,8192,2048,512,16,16.0,0.06125,0.0,0.0,165442.81527104072,165442.81527104072,low_reuse_apc_better
64,8192,2048,1024,2,2.0,0.49,0.0,0.0,22059.641917040237,22059.641917040237,low_reuse_apc_better
64,8192,2048,1024,2,16.0,0.49,0.0,0.0,22059.641917040237,22059.641917040237,low_reuse_apc_better
64,8192,2048,1024,16,2.0,0.06125,0.0,0.0,330373.8748604002,330373.8748604002,low_reuse_apc_better
64,8192,2048,1024,16,16.0,0.06125,0.0,0.0,330373.8748604002,330373.8748604002,low_reuse_apc_better
64,32768,128,32,2,2.0,0.49,0.0,0.0,2937.64281170538,2937.64281170538,low_reuse_apc_better
64,32768,128,32,2,16.0,0.49,0.0,0.0,2937.64281170538,2937.64281170538,low_reuse_apc_better
