scope_id,chosen_policy,predicted_apc_jct_ms,predicted_pat_jct_ms,predicted_waferagent_jct_ms,opportunity_score,reason,baseline,arrival_rate_jobs_per_s,effective_run_policy,reuse_group_size,shared_prefix_tokens,private_suffix_tokens,decode_tokens,num_agents_per_job
sha256:d031fc78c5ba9a06ba4f10afc23c5774d4e6f9e934cbae814c2ab02201a0e4ee,waferagent_latency_safe,49.392123904,30.064771072,0.14000000000000057,49.252123904,positive_latency_safe_opportunity,waferagent_adaptive,2.0,waferagent_latency_safe,1,512,128,32,2
sha256:e123c56cdc2da0167227ed92ba5dabd0e246ca2b9b9e6a8ba157628235d27724,waferagent_latency_safe,49.392123904,30.064771072,0.14000000000000057,49.252123904,positive_latency_safe_opportunity,waferagent_adaptive,2.0,waferagent_latency_safe,1,512,128,32,2
sha256:1675eb98330882d2166ceacefbadb8ec37862d76e834b00566ee16a8ee9ab749,waferagent_latency_safe,49.392123904,30.064771072,0.14000000000000057,49.252123904,positive_latency_safe_opportunity,waferagent_adaptive,2.0,waferagent_latency_safe,1,512,128,32,2
sha256:c210751e4f29ee38a7d42559d8e4db6a12b176101ad2c7f4362e22e9c5f0e6aa,waferagent_latency_safe,49.392123904,30.064771072,0.14000000000000057,49.252123904,positive_latency_safe_opportunity,waferagent_adaptive,2.0,waferagent_latency_safe,1,512,128,32,2
sha256:9089e3543bb647c2f93d87b915467e9a4aa89210894f5e5b55004cd72357c219,waferagent_latency_safe,49.392123904,30.064771072,0.14000000000000057,49.252123904,positive_latency_safe_opportunity,waferagent_adaptive,2.0,waferagent_latency_safe,1,512,128,32,2
sha256:62b044aececc38fa73832bb93f34a4950211b2086af439d3957413386c0887a3,waferagent_latency_safe,49.392123904,30.064771072,0.14000000000000057,49.252123904,positive_latency_safe_opportunity,waferagent_adaptive,2.0,waferagent_latency_safe,1,512,128,32,2
sha256:8192b159ddbef06efc12457c7c69f8bc8a190f086c942b802e090322e9fe112b,waferagent_latency_safe,49.392123904,30.064771072,0.14000000000000057,49.252123904,positive_latency_safe_opportunity,waferagent_adaptive,2.0,waferagent_latency_safe,1,512,128,32,2
sha256:272664b84b848d6643f6673004eb7968606297436454327f3464c71f76b648bb,waferagent_latency_safe,49.392123904,30.064771072,0.14000000000000057,49.252123904,positive_latency_safe_opportunity,waferagent_adaptive,2.0,waferagent_latency_safe,1,512,128,32,2
sha256:c0a6a458dcc96889ef9eb40130508d95888ed593483d9744c12d38275cc6d6aa,waferagent_latency_safe,49.392123904,30.064771072,0.14000000000000057,49.252123904,positive_latency_safe_opportunity,waferagent_adaptive,2.0,waferagent_latency_safe,1,512,128,32,2
sha256:43a5d3f28bb1b4f9c822dd413c37e409e87b993eed6a0ce729735c30911268ea,waferagent_latency_safe,49.392123904,30.064771072,0.14000000000000057,49.252123904,positive_latency_safe_opportunity,waferagent_adaptive,2.0,waferagent_latency_safe,1,512,128,32,2
sha256:474b8f70996fd47556fed24f35d635c315011f3b0ae6b0cbe3afc7722e0eb24e,waferagent_latency_safe,49.392123904,30.064771072,0.14000000000000057,49.252123904,positive_latency_safe_opportunity,waferagent_adaptive,2.0,waferagent_latency_safe,1,512,128,32,2
