baseline,arrival_rate_jobs_per_s,completed_jobs,jobs_per_s,tokens_per_s,jct_p50_ms,jct_p90_ms,jct_p99_ms,ttft_p50_ms,ttft_p90_ms,ttft_p99_ms,tpot_p50_ms,tpot_p90_ms,tpot_p99_ms,queue_wait_ms,mesh_wait_ms,cross_job_prefix_hit_rate,cross_job_prefix_compute_hits,sram_hit_rate,sram_evictions,sram_reload_bytes,mesh_total_traffic_bytes,mesh_hotspot_ratio,computed_prefill_tokens,avoided_prefill_tokens,compute_energy_j,mesh_energy_j,sram_energy_j,offwafer_energy_j,energy_per_job_j,decode_shared_kv_read_bytes,decode_shared_kv_read_bytes_without_cohort,decode_kv_read_reduction_ratio,shared_attention_cost_model_source,shared_attention_fit_hash,cohort_latency_predicted_ms,cohort_latency_observed_or_fitted_ms,shared_attention_accounting_mode,shared_attention_prediction_stat,cross_region_kv_transfer_bytes,num_decode_cohorts,avg_cohort_size,candidate_cohorts,accepted_cohorts,rejected_wait_cost,rejected_slo_risk,rejected_low_saving,rejected_critical_path,rejected_queue_pressure,rejected_remote_shared_kv,accepted_avg_size,accepted_avg_wait_ms,replica_bytes_total,saved_mesh_traffic_bytes,replication_transfer_bytes,replication_actual_transfer_bytes,shared_prefill_compute_ms_saved,sram_read_bytes,sram_write_bytes,offwafer_reload_bytes,shared_kv_extraction_overhead_ms,placement_planning_overhead_ms,replication_planning_overhead_ms,decode_cohort_planning_overhead_ms,scheduling_loop_overhead_ms,total_runtime_overhead_ms,overhead_per_job_ms,overhead_fraction_of_jct,adaptive_policy_mix_apc,adaptive_policy_mix_pat,adaptive_policy_mix_waferagent,adaptive_wrong_choice_count,adaptive_non_worse_fraction,adaptive_effective_run_policy,reuse_group_size,shared_prefix_tokens,private_suffix_tokens,decode_tokens,num_agents_per_job,cross_job_prefix_hit_rate_observed
apc_like,2.0,50,1.783150833624697,2396.5547203915926,49.1704924744663,49.17049247446721,49.17049247446721,2.4458989998274774,2.4458989998274774,2.4458989998274774,0.18081099982708793,0.18081099982708793,0.18081099982708793,42.94987296000051,0.0,0.0,0.0,0.5,42.0,0.0,107374182400.0,1.0,38400.0,25600.0,0.0163577856,0.02147483648,0.00033554432,0.0,0.0007633633280000001,214748364800.0,214748364800.0,0.0,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,4294.967296,0.0,cohort_stage,latency_p50_ms,214748364800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.52102400000003,3355443200.0,3355443200.0,0.0,8.771313354372978,24.123191833496094,0.061178579926490784,0.14351587742567062,13.282070867717266,115.67475739866495,2.313495147973299,0.04705047746216212,0.0,0.0,0.0,0.0,0.0,,1,512,128,32,2,0.0
pat_like_traffic_only,2.0,50,1.7831381152078305,2396.5376268393243,49.37049247446703,49.37049247446703,49.37049247446703,2.645898999828205,2.645898999828205,2.645898999828205,0.18081099982708793,0.18081099982708793,0.18081099982708793,42.94987296000051,0.0,0.0,0.0,0.5,42.0,0.0,107374182400.0,1.0,38400.0,25600.0,0.0163577856,0.02147483648,0.00033554432,0.0,0.0007633633280000001,214748364800.0,214748364800.0,0.0,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,4294.967296,0.0,cohort_stage,latency_p50_ms,214748364800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.52102400000003,3355443200.0,3355443200.0,0.0,8.794342167675495,24.382110685110092,0.04999898374080658,0.19259098917245865,13.478914275765419,112.22599446773529,2.244519889354706,0.04546278104305944,0.0,0.0,0.0,0.0,0.0,,1,512,128,32,2,0.0
waferagent_adaptive,2.0,50,1.785769564186319,2400.074294266413,8.051039994466919,8.051039994466919,8.051039994466919,0.6154785198268655,0.615478519827775,0.615478519827775,0.18081099982708793,0.18081099982708793,0.18081099982708793,0.0,0.0,0.0,0.0,0.604,91.0,0.0,0.0,1.0,38400.0,25600.0,0.0163577856,0.0,0.01107296256,0.0,0.0005486149632,214748364800.0,214748364800.0,0.0,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,4294.967296,0.0,cohort_stage,latency_p50_ms,214748364800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.52102400000003,218170916864.0,3288334336.0,0.0,8.979693055152893,25.43181087821722,0.05132891237735748,0.15493668615818024,13.085967861115932,112.34063934534788,2.2468127869069576,0.2790711247803047,0.0,0.0,1.0,0.0,1.0,waferagent_latency_safe,1,512,128,32,2,0.0
waferagent_latency_safe,2.0,50,1.785769564186319,2400.074294266413,8.051039994466919,8.051039994466919,8.051039994466919,0.6154785198268655,0.615478519827775,0.615478519827775,0.18081099982708793,0.18081099982708793,0.18081099982708793,0.0,0.0,0.0,0.0,0.604,91.0,0.0,0.0,1.0,38400.0,25600.0,0.0163577856,0.0,0.01107296256,0.0,0.0005486149632,214748364800.0,214748364800.0,0.0,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,4294.967296,0.0,cohort_stage,latency_p50_ms,214748364800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.52102400000003,218170916864.0,3288334336.0,0.0,8.6778923869133,25.132891722023487,0.04926417022943497,0.15403516590595245,13.032360002398491,111.49529740214348,2.2299059480428696,0.2769711676473494,0.0,0.0,0.0,0.0,0.0,,1,512,128,32,2,0.0
apc_like,16.0,50,14.092224936944657,18939.950315253616,49.170492474466755,49.170492474466755,49.170492474466826,2.4458989998270795,2.44589899982725,2.44589899982725,0.18081099982708793,0.18081099982708793,0.18081099982708793,42.94987295999999,0.0,0.0,0.0,0.5,42.0,0.0,107374182400.0,1.0,38400.0,25600.0,0.0163577856,0.02147483648,0.00033554432,0.0,0.0007633633280000001,214748364800.0,214748364800.0,0.0,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,4294.967296,0.0,cohort_stage,latency_p50_ms,214748364800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.52102400000003,3355443200.0,3355443200.0,0.0,8.559784851968288,24.14015121757984,0.0469377264380455,0.1343982294201851,13.087387196719646,108.39667078107595,2.167933415621519,0.0440901302086263,0.0,0.0,0.0,0.0,0.0,,1,512,128,32,2,0.0
pat_like_traffic_only,16.0,50,14.09143061850482,18938.882751270477,49.3704924744668,49.3704924744668,49.3704924744668,2.645898999827068,2.6458989998272955,2.6458989998272955,0.18081099982708793,0.18081099982708793,0.18081099982708793,42.94987295999999,0.0,0.0,0.0,0.5,42.0,0.0,107374182400.0,1.0,38400.0,25600.0,0.0163577856,0.02147483648,0.00033554432,0.0,0.0007633633280000001,214748364800.0,214748364800.0,0.0,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,4294.967296,0.0,cohort_stage,latency_p50_ms,214748364800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.52102400000003,3355443200.0,3355443200.0,0.0,8.717028424143791,24.136616848409176,0.04618242383003235,0.18810853362083435,13.445650227367878,112.23642528057098,2.2447285056114197,0.04546700656819133,0.0,0.0,0.0,0.0,0.0,,1,512,128,32,2,0.0
waferagent_adaptive,16.0,50,14.257458782433476,19162.02460359059,8.051039994466919,8.051039994466919,8.051039994466919,0.6154785198270929,0.6154785198270929,0.6154785198270929,0.18081099982708793,0.18081099982708793,0.18081099982708793,0.0,0.0,0.0,0.0,0.588,95.0,268435456.0,0.0,1.0,38400.0,25600.0,0.0163577856,0.0,0.010643465830400002,0.0002147483648,0.000544319995904,214748364800.0,214748364800.0,0.0,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,4294.967296,0.0,cohort_stage,latency_p50_ms,214748364800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.52102400000003,209580982272.0,3288334336.0,268435456.0,8.782328106462955,25.151618756353855,0.04912540316581726,0.15312805771827698,13.241243548691273,111.97625938802958,2.2395251877605915,0.2781659499020895,0.0,0.0,1.0,0.0,1.0,waferagent_latency_safe,1,512,128,32,2,0.0
waferagent_latency_safe,16.0,50,14.257458782433476,19162.02460359059,8.051039994466919,8.051039994466919,8.051039994466919,0.6154785198270929,0.6154785198270929,0.6154785198270929,0.18081099982708793,0.18081099982708793,0.18081099982708793,0.0,0.0,0.0,0.0,0.588,95.0,268435456.0,0.0,1.0,38400.0,25600.0,0.0163577856,0.0,0.010643465830400002,0.0002147483648,0.000544319995904,214748364800.0,214748364800.0,0.0,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,4294.967296,0.0,cohort_stage,latency_p50_ms,214748364800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.52102400000003,209580982272.0,3288334336.0,268435456.0,8.879070170223713,25.163124315440655,0.05003158003091812,0.15124492347240448,13.228166848421097,111.74634471535683,2.2349268943071365,0.2775948071110196,0.0,0.0,0.0,0.0,0.0,,1,512,128,32,2,0.0
apc_like,2.0,50,1.744489105233707,18756.74685947282,670.6043731144628,670.6043731145146,670.6043731145146,2.4458989998274774,2.4458989998274774,2.4458989998274774,0.18081099982708793,0.18081099982708793,0.18081099982708793,5277.483464960088,0.0,0.0,0.0,0.4375,42.0,0.0,13193602662400.0,7.080366225839268,128000.0,384000.0,0.0603979776,2.63872053248,0.00268435456,0.0,0.0540360572928,1717986918400.0,1717986918400.0,0.0,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,34359.738368,0.0,cohort_stage,latency_p50_ms,1717986918400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1372.815359999996,50331648000.0,3355443200.0,0.0,52.40004602819681,160.8747225254774,0.06130337715148926,1.0895822197198868,123.5577380284667,416.44703689962626,8.328940737992525,0.012420051332666602,0.0,0.0,0.0,0.0,0.0,,1,512,128,32,16,0.0
pat_like_traffic_only,2.0,50,1.7444769323496958,18756.61597662393,670.8043731144626,670.8043731145153,670.8043731145153,2.645898999828205,2.645898999828205,2.645898999828205,0.18081099982708793,0.18081099982708793,0.18081099982708793,5277.483464960088,0.0,0.0,0.0,0.4375,42.0,0.0,13193602662400.0,7.080366225839268,128000.0,384000.0,0.0603979776,2.63872053248,0.00268435456,0.0,0.0540360572928,1717986918400.0,1717986918400.0,0.0,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,34359.738368,0.0,cohort_stage,latency_p50_ms,1717986918400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1372.815359999996,50331648000.0,3355443200.0,0.0,52.56741400808096,157.03260153532028,0.056181102991104126,1.6005048528313637,125.27009285986423,415.5745394527912,8.311490789055824,0.012390334831101942,0.0,0.0,0.0,0.0,0.0,,1,512,128,32,16,0.0
