baseline,arrival_rate_jobs_per_s,completed_jobs,jobs_per_s,tokens_per_s,jct_p50_ms,jct_p90_ms,jct_p99_ms,ttft_p50_ms,ttft_p90_ms,ttft_p99_ms,tpot_p50_ms,tpot_p90_ms,tpot_p99_ms,queue_wait_ms,mesh_wait_ms,cross_job_prefix_hit_rate,cross_job_prefix_compute_hits,sram_hit_rate,sram_evictions,sram_reload_bytes,mesh_total_traffic_bytes,mesh_hotspot_ratio,computed_prefill_tokens,avoided_prefill_tokens,compute_energy_j,mesh_energy_j,sram_energy_j,offwafer_energy_j,energy_per_job_j,decode_shared_kv_read_bytes,decode_shared_kv_read_bytes_without_cohort,decode_kv_read_reduction_ratio,shared_attention_cost_model_source,shared_attention_fit_hash,cohort_latency_predicted_ms,cohort_latency_observed_or_fitted_ms,shared_attention_accounting_mode,shared_attention_prediction_stat,cross_region_kv_transfer_bytes,num_decode_cohorts,avg_cohort_size,candidate_cohorts,accepted_cohorts,rejected_wait_cost,rejected_slo_risk,rejected_low_saving,rejected_critical_path,rejected_queue_pressure,rejected_remote_shared_kv,accepted_avg_size,accepted_avg_wait_ms,replica_bytes_total,saved_mesh_traffic_bytes,replication_transfer_bytes,replication_actual_transfer_bytes,shared_prefill_compute_ms_saved,sram_read_bytes,sram_write_bytes,offwafer_reload_bytes,shared_kv_extraction_overhead_ms,placement_planning_overhead_ms,replication_planning_overhead_ms,decode_cohort_planning_overhead_ms,scheduling_loop_overhead_ms,total_runtime_overhead_ms,overhead_per_job_ms,overhead_fraction_of_jct,staging_events,accepted_staging_events
waferagent_latency_safe_no_staging,8.0,100,7.891178307735697,345696.73930528545,78.74517553655835,105.63799028011654,118.86335696558612,5.376444475974267,7.307301812755974,17.178153274062424,0.10876372909762469,0.11174486542736706,0.11182410949580678,6.97994991360069,0.0,0.9107142857142857,765.0,0.9773071104387292,28.0,4999610368.0,34896801280.0,3.9999867953513473,2163200.0,2112000.0,0.8921284608,0.006979360256,1.4252063798019001,0.00402653184,0.023283407326979005,28327027303942.0,35540854374400.0,0.2029728096703861,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,24.86585608124733,0.0,cohort_stage,latency_p50_ms,28327027303942.0,194.0,2.0,246.0,194.0,0.0,0.0,0.0,0.0,52.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,13193.271705599906,28496846284294.0,7281311744.0,5033164800.0,81.11283462494612,244.45160385221243,0.04224758595228195,13.53896502405405,124.46854636073112,602.8474513441324,6.028474513441324,0.07125806619489579,582,0
waferagent_latency_safe_persistent_replication,8.0,100,7.891178307735697,345696.73930528545,78.74517553655835,105.63799028011654,118.86335696558612,5.376444475974267,7.307301812755974,17.178153274062424,0.10876372909762469,0.11174486542736706,0.11182410949580678,6.97994991360069,0.0,0.9107142857142857,765.0,0.9773071104387292,28.0,4999610368.0,34896801280.0,3.9999867953513473,2163200.0,2112000.0,0.8921284608,0.006979360256,1.4252063798019001,0.00402653184,0.023283407326979005,28327027303942.0,35540854374400.0,0.2029728096703861,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,24.86585608124733,0.0,cohort_stage,latency_p50_ms,28327027303942.0,194.0,2.0,246.0,194.0,0.0,0.0,0.0,0.0,52.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,13193.271705599906,28496846284294.0,7281311744.0,5033164800.0,80.5296078324318,244.43845264613628,0.03823824226856232,13.560050167143345,125.12823659926653,601.7651483416557,6.017651483416557,0.07113013529161094,582,0
waferagent_latency_safe_transient_staging,8.0,100,7.891178307735697,345696.73930528545,78.74517553655835,105.63799028011654,118.86335696558612,5.376444475974267,7.307301812755974,17.178153274062424,0.10876372909762469,0.11174486542736706,0.11182410949580678,6.97994991360069,0.0,0.9107142857142857,765.0,0.9773071104387292,28.0,4999610368.0,34896801280.0,3.9999867953513473,2163200.0,2112000.0,0.8921284608,0.006979360256,1.4252063798019001,0.00402653184,0.023283407326979005,28327027303942.0,35540854374400.0,0.2029728096703861,h100_microbench_fit,sha256:e0bd01b332d2a7055773ea81c2ecab7f74693714cb31161831701e32d9888d7d,24.86585608124733,0.0,cohort_stage,latency_p50_ms,28327027303942.0,194.0,2.0,246.0,194.0,0.0,0.0,0.0,0.0,52.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,13193.271705599906,28496846284294.0,7281311744.0,5033164800.0,79.25737090408802,240.7721159979701,0.0360710546374321,13.613942079246044,125.4178760573268,598.6946374177933,5.986946374177933,0.07076719327339905,582,0
