baseline,slo_type,slo_ms,arrival_rate_jobs_per_s,completed_jobs,successful_jobs,slo_goodput_jobs_per_s,energy_per_successful_job_j
apc_like,jct_ms,1000.0,2.0,100,0,0.0,25.584716501606398
apc_like,jct_ms,5000.0,2.0,100,0,0.0,25.584716501606398
apc_like,jct_ms,10000.0,2.0,100,50,0.5701222745764454,0.5116943300321279
pat_like_traffic_only,jct_ms,1000.0,2.0,100,0,0.0,15.6799719598542
pat_like_traffic_only,jct_ms,5000.0,2.0,100,50,0.5972196826088625,0.313599439197084
pat_like_traffic_only,jct_ms,10000.0,2.0,100,50,0.5972196826088625,0.313599439197084
waferagent_latency_safe,jct_ms,1000.0,2.0,100,96,1.6402040128534299,0.02431103922576354
waferagent_latency_safe,jct_ms,5000.0,2.0,100,100,1.7085458467223227,0.023338597656732997
waferagent_latency_safe,jct_ms,10000.0,2.0,100,100,1.7085458467223227,0.023338597656732997
waferagent_adaptive,jct_ms,1000.0,2.0,100,96,1.6402040128534299,0.02431103922576354
waferagent_adaptive,jct_ms,5000.0,2.0,100,100,1.7085458467223227,0.023338597656732997
waferagent_adaptive,jct_ms,10000.0,2.0,100,100,1.7085458467223227,0.023338597656732997
ideal_next_use_cache,jct_ms,1000.0,2.0,100,96,1.6400302833431029,0.020329022932225
ideal_next_use_cache,jct_ms,5000.0,2.0,100,100,1.7083648784823988,0.019515862014936002
ideal_next_use_cache,jct_ms,10000.0,2.0,100,100,1.7083648784823988,0.019515862014936002
apc_like,jct_ms,1000.0,4.0,100,0,0.0,25.5831025334272
apc_like,jct_ms,5000.0,4.0,100,0,0.0,25.5831025334272
apc_like,jct_ms,10000.0,4.0,100,50,0.8548956091813605,0.511662050668544
pat_like_traffic_only,jct_ms,1000.0,4.0,100,0,0.0,15.6798189516432
pat_like_traffic_only,jct_ms,5000.0,4.0,100,50,0.9134851930269314,0.313596379032864
pat_like_traffic_only,jct_ms,10000.0,4.0,100,50,0.9134851930269314,0.313596379032864
waferagent_latency_safe,jct_ms,1000.0,4.0,100,97,3.3088306486212167,0.02411420774162886
waferagent_latency_safe,jct_ms,5000.0,4.0,100,100,3.411165617135275,0.023390781509379996
waferagent_latency_safe,jct_ms,10000.0,4.0,100,100,3.411165617135275,0.023390781509379996
waferagent_adaptive,jct_ms,1000.0,4.0,100,97,3.3088306486212167,0.02411420774162886
waferagent_adaptive,jct_ms,5000.0,4.0,100,100,3.411165617135275,0.023390781509379996
waferagent_adaptive,jct_ms,10000.0,4.0,100,100,3.411165617135275,0.023390781509379996
ideal_next_use_cache,jct_ms,1000.0,4.0,100,96,3.274026555723788,0.02015655315174427
ideal_next_use_cache,jct_ms,5000.0,4.0,100,100,3.410444328878946,0.0193502910256745
ideal_next_use_cache,jct_ms,10000.0,4.0,100,100,3.410444328878946,0.0193502910256745
apc_like,jct_ms,1000.0,8.0,100,0,0.0,25.5660333938688
apc_like,jct_ms,5000.0,8.0,100,0,0.0,25.5660333938688
apc_like,jct_ms,10000.0,8.0,100,50,1.1394773335288173,0.511320667877376
pat_like_traffic_only,jct_ms,1000.0,8.0,100,0,0.0,15.7143800166002
pat_like_traffic_only,jct_ms,5000.0,8.0,100,49,1.1413878890483142,0.32070163299184085
pat_like_traffic_only,jct_ms,10000.0,8.0,100,50,1.1646815194370554,0.31428760033200404
waferagent_latency_safe,jct_ms,1000.0,8.0,100,66,3.215589211484898,0.03720834753839243
waferagent_latency_safe,jct_ms,5000.0,8.0,100,88,4.287452281979864,0.027906260653794323
waferagent_latency_safe,jct_ms,10000.0,8.0,100,100,4.872104865886209,0.024557509375339005
waferagent_adaptive,jct_ms,1000.0,8.0,100,66,3.215589211484898,0.03720834753839243
waferagent_adaptive,jct_ms,5000.0,8.0,100,88,4.287452281979864,0.027906260653794323
waferagent_adaptive,jct_ms,10000.0,8.0,100,100,4.872104865886209,0.024557509375339005
ideal_next_use_cache,jct_ms,1000.0,8.0,100,62,3.08462163602653,0.03212126870851048
ideal_next_use_cache,jct_ms,5000.0,8.0,100,95,4.726436377782586,0.020963354315027896
ideal_next_use_cache,jct_ms,10000.0,8.0,100,100,4.975196187139565,0.0199151865992765
apc_like,jct_ms,1000.0,16.0,100,0,0.0,25.5409917212672
apc_like,jct_ms,5000.0,16.0,100,0,0.0,25.5409917212672
apc_like,jct_ms,10000.0,16.0,100,50,1.369713895930294,0.5108198344253441
pat_like_traffic_only,jct_ms,1000.0,16.0,100,0,0.0,15.6307999530224
pat_like_traffic_only,jct_ms,5000.0,16.0,100,49,1.2793612880186778,0.31899591740862043
pat_like_traffic_only,jct_ms,10000.0,16.0,100,51,1.3315801161010727,0.30648627358867453
waferagent_latency_safe,jct_ms,1000.0,16.0,100,56,2.9515220028059215,0.04321727024083214
waferagent_latency_safe,jct_ms,5000.0,16.0,100,86,4.532694504309093,0.028141478296355812
waferagent_latency_safe,jct_ms,10000.0,16.0,100,93,4.901634754659834,0.0260233025106086
waferagent_adaptive,jct_ms,1000.0,16.0,100,56,2.9515220028059215,0.04321727024083214
waferagent_adaptive,jct_ms,5000.0,16.0,100,86,4.532694504309093,0.028141478296355812
waferagent_adaptive,jct_ms,10000.0,16.0,100,93,4.901634754659834,0.0260233025106086
ideal_next_use_cache,jct_ms,1000.0,16.0,100,55,2.835984635433201,0.03582014996285545
ideal_next_use_cache,jct_ms,5000.0,16.0,100,76,3.918815132598605,0.02592247694680329
ideal_next_use_cache,jct_ms,10000.0,16.0,100,93,4.795392201732503,0.02118395965545215
