baseline,arrival_rate_jobs_per_s,chosen_policy,num_decisions,mean_opportunity_score,reuse_group_size,shared_prefix_tokens,private_suffix_tokens,decode_tokens,num_agents_per_job
waferagent_adaptive,2.0,apc_like,50,47415.318947839995,1,32768,2048,32,16
waferagent_adaptive,16.0,apc_like,50,47415.318947839995,1,32768,2048,32,16
waferagent_adaptive,2.0,waferagent_latency_safe,50,50577.394877696,1,32768,2048,512,2
waferagent_adaptive,16.0,waferagent_latency_safe,50,50577.394877696,1,32768,2048,512,2
waferagent_adaptive,2.0,apc_like,50,758661.90316544,1,32768,2048,512,16
waferagent_adaptive,16.0,apc_like,50,758661.90316544,1,32768,2048,512,16
waferagent_adaptive,2.0,waferagent_latency_safe,50,101154.929755392,1,32768,2048,1024,2
waferagent_adaptive,16.0,waferagent_latency_safe,50,101154.929755392,1,32768,2048,1024,2
waferagent_adaptive,2.0,apc_like,50,1517324.92633088,1,32768,2048,1024,16
waferagent_adaptive,16.0,apc_like,50,1517324.92633088,1,32768,2048,1024,16
waferagent_adaptive,2.0,waferagent_latency_safe,7,906.4652329691428,8,512,128,32,2
waferagent_adaptive,16.0,waferagent_latency_safe,7,906.4652329691428,8,512,128,32,2
waferagent_adaptive,2.0,waferagent_latency_safe,7,7723.644727588571,8,512,128,32,16
waferagent_adaptive,16.0,waferagent_latency_safe,7,7723.644727588571,8,512,128,32,16
waferagent_adaptive,2.0,waferagent_latency_safe,7,14518.443727506285,8,512,128,512,2
waferagent_adaptive,16.0,waferagent_latency_safe,7,14518.443727506285,8,512,128,512,2
waferagent_adaptive,2.0,waferagent_latency_safe,7,123641.7442128457,8,512,128,512,16
waferagent_adaptive,16.0,waferagent_latency_safe,7,123641.7442128457,8,512,128,512,16
waferagent_adaptive,2.0,waferagent_latency_safe,7,29037.887455012566,8,512,128,1024,2
waferagent_adaptive,16.0,waferagent_latency_safe,7,29037.887455012566,8,512,128,1024,2
waferagent_adaptive,2.0,waferagent_latency_safe,7,247287.71699711998,8,512,128,1024,16
waferagent_adaptive,16.0,waferagent_latency_safe,7,247287.71699711998,8,512,128,1024,16
waferagent_adaptive,2.0,waferagent_latency_safe,7,906.4652329691428,8,512,2048,32,2
waferagent_adaptive,16.0,waferagent_latency_safe,7,906.4652329691428,8,512,2048,32,2
waferagent_adaptive,2.0,waferagent_latency_safe,7,7723.644727588571,8,512,2048,32,16
waferagent_adaptive,16.0,waferagent_latency_safe,7,7723.644727588571,8,512,2048,32,16
waferagent_adaptive,2.0,waferagent_latency_safe,7,14518.443727506285,8,512,2048,512,2
waferagent_adaptive,16.0,waferagent_latency_safe,7,14518.443727506285,8,512,2048,512,2
waferagent_adaptive,2.0,waferagent_latency_safe,7,123641.7442128457,8,512,2048,512,16
waferagent_adaptive,16.0,waferagent_latency_safe,7,123641.7442128457,8,512,2048,512,16
waferagent_adaptive,2.0,waferagent_latency_safe,7,29037.887455012566,8,512,2048,1024,2
waferagent_adaptive,16.0,waferagent_latency_safe,7,29037.887455012566,8,512,2048,1024,2
waferagent_adaptive,2.0,waferagent_latency_safe,7,247287.71699711998,8,512,2048,1024,16
waferagent_adaptive,16.0,waferagent_latency_safe,7,247287.71699711998,8,512,2048,1024,16
waferagent_adaptive,2.0,apc_like,6,16491.55441664,8,8192,128,32,2
waferagent_adaptive,2.0,waferagent_latency_safe,1,2679.7795927039997,8,8192,128,32,2
waferagent_adaptive,16.0,apc_like,6,16491.55441664,8,8192,128,32,2
waferagent_adaptive,16.0,waferagent_latency_safe,1,2679.7795927039997,8,8192,128,32,2
waferagent_adaptive,2.0,apc_like,7,123641.7442128457,8,8192,128,32,16
waferagent_adaptive,16.0,apc_like,7,123641.7442128457,8,8192,128,32,16
waferagent_adaptive,2.0,apc_like,6,263881.67066624,8,8192,128,512,2
waferagent_adaptive,2.0,waferagent_latency_safe,1,42880.673483264,8,8192,128,512,2
waferagent_adaptive,16.0,apc_like,6,263881.67066624,8,8192,128,512,2
waferagent_adaptive,16.0,waferagent_latency_safe,1,42880.673483264,8,8192,128,512,2
waferagent_adaptive,2.0,apc_like,7,1978331.33597696,8,8192,128,512,16
waferagent_adaptive,16.0,apc_like,7,1978331.33597696,8,8192,128,512,16
waferagent_adaptive,2.0,apc_like,6,527764.46133248,8,8192,128,1024,2
waferagent_adaptive,2.0,waferagent_latency_safe,1,85761.626966528,8,8192,128,1024,2
waferagent_adaptive,16.0,apc_like,6,527764.46133248,8,8192,128,1024,2
waferagent_adaptive,16.0,waferagent_latency_safe,1,85761.626966528,8,8192,128,1024,2
waferagent_adaptive,2.0,apc_like,7,3956666.9005253487,8,8192,128,1024,16
waferagent_adaptive,16.0,apc_like,7,3956666.9005253487,8,8192,128,1024,16
waferagent_adaptive,2.0,apc_like,6,16491.55441664,8,8192,2048,32,2
waferagent_adaptive,2.0,waferagent_latency_safe,1,2679.7795927039997,8,8192,2048,32,2
waferagent_adaptive,16.0,apc_like,6,16491.55441664,8,8192,2048,32,2
waferagent_adaptive,16.0,waferagent_latency_safe,1,2679.7795927039997,8,8192,2048,32,2
waferagent_adaptive,2.0,apc_like,7,123641.7442128457,8,8192,2048,32,16
waferagent_adaptive,16.0,apc_like,7,123641.7442128457,8,8192,2048,32,16
waferagent_adaptive,2.0,apc_like,6,263881.67066624,8,8192,2048,512,2
waferagent_adaptive,2.0,waferagent_latency_safe,1,42880.673483264,8,8192,2048,512,2
waferagent_adaptive,16.0,apc_like,6,263881.67066624,8,8192,2048,512,2
waferagent_adaptive,16.0,waferagent_latency_safe,1,42880.673483264,8,8192,2048,512,2
waferagent_adaptive,2.0,apc_like,7,1978331.33597696,8,8192,2048,512,16
waferagent_adaptive,16.0,apc_like,7,1978331.33597696,8,8192,2048,512,16
waferagent_adaptive,2.0,apc_like,6,527764.46133248,8,8192,2048,1024,2
waferagent_adaptive,2.0,waferagent_latency_safe,1,85761.626966528,8,8192,2048,1024,2
waferagent_adaptive,16.0,apc_like,6,527764.46133248,8,8192,2048,1024,2
waferagent_adaptive,16.0,waferagent_latency_safe,1,85761.626966528,8,8192,2048,1024,2
waferagent_adaptive,2.0,apc_like,7,3956666.9005253487,8,8192,2048,1024,16
waferagent_adaptive,16.0,apc_like,7,3956666.9005253487,8,8192,2048,1024,16
waferagent_adaptive,2.0,apc_like,6,65969.57766656,8,32768,128,32,2
waferagent_adaptive,2.0,waferagent_latency_safe,1,10719.958370815999,8,32768,128,32,2
waferagent_adaptive,16.0,apc_like,6,65969.57766656,8,32768,128,32,2
waferagent_adaptive,16.0,waferagent_latency_safe,1,10719.958370815999,8,32768,128,32,2
waferagent_adaptive,2.0,apc_like,7,494579.66256566846,8,32768,128,32,16
waferagent_adaptive,16.0,apc_like,7,494579.66256566846,8,32768,128,32,16
waferagent_adaptive,2.0,apc_like,6,1055530.0426649598,8,32768,128,512,2
waferagent_adaptive,2.0,waferagent_latency_safe,1,171523.533933056,8,32768,128,512,2
waferagent_adaptive,16.0,apc_like,6,1055530.0426649598,8,32768,128,512,2
waferagent_adaptive,16.0,waferagent_latency_safe,1,171523.533933056,8,32768,128,512,2
waferagent_adaptive,2.0,apc_like,7,7913338.0296221245,8,32768,128,512,16
waferagent_adaptive,16.0,apc_like,7,7913338.0296221245,8,32768,128,512,16
waferagent_adaptive,2.0,apc_like,6,2111061.2053299197,8,32768,128,1024,2
waferagent_adaptive,2.0,waferagent_latency_safe,1,343047.34786611196,8,32768,128,1024,2
waferagent_adaptive,16.0,apc_like,6,2111061.2053299197,8,32768,128,1024,2
waferagent_adaptive,16.0,waferagent_latency_safe,1,343047.34786611196,8,32768,128,1024,2
waferagent_adaptive,2.0,apc_like,7,15826680.287815679,8,32768,128,1024,16
waferagent_adaptive,16.0,apc_like,7,15826680.287815679,8,32768,128,1024,16
waferagent_adaptive,2.0,apc_like,6,65969.57766656,8,32768,2048,32,2
waferagent_adaptive,2.0,waferagent_latency_safe,1,10719.958370815999,8,32768,2048,32,2
waferagent_adaptive,16.0,apc_like,6,65969.57766656,8,32768,2048,32,2
waferagent_adaptive,16.0,waferagent_latency_safe,1,10719.958370815999,8,32768,2048,32,2
waferagent_adaptive,2.0,apc_like,7,494579.66256566846,8,32768,2048,32,16
waferagent_adaptive,16.0,apc_like,7,494579.66256566846,8,32768,2048,32,16
waferagent_adaptive,2.0,apc_like,6,1055530.0426649598,8,32768,2048,512,2
waferagent_adaptive,2.0,waferagent_latency_safe,1,171523.533933056,8,32768,2048,512,2
waferagent_adaptive,16.0,apc_like,6,1055530.0426649598,8,32768,2048,512,2
waferagent_adaptive,16.0,waferagent_latency_safe,1,171523.533933056,8,32768,2048,512,2
waferagent_adaptive,2.0,apc_like,7,7913338.0296221245,8,32768,2048,512,16
waferagent_adaptive,16.0,apc_like,7,7913338.0296221245,8,32768,2048,512,16
