state_id,policy,expected_saved_cost,materialization_cost,storage_cost,movement_cost,contention_cost,reason
S_task,replicate,2232524.8,208.0,8.192,16.384,32.768,small hot state with broad fanout
S_market_context,replicate,2232524.8,208.0,8.192,16.384,32.768,small hot state with broad fanout
S_risk_policy,replicate,189491.2,54.4,8.192,16.384,32.768,small hot state with broad fanout
S_tool_schema,replicate,96048.0,51.2,8.192,16.384,32.768,small hot state with broad fanout
S_role_instruction,replicate,105648.00000000001,51.2,8.192,16.384,32.768,small hot state with broad fanout
S_market_signal_0,inline,469.03,3.56,4.5568,9.1136,4.5568,low fanout or low hotness
S_analyst_0_view,inline,0.0,0.8320000000000001,2.1299200000000003,4.2598400000000005,1.0649600000000001,low fanout or low hotness
S_research_0_evidence,inline,0.0,0.876,2.24256,4.48512,1.12128,low fanout or low hotness
S_trade_0,inline,507.33799999999997,1.976,2.5292800000000004,5.058560000000001,2.5292800000000004,low fanout or low hotness
S_risk_0,inline,0.0,0.84,2.1504000000000003,4.300800000000001,1.0752000000000002,low fanout or low hotness
S_market_signal_1,inline,431.08600000000007,3.2720000000000002,4.188160000000001,8.376320000000002,4.188160000000001,low fanout or low hotness
S_analyst_1_view,inline,0.0,0.9,2.3040000000000003,4.6080000000000005,1.1520000000000001,low fanout or low hotness
S_research_1_evidence,inline,0.0,0.996,2.54976,5.09952,1.27488,low fanout or low hotness
S_trade_1,inline,511.4459999999999,1.992,2.54976,5.09952,2.54976,low fanout or low hotness
S_risk_1,inline,0.0,1.26,3.2256000000000005,6.451200000000001,1.6128000000000002,low fanout or low hotness
S_market_signal_2,inline,461.65200000000004,3.504,4.48512,8.97024,4.48512,low fanout or low hotness
S_analyst_2_view,inline,0.0,0.756,1.9353600000000002,3.8707200000000004,0.9676800000000001,low fanout or low hotness
S_research_2_evidence,inline,0.0,1.1440000000000001,2.92864,5.85728,1.46432,low fanout or low hotness
S_trade_2,inline,455.98799999999994,1.776,2.27328,4.54656,2.27328,low fanout or low hotness
S_risk_2,inline,0.0,0.848,2.1708800000000004,4.341760000000001,1.0854400000000002,low fanout or low hotness
S_market_signal_3,inline,449.004,3.408,4.362240000000001,8.724480000000002,4.362240000000001,low fanout or low hotness
S_analyst_3_view,inline,0.0,1.1320000000000001,2.89792,5.79584,1.44896,low fanout or low hotness
S_research_3_evidence,inline,0.0,0.968,2.4780800000000003,4.956160000000001,1.2390400000000001,low fanout or low hotness
S_trade_3,inline,538.1479999999999,2.096,2.6828800000000004,5.365760000000001,2.6828800000000004,low fanout or low hotness
S_risk_3,inline,0.0,0.856,2.19136,4.38272,1.09568,low fanout or low hotness
S_market_signal_4,inline,411.06,3.12,3.9936000000000003,7.9872000000000005,3.9936000000000003,low fanout or low hotness
S_analyst_4_view,inline,0.0,0.88,2.2528,4.5056,1.1264,low fanout or low hotness
S_research_4_evidence,inline,0.0,1.1360000000000001,2.90816,5.81632,1.45408,low fanout or low hotness
S_trade_4,inline,513.5,2.0,2.56,5.12,2.56,low fanout or low hotness
S_risk_4,inline,0.0,0.888,2.27328,4.54656,1.13664,low fanout or low hotness
S_market_signal_5,inline,512.244,3.888,4.976640000000001,9.953280000000001,4.976640000000001,low fanout or low hotness
S_analyst_5_view,inline,0.0,0.916,2.3449600000000004,4.689920000000001,1.1724800000000002,low fanout or low hotness
S_research_5_evidence,inline,0.0,0.96,2.4576000000000002,4.9152000000000005,1.2288000000000001,low fanout or low hotness
S_trade_5,inline,488.852,1.9040000000000001,2.43712,4.87424,2.43712,low fanout or low hotness
S_risk_5,inline,0.0,1.012,2.59072,5.18144,1.29536,low fanout or low hotness
S_market_signal_6,inline,303.552,2.3040000000000003,2.94912,5.89824,2.94912,low fanout or low hotness
S_analyst_6_view,inline,0.0,0.984,2.5190400000000004,5.038080000000001,1.2595200000000002,low fanout or low hotness
S_research_6_evidence,inline,0.0,0.9560000000000001,2.44736,4.89472,1.22368,low fanout or low hotness
S_trade_6,inline,437.50199999999995,1.704,2.1811200000000004,4.362240000000001,2.1811200000000004,low fanout or low hotness
S_risk_6,inline,0.0,1.156,2.95936,5.91872,1.47968,low fanout or low hotness
S_market_signal_7,inline,405.79,3.08,3.9424,7.8848,3.9424,low fanout or low hotness
S_analyst_7_view,inline,0.0,0.844,2.1606400000000003,4.321280000000001,1.0803200000000002,low fanout or low hotness
S_research_7_evidence,inline,0.0,1.052,2.6931200000000004,5.386240000000001,1.3465600000000002,low fanout or low hotness
S_trade_7,inline,503.22999999999996,1.96,2.5088000000000004,5.017600000000001,2.5088000000000004,low fanout or low hotness
S_risk_7,inline,0.0,1.072,2.74432,5.48864,1.37216,low fanout or low hotness
S_market_signal_8,inline,364.684,2.7680000000000002,3.5430400000000004,7.086080000000001,3.5430400000000004,low fanout or low hotness
S_analyst_8_view,inline,0.0,0.884,2.26304,4.52608,1.13152,low fanout or low hotness
S_research_8_evidence,inline,0.0,1.008,2.58048,5.16096,1.29024,low fanout or low hotness
S_trade_8,inline,386.152,1.504,1.9251200000000002,3.8502400000000003,1.9251200000000002,low fanout or low hotness
S_risk_8,inline,0.0,1.216,3.11296,6.22592,1.55648,low fanout or low hotness
S_market_signal_9,inline,353.09,2.68,3.4304,6.8608,3.4304,low fanout or low hotness
S_analyst_9_view,inline,0.0,0.852,2.1811200000000004,4.362240000000001,1.0905600000000002,low fanout or low hotness
S_research_9_evidence,inline,0.0,1.116,2.8569600000000004,5.713920000000001,1.4284800000000002,low fanout or low hotness
S_trade_9,inline,589.4979999999999,2.2960000000000003,2.93888,5.87776,2.93888,low fanout or low hotness
S_risk_9,inline,0.0,0.792,2.02752,4.05504,1.01376,low fanout or low hotness
S_market_signal_10,inline,484.84,3.68,4.710400000000001,9.420800000000002,4.710400000000001,low fanout or low hotness
S_analyst_10_view,inline,0.0,0.9480000000000001,2.42688,4.85376,1.21344,low fanout or low hotness
S_research_10_evidence,inline,0.0,1.264,3.23584,6.47168,1.61792,low fanout or low hotness
S_trade_10,inline,509.392,1.984,2.53952,5.07904,2.53952,low fanout or low hotness
S_risk_10,inline,0.0,0.892,2.28352,4.56704,1.14176,low fanout or low hotness
S_market_signal_11,inline,382.60200000000003,2.904,3.7171200000000004,7.434240000000001,3.7171200000000004,low fanout or low hotness
S_analyst_11_view,inline,0.0,1.048,2.6828800000000004,5.365760000000001,1.3414400000000002,low fanout or low hotness
S_research_11_evidence,inline,0.0,0.924,2.36544,4.73088,1.18272,low fanout or low hotness
S_trade_11,inline,531.9859999999999,2.072,2.6521600000000003,5.304320000000001,2.6521600000000003,low fanout or low hotness
S_risk_11,inline,0.0,1.208,3.09248,6.18496,1.54624,low fanout or low hotness
S_market_signal_12,inline,430.03200000000004,3.2640000000000002,4.17792,8.35584,4.17792,low fanout or low hotness
S_analyst_12_view,inline,0.0,0.9480000000000001,2.42688,4.85376,1.21344,low fanout or low hotness
S_research_12_evidence,inline,0.0,1.1480000000000001,2.93888,5.87776,1.46944,low fanout or low hotness
S_trade_12,inline,534.04,2.08,2.6624000000000003,5.324800000000001,2.6624000000000003,low fanout or low hotness
S_risk_12,inline,0.0,0.988,2.5292800000000004,5.058560000000001,1.2646400000000002,low fanout or low hotness
S_market_signal_13,inline,410.00600000000003,3.112,3.9833600000000002,7.9667200000000005,3.9833600000000002,low fanout or low hotness
S_analyst_13_view,inline,0.0,0.876,2.24256,4.48512,1.12128,low fanout or low hotness
S_research_13_evidence,inline,0.0,0.9,2.3040000000000003,4.6080000000000005,1.1520000000000001,low fanout or low hotness
S_trade_13,inline,529.932,2.064,2.6419200000000003,5.2838400000000005,2.6419200000000003,low fanout or low hotness
S_risk_13,inline,0.0,0.996,2.54976,5.09952,1.27488,low fanout or low hotness
S_market_signal_14,inline,452.16600000000005,3.432,4.39296,8.78592,4.39296,low fanout or low hotness
