policy,total_cycles,pure_comp_cycles,pure_comm_cycles,effective_prefill_tokens,total_input_tokens,append_tokens,decode_tokens,llm_output_tokens,tool_output_tokens,cache_hit_ratio,effective_prefill_reduction,kv_migration_bytes,demand_migration_bytes,prefetch_migration_bytes,num_kv_migrations,num_prefetch_events,local_state_hits,remote_state_hits,state_misses,tool_wait_cycles,busybarn_events
nocache,200672954,200672000,0,601771,585169,16602,11844,11844,45421,0.0,0.0,0,0,0,0,0,0,0,2078,87987,343
lru,167904954,167904000,0,471083,585169,16602,11844,11844,45421,0.12319538017324351,0.21717231305596318,0,0,0,0,0,64,192,1822,87987,343
kvflow,178435954,178435000,0,510606,585169,16602,11844,11844,45421,0.1323387872954764,0.1514945053849388,0,0,0,0,0,110,165,1803,87987,343
asg-retention,167904954,167904000,0,470699,585169,16602,11844,11844,45421,0.12319538017324351,0.21781042954878183,0,0,0,0,0,64,192,1822,87987,343
asg-placement,192232586,59653848,2097154,470699,585169,16602,11844,11844,45421,0.12319538017324351,0.21781042954878183,62813896704,62813896704,0,234,0,22,234,1822,87987,577
asg-prefetch,194414971,63043910,4552922,470699,585169,16602,11844,11844,45421,0.12319538017324351,0.21781042954878183,68182605824,62277025792,5905580032,254,22,24,232,1822,87987,597
