Wrote 10 real-trace policy results to agent_results/local_h100_long/wafer_replay/m0.5_c8
policy,effective_prefill_tokens,cache_hit_ratio,oracle_gap
nocache,4818392,0.0,6.16378263185935
lru-basic,4333771,0.7878787878787878,1.0
lru-system,4333771,0.7878787878787878,1.0
kvflow-like,4721870,0.43206256109481916,5.135311667554609
asg-retention-v2-graph-only,4239998,0.7044639947865754,0.0008204581779435269
asg-retention-v2-online,4239915,0.718475073313783,-6.393180607352158e-05
asg-retention-v2-trace-stats,4239920,0.7201042684913652,-1.0655301012253596e-05
asg-retention-v2-oracle,4239921,0.7204301075268817,0.0
asg-placement-v2-online,4239915,0.718475073313783,-6.393180607352158e-05
asg-prefetch-v2-online,4239915,0.718475073313783,-6.393180607352158e-05
