state_id,kind,token_size,kv_size_bytes,producer,consumers,lifetime_start,lifetime_end,materialized_form,location,prefix_compatible,kv_cacheable,prompt_position,static_hotness,dynamic_hotness,deterministic,metadata
S_research_4_evidence,retrieval_result,284,290816,O_researcher_4,"[""O_trader_4""]",12,20,output,,False,False,,0.0,349.9563375,False,"{""dynamic_hot_candidate"": false}"
S_trade_4,planner_output,250,256000,O_trader_4,"[""O_risk_4"", ""O_manager""]",20,32,output,,False,False,,512.5,514.1386353154297,False,"{""dynamic_hot_candidate"": false}"
S_risk_4,critic_feedback,222,227328,O_risk_4,"[""O_manager""]",28,32,output,,False,False,,0.0,437.69186999999994,False,"{""dynamic_hot_candidate"": true}"
S_market_signal_5,retrieval,486,497664,,"[""O_analyst_5"", ""O_researcher_5""]",0,13,inline,,False,False,,510.3,489.0492566608359,True,{}
S_analyst_5_view,intermediate_summary,229,234496,O_analyst_5,"[""O_trader_5""]",5,21,output,,False,False,,0.0,282.183103125,False,"{""dynamic_hot_candidate"": true}"
S_research_5_evidence,retrieval_result,240,245760,O_researcher_5,"[""O_trader_5""]",13,21,output,,False,False,,0.0,295.73775,False,"{""dynamic_hot_candidate"": false}"
S_trade_5,planner_output,238,243712,O_trader_5,"[""O_risk_5"", ""O_manager""]",21,32,output,,False,False,,487.9,489.459980820289,False,"{""dynamic_hot_candidate"": false}"
S_risk_5,critic_feedback,253,259072,O_risk_5,"[""O_manager""]",29,32,output,,False,False,,0.0,498.8110049999999,False,"{""dynamic_hot_candidate"": false}"
S_market_signal_6,retrieval,288,294912,,"[""O_analyst_6"", ""O_researcher_6""]",0,14,inline,,False,False,,302.40000000000003,289.80696691012497,True,{}
S_analyst_6_view,intermediate_summary,246,251904,O_analyst_6,"[""O_trader_6""]",6,22,output,,False,False,,0.0,303.13119375,False,"{""dynamic_hot_candidate"": true}"
S_research_6_evidence,retrieval_result,239,244736,O_researcher_6,"[""O_trader_6""]",14,22,output,,False,False,,0.0,294.505509375,False,"{""dynamic_hot_candidate"": false}"
S_trade_6,planner_output,213,218112,O_trader_6,"[""O_risk_6"", ""O_manager""]",22,32,output,,False,False,,436.65,438.046117288746,False,"{""dynamic_hot_candidate"": false}"
S_risk_6,critic_feedback,289,295936,O_risk_6,"[""O_manager""]",30,32,output,,False,False,,0.0,569.788065,False,"{""dynamic_hot_candidate"": false}"
S_market_signal_7,retrieval,385,394240,,"[""O_analyst_7"", ""O_researcher_7""]",0,15,inline,,False,False,,404.25,387.41556340416025,True,{}
S_analyst_7_view,intermediate_summary,211,216064,O_analyst_7,"[""O_trader_7""]",7,23,output,,False,False,,0.0,260.002771875,False,"{""dynamic_hot_candidate"": false}"
S_research_7_evidence,retrieval_result,263,269312,O_researcher_7,"[""O_trader_7""]",15,23,output,,False,False,,0.0,324.079284375,False,"{""dynamic_hot_candidate"": false}"
S_trade_7,planner_output,245,250880,O_trader_7,"[""O_risk_7"", ""O_manager""]",23,32,output,,False,False,,502.24999999999994,503.855862609121,False,"{""dynamic_hot_candidate"": false}"
S_risk_7,critic_feedback,268,274432,O_risk_7,"[""O_manager""]",31,32,output,,False,False,,0.0,528.3847799999999,False,"{""dynamic_hot_candidate"": true}"
S_portfolio_decision,output,231,236544,O_manager,[],32,32,output,,False,False,,0.0,0.0,True,"{""dynamic_hot_candidate"": false}"
