wave_id,baseline,scheduler,seed_state_id,operator_ids,region_ids,start_time,end_time,batch_size,materialization_bytes,movement_byte_hop,max_link_load_delta,benefit,wait_penalty,mesh,region_memory_capacity,shared_state_size,branch_width
1,request_parallel_gpu_like,request_parallel_gpu_like,,"[""O_researcher_0"", ""O_researcher_1"", ""O_researcher_2"", ""O_researcher_3"", ""O_researcher_4"", ""O_researcher_5"", ""O_researcher_6"", ""O_researcher_7""]","[""R_0_0"", ""R_0_15"", ""R_15_0"", ""R_15_15"", ""R_8_8"", ""R_0_8"", ""R_8_0"", ""R_15_8""]",2.222003205041875,4.444006406041876,8,6400,6400,0,8.0,0.0,16x16,268435456,1000,8
2,request_parallel_gpu_like,request_parallel_gpu_like,,"[""O_trader_0"", ""O_trader_1"", ""O_trader_2"", ""O_trader_3"", ""O_trader_4"", ""O_trader_5"", ""O_trader_6"", ""O_trader_7""]","[""R_0_0"", ""R_0_15"", ""R_15_0"", ""R_15_15"", ""R_8_8"", ""R_0_8"", ""R_8_0"", ""R_15_8""]",4.444006406041876,6.344009608437501,8,15332,15332,0,8.0,0.0,16x16,268435456,1000,8
3,request_parallel_gpu_like,request_parallel_gpu_like,,"[""O_risk_0"", ""O_risk_1"", ""O_risk_2"", ""O_risk_3"", ""O_risk_4"", ""O_risk_5"", ""O_risk_6"", ""O_risk_7""]","[""R_0_0"", ""R_0_15"", ""R_15_0"", ""R_15_15"", ""R_8_8"", ""R_0_8"", ""R_8_0"", ""R_15_8""]",6.344009608437501,8.11801281064125,8,14104,14104,0,8.0,0.0,16x16,268435456,1000,8
4,request_parallel_gpu_like,request_parallel_gpu_like,,"[""O_manager""]","[""R_0_0""]",8.11801281064125,17.186016012930004,1,14648,14648,0,1.0,0.0,16x16,268435456,1000,8
0,helium_like_operator_schedule,helium_like_operator_schedule,,"[""O_analyst_0"", ""O_analyst_1"", ""O_analyst_2"", ""O_analyst_3"", ""O_analyst_4"", ""O_analyst_5"", ""O_analyst_6"", ""O_analyst_7""]","[""R_0_0"", ""R_0_15"", ""R_15_0"", ""R_15_15"", ""R_8_8"", ""R_0_8"", ""R_8_0"", ""R_15_8""]",0.0,2.2220032024168748,8,15468,15468,0,8.0,0.0,16x16,268435456,1000,8
1,helium_like_operator_schedule,helium_like_operator_schedule,,"[""O_researcher_0"", ""O_researcher_1"", ""O_researcher_2"", ""O_researcher_3"", ""O_researcher_4"", ""O_researcher_5"", ""O_researcher_6"", ""O_researcher_7""]","[""R_0_0"", ""R_0_15"", ""R_15_0"", ""R_15_15"", ""R_8_8"", ""R_0_8"", ""R_8_0"", ""R_15_8""]",2.2220032024168748,4.444006402541875,8,800,800,0,8.0,0.0,16x16,268435456,1000,8
2,helium_like_operator_schedule,helium_like_operator_schedule,,"[""O_trader_0"", ""O_trader_1"", ""O_trader_2"", ""O_trader_3"", ""O_trader_4"", ""O_trader_5"", ""O_trader_6"", ""O_trader_7""]","[""R_0_0"", ""R_0_15"", ""R_15_0"", ""R_15_15"", ""R_8_8"", ""R_0_8"", ""R_8_0"", ""R_15_8""]",4.444006402541875,6.344009604937501,8,15332,15332,0,8.0,0.0,16x16,268435456,1000,8
3,helium_like_operator_schedule,helium_like_operator_schedule,,"[""O_risk_0"", ""O_risk_1"", ""O_risk_2"", ""O_risk_3"", ""O_risk_4"", ""O_risk_5"", ""O_risk_6"", ""O_risk_7""]","[""R_0_0"", ""R_0_15"", ""R_15_0"", ""R_15_15"", ""R_8_8"", ""R_0_8"", ""R_8_0"", ""R_15_8""]",6.344009604937501,8.11801280626625,8,8504,8504,0,8.0,0.0,16x16,268435456,1000,8
4,helium_like_operator_schedule,helium_like_operator_schedule,,"[""O_manager""]","[""R_0_0""]",8.11801280626625,17.18601600750563,1,7932,7932,0,1.0,0.0,16x16,268435456,1000,8
0,wafer_request_centric,wafer_request_centric,,"[""O_analyst_0"", ""O_analyst_1"", ""O_analyst_2"", ""O_analyst_3"", ""O_analyst_4"", ""O_analyst_5"", ""O_analyst_6"", ""O_analyst_7""]","[""R_0_0"", ""R_0_15"", ""R_15_0"", ""R_15_15"", ""R_8_8"", ""R_0_8"", ""R_8_0"", ""R_15_8""]",0.0,2.22201705616,8,32268,88679424,3215360,8.0,0.0,16x16,268435456,1000,8
