baseline,workflow_latency,state_materialization_bytes,state_movement_byte_hop,max_link_utilization,region_memory_pressure,critical_path_wait,average_wave_batch_size,wave_count,duplicate_state_materialization_bytes,notes,mesh,region_memory_capacity,shared_state_size,branch_width,input_redundancy_ratio
helium_like_operator_schedule,30.81830801876125,60036,60036,4.348354506997854e-11,0.0,0.0,6.6,5,295972,operator-centric wave with per-wave unique-state reuse,8x8,268435456,4000,8,5.929908721433806
wafer_request_centric,33.98615359232,178752,465895424,3.0599083242304415e-07,0.04969024658203125,0.0,6.6,5,295972,wafer backend without state-centric wave formation,8x8,268435456,4000,8,5.929908721433806
WaferStateFlow,28.072992760320002,80808,79233024,6.299984831735218e-08,0.03443145751953125,197.11394716416004,6.6,5,295972,hot-state-seeded wave scheduling with policy-driven placement,8x8,268435456,4000,8,5.929908721433806
request_parallel_gpu_like,56.15200641666125,53316,53316,2.1194065210841088e-11,0.10169219970703125,0.0,1.25,4,89168,ready requests assigned to worker-local caches,8x8,268435456,12000,1,2.6724435441518493
helium_like_operator_schedule,71.49200801666125,53316,53316,1.664646606984287e-11,0.0,0.0,1.0,5,89168,operator-centric wave with per-wave unique-state reuse,8x8,268435456,12000,1,2.6724435441518493
wafer_request_centric,56.152,53316,0,0.0,0.050846099853515625,0.0,1.25,4,89168,wafer backend without state-centric wave formation,8x8,268435456,12000,1,2.6724435441518493
WaferStateFlow,51.8708,56084,0,0.0,0.050846099853515625,4.0,1.25,4,89168,hot-state-seeded wave scheduling with policy-driven placement,8x8,268435456,12000,1,2.6724435441518493
request_parallel_gpu_like,57.37800643378125,108100,108100,4.205350758144864e-11,0.10599517822265625,0.0,2.25,4,197400,ready requests assigned to worker-local caches,8x8,268435456,12000,2,4.339875473741202
helium_like_operator_schedule,64.31410801847001,59104,59104,2.051316196295276e-11,0.0,0.0,1.8,5,197400,operator-centric wave with per-wave unique-state reuse,8x8,268435456,12000,2,4.339875473741202
wafer_request_centric,57.378076398080005,108100,223993856,8.713890689633095e-08,0.054363250732421875,0.0,2.25,4,197400,wafer backend without state-centric wave formation,8x8,268435456,12000,2,4.339875473741202
WaferStateFlow,45.971964745600005,64504,132945920,6.455114271414476e-08,0.054363250732421875,63.52446302976,2.25,4,197400,hot-state-seeded wave scheduling with policy-driven placement,8x8,268435456,12000,2,4.339875473741202
request_parallel_gpu_like,78.78600813585999,434752,434752,1.2317270469588294e-10,0.12802886962890625,0.0,6.6,5,846372,ready requests assigned to worker-local caches,8x8,268435456,12000,8,10.196097179364596
helium_like_operator_schedule,70.33830802876125,92036,92036,2.920705739978801e-11,0.0,0.0,6.6,5,846372,operator-centric wave with per-wave unique-state reuse,8x8,268435456,12000,8,10.196097179364596
wafer_request_centric,78.78639525632,434752,1239220224,3.510906372133686e-07,0.08020782470703125,0.0,6.6,5,846372,wafer backend without state-centric wave formation,8x8,268435456,12000,8,10.196097179364596
WaferStateFlow,63.01708361696001,112808,385334272,1.3649015369947324e-07,0.08020782470703125,510.46003779328,6.6,5,846372,hot-state-seeded wave scheduling with policy-driven placement,8x8,268435456,12000,8,10.196097179364596
request_parallel_gpu_like,4.2320128009556255,6116,6116,7.526954233095352e-12,0.01166534423828125,0.0,1.25,4,4208,ready requests assigned to worker-local caches,16x16,67108864,200,1,1.6880313930673643
helium_like_operator_schedule,5.412016000955626,6116,6116,5.885822706555565e-12,0.0,0.0,1.0,5,4208,operator-centric wave with per-wave unique-state reuse,16x16,67108864,200,1,1.6880313930673643
wafer_request_centric,4.232,6116,0,0.0,0.0233306884765625,0.0,1.25,4,4208,wafer backend without state-centric wave formation,16x16,67108864,200,1,1.6880313930673643
WaferStateFlow,5.412,10324,0,0.0,0.0233306884765625,4.0,1.0,5,4208,hot-state-seeded wave scheduling with policy-driven placement,16x16,67108864,200,1,1.6880313930673643
request_parallel_gpu_like,5.458012802140625,13700,13700,1.3073286790144879e-11,0.01596832275390625,0.0,2.25,4,8600,ready requests assigned to worker-local caches,16x16,67108864,200,2,1.7224462365591398
helium_like_operator_schedule,6.022116001860001,11904,11904,1.0295384542717307e-11,0.0,0.0,1.8,5,8600,operator-centric wave with per-wave unique-state reuse,16x16,67108864,200,2,1.7224462365591398
wafer_request_centric,5.45801827008,13700,35008512,3.3406997004670604e-08,0.0373992919921875,0.0,2.25,4,8600,wafer backend without state-centric wave formation,16x16,67108864,200,2,1.7224462365591398
WaferStateFlow,10.701999999999998,17944,0,0.0,0.04541015625,4.0,1.0,9,8600,hot-state-seeded wave scheduling with policy-driven placement,16x16,67108864,200,2,1.7224462365591398
request_parallel_gpu_like,12.706016008930002,57152,57152,2.3427222699661444e-11,0.03800201416015625,0.0,6.6,5,34532,ready requests assigned to worker-local caches,16x16,67108864,200,8,1.7701846730306003
helium_like_operator_schedule,12.046316007005625,44836,44836,1.9385248834376215e-11,0.0,0.0,6.6,5,34532,operator-centric wave with per-wave unique-state reuse,16x16,67108864,200,8,1.7701846730306003
wafer_request_centric,12.70604804608,57152,205094912,8.407040983889737e-08,0.140777587890625,0.0,6.6,5,34532,wafer backend without state-centric wave formation,16x16,67108864,200,8,1.7701846730306003
WaferStateFlow,11.47457863856,65608,78326784,3.5552678041622263e-08,0.140777587890625,44.27545267584,6.6,5,34532,hot-state-seeded wave scheduling with policy-driven placement,16x16,67108864,200,8,1.7701846730306003
request_parallel_gpu_like,7.752012801455624,9316,9316,6.259127090737312e-12,0.01776885986328125,0.0,1.25,4,9968,ready requests assigned to worker-local caches,16x16,67108864,1000,1,2.0699871189351655
helium_like_operator_schedule,9.892016001455625,9316,9316,4.9050500248072205e-12,0.0,0.0,1.0,5,9968,operator-centric wave with per-wave unique-state reuse,16x16,67108864,1000,1,2.0699871189351655
wafer_request_centric,7.752,9316,0,0.0,0.0355377197265625,0.0,1.25,4,9968,wafer backend without state-centric wave formation,16x16,67108864,1000,1,2.0699871189351655
WaferStateFlow,7.166799999999999,12884,0,0.0,0.0355377197265625,4.0,1.25,4,9968,hot-state-seeded wave scheduling with policy-driven placement,16x16,67108864,1000,1,2.0699871189351655
request_parallel_gpu_like,8.978012803140624,20100,20100,1.166043113275345e-11,0.02207183837890625,0.0,2.25,4,21400,ready requests assigned to worker-local caches,16x16,67108864,1000,2,2.416843220338983
helium_like_operator_schedule,9.974116002359999,15104,15104,7.887081586784549e-12,0.0,0.0,1.8,5,21400,operator-centric wave with per-wave unique-state reuse,16x16,67108864,1000,2,2.416843220338983
wafer_request_centric,8.97802303168,20100,65482752,3.798787314273356e-08,0.0496063232421875,0.0,2.25,4,21400,wafer backend without state-centric wave formation,16x16,67108864,1000,2,2.416843220338983
WaferStateFlow,7.42793255136,22104,39368704,2.7604630483052923e-08,0.0496063232421875,12.83635249536,2.25,4,21400,hot-state-seeded wave scheduling with policy-driven placement,16x16,67108864,1000,2,2.416843220338983
request_parallel_gpu_like,17.186016012930004,82752,82752,2.507852894328357e-11,0.04410552978515625,0.0,6.6,5,89572,ready requests assigned to worker-local caches,16x16,67108864,1000,8,2.8646848197185446
helium_like_operator_schedule,15.998316007505625,48036,48036,1.5638364680546647e-11,0.0,0.0,6.6,5,89572,operator-centric wave with per-wave unique-state reuse,16x16,67108864,1000,8,2.8646848197185446
wafer_request_centric,17.186073134080004,82752,365658112,1.1081468806022756e-07,0.152984619140625,0.0,6.6,5,89572,wafer backend without state-centric wave formation,16x16,67108864,1000,8,2.8646848197185446
WaferStateFlow,14.968986318560003,68808,127478784,4.4355174483443e-08,0.152984619140625,79.61000934784,6.6,5,89572,hot-state-seeded wave scheduling with policy-driven placement,16x16,67108864,1000,8,2.8646848197185446
request_parallel_gpu_like,20.952012803330625,21316,21316,5.2988146950580785e-12,0.04065704345703125,0.0,1.25,4,31568,ready requests assigned to worker-local caches,16x16,67108864,4000,1,2.48095327453556
