baseline,n,job_completion_time_ms_mean,job_completion_time_ms_std,job_completion_time_ms_ci95,p50_latency_ms_mean,p50_latency_ms_std,p50_latency_ms_ci95,p90_latency_ms_mean,p90_latency_ms_std,p90_latency_ms_ci95,p99_latency_ms_mean,p99_latency_ms_std,p99_latency_ms_ci95,goodput_jobs_per_s_mean,goodput_jobs_per_s_std,goodput_jobs_per_s_ci95,naive_kv_bytes_mean,naive_kv_bytes_std,naive_kv_bytes_ci95,kv_bytes_total_mean,kv_bytes_total_std,kv_bytes_total_ci95,kv_saving_ratio_mean,kv_saving_ratio_std,kv_saving_ratio_ci95,kv_duplication_ratio_mean,kv_duplication_ratio_std,kv_duplication_ratio_ci95,sram_peak_occupancy_bytes_mean,sram_peak_occupancy_bytes_std,sram_peak_occupancy_bytes_ci95,sram_overflow_bytes_mean,sram_overflow_bytes_std,sram_overflow_bytes_ci95,prefill_ms_total_mean,prefill_ms_total_std,prefill_ms_total_ci95,decode_ms_total_mean,decode_ms_total_std,decode_ms_total_ci95,queue_wait_ms_total_mean,queue_wait_ms_total_std,queue_wait_ms_total_ci95,energy_estimated_j_mean,energy_estimated_j_std,energy_estimated_j_ci95,energy_per_job_j_mean,energy_per_job_j_std,energy_per_job_j_ci95,tool_pause_ms_mean,tool_pause_ms_std,tool_pause_ms_ci95,resume_prefill_ms_mean,resume_prefill_ms_std,resume_prefill_ms_ci95,resume_reload_bytes_mean,resume_reload_bytes_std,resume_reload_bytes_ci95,mesh_total_traffic_bytes_mean,mesh_total_traffic_bytes_std,mesh_total_traffic_bytes_ci95,mesh_avg_link_load_bytes_mean,mesh_avg_link_load_bytes_std,mesh_avg_link_load_bytes_ci95,mesh_max_link_load_bytes_mean,mesh_max_link_load_bytes_std,mesh_max_link_load_bytes_ci95,mesh_hotspot_ratio_mean,mesh_hotspot_ratio_std,mesh_hotspot_ratio_ci95,mesh_wait_ms_mean,mesh_wait_ms_std,mesh_wait_ms_ci95,communication_time_ms_mean,communication_time_ms_std,communication_time_ms_ci95,prefill_tile_utilization_mean,prefill_tile_utilization_std,prefill_tile_utilization_ci95,decode_tile_utilization_mean,decode_tile_utilization_std,decode_tile_utilization_ci95,tile_busy_time_ms_mean,tile_busy_time_ms_std,tile_busy_time_ms_ci95,tile_idle_time_ms_mean,tile_idle_time_ms_std,tile_idle_time_ms_ci95,pd_interference_ms_mean,pd_interference_ms_std,pd_interference_ms_ci95,sram_evictions_mean,sram_evictions_std,sram_evictions_ci95,sram_reload_bytes_mean,sram_reload_bytes_std,sram_reload_bytes_ci95,sram_spill_bytes_mean,sram_spill_bytes_std,sram_spill_bytes_ci95,sram_hit_rate_mean,sram_hit_rate_std,sram_hit_rate_ci95,prefix_block_reuse_count_mean,prefix_block_reuse_count_std,prefix_block_reuse_count_ci95,ttl_pinned_bytes_mean,ttl_pinned_bytes_std,ttl_pinned_bytes_ci95,ttl_eviction_avoided_count_mean,ttl_eviction_avoided_count_std,ttl_eviction_avoided_count_ci95
continuum_like,2,35.03956959999999,0.0,0.0,6.161652959999998,0.0,0.0,9.113999999999999,0.0,0.0,9.113999999999999,0.0,0.0,28.53916333492864,0.0,0.0,184549376.0,0.0,0.0,184549376.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,184549376.0,0.0,0.0,0.0,0.0,0.0,12.391042239999997,0.0,0.0,45.56999999999999,0.0,0.0,0.0,0.0,0.0,0.001344275328,0.0,0.0,0.001344275328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222299904.0,0.0,0.0,74099968.0,0.0,0.0,109052544.0,0.0,0.0,1.4716948865618944,0.0,0.0,0.0,0.0,0.0,2.2379990399999996,0.0,0.0,0.036241360681553585,0.0,0.0,0.16256620914658723,0.0,0.0,55.729053439999994,0.0,0.0,504.9040601599999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kvflow_like,2,33.455224959999995,0.0,0.0,5.649605119999999,0.0,0.0,9.113999999999999,0.0,0.0,9.113999999999999,0.0,0.0,29.89069722877751,0.0,0.0,184549376.0,0.0,0.0,113246208.0,0.0,0.0,0.38636363636363635,0.0,0.0,1.6296296296296295,0.0,0.0,113246208.0,0.0,0.0,0.0,0.0,0.0,9.873467520000002,0.0,0.0,45.56999999999999,0.0,0.0,0.0,0.0,0.0,0.001233126528,0.0,0.0,0.001233126528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2304.0,0.0,0.0,576.0,0.0,0.0,768.0,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.011023039999999998,0.0,0.0,0.036860655442443636,0.0,0.0,0.17026488408942386,0.0,0.0,55.43545216,0.0,0.0,479.8481471999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16777216.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wafer_naive,2,36.30633887999999,0.0,0.0,6.303210719999997,0.0,0.0,9.113999999999999,0.0,0.0,9.114,0.0,0.0,27.543399605925792,0.0,0.0,184549376.0,0.0,0.0,184549376.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,184549376.0,0.0,0.0,0.0,0.0,0.0,14.192585279999996,0.0,0.0,45.56999999999999,0.0,0.0,0.0,0.0,0.0,0.001365247104,0.0,0.0,0.001365247104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264243456.0,0.0,0.0,66060864.0,0.0,0.0,109052544.0,0.0,0.0,1.6507889451763755,0.0,0.0,0.0,0.0,0.0,2.6604345599999992,0.0,0.0,0.03974228094903961,0.0,0.0,0.15689409000525475,0.0,0.0,57.113173759999995,0.0,0.0,523.7882483199999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
waferagent_full,2,33.323383039999996,0.0,0.0,5.647599999999999,0.0,0.0,9.113999999999999,0.0,0.0,9.114,0.0,0.0,30.008957938023332,0.0,0.0,184549376.0,0.0,0.0,113246208.0,0.0,0.0,0.38636363636363635,0.0,0.0,1.6296296296296295,0.0,0.0,113246208.0,0.0,0.0,0.0,0.0,0.0,9.73962304,0.0,0.0,45.56999999999999,0.0,0.0,0.0,0.0,0.0,0.001233125376,0.0,0.0,0.001233125376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09742531271318765,0.0,0.0,0.10519293947967101,0.0,0.0,55.30962303999999,0.0,0.0,477.8645055999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16777216.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
