baseline,mechanism_profile,job_id,workload,seed,job_completion_time_ms,p50_latency_ms,p90_latency_ms,p99_latency_ms,goodput_jobs_per_s,naive_kv_bytes,kv_bytes_total,kv_saving_ratio,kv_duplication_ratio,sram_peak_occupancy_bytes,sram_overflow_bytes,prefill_ms_total,decode_ms_total,queue_wait_ms_total,energy_estimated_j,energy_per_job_j,tool_pause_ms,resume_prefill_ms,resume_reload_bytes,mesh_total_traffic_bytes,mesh_avg_link_load_bytes,mesh_max_link_load_bytes,mesh_hotspot_ratio,mesh_wait_ms,communication_time_ms,prefill_tile_utilization,decode_tile_utilization,tile_busy_time_ms,tile_idle_time_ms,pd_interference_ms,sram_evictions,sram_reload_bytes,sram_spill_bytes,sram_hit_rate,prefix_block_reuse_count,ttl_pinned_bytes,ttl_eviction_avoided_count,num_agents
waferagent_full,neutral,sensitivity_num_agents_2,debate,19,129.84771943225073,10.229403360000003,13.600682578062676,13.60068257806268,7.701328944184957,2818572288.0,1560281088.0,0.4464285714285714,1.8064516129032258,536870912,1023410176.0,87.07487616000002,131.0318606245014,0.0,0.0089087021056,0.0089087021056,0.0,0.0,0.0,2048.0,1024.0,1024.0,1.0,0.0,0.0008409600000000001,0.00041833174521069234,0.0007409009643123671,326.9113564490028,531529.34743805,0.0,0.0,134217728.0,0.0,0.9,9.0,0.0,0.0,2
wafer_naive,neutral,sensitivity_num_agents_4,debate,19,546.6745469522509,13.600682578062678,91.46912816000011,122.38540769599997,1.8292419238742144,5100273664.0,5100273664.0,0.0,1.0,536870912,4563402752.0,1140.3792694400008,239.8373212490028,0.0,0.0249745721344,0.0249745721344,0.0,0.0,0.0,44090565632.0,2593562684.2352943,4831838720.0,1.863012122039632,0.0,881.8543126399998,0.00019248225800734428,0.0005105451514215558,715.9864389780057,2238462.957877442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
waferagent_full,neutral,sensitivity_num_agents_4,debate,19,132.26769607225071,10.834034719999991,13.600682578062676,13.60068257806268,7.560425029659199,5100273664.0,2717908992.0,0.4671052631578947,1.876543209876543,536870912,2181038080.0,157.20805760000007,239.8373212490028,0.0,0.0161564622848,0.0161564622848,0.0,0.0,0.0,16384.0,2340.5714285714284,6144.0,2.625,0.0006614399999875786,0.00578911999998758,0.0007609011740031825,0.0013648394405507234,614.6520543380057,541153.8310576009,0.0,0.0,134217728.0,0.0,0.9444444444444444,17.0,0.0,0.0,4
wafer_naive,neutral,sensitivity_num_agents_8,debate,19,1004.056537352249,13.600682578062685,164.48613219199916,226.66560614719884,0.9959598516603991,9663676416.0,9663676416.0,0.0,1.0,536870912,9126805504.0,3741.1515779199926,457.4482424980056,0.0,0.0631595536384,0.0631595536384,0.0,0.0,0.0,162537900032.0,4925390910.060606,9395241472.0,1.9075118388693322,0.0,3250.917400639989,0.00019874040601054095,0.0005424426878793797,1382.9560907560112,4111232.620904056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
waferagent_full,neutral,sensitivity_num_agents_8,debate,19,137.32875751225075,12.097927200000004,13.600682578062676,13.600682578062678,7.281796020842849,9663676416.0,5033164800.0,0.47916666666666663,1.92,536870912,4496293888.0,297.70940448000016,457.4482424980056,0.0,0.0306519996416,0.0306519996416,0.0,0.0,0.0,130048.0,5001.846153846154,14336.0,2.8661417322834644,0.013044480000047542,0.037645440000047506,0.001407578575942632,0.0025431304666859948,1190.3536510760114,561308.2371191031,0.0,0.0,134217728.0,0.0,0.9705882352941176,33.0,0.0,0.0,8
wafer_naive,neutral,sensitivity_num_agents_16,debate,19,1402.395505513097,13.600682578062788,304.8156868159979,366.36673943359716,0.7130656052937991,18790481920.0,18790481920.0,0.0,1.0,536870912,18253611008.0,12362.34745584082,892.6700849960129,0.0,0.17394704558079999,0.17394704558079999,0.0,0.0,0.0,571520213504.0,8659397174.30303,18236834816.0,2.106016671705306,0.0,11431.139670079643,0.00028070486618924566,0.0007670627136065856,2730.3345293537195,5741481.656052292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16
waferagent_full,neutral,sensitivity_num_agents_16,debate,19,133.7365305744811,11.197975905557538,13.600682578062676,13.600682578062681,7.477388531797421,18790481920.0,9663676416.0,0.48571428571428577,1.9444444444444444,536870912,9126805504.0,567.0248901822309,892.6700849960112,0.0,0.059643192422399995,0.059643192422399995,0.0,0.0,0.0,947712.0,5923.2,80896.0,13.657482441923285,2.091882880000817,2.2038371200008178,0.0028711334845175295,0.005137757865936268,2350.596179476483,545434.2330535981,0.0,0.0,134217728.0,0.0,0.9848484848484849,65.0,0.0,0.0,16
wafer_naive,neutral,sensitivity_num_agents_32,debate,19,1302.778494744186,13.600682578062788,305.386132159998,370.4739459103991,0.7675901959038404,37044092928.0,37044092928.0,0.0,1.0,536870912,36507222016.0,24916.315504271883,1763.1137699920241,0.0,0.3484344681472,0.3484344681472,0.0,0.0,0.0,1154047033856.0,5979518310.134715,35685401088.0,5.967939094277316,0.0,23082.884477119856,0.000600172943470801,0.0016410231369662245,5425.110776319864,5330755.603695866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32
waferagent_full,neutral,sensitivity_num_agents_32,debate,19,139.66622863461282,12.35694128903134,13.600682578062676,13.600682578062681,7.159926990053877,37044092928.0,18924699648.0,0.48913043478260865,1.9574468085106382,536870912,18387828736.0,1120.8183869623676,1763.1137699920223,0.0,0.117626482688,0.117626482688,0.0,0.0,0.0,7106560.0,37207.120418848164,324096.0,8.710590778097984,8.426055680006698,8.956186880006692,0.005482698394280875,0.009765820294025458,4673.29804199114,567399.5744453829,0.0,0.0,134217728.0,0.0,0.9923076923076923,129.0,0.0,0.0,32
