baseline,mechanism_profile,job_id,workload,seed,job_completion_time_ms,p50_latency_ms,p90_latency_ms,p99_latency_ms,goodput_jobs_per_s,naive_kv_bytes,kv_bytes_total,kv_saving_ratio,kv_duplication_ratio,sram_peak_occupancy_bytes,sram_overflow_bytes,prefill_ms_total,decode_ms_total,queue_wait_ms_total,energy_estimated_j,energy_per_job_j,tool_pause_ms,resume_prefill_ms,resume_reload_bytes,mesh_total_traffic_bytes,mesh_avg_link_load_bytes,mesh_max_link_load_bytes,mesh_hotspot_ratio,mesh_wait_ms,communication_time_ms,prefill_tile_utilization,decode_tile_utilization,tile_busy_time_ms,tile_idle_time_ms,pd_interference_ms,sram_evictions,sram_reload_bytes,sram_spill_bytes,sram_hit_rate,prefix_block_reuse_count,ttl_pinned_bytes,ttl_eviction_avoided_count
wafer_naive,neutral,smoke_debate_0,debate,101,36.30633887999999,6.303210719999997,9.113999999999999,9.114,27.543399605925792,184549376.0,184549376.0,0.0,1.0,184549376.0,0.0,14.192585279999996,45.56999999999999,0.0,0.001365247104,0.001365247104,0.0,0.0,0.0,264243456.0,66060864.0,109052544.0,1.6507889451763755,0.0,2.6604345599999992,0.03974228094903961,0.15689409000525475,57.113173759999995,523.7882483199999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wafer_naive,neutral,smoke_debate_1,debate,101,36.30633887999999,6.303210719999997,9.113999999999999,9.114,27.543399605925792,184549376.0,184549376.0,0.0,1.0,184549376.0,0.0,14.192585279999996,45.56999999999999,0.0,0.001365247104,0.001365247104,0.0,0.0,0.0,264243456.0,66060864.0,109052544.0,1.6507889451763755,0.0,2.6604345599999992,0.03974228094903961,0.15689409000525475,57.113173759999995,523.7882483199999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kvflow_like,neutral,smoke_debate_0,debate,101,33.455224959999995,5.649605119999999,9.113999999999999,9.113999999999999,29.89069722877751,184549376.0,113246208.0,0.38636363636363635,1.6296296296296295,113246208.0,0.0,9.873467520000002,45.56999999999999,0.0,0.001233126528,0.001233126528,0.0,0.0,0.0,2304.0,576.0,768.0,1.3333333333333333,0.0,0.011023039999999998,0.036860655442443636,0.17026488408942386,55.43545216,479.8481471999999,0.0,0.0,16777216.0,0.0,0.8,4.0,0.0,0.0
kvflow_like,neutral,smoke_debate_1,debate,101,33.455224959999995,5.649605119999999,9.113999999999999,9.113999999999999,29.89069722877751,184549376.0,113246208.0,0.38636363636363635,1.6296296296296295,113246208.0,0.0,9.873467520000002,45.56999999999999,0.0,0.001233126528,0.001233126528,0.0,0.0,0.0,2304.0,576.0,768.0,1.3333333333333333,0.0,0.011023039999999998,0.036860655442443636,0.17026488408942386,55.43545216,479.8481471999999,0.0,0.0,16777216.0,0.0,0.8,4.0,0.0,0.0
continuum_like,neutral,smoke_debate_0,debate,101,35.03956959999999,6.161652959999998,9.113999999999999,9.113999999999999,28.53916333492864,184549376.0,184549376.0,0.0,1.0,184549376.0,0.0,12.391042239999997,45.56999999999999,0.0,0.001344275328,0.001344275328,0.0,0.0,0.0,222299904.0,74099968.0,109052544.0,1.4716948865618944,0.0,2.2379990399999996,0.036241360681553585,0.16256620914658723,55.729053439999994,504.9040601599999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
continuum_like,neutral,smoke_debate_1,debate,101,35.03956959999999,6.161652959999998,9.113999999999999,9.113999999999999,28.53916333492864,184549376.0,184549376.0,0.0,1.0,184549376.0,0.0,12.391042239999997,45.56999999999999,0.0,0.001344275328,0.001344275328,0.0,0.0,0.0,222299904.0,74099968.0,109052544.0,1.4716948865618944,0.0,2.2379990399999996,0.036241360681553585,0.16256620914658723,55.729053439999994,504.9040601599999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
waferagent_full,neutral,smoke_debate_0,debate,101,33.323383039999996,5.647599999999999,9.113999999999999,9.114,30.008957938023332,184549376.0,113246208.0,0.38636363636363635,1.6296296296296295,113246208.0,0.0,9.73962304,45.56999999999999,0.0,0.001233125376,0.001233125376,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.09742531271318765,0.10519293947967101,55.30962303999999,477.8645055999999,0.0,0.0,16777216.0,0.0,0.8,4.0,0.0,0.0
waferagent_full,neutral,smoke_debate_1,debate,101,33.323383039999996,5.647599999999999,9.113999999999999,9.114,30.008957938023332,184549376.0,113246208.0,0.38636363636363635,1.6296296296296295,113246208.0,0.0,9.73962304,45.56999999999999,0.0,0.001233125376,0.001233125376,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.09742531271318765,0.10519293947967101,55.30962303999999,477.8645055999999,0.0,0.0,16777216.0,0.0,0.8,4.0,0.0,0.0
