nodes,edges,max_fan_in,max_fan_out,avg_fan_in,avg_fan_out,unique_shared_prefixes,shared_prefix_reuse_events,unique_shared_tokens,logical_shared_tokens,shared_prefix_ratio,job_id,workload,critical_path_weight,total_work_weight
9,8,4,1,0.8888888888888888,0.8888888888888888,1,8,1280,9728,0.5,debate_job_0,debate,7104.0,20544.0
9,8,4,1,0.8888888888888888,0.8888888888888888,1,8,1280,9728,0.5,debate_job_1,debate,7104.0,20544.0
9,8,4,1,0.8888888888888888,0.8888888888888888,1,8,1280,9728,0.5,debate_job_2,debate,7104.0,20544.0
9,8,4,1,0.8888888888888888,0.8888888888888888,1,8,1280,9728,0.5,debate_job_3,debate,7104.0,20544.0
9,8,4,1,0.8888888888888888,0.8888888888888888,1,8,1280,9728,0.5,debate_job_4,debate,7104.0,20544.0
9,8,4,1,0.8888888888888888,0.8888888888888888,1,8,1280,9728,0.5,debate_job_5,debate,7104.0,20544.0
9,8,4,1,0.8888888888888888,0.8888888888888888,1,8,1280,9728,0.5,debate_job_6,debate,7104.0,20544.0
9,8,4,1,0.8888888888888888,0.8888888888888888,1,8,1280,9728,0.5,debate_job_7,debate,7104.0,20544.0
9,8,4,1,0.8888888888888888,0.8888888888888888,1,8,1280,9728,0.5,debate_job_8,debate,7104.0,20544.0
9,8,4,1,0.8888888888888888,0.8888888888888888,1,8,1280,9728,0.5,debate_job_9,debate,7104.0,20544.0
9,8,4,1,0.8888888888888888,0.8888888888888888,1,8,1280,9728,0.5,debate_job_10,debate,7104.0,20544.0
9,8,4,1,0.8888888888888888,0.8888888888888888,1,8,1280,9728,0.5,debate_job_11,debate,7104.0,20544.0
9,8,4,1,0.8888888888888888,0.8888888888888888,1,8,1280,9728,0.5,debate_job_12,debate,7104.0,20544.0
9,8,4,1,0.8888888888888888,0.8888888888888888,1,8,1280,9728,0.5,debate_job_13,debate,7104.0,20544.0
9,8,4,1,0.8888888888888888,0.8888888888888888,1,8,1280,9728,0.5,debate_job_14,debate,7104.0,20544.0
9,8,4,1,0.8888888888888888,0.8888888888888888,1,8,1280,9728,0.5,debate_job_15,debate,7104.0,20544.0
9,8,4,1,0.8888888888888888,0.8888888888888888,1,8,1280,9728,0.5,debate_job_16,debate,7104.0,20544.0
9,8,4,1,0.8888888888888888,0.8888888888888888,1,8,1280,9728,0.5,debate_job_17,debate,7104.0,20544.0
9,8,4,1,0.8888888888888888,0.8888888888888888,1,8,1280,9728,0.5,debate_job_18,debate,7104.0,20544.0
9,8,4,1,0.8888888888888888,0.8888888888888888,1,8,1280,9728,0.5,debate_job_19,debate,7104.0,20544.0
9,20,4,4,2.2222222222222223,2.2222222222222223,1,8,1280,10496,0.5,moa_job_0,moa,7488.0,22080.0
9,20,4,4,2.2222222222222223,2.2222222222222223,1,8,1280,10496,0.5,moa_job_1,moa,7488.0,22080.0
9,20,4,4,2.2222222222222223,2.2222222222222223,1,8,1280,10496,0.5,moa_job_2,moa,7488.0,22080.0
9,20,4,4,2.2222222222222223,2.2222222222222223,1,8,1280,10496,0.5,moa_job_3,moa,7488.0,22080.0
9,20,4,4,2.2222222222222223,2.2222222222222223,1,8,1280,10496,0.5,moa_job_4,moa,7488.0,22080.0
9,20,4,4,2.2222222222222223,2.2222222222222223,1,8,1280,10496,0.5,moa_job_5,moa,7488.0,22080.0
9,20,4,4,2.2222222222222223,2.2222222222222223,1,8,1280,10496,0.5,moa_job_6,moa,7488.0,22080.0
9,20,4,4,2.2222222222222223,2.2222222222222223,1,8,1280,10496,0.5,moa_job_7,moa,7488.0,22080.0
9,20,4,4,2.2222222222222223,2.2222222222222223,1,8,1280,10496,0.5,moa_job_8,moa,7488.0,22080.0
9,20,4,4,2.2222222222222223,2.2222222222222223,1,8,1280,10496,0.5,moa_job_9,moa,7488.0,22080.0
9,20,4,4,2.2222222222222223,2.2222222222222223,1,8,1280,10496,0.5,moa_job_10,moa,7488.0,22080.0
9,20,4,4,2.2222222222222223,2.2222222222222223,1,8,1280,10496,0.5,moa_job_11,moa,7488.0,22080.0
9,20,4,4,2.2222222222222223,2.2222222222222223,1,8,1280,10496,0.5,moa_job_12,moa,7488.0,22080.0
9,20,4,4,2.2222222222222223,2.2222222222222223,1,8,1280,10496,0.5,moa_job_13,moa,7488.0,22080.0
9,20,4,4,2.2222222222222223,2.2222222222222223,1,8,1280,10496,0.5,moa_job_14,moa,7488.0,22080.0
9,20,4,4,2.2222222222222223,2.2222222222222223,1,8,1280,10496,0.5,moa_job_15,moa,7488.0,22080.0
9,20,4,4,2.2222222222222223,2.2222222222222223,1,8,1280,10496,0.5,moa_job_16,moa,7488.0,22080.0
9,20,4,4,2.2222222222222223,2.2222222222222223,1,8,1280,10496,0.5,moa_job_17,moa,7488.0,22080.0
9,20,4,4,2.2222222222222223,2.2222222222222223,1,8,1280,10496,0.5,moa_job_18,moa,7488.0,22080.0
9,20,4,4,2.2222222222222223,2.2222222222222223,1,8,1280,10496,0.5,moa_job_19,moa,7488.0,22080.0
15,17,4,4,1.1333333333333333,1.1333333333333333,1,14,1280,11712,0.5,planner_worker_tool_job_0,planner_worker_tool,11540.0,25232.0
15,17,4,4,1.1333333333333333,1.1333333333333333,1,14,1280,11712,0.5,planner_worker_tool_job_1,planner_worker_tool,11540.0,25232.0
15,17,4,4,1.1333333333333333,1.1333333333333333,1,14,1280,11712,0.5,planner_worker_tool_job_2,planner_worker_tool,11540.0,25232.0
15,17,4,4,1.1333333333333333,1.1333333333333333,1,14,1280,11712,0.5,planner_worker_tool_job_3,planner_worker_tool,11540.0,25232.0
15,17,4,4,1.1333333333333333,1.1333333333333333,1,14,1280,11712,0.5,planner_worker_tool_job_4,planner_worker_tool,11540.0,25232.0
15,17,4,4,1.1333333333333333,1.1333333333333333,1,14,1280,11712,0.5,planner_worker_tool_job_5,planner_worker_tool,11540.0,25232.0
15,17,4,4,1.1333333333333333,1.1333333333333333,1,14,1280,11712,0.5,planner_worker_tool_job_6,planner_worker_tool,11540.0,25232.0
15,17,4,4,1.1333333333333333,1.1333333333333333,1,14,1280,11712,0.5,planner_worker_tool_job_7,planner_worker_tool,11540.0,25232.0
15,17,4,4,1.1333333333333333,1.1333333333333333,1,14,1280,11712,0.5,planner_worker_tool_job_8,planner_worker_tool,11540.0,25232.0
15,17,4,4,1.1333333333333333,1.1333333333333333,1,14,1280,11712,0.5,planner_worker_tool_job_9,planner_worker_tool,11540.0,25232.0
15,17,4,4,1.1333333333333333,1.1333333333333333,1,14,1280,11712,0.5,planner_worker_tool_job_10,planner_worker_tool,11540.0,25232.0
15,17,4,4,1.1333333333333333,1.1333333333333333,1,14,1280,11712,0.5,planner_worker_tool_job_11,planner_worker_tool,11540.0,25232.0
15,17,4,4,1.1333333333333333,1.1333333333333333,1,14,1280,11712,0.5,planner_worker_tool_job_12,planner_worker_tool,11540.0,25232.0
15,17,4,4,1.1333333333333333,1.1333333333333333,1,14,1280,11712,0.5,planner_worker_tool_job_13,planner_worker_tool,11540.0,25232.0
15,17,4,4,1.1333333333333333,1.1333333333333333,1,14,1280,11712,0.5,planner_worker_tool_job_14,planner_worker_tool,11540.0,25232.0
15,17,4,4,1.1333333333333333,1.1333333333333333,1,14,1280,11712,0.5,planner_worker_tool_job_15,planner_worker_tool,11540.0,25232.0
15,17,4,4,1.1333333333333333,1.1333333333333333,1,14,1280,11712,0.5,planner_worker_tool_job_16,planner_worker_tool,11540.0,25232.0
