baseline,mechanism_profile,job_id,workload,seed,job_completion_time_ms,p50_latency_ms,p90_latency_ms,p99_latency_ms,goodput_jobs_per_s,naive_kv_bytes,kv_bytes_total,kv_saving_ratio,kv_duplication_ratio,sram_peak_occupancy_bytes,sram_overflow_bytes,prefill_ms_total,decode_ms_total,queue_wait_ms_total,energy_estimated_j,energy_per_job_j,tool_pause_ms,resume_prefill_ms,resume_reload_bytes,mesh_total_traffic_bytes,mesh_avg_link_load_bytes,mesh_max_link_load_bytes,mesh_hotspot_ratio,mesh_wait_ms,communication_time_ms,prefill_tile_utilization,decode_tile_utilization,tile_busy_time_ms,tile_idle_time_ms,pd_interference_ms,sram_evictions,sram_reload_bytes,sram_spill_bytes,sram_hit_rate,prefix_block_reuse_count,ttl_pinned_bytes,ttl_eviction_avoided_count,shared_prefix_ratio
wafer_naive,neutral,sensitivity_shared_prefix_ratio_0.0,debate,19,546.6745469522509,13.600682578062678,91.46912816000011,122.38540769599997,1.8292419238742144,5100273664.0,5100273664.0,0.0,1.0,536870912,4563402752.0,1140.3792694400008,239.8373212490028,0.0,0.0249745721344,0.0249745721344,0.0,0.0,0.0,44090565632.0,2593562684.2352943,4831838720.0,1.863012122039632,0.0,881.8543126399998,0.00019248225800734428,0.0005105451514215558,715.9864389780057,2238462.957877442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
waferagent_full,neutral,sensitivity_shared_prefix_ratio_0.0,debate,19,131.59681767225072,10.834034719999995,13.600682578062674,13.600682578062676,7.598967951417763,5100273664.0,5100273664.0,0.0,1.0,536870912,4563402752.0,156.53696896000008,239.8373212490028,0.0,0.0161564622848,0.0161564622848,0.0,0.0,0.0,16384.0,2340.5714285714284,6144.0,2.625,0.0006614399999875786,0.00578911999998758,0.0007615154589916441,0.0013717973694454325,613.9809656980057,538406.5842198409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wafer_naive,neutral,sensitivity_shared_prefix_ratio_0.25,debate,19,546.6745469522509,13.600682578062678,91.46912816000011,122.38540769599997,1.8292419238742144,5100273664.0,5100273664.0,0.0,1.0,536870912,4563402752.0,1140.3792694400008,239.8373212490028,0.0,0.0249745721344,0.0249745721344,0.0,0.0,0.0,44090565632.0,2593562684.2352943,4831838720.0,1.863012122039632,0.0,881.8543126399998,0.00019248225800734428,0.0005105451514215558,715.9864389780057,2238462.957877442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
waferagent_full,neutral,sensitivity_shared_prefix_ratio_0.25,debate,19,131.93215175225072,10.834034719999991,13.600682578062676,13.600682578062681,7.579653531899137,5100273664.0,3909091328.0,0.23355263157894735,1.3047210300429184,536870912,3372220416.0,156.87251328000008,239.8373212490028,0.0,0.0161564622848,0.0161564622848,0.0,0.0,0.0,16384.0,2340.5714285714284,6144.0,2.625,0.0006614399999875786,0.00578911999998758,0.0007612081420940248,0.0013683106499254383,614.3165100180056,539779.777067201,0.0,0.0,67108864.0,0.0,0.9444444444444444,17.0,0.0,0.0,0.25
wafer_naive,neutral,sensitivity_shared_prefix_ratio_0.5,debate,19,546.6745469522509,13.600682578062678,91.46912816000011,122.38540769599997,1.8292419238742144,5100273664.0,5100273664.0,0.0,1.0,536870912,4563402752.0,1140.3792694400008,239.8373212490028,0.0,0.0249745721344,0.0249745721344,0.0,0.0,0.0,44090565632.0,2593562684.2352943,4831838720.0,1.863012122039632,0.0,881.8543126399998,0.00019248225800734428,0.0005105451514215558,715.9864389780057,2238462.957877442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
waferagent_full,neutral,sensitivity_shared_prefix_ratio_0.5,debate,19,132.26769607225071,10.834034719999991,13.600682578062676,13.60068257806268,7.560425029659199,5100273664.0,2717908992.0,0.4671052631578947,1.876543209876543,536870912,2181038080.0,157.20805760000007,239.8373212490028,0.0,0.0161564622848,0.0161564622848,0.0,0.0,0.0,16384.0,2340.5714285714284,6144.0,2.625,0.0006614399999875786,0.00578911999998758,0.0007609011740031825,0.0013648394405507234,614.6520543380057,541153.8310576009,0.0,0.0,134217728.0,0.0,0.9444444444444444,17.0,0.0,0.0,0.5
wafer_naive,neutral,sensitivity_shared_prefix_ratio_0.75,debate,19,546.6745469522509,13.600682578062678,91.46912816000011,122.38540769599997,1.8292419238742144,5100273664.0,5100273664.0,0.0,1.0,536870912,4563402752.0,1140.3792694400008,239.8373212490028,0.0,0.0249745721344,0.0249745721344,0.0,0.0,0.0,44090565632.0,2593562684.2352943,4831838720.0,1.863012122039632,0.0,881.8543126399998,0.00019248225800734428,0.0005105451514215558,715.9864389780057,2238462.957877442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75
waferagent_full,neutral,sensitivity_shared_prefix_ratio_0.75,debate,19,132.6032403922507,10.834034719999991,13.600682578062676,13.60068257806268,7.541293840496825,5100273664.0,1526726656.0,0.700657894736842,3.340659340659341,536870912,989855744.0,157.54360192000007,239.8373212490028,0.0,0.0161564622848,0.0161564622848,0.0,0.0,0.0,16384.0,2340.5714285714284,6144.0,2.625,0.0006614399999875786,0.00578911999998758,0.0007605957594399767,0.0013613857985384007,614.9875986580057,542527.885048001,0.0,0.0,201326592.0,0.0,0.9444444444444444,17.0,0.0,0.0,0.75
wafer_naive,neutral,sensitivity_shared_prefix_ratio_0.9,debate,19,546.6745469522509,13.600682578062678,91.46912816000011,122.38540769599997,1.8292419238742144,5100273664.0,5100273664.0,0.0,1.0,536870912,4563402752.0,1140.3792694400008,239.8373212490028,0.0,0.0249745721344,0.0249745721344,0.0,0.0,0.0,44090565632.0,2593562684.2352943,4831838720.0,1.863012122039632,0.0,881.8543126399998,0.00019248225800734428,0.0005105451514215558,715.9864389780057,2238462.957877442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9
waferagent_full,neutral,sensitivity_shared_prefix_ratio_0.9,debate,19,132.8044359122507,10.834034719999991,13.600682578062674,13.600682578062678,7.529868962063441,5100273664.0,812646400.0,0.8406661184210527,6.276129032258065,536870912,275775488.0,157.74479744000007,239.8373212490028,0.0,0.0161564622848,0.0161564622848,0.0,0.0,0.0,16384.0,2340.5714285714284,6144.0,2.625,0.0006614399999875786,0.00578911999998758,0.0007604133701370014,0.0013593233318611694,615.1887941780057,543351.780702401,0.0,0.0,241565696.0,0.0,0.9444444444444444,17.0,0.0,0.0,0.9
