baseline,n,job_completion_time_ms_mean,job_completion_time_ms_std,job_completion_time_ms_ci95,p50_latency_ms_mean,p50_latency_ms_std,p50_latency_ms_ci95,p90_latency_ms_mean,p90_latency_ms_std,p90_latency_ms_ci95,p99_latency_ms_mean,p99_latency_ms_std,p99_latency_ms_ci95,goodput_jobs_per_s_mean,goodput_jobs_per_s_std,goodput_jobs_per_s_ci95,naive_kv_bytes_mean,naive_kv_bytes_std,naive_kv_bytes_ci95,kv_bytes_total_mean,kv_bytes_total_std,kv_bytes_total_ci95,kv_saving_ratio_mean,kv_saving_ratio_std,kv_saving_ratio_ci95,kv_duplication_ratio_mean,kv_duplication_ratio_std,kv_duplication_ratio_ci95,sram_peak_occupancy_bytes_mean,sram_peak_occupancy_bytes_std,sram_peak_occupancy_bytes_ci95,sram_overflow_bytes_mean,sram_overflow_bytes_std,sram_overflow_bytes_ci95,prefill_ms_total_mean,prefill_ms_total_std,prefill_ms_total_ci95,decode_ms_total_mean,decode_ms_total_std,decode_ms_total_ci95,queue_wait_ms_total_mean,queue_wait_ms_total_std,queue_wait_ms_total_ci95,energy_estimated_j_mean,energy_estimated_j_std,energy_estimated_j_ci95,energy_per_job_j_mean,energy_per_job_j_std,energy_per_job_j_ci95,tool_pause_ms_mean,tool_pause_ms_std,tool_pause_ms_ci95,resume_prefill_ms_mean,resume_prefill_ms_std,resume_prefill_ms_ci95,resume_reload_bytes_mean,resume_reload_bytes_std,resume_reload_bytes_ci95,mesh_total_traffic_bytes_mean,mesh_total_traffic_bytes_std,mesh_total_traffic_bytes_ci95,mesh_avg_link_load_bytes_mean,mesh_avg_link_load_bytes_std,mesh_avg_link_load_bytes_ci95,mesh_max_link_load_bytes_mean,mesh_max_link_load_bytes_std,mesh_max_link_load_bytes_ci95,mesh_hotspot_ratio_mean,mesh_hotspot_ratio_std,mesh_hotspot_ratio_ci95,mesh_wait_ms_mean,mesh_wait_ms_std,mesh_wait_ms_ci95,communication_time_ms_mean,communication_time_ms_std,communication_time_ms_ci95,prefill_tile_utilization_mean,prefill_tile_utilization_std,prefill_tile_utilization_ci95,decode_tile_utilization_mean,decode_tile_utilization_std,decode_tile_utilization_ci95,tile_busy_time_ms_mean,tile_busy_time_ms_std,tile_busy_time_ms_ci95,tile_idle_time_ms_mean,tile_idle_time_ms_std,tile_idle_time_ms_ci95,pd_interference_ms_mean,pd_interference_ms_std,pd_interference_ms_ci95,sram_evictions_mean,sram_evictions_std,sram_evictions_ci95,sram_reload_bytes_mean,sram_reload_bytes_std,sram_reload_bytes_ci95,sram_spill_bytes_mean,sram_spill_bytes_std,sram_spill_bytes_ci95,sram_hit_rate_mean,sram_hit_rate_std,sram_hit_rate_ci95,prefix_block_reuse_count_mean,prefix_block_reuse_count_std,prefix_block_reuse_count_ci95,ttl_pinned_bytes_mean,ttl_pinned_bytes_std,ttl_pinned_bytes_ci95,ttl_eviction_avoided_count_mean,ttl_eviction_avoided_count_std,ttl_eviction_avoided_count_ci95,calibration_loaded_mean,calibration_loaded_std,calibration_loaded_ci95,calibration_coeff_count_mean,calibration_coeff_count_std,calibration_coeff_count_ci95
continuum_like,100,3596.5651863566436,1040.7403117552549,203.98510110402995,548.8450117787348,220.98519382939605,43.31309799056162,860.161388457164,70.30896215876822,13.780556583118573,921.6046350759652,77.28806081194959,15.148459919142121,0.3020860983427091,0.08561306956461445,0.01678016163466443,2469003264.0,455275934.78227633,89234083.21732616,2469003264.0,455275934.78227633,89234083.21732616,0.0,0.0,0.0,1.0,0.0,0.0,536870912.0,0.0,0.0,1932132352.0,455275934.78227633,89234083.21732616,381.8238199516642,84.99381584543617,16.658787905705488,6961.874339807733,1300.0559630233818,254.81096875258282,0.0,0.0,0.0,0.009142989015039998,0.0017294190275777268,0.0003389661294052345,0.009142989015039998,0.0017294190275777268,0.0003389661294052345,1000.0,1556.997888323046,305.171586111317,2.2491955199999993,2.7690817280673343,0.5427400187011975,449839104.0,553816345.613467,108548003.74023953,6515635251.2,2377127013.9557076,465916894.73531866,527744447.0550043,399590968.9275757,78319829.90980484,1698564608.0,384985173.78357,75457094.06157972,4.089847741535737,1.2970919943000152,0.254230030882803,0.0,0.0,0.0,130.323905024,47.54448254099195,9.318718578034423,3.0967910933385354e-05,1.1267661765127023e-05,2.2084617059648967e-06,0.0024859678739924036,0.0007503315638233345,0.00014706498650937357,13901.448610671556,2367.0933255747623,463.95029181265335,14717629.554706141,4261878.245308056,835328.1360803789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,202.0,0.0,0.0
kvflow_like,100,3526.71312786487,1039.7972019860285,203.8002515892616,539.0189362217038,228.99533748249473,44.88308614656897,860.161388457164,70.30896215876821,13.780556583118571,921.604635075965,77.2880608119496,15.148459919142123,0.30931868883939845,0.09005094478327937,0.017649985177522757,2469003264.0,455275934.78227633,89234083.21732616,1308858777.6,334046323.0314457,65473079.31416335,0.4716464139556703,0.0838243977656176,0.01642958196206105,1.9554371007499511,0.4004080877548089,0.07847998519994255,536870912.0,0.0,0.0,771987865.6,334046323.0314456,65473079.31416334,242.74927095966393,46.21742847590593,9.058615981277564,6961.874339807733,1300.0559630233818,254.81096875258282,0.0,0.0,0.0,0.007845576878080001,0.0014175742818802693,0.00027784455924853276,0.007845576878080001,0.0014175742818802693,0.00027784455924853276,1000.0,1556.997888323046,305.171586111317,0.570425344,1.1465980830044888,0.22473322426887982,28521267.2,57329904.15022445,11236661.21344399,28574566.4,57316258.268890336,11233986.620702505,4760263.54871795,9553796.190636834,1872544.0533648194,28533964.8,57324553.37479325,11235612.461459477,3.0442391943554967,1.563155750154467,0.30637852703027557,0.0,0.0,0.0,0.5787313280000002,1.1449065450206595,0.22440168282404924,3.054406524288517e-05,1.128536290476967e-05,2.2119311293348555e-06,0.002546539318861567,0.0007901532651731489,0.00015487003997393718,13892.115104623557,2364.894329315771,463.5192885458911,14431524.856629884,4258046.199257849,834577.0550545383,0.0,0.0,0.0,0.0,0.0,0.0,149317222.4,26338874.429944124,5162419.388269048,0.0,0.0,0.0,0.8790404040404041,0.02543551695953081,0.004985361324068039,7.6,1.6329931618554518,0.32006665972366855,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,202.0,0.0,0.0
oracle,100,2296.789289110481,768.9090428627915,150.70617240110712,327.23073204804257,139.02600364846674,27.249096715099483,600.78229036991,200.61927905020178,39.32137869383955,707.2351784057315,218.91736643624776,42.90780382150456,0.4883088695084919,0.1640953895378914,0.032162696349426714,2469003264.0,455275934.78227633,89234083.21732616,1308858777.6,334046323.0314457,65473079.31416335,0.4716464139556703,0.0838243977656176,0.01642958196206105,1.9554371007499511,0.4004080877548089,0.07847998519994255,1014523494.4,105203654.8305066,20619916.346779294,294335283.2,255552200.57161963,50088231.312037446,146.22855547318642,29.417508198982947,5.765831607000658,4226.536104597847,789.2606498651332,154.6950873735661,0.0,0.0,0.0,0.00783986286592,0.00142654528025564,0.00027960287493010547,0.00783986286592,0.00142654528025564,0.00027960287493010547,1000.0,1556.997888323046,305.171586111317,0.142606336,0.2866495207511222,0.056183306067219954,28521267.2,57329904.15022445,11236661.21344399,4505.6,6950.822510736235,1362.361212104302,915.2,859.9982147033382,168.55965008185427,1536.0,1999.5894528122467,391.91953275120034,1.2732394366197184,0.5492319328458792,0.10764945883779234,0.5643347396269792,1.2743429986140875,0.24977122772836116,0.5653448516269792,1.2753958674153874,0.24997759001341593,0.00017501635957718105,7.317082322076711e-05,1.4341481351270353e-05,0.0024507429833824684,0.0008812885009174485,0.00017273254617981992,16865.01559034723,2871.5051603841735,562.815011435298,9390783.912606182,3148530.6955121197,617112.0163203755,0.0,0.0,0.0,0.0,0.0,0.0,149317222.4,26338874.429944124,5162419.388269048,0.0,0.0,0.0,0.8790404040404041,0.02543551695953081,0.004985361324068039,7.6,1.6329931618554518,0.32006665972366855,224814694.4,276779125.96622133,54248708.68937938,0.0,0.0,0.0,1.0,0.0,0.0,202.0,0.0,0.0
wafer_naive,100,3679.002630388643,1089.8539576182636,213.61137569317967,554.8296191427163,216.00703049727926,42.33737797746674,860.161388457164,70.3089621587682,13.780556583118567,921.604635075965,77.28806081194959,15.148459919142121,0.2962134020902392,0.08499941345642405,0.01665988503745911,2469003264.0,455275934.78227633,89234083.21732616,2469003264.0,455275934.78227633,89234083.21732616,0.0,0.0,0.0,1.0,0.0,0.0,536870912.0,0.0,0.0,1932132352.0,455275934.78227633,89234083.21732616,523.2528483036626,164.63141904240462,32.2677581323113,6961.874339807733,1300.0559630233818,254.81096875258282,0.0,0.0,0.0,0.010187650017279996,0.0024985442264011037,0.0004897146683746163,0.010187650017279996,0.0024985442264011037,0.0004897146683746163,1000.0,1556.997888323046,305.171586111317,8.996782079999997,11.076326912269337,2.17096007480479,449839104.0,553816345.613467,108548003.74023953,11738940262.4,5726209845.252233,1122337129.6694376,1306166000.152381,213511483.65500125,41848250.796380244,2249119846.4,373301249.1546109,73167044.83430372,1.721297596029824,0.015446205245548107,0.003027456228127429,0.0,0.0,0.0,234.794005248,114.52937411505957,22.447757326551674,3.4797254544596324e-05,1.2652161132842546e-05,2.479823582037139e-06,0.0024357475611286182,0.0007411209564196034,0.00014525970745824226,13938.408162159552,2373.48568923065,465.2031950892075,15055256.365909722,4463004.39165436,874748.8607642546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,202.0,0.0,0.0
waferagent_full,100,3524.3569208537847,1039.4122550073448,203.72480198143958,539.0085694217039,229.00114670947775,44.88422475505764,860.161388457164,70.30896215876821,13.780556583118571,921.604635075965,77.28806081194959,15.148459919142121,0.3095267570351552,0.09009269974745783,0.017658169150501734,2469003264.0,455275934.78227633,89234083.21732616,1308858777.6,334046323.0314457,65473079.31416335,0.4716464139556703,0.0838243977656176,0.01642958196206105,1.9554371007499511,0.4004080877548089,0.07847998519994255,536870912.0,0.0,0.0,771987865.6,334046323.0314456,65473079.31416334,240.86454363670288,48.45564318540859,9.497306064340084,6961.874339807733,1300.0559630233818,254.81096875258282,0.0,0.0,0.0,0.00783986286592,0.00142654528025564,0.00027960287493010547,0.00783986286592,0.00142654528025564,0.00027960287493010547,1000.0,1556.997888323046,305.171586111317,0.142606336,0.2866495207511222,0.056183306067219954,28521267.2,57329904.15022445,11236661.21344399,4505.6,6950.822510736235,1362.361212104302,915.2,859.9982147033382,168.55965008185427,1536.0,1999.5894528122467,391.91953275120034,1.2732394366197184,0.5492319328458792,0.10764945883779234,0.929525413038964,2.0990067487305004,0.41140532275117814,0.9305355250389639,2.1000595514180502,0.4116116720779378,9.086111331965723e-05,3.372865578264747e-05,6.610816533398903e-06,0.001274468135718234,0.0003953003627093219,7.747887109102709e-05,13889.875346287556,2364.945856129887,463.52938780145786,14421876.072470818,4256467.426987088,834267.6156894693,0.0,0.0,0.0,0.0,0.0,0.0,149317222.4,26338874.429944124,5162419.388269048,0.0,0.0,0.0,0.8790404040404041,0.02543551695953081,0.004985361324068039,7.6,1.6329931618554518,0.32006665972366855,224814694.4,276779125.96622133,54248708.68937938,0.0,0.0,0.0,1.0,0.0,0.0,202.0,0.0,0.0
