baseline,mechanism_profile,job_id,workload,seed,job_completion_time_ms,p50_latency_ms,p90_latency_ms,p99_latency_ms,goodput_jobs_per_s,naive_kv_bytes,kv_bytes_total,kv_saving_ratio,kv_duplication_ratio,sram_peak_occupancy_bytes,sram_overflow_bytes,prefill_ms_total,decode_ms_total,queue_wait_ms_total,energy_estimated_j,energy_per_job_j,tool_pause_ms,resume_prefill_ms,resume_reload_bytes,mesh_total_traffic_bytes,mesh_avg_link_load_bytes,mesh_max_link_load_bytes,mesh_hotspot_ratio,mesh_wait_ms,communication_time_ms,prefill_tile_utilization,decode_tile_utilization,tile_busy_time_ms,tile_idle_time_ms,pd_interference_ms,sram_evictions,sram_reload_bytes,sram_spill_bytes,sram_hit_rate,prefix_block_reuse_count,ttl_pinned_bytes,ttl_eviction_avoided_count,sram_per_tile_mb
wafer_naive,neutral,sensitivity_sram_per_tile_mb_2,sram_pressure_debate,19,4529.030978533006,19.31468261649915,1113.8769631411935,1371.0237107731937,0.22079778317698964,71940702208.0,71940702208.0,0.0,1.0,134217728,71806484480.0,45623.78975778472,892.6700849960112,0.0,0.6585804178432,0.6585804178432,0.0,0.0,0.0,2197433770496.0,33294451068.121212,69776442368.0,2.0957378821244355,0.0,43949.41080991999,0.0006071393146244227,0.00023751776199088675,8519.25631167886,18542391.631759517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
waferagent_full,neutral,sensitivity_sram_per_tile_mb_2,sram_pressure_debate,19,1405.8098192971515,16.222915978918685,191.04853056619157,488.0283895933045,0.7113337709505827,71940702208.0,36641439744.0,0.4906716417910447,1.9633699633699633,134217728,36507222016.0,7087.52928508473,892.6700849960115,0.0,0.256567442944,0.256567442944,0.0,0.0,0.0,187368896000.0,1171055600.0,12851428352.0,10.974225606367451,3599.006059958925,7346.5159799588955,0.0011596128888211761,0.001292950893426107,6859.103920453791,5751337.9159206785,0.0,0.0,35970351104.0,27111981056.0,0.0,65.0,0.0,0.0,2
wafer_naive,neutral,sensitivity_sram_per_tile_mb_4,sram_pressure_debate,19,4529.030978533006,19.31468261649915,1113.8769631411935,1371.0237107731937,0.22079778317698964,71940702208.0,71940702208.0,0.0,1.0,268435456,71672266752.0,45623.78975778472,892.6700849960112,0.0,0.6585804178432,0.6585804178432,0.0,0.0,0.0,2197433770496.0,33294451068.121212,69776442368.0,2.0957378821244355,0.0,43949.41080991999,0.0006071393146244227,0.00023751776199088675,8519.25631167886,18542391.631759517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
waferagent_full,neutral,sensitivity_sram_per_tile_mb_4,sram_pressure_debate,19,1235.5321968054484,16.099245313415466,166.6419981951845,422.14857927029647,0.8093678194591507,71940702208.0,36641439744.0,0.4906716417910447,1.9633699633699633,268435456,36373004288.0,6212.073778231692,892.6700849960115,0.0,0.251332951552,0.251332951552,0.0,0.0,0.0,161196439040.0,1007477744.0,11106597888.0,11.02416202655093,3012.9002007170284,6236.960981517002,0.0013024878408757132,0.0014711418015225216,6793.6782336227325,5053946.199881494,0.0,0.0,35970351104.0,18253611008.0,0.0,65.0,0.0,0.0,4
wafer_naive,neutral,sensitivity_sram_per_tile_mb_8,sram_pressure_debate,19,4529.030978533006,19.31468261649915,1113.8769631411935,1371.0237107731937,0.22079778317698964,71940702208.0,71940702208.0,0.0,1.0,536870912,71403831296.0,45623.78975778472,892.6700849960112,0.0,0.6585804178432,0.6585804178432,0.0,0.0,0.0,2197433770496.0,33294451068.121212,69776442368.0,2.0957378821244355,0.0,43949.41080991999,0.0006071393146244227,0.00023751776199088675,8519.25631167886,18542391.631759517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
waferagent_full,neutral,sensitivity_sram_per_tile_mb_8,sram_pressure_debate,19,186.95184484995227,15.357221320396098,17.49246933948323,19.56743633975919,5.3489710187273145,71940702208.0,36641439744.0,0.4906716417910447,1.9633699633699633,536870912,36104568832.0,1151.478323296161,892.6700849960114,0.0,0.2190938532864,0.2190938532864,0.0,0.0,0.0,947712.0,5923.2,80896.0,13.657482441923285,3.0467129320762645,3.158667172076265,0.007928998645829187,0.009722520060212769,6396.911500449611,759357.8450049548,0.0,0.0,536870912.0,0.0,0.9848484848484849,65.0,0.0,0.0,8
wafer_naive,neutral,sensitivity_sram_per_tile_mb_16,sram_pressure_debate,19,4529.030978533006,19.31468261649915,1113.8769631411935,1371.0237107731937,0.22079778317698964,71940702208.0,71940702208.0,0.0,1.0,1073741824,70866960384.0,45623.78975778472,892.6700849960112,0.0,0.6585804178432,0.6585804178432,0.0,0.0,0.0,2197433770496.0,33294451068.121212,69776442368.0,2.0957378821244355,0.0,43949.41080991999,0.0006071393146244227,0.00023751776199088675,8519.25631167886,18542391.631759517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16
waferagent_full,neutral,sensitivity_sram_per_tile_mb_16,sram_pressure_debate,19,186.95184484995227,15.357221320396098,17.49246933948323,19.56743633975919,5.3489710187273145,71940702208.0,36641439744.0,0.4906716417910447,1.9633699633699633,1073741824,35567697920.0,1151.478323296161,892.6700849960114,0.0,0.2190938532864,0.2190938532864,0.0,0.0,0.0,947712.0,5923.2,80896.0,13.657482441923285,3.0467129320762645,3.158667172076265,0.007928998645829187,0.009722520060212769,6396.911500449611,759357.8450049548,0.0,0.0,536870912.0,0.0,0.9848484848484849,65.0,0.0,0.0,16
wafer_naive,neutral,sensitivity_sram_per_tile_mb_32,sram_pressure_debate,19,4529.030978533006,19.31468261649915,1113.8769631411935,1371.0237107731937,0.22079778317698964,71940702208.0,71940702208.0,0.0,1.0,2147483648,69793218560.0,45623.78975778472,892.6700849960112,0.0,0.6585804178432,0.6585804178432,0.0,0.0,0.0,2197433770496.0,33294451068.121212,69776442368.0,2.0957378821244355,0.0,43949.41080991999,0.0006071393146244227,0.00023751776199088675,8519.25631167886,18542391.631759517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32
waferagent_full,neutral,sensitivity_sram_per_tile_mb_32,sram_pressure_debate,19,186.95184484995227,15.357221320396098,17.49246933948323,19.56743633975919,5.3489710187273145,71940702208.0,36641439744.0,0.4906716417910447,1.9633699633699633,2147483648,34493956096.0,1151.478323296161,892.6700849960114,0.0,0.2190938532864,0.2190938532864,0.0,0.0,0.0,947712.0,5923.2,80896.0,13.657482441923285,3.0467129320762645,3.158667172076265,0.007928998645829187,0.009722520060212769,6396.911500449611,759357.8450049548,0.0,0.0,536870912.0,0.0,0.9848484848484849,65.0,0.0,0.0,32
