Wrote 10 real-trace policy results to agent_results/local_h100_long/wafer_replay/m0.5_c2
policy,effective_prefill_tokens,cache_hit_ratio,oracle_gap
nocache,4818392,0.0,6.163397508976422
lru-basic,4333771,0.7878787878787878,1.0
lru-system,4333771,0.7878787878787878,1.0
kvflow-like,4707546,0.4421635711958293,4.982388101047338
asg-retention-v2-graph-only,4240019,0.7039752362333007,0.0011187231639621978
asg-retention-v2-online,4239921,0.7204301075268817,7.458154426414652e-05
asg-retention-v2-trace-stats,4239914,0.7181492342782665,0.0
asg-retention-v2-oracle,4239914,0.7181492342782665,0.0
asg-placement-v2-online,4239921,0.7204301075268817,7.458154426414652e-05
asg-prefetch-v2-online,4239921,0.7204301075268817,7.458154426414652e-05
