baseline,wave_id,time,operator_id,state_id,region_id,policy_before,policy_after,dynamic_hotness_before,dynamic_hotness_after,materialization_bytes,movement_byte_hop,cache_hit
prefix_cache_like,1,0.9100064001343751,O_refine_1,S_rubric,R_0_0,inline,inline,72.98960564478516,72.85324366911036,0,0,True
prefix_cache_like,1,0.9100064001343751,O_refine_1,S_global_context,R_0_0,inline,inline,72.98960564478516,72.85324366911036,0,0,True
prefix_cache_like,1,0.9100064001343751,O_refine_1,S_chunk_1,R_0_0,inline,inline,126.41475,158.7845875,796,796,False
prefix_cache_like,1,0.9100064001343751,O_refine_1,S_running_summary_0,R_0_0,inline,inline,186.12824999999998,233.78836249999998,1172,1172,False
prefix_cache_like,2,2.3440128002881253,O_refine_2,S_task,R_0_0,inline,inline,75.06091771968946,77.34959651779815,0,0,True
prefix_cache_like,2,2.3440128002881253,O_refine_2,S_rubric,R_0_0,inline,inline,72.85324366911036,75.07460838492173,0,0,True
prefix_cache_like,2,2.3440128002881253,O_refine_2,S_global_context,R_0_0,inline,inline,72.85324366911036,75.07460838492173,0,0,True
prefix_cache_like,2,2.3440128002881253,O_refine_2,S_chunk_2,R_0_0,inline,inline,121.275,152.32875,700,700,False
prefix_cache_like,2,2.3440128002881253,O_refine_2,S_running_summary_1,R_0_0,inline,inline,197.505,248.07825,1140,1140,False
prefix_cache_like,3,3.7140192004318755,O_refine_3,S_task,R_0_0,inline,inline,77.34959651779815,81.2172377365688,0,0,True
prefix_cache_like,3,3.7140192004318755,O_refine_3,S_rubric,R_0_0,inline,inline,75.07460838492173,78.82849545019913,0,0,True
prefix_cache_like,3,3.7140192004318755,O_refine_3,S_global_context,R_0_0,inline,inline,75.07460838492173,78.82849545019913,0,0,True
prefix_cache_like,3,3.7140192004318755,O_refine_3,S_chunk_3,R_0_0,inline,inline,183.183,230.08895,976,976,False
prefix_cache_like,3,3.7140192004318755,O_refine_3,S_running_summary_2,R_0_0,inline,inline,154.6545,194.255425,824,824,False
helium_like_operator_schedule,0,0.0,O_refine_0,S_task,R_0_0,inline,inline,81.2172377365688,76.59120452876972,272,272,False
helium_like_operator_schedule,0,0.0,O_refine_0,S_rubric,R_0_0,inline,inline,78.82849545019913,74.33852204262944,264,264,False
helium_like_operator_schedule,0,0.0,O_refine_0,S_global_context,R_0_0,inline,inline,78.82849545019913,74.33852204262944,264,264,False
helium_like_operator_schedule,0,0.0,O_refine_0,S_chunk_0,R_0_0,inline,inline,166.83625,188.9435625,920,920,False
helium_like_operator_schedule,1,0.9100064001343751,O_refine_1,S_task,R_0_0,inline,inline,76.59120452876972,75.96428294370033,0,0,True
helium_like_operator_schedule,1,0.9100064001343751,O_refine_1,S_rubric,R_0_0,inline,inline,74.33852204262944,73.73003932770914,0,0,True
helium_like_operator_schedule,1,0.9100064001343751,O_refine_1,S_global_context,R_0_0,inline,inline,74.33852204262944,73.73003932770914,0,0,True
helium_like_operator_schedule,1,0.9100064001343751,O_refine_1,S_chunk_1,R_0_0,inline,inline,158.7845875,179.824981875,796,796,False
helium_like_operator_schedule,1,0.9100064001343751,O_refine_1,S_running_summary_0,R_0_0,inline,inline,233.78836249999998,264.76743562499996,1172,1172,False
helium_like_operator_schedule,2,2.3440128002881253,O_refine_2,S_task,R_0_0,inline,inline,75.96428294370033,77.93678391340521,0,0,True
helium_like_operator_schedule,2,2.3440128002881253,O_refine_2,S_rubric,R_0_0,inline,inline,73.73003932770914,75.64452556301094,0,0,True
helium_like_operator_schedule,2,2.3440128002881253,O_refine_2,S_global_context,R_0_0,inline,inline,73.73003932770914,75.64452556301094,0,0,True
helium_like_operator_schedule,2,2.3440128002881253,O_refine_2,S_chunk_2,R_0_0,inline,inline,152.32875,172.5136875,700,700,False
helium_like_operator_schedule,2,2.3440128002881253,O_refine_2,S_running_summary_1,R_0_0,inline,inline,248.07825,280.95086249999997,1140,1140,False
helium_like_operator_schedule,3,3.7140192004318755,O_refine_3,S_task,R_0_0,inline,inline,77.93678391340521,81.59890954371339,0,0,True
helium_like_operator_schedule,3,3.7140192004318755,O_refine_3,S_rubric,R_0_0,inline,inline,75.64452556301094,79.19894161595711,0,0,True
helium_like_operator_schedule,3,3.7140192004318755,O_refine_3,S_global_context,R_0_0,inline,inline,75.64452556301094,79.19894161595711,0,0,True
helium_like_operator_schedule,3,3.7140192004318755,O_refine_3,S_chunk_3,R_0_0,inline,inline,230.08895,260.5778175,976,976,False
helium_like_operator_schedule,3,3.7140192004318755,O_refine_3,S_running_summary_2,R_0_0,inline,inline,194.255425,219.99602625,824,824,False
kvflow_like_future_eviction,0,0.0,O_refine_0,S_task,R_0_0,inline,inline,81.59890954371339,76.8392912034137,272,272,False
kvflow_like_future_eviction,0,0.0,O_refine_0,S_rubric,R_0_0,inline,inline,79.19894161595711,74.57931205037212,264,264,False
kvflow_like_future_eviction,0,0.0,O_refine_0,S_global_context,R_0_0,inline,inline,79.19894161595711,74.57931205037212,264,264,False
kvflow_like_future_eviction,0,0.0,O_refine_0,S_chunk_0,R_0_0,inline,inline,188.9435625,203.31331562500003,920,920,False
kvflow_like_future_eviction,1,0.9100064001343751,O_refine_1,S_task,R_0_0,inline,inline,76.8392912034137,76.12553928221891,0,0,True
kvflow_like_future_eviction,1,0.9100064001343751,O_refine_1,S_rubric,R_0_0,inline,inline,74.57931205037212,73.88655283274188,0,0,True
kvflow_like_future_eviction,1,0.9100064001343751,O_refine_1,S_global_context,R_0_0,inline,inline,74.57931205037212,73.88655283274188,0,0,True
kvflow_like_future_eviction,1,0.9100064001343751,O_refine_1,S_chunk_1,R_0_0,inline,inline,179.824981875,193.50123821875,796,796,False
kvflow_like_future_eviction,1,0.9100064001343751,O_refine_1,S_running_summary_0,R_0_0,inline,inline,264.76743562499996,284.90383315624996,1172,1172,False
kvflow_like_future_eviction,2,2.3440128002881253,O_refine_2,S_task,R_0_0,inline,inline,76.12553928221891,78.04160053344228,0,0,True
kvflow_like_future_eviction,2,2.3440128002881253,O_refine_2,S_rubric,R_0_0,inline,inline,73.88655283274188,75.74625934128223,0,0,True
kvflow_like_future_eviction,2,2.3440128002881253,O_refine_2,S_global_context,R_0_0,inline,inline,73.88655283274188,75.74625934128223,0,0,True
kvflow_like_future_eviction,2,2.3440128002881253,O_refine_2,S_chunk_2,R_0_0,inline,inline,172.5136875,185.633896875,700,700,False
kvflow_like_future_eviction,2,2.3440128002881253,O_refine_2,S_running_summary_1,R_0_0,inline,inline,280.95086249999997,302.318060625,1140,1140,False
kvflow_like_future_eviction,3,3.7140192004318755,O_refine_3,S_task,R_0_0,inline,inline,78.04160053344228,81.66704034673748,0,0,True
kvflow_like_future_eviction,3,3.7140192004318755,O_refine_3,S_rubric,R_0_0,inline,inline,75.74625934128223,79.26506857183345,0,0,True
kvflow_like_future_eviction,3,3.7140192004318755,O_refine_3,S_global_context,R_0_0,inline,inline,75.74625934128223,79.26506857183345,0,0,True
kvflow_like_future_eviction,3,3.7140192004318755,O_refine_3,S_chunk_3,R_0_0,inline,inline,260.5778175,280.395581375,976,976,False
kvflow_like_future_eviction,3,3.7140192004318755,O_refine_3,S_running_summary_2,R_0_0,inline,inline,219.99602625,236.72741706250002,824,824,False
wafer_request_centric,0,0.0,O_refine_0,S_task,R_0_0,inline,inline,81.66704034673748,76.88357622537936,272,0,False
wafer_request_centric,0,0.0,O_refine_0,S_rubric,R_0_0,inline,inline,79.26506857183345,74.62229457169174,264,0,False
wafer_request_centric,0,0.0,O_refine_0,S_global_context,R_0_0,inline,inline,79.26506857183345,74.62229457169174,264,0,False
wafer_request_centric,0,0.0,O_refine_0,S_chunk_0,R_0_0,inline,inline,203.31331562500003,212.65365515625,920,0,False
wafer_request_centric,1,0.91,O_refine_1,S_task,R_0_0,inline,inline,76.88357622537936,76.15432454649658,0,0,True
wafer_request_centric,1,0.91,O_refine_1,S_rubric,R_0_0,inline,inline,74.62229457169174,73.91449147159963,0,0,True
wafer_request_centric,1,0.91,O_refine_1,S_global_context,R_0_0,inline,inline,74.62229457169174,73.91449147159963,0,0,True
