policy,prediction_mode,estimator_mode,asg_builder_enabled,oracle_future,baseline_class,retention_policy,mapping_policy,prefetch_policy,prompt_reconstruction_quality,observation_compression_class,data_quality,paper_usable,num_high_quality_traces,num_smoke_traces,num_traces,selected_trace_count,delayed_reuse_ratio,concurrency,memory_budget,total_cycles,p95_llm_step_latency,p99_llm_step_latency,throughput_llm_steps_per_cycle,effective_prefill_tokens,effective_prefill_reduction,cache_hit_ratio,cache_byte_miss,model_compute_cycles,model_comm_cycles,remote_read_bytes,demand_migration_bytes,prefetch_migration_bytes,prefetch_hidden_cycles,prefetch_exposed_cycles,unused_prefetch_events,state_misses,local_state_hits,remote_state_hits,retained_state_type_distribution,LRU_regret_states_preserved,LRU_regret_tokens_preserved,oracle_gap
nocache,none,none,False,False,basic,none,none,none,explicit_selective_state,none,paper_usable,True,62,10,62,,0.12658227848101267,1,0.1,1651962000,,,5.254358151095486e-07,4818392,0.0,0.0,935851458560,1397714000,0,0,0,0,0,0,0,6138,0,0,{},0,0,2.6570804078027455
lru-basic,none,none,False,False,basic,lru,none,none,explicit_selective_state,none,paper_usable,True,62,10,62,,0.12658227848101267,1,0.1,1605101000,,,5.40775938710399e-07,4707704,0.02297197903366932,0.5151515151515151,877819068416,1397137000,0,0,0,0,0,0,0,2976,1460,1702,"{""agent_role"": 1, ""assistant_delta"": 2, ""file_context"": 2, ""system_prefix"": 1, ""task_prefix"": 1}",0,0,1.0
lru-system,none,none,False,False,system,lru,static_replica,none,explicit_selective_state,none,paper_usable,True,62,10,62,,0.12658227848101267,1,0.1,1605101000,,,5.40775938710399e-07,4707704,0.02297197903366932,0.5151515151515151,877819068416,1397137000,0,0,0,0,0,0,0,2976,2840,322,"{""agent_role"": 1, ""assistant_delta"": 2, ""file_context"": 2, ""system_prefix"": 1, ""task_prefix"": 1}",0,0,1.0
kvflow-like,none,none,False,False,system,kvflow,none,none,explicit_selective_state,none,paper_usable,True,62,10,62,,0.12658227848101267,1,0.1,1608391000,,,5.396697693533475e-07,4722330,0.019936526542464805,0.43499511241446726,885487304704,1401362000,0,0,0,0,0,0,0,3468,2568,102,"{""agent_role"": 2, ""system_prefix"": 1, ""task_prefix"": 2}",0,0,1.2189619294279683
asg-retention-v2-graph-only,none,none,True,False,asg,asg-v2,none,none,explicit_selective_state,none,paper_usable,True,62,10,62,,0.12658227848101267,1,0.1,1573297000,,,5.517076559606991e-07,4640907,0.036834902598211205,0.4714890843923102,842798202880,1366500000,0,0,0,0,0,0,0,3244,2693,201,"{""assistant_delta"": 1, ""summary_state"": 1, ""system_prefix"": 62, ""task_prefix"": 62}",1,159,0.0
asg-retention-v2-online,heuristic,heuristic,True,False,asg,asg-v2,none,none,explicit_selective_state,none,paper_usable,True,62,10,62,,0.12658227848101267,1,0.1,1573297000,,,5.517076559606991e-07,4640907,0.036834902598211205,0.4714890843923102,842798202880,1366500000,0,0,0,0,0,0,0,3244,2629,265,"{""assistant_delta"": 1, ""summary_state"": 1, ""system_prefix"": 62, ""task_prefix"": 62}",1,159,0.0
asg-retention-v2-trace-stats,trace_stats,trace_stats,True,False,asg,asg-v2,none,none,explicit_selective_state,none,paper_usable,True,62,10,62,,0.12658227848101267,1,0.1,1573297000,,,5.517076559606991e-07,4640907,0.036834902598211205,0.4714890843923102,842798202880,1366500000,0,0,0,0,0,0,0,3244,2506,388,"{""assistant_delta"": 1, ""summary_state"": 1, ""system_prefix"": 62, ""task_prefix"": 62}",1,159,0.0
asg-retention-v2-oracle,oracle,oracle,True,True,oracle,asg-v2,none,none,explicit_selective_state,none,paper_usable,True,62,10,62,,0.12658227848101267,1,0.1,1573297000,,,5.517076559606991e-07,4640907,0.036834902598211205,0.4714890843923102,842798202880,1366500000,0,0,0,0,0,0,0,3244,2627,267,"{""assistant_delta"": 1, ""summary_state"": 1, ""system_prefix"": 62, ""task_prefix"": 62}",1,159,0.0
asg-placement-v2-online,heuristic,heuristic,True,False,asg,asg-v2,asg_cost_aware,none,explicit_selective_state,none,paper_usable,True,62,10,62,,0.12658227848101267,1,0.1,1592768778,,,5.449629676254239e-07,4640907,0.036834902598211205,0.4714890843923102,842798202880,1357351142,100453,2371354624,12582912,0,0,0,0,3244,2644,250,"{""assistant_delta"": 1, ""summary_state"": 1, ""system_prefix"": 62, ""task_prefix"": 62}",1,159,0.0
asg-prefetch-v2-online,heuristic,heuristic,True,False,asg,asg-v2,asg_cost_aware,windowed,explicit_selective_state,none,paper_usable,True,62,10,62,,0.12658227848101267,1,0.1,1590998201,,,5.455694415332655e-07,4640907,0.036834902598211205,0.4714890843923102,842798202880,1357685127,49252,1830813696,0,291504128,565662,573462,1,3244,2716,178,"{""assistant_delta"": 1, ""summary_state"": 1, ""system_prefix"": 62, ""task_prefix"": 62}",1,159,0.0
