Wrote 10 real-trace policy results to agent_results/local_h100_long/wafer_replay/m0.1_c1
policy,effective_prefill_tokens,cache_hit_ratio,oracle_gap
nocache,4818392,0.0,2.6570804078027455
lru-basic,4707704,0.5151515151515151,1.0
lru-system,4707704,0.5151515151515151,1.0
kvflow-like,4722330,0.43499511241446726,1.2189619294279683
asg-retention-v2-graph-only,4640907,0.4714890843923102,0.0
asg-retention-v2-online,4640907,0.4714890843923102,0.0
asg-retention-v2-trace-stats,4640907,0.4714890843923102,0.0
asg-retention-v2-oracle,4640907,0.4714890843923102,0.0
asg-placement-v2-online,4640907,0.4714890843923102,0.0
asg-prefetch-v2-online,4640907,0.4714890843923102,0.0
