shared_prefix_tokens,num_agents,decode_tokens_per_agent,winner_mode,winner_latency_s,central_latency_s,kvring_best_latency_s,speedup_vs_central,valid_capacity,reason
8192,4,512,KVRing-v2-ring,0.0031281,0.033589935,0.0031281,10.738126978037787,True,minimum attention-stage proxy latency among valid-capacity candidates
8192,4,1024,KVRing-v2-ring,0.006256199,0.06717987,0.006256199,10.738128694435712,True,minimum attention-stage proxy latency among valid-capacity candidates
8192,8,32,KVRing-v2-ring,0.000195701,0.002636242,0.000195701,13.470764073765592,True,minimum attention-stage proxy latency among valid-capacity candidates
8192,8,128,KVRing-v2-ring,0.0007828,0.010544968,0.0007828,13.470832907511497,True,minimum attention-stage proxy latency among valid-capacity candidates
8192,8,512,KVRing-v2-ring,0.003131199,0.04217987,0.003131199,13.470836570911016,True,minimum attention-stage proxy latency among valid-capacity candidates
8192,8,1024,KVRing-v2-ring,0.006262398,0.084359739,0.006262398,13.470836411227777,True,minimum attention-stage proxy latency among valid-capacity candidates
8192,16,32,KVRing-v2-ring,0.0003914,0.005272484,0.0003914,13.470832907511497,True,minimum attention-stage proxy latency among valid-capacity candidates
8192,16,128,KVRing-v2-ring,0.0015656,0.021089935,0.0015656,13.470832268778743,True,minimum attention-stage proxy latency among valid-capacity candidates
8192,16,512,KVRing-v2-ring,0.006262398,0.084359739,0.006262398,13.470836411227777,True,minimum attention-stage proxy latency among valid-capacity candidates
8192,16,1024,KVRing-v2-ring,0.012524796,0.168719477,0.012524796,13.470836331386156,True,minimum attention-stage proxy latency among valid-capacity candidates
8192,32,32,KVRing-v2-ring,0.0007828,0.010544968,0.0007828,13.470832907511497,True,minimum attention-stage proxy latency among valid-capacity candidates
8192,32,128,KVRing-v2-ring,0.003131199,0.04217987,0.003131199,13.470836570911016,True,minimum attention-stage proxy latency among valid-capacity candidates
8192,32,512,KVRing-v2-ring,0.012524796,0.168719477,0.012524796,13.470836331386156,True,minimum attention-stage proxy latency among valid-capacity candidates
8192,32,1024,KVRing-v2-ring,0.025049592,0.337438954,0.025049592,13.470836331386156,True,minimum attention-stage proxy latency among valid-capacity candidates
32768,2,32,KVRing-v2-ring,0.000781347,0.007323742,0.000781347,9.37322598026229,True,minimum attention-stage proxy latency among valid-capacity candidates
32768,2,128,KVRing-v2-ring,0.003125388,0.029294968,0.003125388,9.37322598026229,True,minimum attention-stage proxy latency among valid-capacity candidates
