kv_storage_precision,state_precision,num_shards,query_tile_size,reduction_topology,max_abs_error,mean_abs_error,relative_error,cosine_similarity,nan_or_inf_count,passes_fp32_gate
fp32,fp32,4,8,binary_tree_reduce,5.960464477539063e-08,1.3503040463547222e-08,1.898738016799746e-07,0.9999999381799974,0,True
fp32,fp32,4,16,ring_reduce,8.940696716308594e-08,1.5948074860716588e-08,2.1205786683486786e-07,0.999999876820756,0,True
fp32,fp32,4,16,binary_tree_reduce,8.940696716308594e-08,1.5100724226613238e-08,2.0465885840417913e-07,0.999999876820756,0,True
fp32,fp32,8,1,ring_reduce,4.470348358154297e-08,1.4770193956792355e-08,2.0290944372917554e-07,1.0000002023560528,0,True
fp32,fp32,8,1,binary_tree_reduce,3.725290298461914e-08,1.4428223948925734e-08,1.9398206798791152e-07,1.0000000927013766,0,True
fp32,fp32,8,2,ring_reduce,3.166496753692627e-08,1.000444171950221e-08,1.4956348944247058e-07,1.0000000158805444,0,True
fp32,fp32,8,2,binary_tree_reduce,3.073364496231079e-08,9.006726031657308e-09,1.4081510281365803e-07,1.000000104963485,0,True
fp32,fp32,8,4,ring_reduce,5.960464477539063e-08,1.4550096238963306e-08,1.7478748132855668e-07,0.999999925866799,0,True
fp32,fp32,8,4,binary_tree_reduce,7.450580596923828e-08,1.429361873306334e-08,1.787861947060052e-07,1.0000000001984515,0,True
fp32,fp32,8,8,ring_reduce,1.1920928955078125e-07,1.7374077287968248e-08,2.384209904960966e-07,1.0000001280697122,0,True
fp32,fp32,8,8,binary_tree_reduce,1.1920928955078125e-07,1.6767955912655452e-08,2.288329188772501e-07,1.0000001280697122,0,True
fp32,fp32,8,16,ring_reduce,8.940696716308594e-08,1.4435244111155043e-08,1.9510774285012935e-07,1.0000000269808487,0,True
fp32,fp32,8,16,binary_tree_reduce,7.82310962677002e-08,1.5056698998705542e-08,2.0044501565218656e-07,0.9999999351772882,0,True
fp32,fp32,16,1,ring_reduce,2.9802322387695312e-08,1.2620148481801152e-08,1.5706032702921663e-07,0.9999999603952642,0,True
fp32,fp32,16,1,binary_tree_reduce,2.9802322387695312e-08,1.1346855899319053e-08,1.5691431223706561e-07,0.9999999603952642,0,True
fp32,fp32,16,2,ring_reduce,4.470348358154297e-08,1.2776581570506096e-08,1.8537447563851803e-07,0.9999999778171279,0,True
fp32,fp32,16,2,binary_tree_reduce,4.470348358154297e-08,1.2645614333450794e-08,1.7475438132919682e-07,1.0000000927885422,0,True
fp32,fp32,16,4,ring_reduce,5.960464477539063e-08,1.2938471627421677e-08,1.6644275550996004e-07,1.0000000552012085,0,True
fp32,fp32,16,4,binary_tree_reduce,6.705522537231445e-08,1.2478267308324575e-08,1.6221389850926718e-07,0.9999999723454169,0,True
fp32,fp32,16,8,ring_reduce,5.960464477539063e-08,1.3086264516459778e-08,1.7923437857420117e-07,0.9999999253536429,0,True
fp32,fp32,16,8,binary_tree_reduce,5.960464477539063e-08,1.3001226761844009e-08,1.7458422560845843e-07,1.0000000029336376,0,True
fp32,fp32,16,16,ring_reduce,1.1920928955078125e-07,1.5764889838010276e-08,2.0244618760825351e-07,1.0000001328663932,0,True
fp32,fp32,16,16,binary_tree_reduce,7.450580596923828e-08,1.3223107941939816e-08,1.6184559404701611e-07,1.0000000568833565,0,True
fp32,fp32,32,1,ring_reduce,5.960464477539063e-08,1.6494595911353827e-08,2.2975382842477314e-07,1.0000000903951771,0,True
fp32,fp32,32,1,binary_tree_reduce,2.9802322387695312e-08,9.909854270517826e-09,1.4846039714329106e-07,1.000000086335532,0,True
fp32,fp32,32,2,ring_reduce,5.029141902923584e-08,1.356966095045209e-08,1.6333430124266576e-07,1.0000000466661607,0,True
fp32,fp32,32,2,binary_tree_reduce,8.940696716308594e-08,1.669468474574387e-08,2.0796323974894956e-07,1.0000000242049876,0,True
fp32,fp32,32,4,ring_reduce,5.029141902923584e-08,1.599528332008049e-08,2.0427528246578245e-07,1.000000028377911,0,True
fp32,fp32,32,4,binary_tree_reduce,4.470348358154297e-08,1.3715634850086644e-08,1.7846864882832837e-07,1.000000028377911,0,True
fp32,fp32,32,8,ring_reduce,6.705522537231445e-08,1.3741555449087173e-08,1.7483864386996512e-07,0.9999999358372506,0,True
fp32,fp32,32,8,binary_tree_reduce,5.960464477539063e-08,1.1465431271062698e-08,1.504661036534765e-07,0.9999999358372506,0,True
fp32,fp32,32,16,ring_reduce,1.1920928955078125e-07,1.709918251435738e-08,2.1842977135255734e-07,1.0000000229789952,0,True
fp32,fp32,32,16,binary_tree_reduce,8.940696716308594e-08,1.5324076230172068e-08,1.8993115265880227e-07,1.0000001009043558,0,True
fp32,bf16,1,1,ring_reduce,0.0009525418281555176,0.00015225820243358612,0.0030915359583337017,0.9999980438174083,0,False
fp32,bf16,1,1,binary_tree_reduce,0.0009525418281555176,0.00015225820243358612,0.0030915359583337017,0.9999980438174083,0,False
fp32,bf16,1,2,ring_reduce,0.0009540021419525146,0.00020076046348549426,0.002447413851491062,0.9999977112424834,0,False
fp32,bf16,1,2,binary_tree_reduce,0.0009540021419525146,0.00020076046348549426,0.002447413851491062,0.9999977112424834,0,False
fp32,bf16,1,4,ring_reduce,0.0016932487487792969,0.00020759472681675106,0.0022722748914554515,0.9999974944997183,0,False
fp32,bf16,1,4,binary_tree_reduce,0.0016932487487792969,0.00020759472681675106,0.0022722748914554515,0.9999974944997183,0,False
fp32,bf16,1,8,ring_reduce,0.0007357001304626465,0.00012156473530922085,0.0019309467061485472,0.999998054890014,0,False
fp32,bf16,1,8,binary_tree_reduce,0.0007357001304626465,0.00012156473530922085,0.0019309467061485472,0.999998054890014,0,False
fp32,bf16,1,16,ring_reduce,0.0010674595832824707,0.00014218883006833494,0.002283702746987853,0.9999973877488042,0,False
fp32,bf16,1,16,binary_tree_reduce,0.0010674595832824707,0.00014218883006833494,0.002283702746987853,0.9999973877488042,0,False
fp32,bf16,2,1,ring_reduce,0.0011081695556640625,0.00026079185772687197,0.0033016244407987703,0.9999969819676466,0,False
fp32,bf16,2,1,binary_tree_reduce,0.0011081695556640625,0.00026079185772687197,0.0033016244407987703,0.9999969819676466,0,False
fp32,bf16,2,2,ring_reduce,0.0011034926865249872,0.00019307862385176122,0.003529402499254848,0.9999938433963111,0,False
fp32,bf16,2,2,binary_tree_reduce,0.0011034926865249872,0.00019307862385176122,0.003529402499254848,0.9999938433963111,0,False
fp32,bf16,2,4,ring_reduce,0.00160941481590271,0.00026532262563705444,0.003981265577435972,0.9999921828952157,0,False
fp32,bf16,2,4,binary_tree_reduce,0.00160941481590271,0.00026532262563705444,0.003981265577435972,0.9999921828952157,0,False
fp32,bf16,2,8,ring_reduce,0.0010071992874145508,0.00024718273198232055,0.0032408550751340088,0.9999961597610135,0,False
