shared_prefix_tokens,num_queries,naive_latency_ms,cohort_latency_ms,naive_read_bytes,cohort_read_bytes,speedup,read_byte_reduction_ratio,device,dtype,reps
512,1,0.12402050197124481,0.07427483797073364,8388608.0,8388608.0,1.6697512288093088,0.0,cuda:1,float16,3
512,4,0.38159266114234924,0.09147170931100845,33554432.0,8388608.0,4.171701436614843,0.75,cuda:1,float16,3
512,8,0.373009592294693,0.07079914212226868,67108864.0,8388608.0,5.2685609050249935,0.875,cuda:1,float16,3
2048,1,0.0723889097571373,0.06677117198705673,33554432.0,33554432.0,1.084134179510426,0.0,cuda:1,float16,3
2048,4,0.2183159813284874,0.0683097168803215,134217728.0,33554432.0,3.1959725687485516,0.75,cuda:1,float16,3
2048,8,0.37225987762212753,0.0620940700173378,268435456.0,33554432.0,5.995095465930737,0.875,cuda:1,float16,3
8192,1,0.10016653686761856,0.09020231664180756,134217728.0,134217728.0,1.1104652363351024,0.0,cuda:1,float16,3
8192,4,0.25768205523490906,0.10024197399616241,536870912.0,134217728.0,2.570600367913485,0.75,cuda:1,float16,3
8192,8,0.46392250806093216,0.0987071543931961,1073741824.0,134217728.0,4.699988677749891,0.875,cuda:1,float16,3
