baseline,arrival_rate_jobs_per_s,completed_jobs,jobs_per_s,tokens_per_s,jct_p50_ms,jct_p90_ms,jct_p99_ms,ttft_p50_ms,ttft_p90_ms,ttft_p99_ms,tpot_p50_ms,tpot_p90_ms,tpot_p99_ms,queue_wait_ms,mesh_wait_ms,cross_job_prefix_hit_rate,cross_job_prefix_compute_hits,sram_hit_rate,sram_evictions,sram_reload_bytes,mesh_total_traffic_bytes,mesh_hotspot_ratio,computed_prefill_tokens,avoided_prefill_tokens,compute_energy_j,mesh_energy_j,sram_energy_j,offwafer_energy_j,energy_per_job_j,decode_shared_kv_read_bytes,decode_shared_kv_read_bytes_without_cohort,decode_kv_read_reduction_ratio,cross_region_kv_transfer_bytes,num_decode_cohorts,avg_cohort_size,replica_bytes_total,saved_mesh_traffic_bytes,replication_transfer_bytes,replication_actual_transfer_bytes,shared_prefill_compute_ms_saved,sram_read_bytes,sram_write_bytes,offwafer_reload_bytes,shared_kv_extraction_overhead_ms,placement_planning_overhead_ms,replication_planning_overhead_ms,decode_cohort_planning_overhead_ms,scheduling_loop_overhead_ms,total_runtime_overhead_ms,overhead_per_job_ms,overhead_fraction_of_jct,cross_job_task_group_size,unique_task_ratio,cross_job_prefix_hit_rate_observed
apc_like,1.0,15,0.4492630418057226,16427.452877973516,6521.51237012398,33325.789369185804,33379.87608472383,9.792441896130903,13.429570094938194,22.25884402312564,2.0340753642793494,6.572776216218417,6.572776216218417,20841.76597559466,0.0,0.2689075630252101,32.0,0.5923076923076923,45.0,9126805504.0,15631316401664.0,3.9661562450737877,280576.0,251904.0,0.116618428416,3.1262632803328003,0.001744830464,0.0074356621312000005,0.21680414675626672,4380866641920.0,4380866641920.0,0.0,4380866641920.0,0.0,0.0,0.0,0.0,0.0,0.0,1492.7010201600003,23890755584.0,11005853696.0,9294577664.0,12.895951978862286,39.1316507011652,0.036454759538173676,0.13845134526491165,9.25621297210455,88.62877637147903,5.908585091431935,0.00038610065861099414,1,0.0,0.9153846153846154
waferagent_full,1.0,15,3.535052551442851,129260.37489435833,1522.957188882629,3420.7926628016785,4161.203438768088,4.466038103926787,8.785025451046021,21.780607772980733,1.3486575272430223,3.637063795505602,4.957819153592341,492.7164385353754,359.5719946127088,0.2689075630252101,32.0,0.49765258215962443,100.0,18186502144.0,99858008830.0,3.978494217607964,280576.0,251904.0,0.116618428416,0.019971601765999998,0.054465554022200005,0.0147102629888,0.0137177231462,2374687417944.0,4380866641920.0,0.4579411764738752,2374687417944.0,25.0,3.32,0.0,0.0,0.0,0.0,1492.7010201600008,1079202807804.0,10108272640.0,18387828736.0,13.153847306966782,92.60748699307442,0.023206695914268494,1.1591752991080284,7.981369271874428,136.6433147341013,9.109554315606752,0.0049328474377671495,1,0.0,0.9153846153846154
apc_like,1.0,15,0.4492630418057226,16427.452877973516,6521.51237012398,33325.789369185804,33379.87608472383,9.792441896130903,13.429570094938194,22.25884402312564,2.0340753642793494,6.572776216218417,6.572776216218417,20841.76597559466,0.0,0.2689075630252101,32.0,0.5923076923076923,45.0,9126805504.0,15631316401664.0,3.9661562450737877,280576.0,251904.0,0.116618428416,3.1262632803328003,0.001744830464,0.0074356621312000005,0.21680414675626672,4380866641920.0,4380866641920.0,0.0,4380866641920.0,0.0,0.0,0.0,0.0,0.0,0.0,1492.7010201600003,23890755584.0,11005853696.0,9294577664.0,12.81172875314951,38.86203281581402,0.02195313572883606,0.1392131671309471,9.10276547074318,81.71027433127165,5.447351622084777,0.0003559610323666992,1,0.25,0.9153846153846154
waferagent_full,1.0,15,3.535052551442851,129260.37489435833,1522.957188882629,3420.7926628016785,4161.203438768088,4.466038103926787,8.785025451046021,21.780607772980733,1.3486575272430223,3.637063795505602,4.957819153592341,492.7164385353754,359.5719946127088,0.2689075630252101,32.0,0.49765258215962443,100.0,18186502144.0,99858008830.0,3.978494217607964,280576.0,251904.0,0.116618428416,0.019971601765999998,0.054465554022200005,0.0147102629888,0.0137177231462,2374687417944.0,4380866641920.0,0.4579411764738752,2374687417944.0,25.0,3.32,0.0,0.0,0.0,0.0,1492.7010201600008,1079202807804.0,10108272640.0,18387828736.0,13.187517412006855,39.75066263228655,0.021024607121944427,1.11338309943676,7.804460823535919,82.6014094054699,5.506760627031326,0.002981925252139979,1,0.25,0.9153846153846154
apc_like,1.0,15,0.4492630418057226,16427.452877973516,6521.51237012398,33325.789369185804,33379.87608472383,9.792441896130903,13.429570094938194,22.25884402312564,2.0340753642793494,6.572776216218417,6.572776216218417,20841.76597559466,0.0,0.2689075630252101,32.0,0.5923076923076923,45.0,9126805504.0,15631316401664.0,3.9661562450737877,280576.0,251904.0,0.116618428416,3.1262632803328003,0.001744830464,0.0074356621312000005,0.21680414675626672,4380866641920.0,4380866641920.0,0.0,4380866641920.0,0.0,0.0,0.0,0.0,0.0,0.0,1492.7010201600003,23890755584.0,11005853696.0,9294577664.0,12.934464029967785,39.16243929415941,0.02214685082435608,0.14064554125070572,8.873016573488712,82.89543446153402,5.526362297435601,0.00036112404065348686,1,0.5,0.9153846153846154
waferagent_full,1.0,15,3.535052551442851,129260.37489435833,1522.957188882629,3420.7926628016785,4161.203438768088,4.466038103926787,8.785025451046021,21.780607772980733,1.3486575272430223,3.637063795505602,4.957819153592341,492.7164385353754,359.5719946127088,0.2689075630252101,32.0,0.49765258215962443,100.0,18186502144.0,99858008830.0,3.978494217607964,280576.0,251904.0,0.116618428416,0.019971601765999998,0.054465554022200005,0.0147102629888,0.0137177231462,2374687417944.0,4380866641920.0,0.4579411764738752,2374687417944.0,25.0,3.32,0.0,0.0,0.0,0.0,1492.7010201600008,1079202807804.0,10108272640.0,18387828736.0,13.236270286142826,40.028966031968594,0.02076663076877594,1.1356659233570099,7.890237495303154,82.79184345155954,5.51945623010397,0.0029887999543392408,1,0.5,0.9153846153846154
apc_like,1.0,15,0.4492630418057226,16427.452877973516,6521.51237012398,33325.789369185804,33379.87608472383,9.792441896130903,13.429570094938194,22.25884402312564,2.0340753642793494,6.572776216218417,6.572776216218417,20841.76597559466,0.0,0.2689075630252101,32.0,0.5923076923076923,45.0,9126805504.0,15631316401664.0,3.9661562450737877,280576.0,251904.0,0.116618428416,3.1262632803328003,0.001744830464,0.0074356621312000005,0.21680414675626672,4380866641920.0,4380866641920.0,0.0,4380866641920.0,0.0,0.0,0.0,0.0,0.0,0.0,1492.7010201600003,23890755584.0,11005853696.0,9294577664.0,12.78000883758068,38.804179057478905,0.020750798285007477,0.14334172010421753,8.698160760104656,81.56922552734613,5.437948368489742,0.0003553465701308259,1,0.75,0.9153846153846154
waferagent_full,1.0,15,3.535052551442851,129260.37489435833,1522.957188882629,3420.7926628016785,4161.203438768088,4.466038103926787,8.785025451046021,21.780607772980733,1.3486575272430223,3.637063795505602,4.957819153592341,492.7164385353754,359.5719946127088,0.2689075630252101,32.0,0.49765258215962443,100.0,18186502144.0,99858008830.0,3.978494217607964,280576.0,251904.0,0.116618428416,0.019971601765999998,0.054465554022200005,0.0147102629888,0.0137177231462,2374687417944.0,4380866641920.0,0.4579411764738752,2374687417944.0,25.0,3.32,0.0,0.0,0.0,0.0,1492.7010201600008,1079202807804.0,10108272640.0,18387828736.0,13.082636520266533,39.76807277649641,0.021262094378471375,1.150735653936863,7.928535342216492,82.61936902999878,5.507957935333252,0.002982573597710437,1,0.75,0.9153846153846154
apc_like,1.0,15,0.4492630418057226,16427.452877973516,6521.51237012398,33325.789369185804,33379.87608472383,9.792441896130903,13.429570094938194,22.25884402312564,2.0340753642793494,6.572776216218417,6.572776216218417,20841.76597559466,0.0,0.2689075630252101,32.0,0.5923076923076923,45.0,9126805504.0,15631316401664.0,3.9661562450737877,280576.0,251904.0,0.116618428416,3.1262632803328003,0.001744830464,0.0074356621312000005,0.21680414675626672,4380866641920.0,4380866641920.0,0.0,4380866641920.0,0.0,0.0,0.0,0.0,0.0,0.0,1492.7010201600003,23890755584.0,11005853696.0,9294577664.0,12.87773810327053,39.52891379594803,0.02088584005832672,0.13492722064256668,8.73458106070757,82.7130638062954,5.514204253753026,0.00036032956471709546,1,1.0,0.9153846153846154
waferagent_full,1.0,15,3.535052551442851,129260.37489435833,1522.957188882629,3420.7926628016785,4161.203438768088,4.466038103926787,8.785025451046021,21.780607772980733,1.3486575272430223,3.637063795505602,4.957819153592341,492.7164385353754,359.5719946127088,0.2689075630252101,32.0,0.49765258215962443,100.0,18186502144.0,99858008830.0,3.978494217607964,280576.0,251904.0,0.116618428416,0.019971601765999998,0.054465554022200005,0.0147102629888,0.0137177231462,2374687417944.0,4380866641920.0,0.4579411764738752,2374687417944.0,25.0,3.32,0.0,0.0,0.0,0.0,1492.7010201600008,1079202807804.0,10108272640.0,18387828736.0,12.976014986634254,39.60775583982468,0.01885928213596344,1.1167395859956741,7.799633778631687,81.81691635400057,5.454461090266705,0.002953604916480551,1,1.0,0.9153846153846154
