baseline,arrival_rate_jobs_per_s,completed_jobs,jobs_per_s,tokens_per_s,jct_p50_ms,jct_p90_ms,jct_p99_ms,ttft_p50_ms,ttft_p90_ms,ttft_p99_ms,tpot_p50_ms,tpot_p90_ms,tpot_p99_ms,queue_wait_ms,mesh_wait_ms,cross_job_prefix_hit_rate,cross_job_prefix_compute_hits,sram_hit_rate,sram_evictions,sram_reload_bytes,mesh_total_traffic_bytes,mesh_hotspot_ratio,computed_prefill_tokens,avoided_prefill_tokens,compute_energy_j,mesh_energy_j,sram_energy_j,offwafer_energy_j,energy_per_job_j,decode_shared_kv_read_bytes,decode_shared_kv_read_bytes_without_cohort,decode_kv_read_reduction_ratio,cross_region_kv_transfer_bytes,num_decode_cohorts,avg_cohort_size,replica_bytes_total,saved_mesh_traffic_bytes,replication_transfer_bytes,replication_actual_transfer_bytes,shared_prefill_compute_ms_saved,sram_read_bytes,sram_write_bytes,offwafer_reload_bytes,shared_kv_extraction_overhead_ms,placement_planning_overhead_ms,replication_planning_overhead_ms,decode_cohort_planning_overhead_ms,scheduling_loop_overhead_ms,total_runtime_overhead_ms,overhead_per_job_ms,overhead_fraction_of_jct
no_affinity_placement,4.0,100,0.30801216171982254,13493.396780621986,70529.67554528045,293325.44901623984,298293.1992123471,9.110274582953934,17.58703139104182,23.89616768585256,2.3577765938389317,4.8411118738970496,5.572161610112013,160045.53343272282,311234.52705941314,0.9107142857142857,765.0,0.7460063897763578,216.0,157001187328.0,61380749899105.0,4.56382810307804,2163200.0,2112000.0,0.8921284608,12.276149979821,0.42009813319365,0.1282584608768,0.1371663503469145,22123376541614.0,35540854374400.0,0.37752265861257905,22123376541614.0,148.0,4.121621621621622,536870912.0,48318382080.0,536870912.0,0.0,13193.271705599924,8321633353665.0,80329310208.0,160323076096.0,79.44799307733774,239.89611212164164,0.04875939339399338,15.757337212562561,69.04985848814249,528.9465310052037,5.289465310052037,3.856461757915441e-05
no_aggregator_placement,4.0,100,2.431927177563124,106537.86579468535,1787.9961757535266,10960.66266752676,13533.991262460999,9.110274582953934,17.58703139104182,23.89616768585256,2.2838886668817584,5.065336287935963,5.191024184653858,2252.14494732704,2370.0922699158427,0.9107142857142857,765.0,0.7917316692667706,202.0,134351945728.0,1787350832229.0,2.279947061407076,2163200.0,2112000.0,0.8921284608,0.35747016644580004,0.7551055822808501,0.1091995435008,0.021139037530274504,22277995364268.0,35540854374400.0,0.37317220544042995,22277995364268.0,162.0,3.6419753086419755,0.0,0.0,0.0,0.0,13193.271705599906,15018024239025.0,84087406592.0,136499429376.0,79.8036614432931,246.34674284607172,0.06204098463058472,11.221496388316154,55.42419385164976,517.4691425636411,5.174691425636411,0.0011866473856285969
no_distributed_sram_policy,4.0,100,2.431927177563124,106537.86579468535,1787.9961757535266,10960.66266752676,13533.991262460999,9.110274582953934,17.58703139104182,23.89616768585256,2.2838886668817584,5.065336287935963,5.191024184653858,2252.14494732704,2370.0922699158427,0.9107142857142857,765.0,0.7921875,201.0,134217728000.0,1787350832229.0,2.279947061407076,2163200.0,2112000.0,0.8921284608,0.35747016644580004,0.75333390827125,0.1090921693184,0.0211202470483545,22242561884076.0,35540854374400.0,0.37416918429239365,22242561884076.0,162.0,3.654320987654321,0.0,0.0,0.0,0.0,13193.271705599906,14982724976561.0,83953188864.0,136365211648.0,80.29583469033241,245.68757694214582,0.026173889636993408,11.149722151458263,55.440373718738556,515.7599058002234,5.1575990580022335,0.0011835832355974894
no_future_reuse_policy,4.0,100,2.431927177563124,106537.86579468535,1787.9961757535266,10960.66266752676,13533.991262460999,9.110274582953934,17.58703139104182,23.89616768585256,2.2838886668817584,5.065336287935963,5.191024184653858,2252.14494732704,2370.0922699158427,0.9107142857142857,765.0,0.7921875,201.0,134217728000.0,1787350832229.0,2.279947061407076,2163200.0,2112000.0,0.8921284608,0.35747016644580004,0.75333390827125,0.1090921693184,0.0211202470483545,22242561884076.0,35540854374400.0,0.37416918429239365,22242561884076.0,162.0,3.654320987654321,0.0,0.0,0.0,0.0,13193.271705599906,14982724976561.0,83953188864.0,136365211648.0,79.80344817042351,244.6005968376994,0.02716854214668274,11.250550858676434,55.80697674304247,515.8397983759642,5.158397983759642,0.001183766575776189
no_kv_sharing,4.0,100,2.309763578761109,101186.12285836667,2330.6058869229078,13570.822739791465,15783.257913046938,18.24246735855195,27.853628981956717,27.853628981956717,2.182391061900449,4.250503894272338,4.250503894272338,3113.342333590343,3995.5744958825085,0.0,0.0,0.04784688995215311,747.0,128748355584.0,2125579506790.0,2.054960557005192,4275200.0,0.0,1.7226006528,0.425115901358,0.14655904808925,0.2787165339648,0.0257299213621205,20395511198434.0,35540854374400.0,0.42613897281195234,20395511198434.0,155.0,3.9419354838709677,0.0,0.0,0.0,0.0,0.0,2370821947385.0,560359014400.0,348395667456.0,79.89174872636795,243.1658012792468,0.02714153379201889,10.93288417905569,58.00100602209568,517.3516888171434,5.173516888171434,0.0010077715822330014
no_shared_kv_decode_cohort,4.0,100,2.8350080305114145,124196.03180064405,2468.9315707986952,7432.910499417761,9569.595167941958,9.450284075534,17.38703139104109,23.696167685851833,4.2315288143373895,6.572776216218426,6.572776216218426,897.2410208814524,877.1624161118224,0.9107142857142857,765.0,0.847953216374269,197.0,128236650496.0,1269163027968.0,2.2047376411713056,2163200.0,2112000.0,0.8921284608,0.2538326055936,1.4444478332928,0.104253620224,0.026946625199104002,35540854374400.0,35540854374400.0,0.0,35540854374400.0,0.0,0.0,0.0,0.0,0.0,0.0,13193.271705599907,28803501916160.0,85454749696.0,130317025280.0,79.94025945663452,330.0978448241949,0.024567358195781708,0.8400995284318924,43.7801843509078,587.4436069279909,5.874436069279909,0.0017469621971954433
no_shared_kv_replication,4.0,100,2.431927177563124,106537.86579468535,1787.9961757535266,10960.66266752676,13533.991262460999,9.110274582953934,17.58703139104182,23.89616768585256,2.2838886668817584,5.065336287935963,5.191024184653858,2252.14494732704,2370.0922699158427,0.9107142857142857,765.0,0.7917316692667706,202.0,134351945728.0,1787350832229.0,2.279947061407076,2163200.0,2112000.0,0.8921284608,0.35747016644580004,0.7551055822808501,0.1091995435008,0.021139037530274504,22277995364268.0,35540854374400.0,0.37317220544042995,22277995364268.0,162.0,3.6419753086419755,0.0,0.0,0.0,0.0,13193.271705599906,15018024239025.0,84087406592.0,136499429376.0,80.19699156284332,336.9775786995888,0.024663284420967102,11.303369887173176,56.39034882187843,610.8728675171733,6.108728675171733,0.0014008384878747568
waferagent_full,4.0,100,2.431927177563124,106537.86579468535,1787.9961757535266,10960.66266752676,13533.991262460999,9.110274582953934,17.58703139104182,23.89616768585256,2.2838886668817584,5.065336287935963,5.191024184653858,2252.14494732704,2370.0922699158427,0.9107142857142857,765.0,0.7917316692667706,202.0,134351945728.0,1787350832229.0,2.279947061407076,2163200.0,2112000.0,0.8921284608,0.35747016644580004,0.7551055822808501,0.1091995435008,0.021139037530274504,22277995364268.0,35540854374400.0,0.37317220544042995,22277995364268.0,162.0,3.6419753086419755,0.0,0.0,0.0,0.0,13193.271705599906,15018024239025.0,84087406592.0,136499429376.0,79.31145559996367,245.4593563452363,0.0471603125333786,11.032043024897575,54.571994580328465,515.9319620579481,5.159319620579481,0.001183122361471054
no_affinity_placement,8.0,100,0.3534215664542023,15482.691983225694,53209.69212680035,264021.0332761786,270293.4394442006,7.3681909620191846,17.58703139104182,23.89616768585438,2.2907763884125507,5.0653362879359864,6.572776216218452,151300.41263574082,249613.36570977975,0.9107142857142857,765.0,0.7466135458167331,220.0,156866969600.0,56204978763123.0,4.454091239391652,2163200.0,2112000.0,0.8921284608,11.2409957526246,0.4901919994641,0.128043712512,0.12751359925400702,22518513532849.0,35540854374400.0,0.36640483383908085,22518513532849.0,145.0,4.165517241379311,536870912.0,48318382080.0,536870912.0,0.0,13193.27170559992,9719786137122.0,84053852160.0,160054640640.0,146.8674037605524,237.05806490033865,0.03793742507696152,15.040786005556583,66.58941693603992,584.4944668933749,5.844944668933749,4.745556638593993e-05
no_aggregator_placement,8.0,100,2.8500852695867858,124856.53549005791,2285.301716081698,17346.970758525902,20950.577984004198,7.36745512202117,17.58703139104182,23.89616768585438,2.3139625278160296,5.06533628793596,5.194405739087557,3493.1060407312675,4151.071687524946,0.9107142857142857,765.0,0.7391304347826086,257.0,171127603200.0,1877867267993.0,2.0161243785192347,2163200.0,2112000.0,0.8921284608,0.3755734535986,0.6216824232307001,0.1389958791168,0.020283802167461,22788237479033.0,35540854374400.0,0.3588157099721464,22788237479033.0,159.0,3.6540880503144653,0.0,0.0,0.0,0.0,13193.271705599907,12333622702822.0,100025761792.0,173744848896.0,80.28825372457504,240.45697133988142,0.02327095717191696,11.763986200094223,56.357113644480705,511.63641829043627,5.116364182904363,0.0009034263315847954
