baseline,job_id,workload,arrival_ms,job_completion_time_ms,ttft_ms,tpot_ms,queue_wait_ms,mesh_wait_ms,tokens_total,first_token_time_ms,decode_tokens_total,decode_active_ms_total,kv_saving_ratio,computed_prefill_tokens,avoided_prefill_tokens,compute_energy_j,mesh_energy_j,sram_energy_j,offwafer_energy_j,energy_per_job_j,energy_per_completed_job_under_slo_j,decode_shared_kv_read_bytes,decode_shared_kv_read_bytes_without_cohort,decode_kv_read_reduction_ratio,cross_region_kv_transfer_bytes,decode_query_transfer_bytes,decode_merge_bytes,num_decode_cohorts,avg_cohort_size,duration_source,prefix_extension_model_used,prefix_extension_fit_hash,calibration_loaded,arrival_rate_jobs_per_s
no_cache,debate_job_0,debate,369.05544268393913,6015.104397628131,9.792441896130924,1.8902814124563556,11811.171509760004,0.0,20544,378.84788458007006,1088.0,2056.6261767525148,0.0,42752.0,0.0,0.017226006528,0.2469941804543999,0.0002801795072,0.001744830464,0.2662451969535999,0.2662451969535999,355408543744.0,355408543744.0,0.0,355408543744.0,0.0,0.0,0.0,0.0,synthetic,False,,0.0,2.0
no_cache,debate_job_1,debate,1190.787533244525,6015.104397628131,9.792441896130867,1.890281412456356,11811.171509760004,0.0,20544,1200.579975140656,1088.0,2056.626176752515,0.0,42752.0,0.0,0.017226006528,0.2469941804543999,0.0002801795072,0.001744830464,0.2662451969535999,0.2662451969535999,355408543744.0,355408543744.0,0.0,355408543744.0,0.0,0.0,0.0,0.0,synthetic,False,,0.0,2.0
no_cache,debate_job_10,debate,2806.4486933581725,6015.104397628127,9.79244189613064,1.8902814124563565,11811.171509759992,0.0,20544,2816.241135254303,1088.0,2056.626176752516,0.0,42752.0,0.0,0.017226006528,0.2469941804543999,0.0002801795072,0.001744830464,0.2662451969535999,0.2662451969535999,355408543744.0,355408543744.0,0.0,355408543744.0,0.0,0.0,0.0,0.0,synthetic,False,,0.0,2.0
no_cache,debate_job_11,debate,2977.4300989315475,6015.104397628129,9.79244189613064,1.890281412456356,11811.171509759995,0.0,20544,2987.222540827678,1088.0,2056.626176752515,0.0,42752.0,0.0,0.017226006528,0.2469941804543999,0.0002801795072,0.001744830464,0.2662451969535999,0.2662451969535999,355408543744.0,355408543744.0,0.0,355408543744.0,0.0,0.0,0.0,0.0,synthetic,False,,0.0,2.0
no_cache,debate_job_12,debate,3703.876801405687,6015.10439762813,9.79244189613064,1.8902814124563565,11811.171509759995,0.0,20544,3713.6692433018175,1088.0,2056.626176752516,0.0,42752.0,0.0,0.017226006528,0.2469941804543999,0.0002801795072,0.001744830464,0.2662451969535999,0.2662451969535999,355408543744.0,355408543744.0,0.0,355408543744.0,0.0,0.0,0.0,0.0,synthetic,False,,0.0,2.0
no_cache,debate_job_13,debate,4312.946248433527,6015.104397628131,9.792441896131097,1.8902814124563567,11811.17150976,0.0,20544,4322.738690329658,1088.0,2056.6261767525166,0.0,42752.0,0.0,0.017226006528,0.2469941804543999,0.0002801795072,0.001744830464,0.2662451969535999,0.2662451969535999,355408543744.0,355408543744.0,0.0,355408543744.0,0.0,0.0,0.0,0.0,synthetic,False,,0.0,2.0
no_cache,debate_job_14,debate,4854.3891348348325,6015.104397628132,9.792441896131097,1.8902814124563567,11811.17150976,0.0,20544,4864.181576730964,1088.0,2056.6261767525166,0.0,42752.0,0.0,0.017226006528,0.2469941804543999,0.0002801795072,0.001744830464,0.2662451969535999,0.2662451969535999,355408543744.0,355408543744.0,0.0,355408543744.0,0.0,0.0,0.0,0.0,synthetic,False,,0.0,2.0
no_cache,debate_job_15,debate,4912.747089969397,6015.104397628132,9.792441896131097,1.8902814124563567,11811.17150976,0.0,20544,4922.539531865528,1088.0,2056.6261767525166,0.0,42752.0,0.0,0.017226006528,0.2469941804543999,0.0002801795072,0.001744830464,0.2662451969535999,0.2662451969535999,355408543744.0,355408543744.0,0.0,355408543744.0,0.0,0.0,0.0,0.0,synthetic,False,,0.0,2.0
no_cache,debate_job_16,debate,4926.400201648221,6015.104397628133,9.792441896131097,1.890281412456358,11811.17150976,0.0,20544,4936.192643544352,1088.0,2056.626176752517,0.0,42752.0,0.0,0.017226006528,0.2469941804543999,0.0002801795072,0.001744830464,0.2662451969535999,0.2662451969535999,355408543744.0,355408543744.0,0.0,355408543744.0,0.0,0.0,0.0,0.0,synthetic,False,,0.0,2.0
no_cache,debate_job_17,debate,5168.793262223428,6015.1043976281335,9.792441896131097,1.890281412456358,11811.171509760004,0.0,20544,5178.58570411956,1088.0,2056.626176752517,0.0,42752.0,0.0,0.017226006528,0.2469941804543999,0.0002801795072,0.001744830464,0.2662451969535999,0.2662451969535999,355408543744.0,355408543744.0,0.0,355408543744.0,0.0,0.0,0.0,0.0,synthetic,False,,0.0,2.0
