arrival_rate_jobs_per_s,variant,metric,full_value,variant_value,delta_abs,delta_pct,paper_claim,threshold,supported
8.0,no_aggregator_placement,shared_prefill_compute_ms_saved,13193.271705599907,13193.271705599907,0.0,0.0,prefix compute reuse,0.95,False
8.0,no_aggregator_placement,sram_reload_bytes,171127603200.0,171127603200.0,0.0,0.0,SRAM/future reuse,0.05,False
8.0,no_aggregator_placement,energy_per_job_j,0.020283802167461,0.020283802167461,0.0,0.0,energy,0.02,False
8.0,no_distributed_sram_policy,decode_shared_kv_read_bytes,22788237479033.0,22752803998841.0,-35433480192.0,-0.0015549021825229633,decode cohort,0.05,False
8.0,no_distributed_sram_policy,mesh_total_traffic_bytes,1877867267993.0,1877867267993.0,0.0,0.0,placement/mesh,0.05,False
8.0,no_distributed_sram_policy,jct_p99_ms,20950.577984004198,20950.577984004198,0.0,0.0,tail latency,0.05,False
8.0,no_distributed_sram_policy,shared_prefill_compute_ms_saved,13193.271705599907,13193.271705599907,0.0,0.0,prefix compute reuse,0.95,False
8.0,no_distributed_sram_policy,sram_reload_bytes,171127603200.0,170993385472.0,-134217728.0,-0.000784313725490196,SRAM/future reuse,0.05,False
8.0,no_distributed_sram_policy,energy_per_job_j,0.020283802167461,0.020265011685541002,-1.879048191999813e-05,-1.879048191999813e-05,energy,0.02,False
8.0,no_future_reuse_policy,decode_shared_kv_read_bytes,22788237479033.0,22752803998841.0,-35433480192.0,-0.0015549021825229633,decode cohort,0.05,False
8.0,no_future_reuse_policy,mesh_total_traffic_bytes,1877867267993.0,1877867267993.0,0.0,0.0,placement/mesh,0.05,False
8.0,no_future_reuse_policy,jct_p99_ms,20950.577984004198,20950.577984004198,0.0,0.0,tail latency,0.05,False
8.0,no_future_reuse_policy,shared_prefill_compute_ms_saved,13193.271705599907,13193.271705599907,0.0,0.0,prefix compute reuse,0.95,False
8.0,no_future_reuse_policy,sram_reload_bytes,171127603200.0,170993385472.0,-134217728.0,-0.000784313725490196,SRAM/future reuse,0.05,False
8.0,no_future_reuse_policy,energy_per_job_j,0.020283802167461,0.020265011685541002,-1.879048191999813e-05,-1.879048191999813e-05,energy,0.02,False
8.0,no_kv_sharing,decode_shared_kv_read_bytes,22788237479033.0,20385632773650.0,-2402604705383.0,-0.10543179162467428,decode cohort,0.05,False
8.0,no_kv_sharing,mesh_total_traffic_bytes,1877867267993.0,1634235248128.0,-243632019865.0,-0.1297386796274401,placement/mesh,0.05,False
8.0,no_kv_sharing,jct_p99_ms,20950.577984004198,18078.645157617466,-2871.932826386732,-0.1370813172113656,tail latency,0.05,False
8.0,no_kv_sharing,shared_prefill_compute_ms_saved,13193.271705599907,0.0,-13193.271705599907,-1.0,prefix compute reuse,0.95,True
8.0,no_kv_sharing,sram_reload_bytes,171127603200.0,116081557504.0,-55046045696.0,-0.32166666666666666,SRAM/future reuse,0.05,False
8.0,no_kv_sharing,energy_per_job_j,0.020283802167461,0.025178528091949,0.004894725924487999,0.004894725924487999,energy,0.02,False
8.0,no_shared_kv_decode_cohort,decode_shared_kv_read_bytes,22788237479033.0,35540854374400.0,12752616895367.0,0.5596140073184873,decode cohort,0.05,True
8.0,no_shared_kv_decode_cohort,mesh_total_traffic_bytes,1877867267993.0,1235340160512.0,-642527107481.0,-0.34215789285667186,placement/mesh,0.05,False
8.0,no_shared_kv_decode_cohort,jct_p99_ms,20950.577984004198,13548.983373873649,-7401.594610130549,-0.35328832530451804,tail latency,0.05,False
8.0,no_shared_kv_decode_cohort,shared_prefill_compute_ms_saved,13193.271705599907,13193.271705599907,0.0,0.0,prefix compute reuse,0.95,False
8.0,no_shared_kv_decode_cohort,sram_reload_bytes,171127603200.0,162411839488.0,-8715763712.0,-0.05093137254901961,SRAM/future reuse,0.05,False
8.0,no_shared_kv_decode_cohort,energy_per_job_j,0.020283802167461,0.025251857947647997,0.004968055780186997,0.004968055780186997,energy,0.02,False
8.0,no_shared_kv_replication,decode_shared_kv_read_bytes,22788237479033.0,22788237479033.0,0.0,0.0,decode cohort,0.05,False
8.0,no_shared_kv_replication,mesh_total_traffic_bytes,1877867267993.0,1877867267993.0,0.0,0.0,placement/mesh,0.05,False
8.0,no_shared_kv_replication,jct_p99_ms,20950.577984004198,20950.577984004198,0.0,0.0,tail latency,0.05,False
8.0,no_shared_kv_replication,shared_prefill_compute_ms_saved,13193.271705599907,13193.271705599907,0.0,0.0,prefix compute reuse,0.95,False
8.0,no_shared_kv_replication,sram_reload_bytes,171127603200.0,171127603200.0,0.0,0.0,SRAM/future reuse,0.05,False
8.0,no_shared_kv_replication,energy_per_job_j,0.020283802167461,0.020283802167461,0.0,0.0,energy,0.02,False
16.0,no_affinity_placement,decode_shared_kv_read_bytes,22181143851741.0,22197464727478.0,16320875737.0,0.0007357995532642007,decode cohort,0.05,False
16.0,no_affinity_placement,mesh_total_traffic_bytes,2244013229976.0,61691000888283.0,59446987658307.0,26.491371291488683,placement/mesh,0.05,True
16.0,no_affinity_placement,jct_p99_ms,26792.20983408817,337088.15782273526,310295.9479886471,11.581573521190194,tail latency,0.05,True
16.0,no_affinity_placement,shared_prefill_compute_ms_saved,13193.271705599907,13193.271705599931,2.3646862246096134e-11,1.792342549578448e-15,prefix compute reuse,0.95,False
16.0,no_affinity_placement,sram_reload_bytes,176563421184.0,169516990464.0,-7046430720.0,-0.039908779931584946,SRAM/future reuse,0.05,False
16.0,no_affinity_placement,energy_per_job_j,0.0203028073977455,0.13802366608455302,0.11772085868680753,0.11772085868680753,energy,0.02,True
16.0,no_aggregator_placement,decode_shared_kv_read_bytes,22181143851741.0,22181143851741.0,0.0,0.0,decode cohort,0.05,False
16.0,no_aggregator_placement,mesh_total_traffic_bytes,2244013229976.0,2244013229976.0,0.0,0.0,placement/mesh,0.05,False
16.0,no_aggregator_placement,jct_p99_ms,26792.20983408817,26792.20983408817,0.0,0.0,tail latency,0.05,False
16.0,no_aggregator_placement,shared_prefill_compute_ms_saved,13193.271705599907,13193.271705599907,0.0,0.0,prefix compute reuse,0.95,False
16.0,no_aggregator_placement,sram_reload_bytes,176563421184.0,176563421184.0,0.0,0.0,SRAM/future reuse,0.05,False
16.0,no_aggregator_placement,energy_per_job_j,0.0203028073977455,0.0203028073977455,0.0,0.0,energy,0.02,False
16.0,no_distributed_sram_policy,decode_shared_kv_read_bytes,22181143851741.0,22119940567773.0,-61203283968.0,-0.00275924832267819,decode cohort,0.05,False
16.0,no_distributed_sram_policy,mesh_total_traffic_bytes,2244013229976.0,2244013229976.0,0.0,0.0,placement/mesh,0.05,False
16.0,no_distributed_sram_policy,jct_p99_ms,26792.20983408817,26792.20983408817,0.0,0.0,tail latency,0.05,False
16.0,no_distributed_sram_policy,shared_prefill_compute_ms_saved,13193.271705599907,13193.271705599907,0.0,0.0,prefix compute reuse,0.95,False
16.0,no_distributed_sram_policy,sram_reload_bytes,176563421184.0,175808446464.0,-754974720.0,-0.00427594070695553,SRAM/future reuse,0.05,False
16.0,no_distributed_sram_policy,energy_per_job_j,0.0203028073977455,0.0202661659580015,-3.664143974399861e-05,-3.664143974399861e-05,energy,0.02,False
16.0,no_future_reuse_policy,decode_shared_kv_read_bytes,22181143851741.0,22119940567773.0,-61203283968.0,-0.00275924832267819,decode cohort,0.05,False
16.0,no_future_reuse_policy,mesh_total_traffic_bytes,2244013229976.0,2244013229976.0,0.0,0.0,placement/mesh,0.05,False
16.0,no_future_reuse_policy,jct_p99_ms,26792.20983408817,26792.20983408817,0.0,0.0,tail latency,0.05,False
16.0,no_future_reuse_policy,shared_prefill_compute_ms_saved,13193.271705599907,13193.271705599907,0.0,0.0,prefix compute reuse,0.95,False
16.0,no_future_reuse_policy,sram_reload_bytes,176563421184.0,175808446464.0,-754974720.0,-0.00427594070695553,SRAM/future reuse,0.05,False
16.0,no_future_reuse_policy,energy_per_job_j,0.0203028073977455,0.0202661659580015,-3.664143974399861e-05,-3.664143974399861e-05,energy,0.02,False
16.0,no_kv_sharing,decode_shared_kv_read_bytes,22181143851741.0,20621426478203.0,-1559717373538.0,-0.07031726514931635,decode cohort,0.05,False
16.0,no_kv_sharing,mesh_total_traffic_bytes,2244013229976.0,2287070277120.0,43057047144.0,0.01918751929303933,placement/mesh,0.05,False
16.0,no_kv_sharing,jct_p99_ms,26792.20983408817,26714.739146492582,-77.47068759558897,-0.0028915378042845027,tail latency,0.05,False
16.0,no_kv_sharing,shared_prefill_compute_ms_saved,13193.271705599907,0.0,-13193.271705599907,-1.0,prefix compute reuse,0.95,True
16.0,no_kv_sharing,sram_reload_bytes,176563421184.0,123832631296.0,-52730789888.0,-0.29865070315469405,SRAM/future reuse,0.05,False
16.0,no_kv_sharing,energy_per_job_j,0.0203028073977455,0.026231493011654502,0.005928685613909003,0.005928685613909003,energy,0.02,False
16.0,no_shared_kv_decode_cohort,decode_shared_kv_read_bytes,22181143851741.0,35540854374400.0,13359710522659.0,0.602300341765756,decode cohort,0.05,True
16.0,no_shared_kv_decode_cohort,mesh_total_traffic_bytes,2244013229976.0,1195611713024.0,-1048401516952.0,-0.4671993475560805,placement/mesh,0.05,False
16.0,no_shared_kv_decode_cohort,jct_p99_ms,26792.20983408817,14284.16329579452,-12508.04653829365,-0.46685385848163435,tail latency,0.05,False
16.0,no_shared_kv_decode_cohort,shared_prefill_compute_ms_saved,13193.271705599907,13193.271705599907,0.0,0.0,prefix compute reuse,0.95,False
16.0,no_shared_kv_decode_cohort,sram_reload_bytes,176563421184.0,160029474816.0,-16533946368.0,-0.09364310148232612,SRAM/future reuse,0.05,False
16.0,no_shared_kv_decode_cohort,energy_per_job_j,0.0203028073977455,0.025045967952896,0.004743160555150502,0.004743160555150502,energy,0.02,False
16.0,no_shared_kv_replication,decode_shared_kv_read_bytes,22181143851741.0,22181143851741.0,0.0,0.0,decode cohort,0.05,False
16.0,no_shared_kv_replication,mesh_total_traffic_bytes,2244013229976.0,2244013229976.0,0.0,0.0,placement/mesh,0.05,False
16.0,no_shared_kv_replication,jct_p99_ms,26792.20983408817,26792.20983408817,0.0,0.0,tail latency,0.05,False
16.0,no_shared_kv_replication,shared_prefill_compute_ms_saved,13193.271705599907,13193.271705599907,0.0,0.0,prefix compute reuse,0.95,False
16.0,no_shared_kv_replication,sram_reload_bytes,176563421184.0,176563421184.0,0.0,0.0,SRAM/future reuse,0.05,False
16.0,no_shared_kv_replication,energy_per_job_j,0.0203028073977455,0.0203028073977455,0.0,0.0,energy,0.02,False
