mode,estimated_latency_s,estimated_attention_stage_latency_s,critical_path_latency_s,throughput_bound_latency_s,mesh_time_s,compute_time_s,total_sram_gib,peak_region_sram_gib,sram_port_gib,payload_gib,wire_traffic_tib,max_link_load_gib,hotspot_ratio,max_directed_link,local_sram_read_tib,query_tile_size,num_query_tiles_total,reduction,placement,num_shards,region_capacity_violation,vc_model,shared_prefix_tokens,agents,decode_tokens
KVRing-v2-ring,0.000294517,0.000294517,1.818e-06,0.000294517,0.000379079,0.000110449,0.265625,0.0390625,16.5078125,0.1026611328125,0.0008611679077148438,0.0352783203125,4.400609080841639,"(0,0)->(1,0)",0.015625,8,64,ring,serpentine,8,False,not_modeled_for_performance,2048,2,64
KVRing-v2-tree,0.000294517,0.000294517,1.758e-06,0.000294517,0.000549413,0.000110449,0.265625,0.0390625,16.5078125,0.0947265625,0.0007991790771484375,0.02734375,3.675417661097852,"(0,0)->(1,0)",0.015625,8,64,tree,serpentine,8,False,not_modeled_for_performance,2048,2,64
Pull-KV Independent,0.345175933,0.345175933,0.345175933,0.345175933,0.34361267,0.001563263,0.265625,0.25,32.015625,32.001953125,0.4531526565551758,32.0009765625,3.51713404817274,"(7,7)->(6,7)",,16,,,,,,,2048,2,64
Central KV-Stationary,0.001722818,0.001722818,0.001722818,0.001722818,2.61e-05,0.001696718,0.265625,0.25,32.015625,0.002960205078125,4.191696643829346e-05,0.001983642578125,2.356914326341984,"(7,7)->(6,7)",,16,,,,,,,2048,2,64
Replicate-All,0.006150798,0.006150798,0.006150798,0.006150798,0.005368785,0.000782013,0.515625,0.2578125,16.015625,0.5,0.007080078125,0.5,1.517241379310345,"(7,7)->(6,7)",,16,,,,,,,2048,2,64
KVRing-v1-sequential-pipeline,0.000224488,0.000224488,0.000224488,0.000224488,2.8412e-05,0.000196076,0.265625,0.0390625,4.015625,0.002197265625,0.00054931640625,0.002197265625,1.0,"(0,0)->(0,1)",,16,,,,,False,,2048,2,64
KVRing-v2-ring,0.000588893,0.000588893,1.83e-06,0.000588893,0.000757877,0.000111224,0.265625,0.0390625,16.5078125,0.205322265625,0.0017223358154296875,0.070556640625,4.400609080841639,"(0,0)->(1,0)",0.015625,16,64,ring,serpentine,8,False,not_modeled_for_performance,2048,2,64
KVRing-v2-tree,0.000588893,0.000588893,1.77e-06,0.000588893,0.001098604,0.000111224,0.265625,0.0390625,16.5078125,0.189453125,0.001598358154296875,0.0546875,3.675417661097852,"(0,0)->(1,0)",0.015625,16,64,tree,serpentine,8,False,not_modeled_for_performance,2048,2,64
Pull-KV Independent,1.38070373,1.38070373,1.38070373,1.38070373,1.374450678,0.006253052,0.3125,0.25,128.0625,128.0078125,1.8126106262207031,128.00390625,3.51713404817274,"(7,7)->(6,7)",,1,,,,,,,2048,2,256
Central KV-Stationary,0.006891268,0.006891268,0.006891268,0.006891268,0.000104397,0.006786871,0.3125,0.25,128.0625,0.0118408203125,0.00016766786575317383,0.0079345703125,2.356914326341984,"(7,7)->(6,7)",,1,,,,,,,2048,2,256
Replicate-All,0.008496837,0.008496837,0.008496837,0.008496837,0.005368785,0.003128052,0.5625,0.28125,64.0625,0.5,0.007080078125,0.5,1.517241379310345,"(7,7)->(6,7)",,1,,,,,,,2048,2,256
KVRing-v1-sequential-pipeline,0.00089411,0.00089411,0.00089411,0.00089411,0.000109808,0.000784302,0.3125,0.0625,16.0625,0.0087890625,0.002197265625,0.0087890625,1.0,"(0,0)->(0,1)",,1,,,,,False,,2048,2,256
KVRing-v2-ring,0.000782025,0.000782025,1.807e-06,0.000782025,0.000232278,0.000976575,0.3125,0.0625,136.03125,0.1026611328125,0.0009345412254333496,0.0216064453125,4.267236430894827,"(0,0)->(1,0)",0.125,1,512,ring,serpentine,8,False,not_modeled_for_performance,2048,2,256
KVRing-v2-tree,0.000782025,0.000782025,1.747e-06,0.000782025,0.000402612,0.000976575,0.3125,0.0625,136.03125,0.0947265625,0.0008725523948669434,0.0257568359375,5.390668761527427,"(0,2)->(0,1)",0.125,1,512,tree,serpentine,8,False,not_modeled_for_performance,2048,2,256
Pull-KV Independent,1.38070373,1.38070373,1.38070373,1.38070373,1.374450678,0.006253052,0.3125,0.25,128.0625,128.0078125,1.8126106262207031,128.00390625,3.51713404817274,"(7,7)->(6,7)",,2,,,,,,,2048,2,256
Central KV-Stationary,0.006891268,0.006891268,0.006891268,0.006891268,0.000104397,0.006786871,0.3125,0.25,128.0625,0.0118408203125,0.00016766786575317383,0.0079345703125,2.356914326341984,"(7,7)->(6,7)",,2,,,,,,,2048,2,256
Replicate-All,0.008496837,0.008496837,0.008496837,0.008496837,0.005368785,0.003128052,0.5625,0.28125,64.0625,0.5,0.007080078125,0.5,1.517241379310345,"(7,7)->(6,7)",,2,,,,,,,2048,2,256
KVRing-v1-sequential-pipeline,0.00089411,0.00089411,0.00089411,0.00089411,0.000109808,0.000784302,0.3125,0.0625,16.0625,0.0087890625,0.002197265625,0.0087890625,1.0,"(0,0)->(0,1)",,2,,,,,False,,2048,2,256
KVRing-v2-ring,0.0003914,0.0003914,1.809e-06,0.0003914,0.000379079,0.00058595,0.3125,0.0625,72.03125,0.1026611328125,0.0008611679077148438,0.0352783203125,4.400609080841639,"(0,0)->(1,0)",0.0625,2,256,ring,serpentine,8,False,not_modeled_for_performance,2048,2,256
KVRing-v2-tree,0.0003914,0.0003914,1.749e-06,0.0003914,0.000549413,0.00058595,0.3125,0.0625,72.03125,0.0947265625,0.0007991790771484375,0.02734375,3.675417661097852,"(0,0)->(1,0)",0.0625,2,256,tree,serpentine,8,False,not_modeled_for_performance,2048,2,256
Pull-KV Independent,1.38070373,1.38070373,1.38070373,1.38070373,1.374450678,0.006253052,0.3125,0.25,128.0625,128.0078125,1.8126106262207031,128.00390625,3.51713404817274,"(7,7)->(6,7)",,4,,,,,,,2048,2,256
Central KV-Stationary,0.006891268,0.006891268,0.006891268,0.006891268,0.000104397,0.006786871,0.3125,0.25,128.0625,0.0118408203125,0.00016766786575317383,0.0079345703125,2.356914326341984,"(7,7)->(6,7)",,4,,,,,,,2048,2,256
Replicate-All,0.008496837,0.008496837,0.008496837,0.008496837,0.005368785,0.003128052,0.5625,0.28125,64.0625,0.5,0.007080078125,0.5,1.517241379310345,"(7,7)->(6,7)",,4,,,,,,,2048,2,256
KVRing-v1-sequential-pipeline,0.00089411,0.00089411,0.00089411,0.00089411,0.000109808,0.000784302,0.3125,0.0625,16.0625,0.0087890625,0.002197265625,0.0087890625,1.0,"(0,0)->(0,1)",,4,,,,,False,,2048,2,256
KVRing-v2-ring,0.000588893,0.000588893,1.812e-06,0.000588893,0.000757877,0.000586725,0.3125,0.0625,72.03125,0.205322265625,0.0017223358154296875,0.070556640625,4.400609080841639,"(0,0)->(1,0)",0.0625,4,256,ring,serpentine,8,False,not_modeled_for_performance,2048,2,256
KVRing-v2-tree,0.000588893,0.000588893,1.752e-06,0.000588893,0.001098604,0.000586725,0.3125,0.0625,72.03125,0.189453125,0.001598358154296875,0.0546875,3.675417661097852,"(0,0)->(1,0)",0.0625,4,256,tree,serpentine,8,False,not_modeled_for_performance,2048,2,256
Pull-KV Independent,1.38070373,1.38070373,1.38070373,1.38070373,1.374450678,0.006253052,0.3125,0.25,128.0625,128.0078125,1.8126106262207031,128.00390625,3.51713404817274,"(7,7)->(6,7)",,8,,,,,,,2048,2,256
Central KV-Stationary,0.006891268,0.006891268,0.006891268,0.006891268,0.000104397,0.006786871,0.3125,0.25,128.0625,0.0118408203125,0.00016766786575317383,0.0079345703125,2.356914326341984,"(7,7)->(6,7)",,8,,,,,,,2048,2,256
Replicate-All,0.008496837,0.008496837,0.008496837,0.008496837,0.005368785,0.003128052,0.5625,0.28125,64.0625,0.5,0.007080078125,0.5,1.517241379310345,"(7,7)->(6,7)",,8,,,,,,,2048,2,256
KVRing-v1-sequential-pipeline,0.00089411,0.00089411,0.00089411,0.00089411,0.000109808,0.000784302,0.3125,0.0625,16.0625,0.0087890625,0.002197265625,0.0087890625,1.0,"(0,0)->(0,1)",,8,,,,,False,,2048,2,256
KVRing-v2-ring,0.001177646,0.001177646,1.818e-06,0.001177646,0.001515474,0.000588275,0.3125,0.0625,72.03125,0.41064453125,0.003444671630859375,0.14111328125,4.400609080841639,"(0,0)->(1,0)",0.0625,8,256,ring,serpentine,8,False,not_modeled_for_performance,2048,2,256
