policy,prediction_mode,estimator_mode,concurrency,memory_budget,total_cycles,p95_llm_step_latency,p99_llm_step_latency,throughput_llm_steps_per_cycle,effective_prefill_tokens,cache_byte_miss,state_misses,LRU_regret_states_preserved,LRU_regret_tokens_preserved,asg_builder_enabled,oracle_future,baseline_class,retention_policy,mapping_policy,prefetch_policy,prompt_reconstruction_quality,observation_compression_class,data_quality,paper_usable,num_high_quality_traces,num_smoke_traces,num_traces,selected_trace_count,delayed_reuse_ratio,effective_prefill_reduction,cache_hit_ratio,model_compute_cycles,model_comm_cycles,remote_read_bytes,demand_migration_bytes,prefetch_migration_bytes,prefetch_hidden_cycles,prefetch_exposed_cycles,unused_prefetch_events,local_state_hits,remote_state_hits,retained_state_type_distribution,oracle_gap,llm_step_latency_quantiles_available
kvflow-like,none,none,1,0.1,1608391000,,,5.396697693533475e-07,4722330,885487304704,3468,0,0,False,False,system,kvflow,none,none,explicit_selective_state,none,paper_usable,True,62,10,62,,0.12658227848101267,0.019936526542464805,0.43499511241446726,1401362000,0,0,0,0,0,0,0,2568,102,"{""agent_role"": 2, ""system_prefix"": 1, ""task_prefix"": 2}",1.2189619294279683,False
asg-retention-v2-online,heuristic,heuristic,1,0.1,1573297000,,,5.517076559606991e-07,4640907,842798202880,3244,1,159,True,False,asg,asg-v2,none,none,explicit_selective_state,none,paper_usable,True,62,10,62,,0.12658227848101267,0.036834902598211205,0.4714890843923102,1366500000,0,0,0,0,0,0,0,2629,265,"{""assistant_delta"": 1, ""summary_state"": 1, ""system_prefix"": 62, ""task_prefix"": 62}",0.0,False
asg-retention-v2-oracle,oracle,oracle,1,0.1,1573297000,,,5.517076559606991e-07,4640907,842798202880,3244,1,159,True,True,oracle,asg-v2,none,none,explicit_selective_state,none,paper_usable,True,62,10,62,,0.12658227848101267,0.036834902598211205,0.4714890843923102,1366500000,0,0,0,0,0,0,0,2627,267,"{""assistant_delta"": 1, ""summary_state"": 1, ""system_prefix"": 62, ""task_prefix"": 62}",0.0,False
asg-placement-v2-online,heuristic,heuristic,1,0.1,1592768778,,,5.449629676254239e-07,4640907,842798202880,3244,1,159,True,False,asg,asg-v2,asg_cost_aware,none,explicit_selective_state,none,paper_usable,True,62,10,62,,0.12658227848101267,0.036834902598211205,0.4714890843923102,1357351142,100453,2371354624,12582912,0,0,0,0,2644,250,"{""assistant_delta"": 1, ""summary_state"": 1, ""system_prefix"": 62, ""task_prefix"": 62}",0.0,False
asg-prefetch-v2-online,heuristic,heuristic,1,0.1,1590998201,,,5.455694415332655e-07,4640907,842798202880,3244,1,159,True,False,asg,asg-v2,asg_cost_aware,windowed,explicit_selective_state,none,paper_usable,True,62,10,62,,0.12658227848101267,0.036834902598211205,0.4714890843923102,1357685127,49252,1830813696,0,291504128,565662,573462,1,2716,178,"{""assistant_delta"": 1, ""summary_state"": 1, ""system_prefix"": 62, ""task_prefix"": 62}",0.0,False
lru-system,none,none,1,0.25,1566173000,,,5.542171905657931e-07,4476744,756729511936,2019,2,375,False,False,system,lru,static_replica,none,explicit_selective_state,none,paper_usable,True,62,10,62,,0.12658227848101267,0.07090498240906928,0.6710654936461388,1329122000,0,0,0,0,0,0,0,3582,537,"{""agent_role"": 1, ""assistant_delta"": 1, ""summary_state"": 2, ""system_prefix"": 1, ""task_prefix"": 1}",1.0,False
kvflow-like,none,none,1,0.25,1606895000,,,5.401721954452531e-07,4718467,883461980160,3485,0,0,False,False,system,kvflow,none,none,explicit_selective_state,none,paper_usable,True,62,10,62,,0.12658227848101267,0.020738246286312934,0.4322254806125774,1390402000,0,0,0,0,0,0,0,2333,320,"{""agent_role"": 7, ""system_prefix"": 6, ""task_prefix"": 4}",5.358510638297872,False
asg-retention-v2-online,heuristic,heuristic,1,0.25,1583946000,,,5.47998479746153e-07,4421284,727652499456,1721,2,375,True,False,asg,asg-v2,none,none,explicit_selective_state,none,paper_usable,True,62,10,62,,0.12658227848101267,0.08241504634741215,0.7196155099380905,1332246000,0,0,0,0,0,0,0,3917,500,"{""agent_role"": 1, ""assistant_delta"": 1, ""file_context"": 1, ""summary_state"": 2, ""system_prefix"": 62, ""task_prefix"": 62}",0.0,False
asg-retention-v2-oracle,oracle,oracle,1,0.25,1583946000,,,5.47998479746153e-07,4421284,727652499456,1721,2,375,True,True,oracle,asg-v2,none,none,explicit_selective_state,none,paper_usable,True,62,10,62,,0.12658227848101267,0.08241504634741215,0.7196155099380905,1332246000,0,0,0,0,0,0,0,3850,567,"{""agent_role"": 1, ""assistant_delta"": 1, ""file_context"": 1, ""summary_state"": 2, ""system_prefix"": 62, ""task_prefix"": 62}",0.0,False
asg-placement-v2-online,heuristic,heuristic,1,0.25,1584017681,,,5.47973681361957e-07,4421284,727652499456,1721,2,375,True,False,asg,asg-v2,asg_cost_aware,none,explicit_selective_state,none,paper_usable,True,62,10,62,,0.12658227848101267,0.08241504634741215,0.7196155099380905,1316812137,227333,3969908736,100663296,0,0,0,0,4073,344,"{""agent_role"": 1, ""assistant_delta"": 1, ""file_context"": 1, ""summary_state"": 2, ""system_prefix"": 62, ""task_prefix"": 62}",0.0,False
asg-prefetch-v2-online,heuristic,heuristic,1,0.25,1584017681,,,5.47973681361957e-07,4421284,727652499456,1721,2,375,True,False,asg,asg-v2,asg_cost_aware,windowed,explicit_selective_state,none,paper_usable,True,62,10,62,,0.12658227848101267,0.08241504634741215,0.7196155099380905,1323618213,172134,1660944384,0,1229455360,544787,4260441,1,4245,172,"{""agent_role"": 1, ""assistant_delta"": 1, ""file_context"": 1, ""summary_state"": 2, ""system_prefix"": 62, ""task_prefix"": 62}",0.0,False
lru-system,none,none,1,0.5,1527162000,,,5.683745404875187e-07,4333771,681770483712,1302,3,769,False,False,system,lru,static_replica,none,explicit_selective_state,none,paper_usable,True,62,10,62,,0.12658227848101267,0.10057732953234189,0.7878787878787878,1280004000,0,0,0,0,0,0,0,4340,496,"{""agent_role"": 1, ""assistant_delta"": 4, ""edit_diff"": 1, ""file_context"": 2, ""summary_state"": 2, ""system_prefix"": 1, ""task_prefix"": 1}",1.0,False
kvflow-like,none,none,1,0.5,1604823000,,,5.408696161508154e-07,4704616,876200067072,3403,0,0,False,False,system,kvflow,none,none,explicit_selective_state,none,paper_usable,True,62,10,62,,0.12658227848101267,0.023612856737268317,0.44558488106875205,1389186000,0,0,0,0,0,0,0,2559,176,"{""agent_role"": 10, ""system_prefix"": 10, ""task_prefix"": 9}",4.951170397519631,False
asg-retention-v2-online,heuristic,heuristic,1,0.5,1530372000,,,5.671823582762884e-07,4239921,632566054912,1716,1,1019,True,False,asg,asg-v2,none,none,explicit_selective_state,none,paper_usable,True,62,10,62,,0.12658227848101267,0.12005478176121831,0.7204301075268817,1287105000,0,0,0,0,0,0,0,4205,217,"{""system_prefix"": 62, ""task_prefix"": 62, ""test_failure_summary"": 1}",7.458154426414652e-05,False
asg-retention-v2-oracle,oracle,oracle,1,0.5,1530371000,,,5.671827288938433e-07,4239914,632562384896,1730,1,1019,True,True,oracle,asg-v2,none,none,explicit_selective_state,none,paper_usable,True,62,10,62,,0.12658227848101267,0.12005623452803338,0.7181492342782665,1287104000,0,0,0,0,0,0,0,4167,241,"{""system_prefix"": 62, ""task_prefix"": 62, ""test_failure_summary"": 1}",0.0,False
asg-placement-v2-online,heuristic,heuristic,1,0.5,1530589189,,,5.671018756947459e-07,4239921,632566054912,1716,1,1019,True,False,asg,asg-v2,asg_cost_aware,none,explicit_selective_state,none,paper_usable,True,62,10,62,,0.12658227848101267,0.12005478176121831,0.7204301075268817,1270416599,155750,4451729408,0,0,0,0,0,4205,217,"{""system_prefix"": 62, ""task_prefix"": 62, ""test_failure_summary"": 1}",7.458154426414652e-05,False
asg-prefetch-v2-online,heuristic,heuristic,1,0.5,1530589189,,,5.671018756947459e-07,4239921,632566054912,1716,1,1019,True,False,asg,asg-v2,asg_cost_aware,windowed,explicit_selective_state,none,paper_usable,True,62,10,62,,0.12658227848101267,0.12005478176121831,0.7204301075268817,1234285676,53249,2564292608,0,12062294016,36272181,10848850,62,4315,107,"{""system_prefix"": 62, ""task_prefix"": 62, ""test_failure_summary"": 1}",7.458154426414652e-05,False
