policy,prediction_mode,estimator_mode,concurrency,memory_budget,total_cycles,p95_llm_step_latency,p99_llm_step_latency,throughput_llm_steps_per_cycle,effective_prefill_tokens,cache_byte_miss,state_misses,LRU_regret_states_preserved,LRU_regret_tokens_preserved,asg_builder_enabled,oracle_future,baseline_class,retention_policy,mapping_policy,prefetch_policy,prompt_reconstruction_quality,observation_compression_class,data_quality,paper_usable,num_high_quality_traces,num_smoke_traces,num_traces,selected_trace_count,delayed_reuse_ratio,effective_prefill_reduction,cache_hit_ratio,model_compute_cycles,model_comm_cycles,remote_read_bytes,demand_migration_bytes,prefetch_migration_bytes,prefetch_hidden_cycles,prefetch_exposed_cycles,unused_prefetch_events,local_state_hits,remote_state_hits,retained_state_type_distribution,oracle_gap,llm_step_latency_quantiles_available
asg-placement-v2-online,heuristic,heuristic,1,0.05,666196108,,,1.3509535543548986e-07,38676,921174016,50,0,0,True,False,asg,asg-v2,asg_cost_aware,none,explicit_selective_state,none,smoke_only,False,0,10,10,,0.0,0.12454162705418992,0.8780487804878049,27242172,350613,620756992,18874368,0,0,0,0,288,72,"{""assistant_delta"": 2, ""edit_diff"": 1, ""system_prefix"": 10, ""task_prefix"": 10}",0.0,False
asg-prefetch-v2-online,heuristic,heuristic,1,0.05,666196108,,,1.3509535543548986e-07,38676,921174016,50,0,0,True,False,asg,asg-v2,asg_cost_aware,windowed,explicit_selective_state,none,smoke_only,False,0,10,10,,0.0,0.12454162705418992,0.8780487804878049,26999285,326135,577241088,0,57671680,225386,0,3,297,63,"{""assistant_delta"": 2, ""edit_diff"": 1, ""system_prefix"": 10, ""task_prefix"": 10}",0.0,False
lru-system,none,none,2,0.05,666159000,,,1.3510288084376253e-07,38769,969932800,20,0,0,False,False,system,lru,static_replica,none,explicit_selective_state,none,smoke_only,False,0,10,10,,0.0,0.1224365068586174,0.9512195121951219,28811000,0,0,0,0,0,0,0,288,102,"{""agent_role"": 1, ""assistant_delta"": 1, ""edit_diff"": 1, ""file_context"": 2, ""system_prefix"": 1, ""task_prefix"": 2}",1.0,False
kvflow-like,none,none,2,0.05,666452000,,,1.350434840018486e-07,40568,1913126912,122,0,0,False,False,system,kvflow,none,none,explicit_selective_state,none,smoke_only,False,0,10,10,,0.0,0.08171488070985555,0.7024390243902439,29783000,0,0,0,0,0,0,0,262,26,"{""agent_role"": 3, ""file_context"": 1, ""system_prefix"": 2, ""task_prefix"": 3}",20.344086021505376,False
asg-retention-v2-online,heuristic,heuristic,2,0.05,666153000,,,1.3510409770728347e-07,38676,921174016,50,0,0,True,False,asg,asg-v2,none,none,explicit_selective_state,none,smoke_only,False,0,10,10,,0.0,0.12454162705418992,0.8780487804878049,28724000,0,0,0,0,0,0,0,282,78,"{""assistant_delta"": 2, ""edit_diff"": 1, ""system_prefix"": 10, ""task_prefix"": 10}",0.0,False
asg-retention-v2-oracle,oracle,oracle,2,0.05,666153000,,,1.3510409770728347e-07,38676,921174016,50,0,0,True,True,oracle,asg-v2,none,none,explicit_selective_state,none,smoke_only,False,0,10,10,,0.0,0.12454162705418992,0.8780487804878049,28724000,0,0,0,0,0,0,0,276,84,"{""assistant_delta"": 2, ""edit_diff"": 1, ""system_prefix"": 10, ""task_prefix"": 10}",0.0,False
asg-placement-v2-online,heuristic,heuristic,2,0.05,666243114,,,1.350858239414389e-07,38676,921174016,50,0,0,True,False,asg,asg-v2,asg_cost_aware,none,explicit_selective_state,none,smoke_only,False,0,10,10,,0.0,0.12454162705418992,0.8780487804878049,27344951,438283,645922816,18874368,0,0,0,0,287,73,"{""assistant_delta"": 2, ""edit_diff"": 1, ""system_prefix"": 10, ""task_prefix"": 10}",0.0,False
asg-prefetch-v2-online,heuristic,heuristic,2,0.05,666243114,,,1.350858239414389e-07,38676,921174016,50,0,0,True,False,asg,asg-v2,asg_cost_aware,windowed,explicit_selective_state,none,smoke_only,False,0,10,10,,0.0,0.12454162705418992,0.8780487804878049,27238549,413706,594018304,0,38797312,151557,0,2,297,63,"{""assistant_delta"": 2, ""edit_diff"": 1, ""system_prefix"": 10, ""task_prefix"": 10}",0.0,False
lru-system,none,none,4,0.05,666159000,,,1.3510288084376253e-07,38769,969932800,20,0,0,False,False,system,lru,static_replica,none,explicit_selective_state,none,smoke_only,False,0,10,10,,0.0,0.1224365068586174,0.9512195121951219,28811000,0,0,0,0,0,0,0,301,89,"{""agent_role"": 1, ""assistant_delta"": 1, ""edit_diff"": 1, ""file_context"": 2, ""system_prefix"": 1, ""task_prefix"": 2}",1.0,False
kvflow-like,none,none,4,0.05,666452000,,,1.350434840018486e-07,40642,1951924224,128,0,0,False,False,system,kvflow,none,none,explicit_selective_state,none,smoke_only,False,0,10,10,,0.0,0.08003983883380872,0.6878048780487804,29818000,0,0,0,0,0,0,0,262,20,"{""agent_role"": 3, ""file_context"": 1, ""system_prefix"": 2, ""task_prefix"": 3}",21.13978494623656,False
