policy,prediction_mode,estimator_mode,concurrency,memory_budget,total_cycles,p95_llm_step_latency,p99_llm_step_latency,throughput_llm_steps_per_cycle,effective_prefill_tokens,cache_byte_miss,state_misses,LRU_regret_states_preserved,LRU_regret_tokens_preserved,asg_builder_enabled,oracle_future,baseline_class,retention_policy,mapping_policy,prefetch_policy,prompt_reconstruction_quality,observation_compression_class,data_quality,paper_usable,num_high_quality_traces,num_smoke_traces,num_traces,selected_trace_count,delayed_reuse_ratio,effective_prefill_reduction,cache_hit_ratio,model_compute_cycles,model_comm_cycles,remote_read_bytes,demand_migration_bytes,prefetch_migration_bytes,prefetch_hidden_cycles,prefetch_exposed_cycles,unused_prefetch_events,local_state_hits,remote_state_hits,retained_state_type_distribution,oracle_gap,llm_step_latency_quantiles_available
lru-system,none,none,16,0.02,1089498000,,,3.8549864249406606e-07,2321524,447628181504,2079,0,0,False,False,system,lru,static_replica,none,explicit_selective_state,none,paper_usable,True,30,0,30,,0.12658227848101267,0.005397744677551275,0.3,751743000,0,0,0,0,0,0,0,883,8,"{""agent_role"": 1, ""file_context"": 1, ""system_prefix"": 1}",1.0,False
kvflow-like,none,none,16,0.02,1089506000,,,3.8549581186335824e-07,2321523,447627657216,2070,0,0,False,False,system,kvflow,none,none,explicit_selective_state,none,paper_usable,True,30,0,30,,0.12658227848101267,0.0053981731039880465,0.30303030303030304,751748000,0,0,0,0,0,0,0,900,0,"{""agent_role"": 1, ""file_context"": 1, ""system_prefix"": 1}",0.9999712849964106,False
asg-retention-v2-online,heuristic,heuristic,16,0.02,1099651000,,,3.819393607608232e-07,2286699,429369851904,1710,0,0,True,False,asg,asg-v2,none,none,explicit_selective_state,none,paper_usable,True,30,0,30,,0.12658227848101267,0.02031769533996275,0.42424242424242425,758504000,0,0,0,0,0,0,0,1172,88,"{""file_context"": 1, ""system_prefix"": 30, ""task_prefix"": 30}",0.0,False
asg-retention-v2-oracle,oracle,oracle,16,0.02,1099651000,,,3.819393607608232e-07,2286699,429369851904,1710,0,0,True,True,oracle,asg-v2,none,none,explicit_selective_state,none,paper_usable,True,30,0,30,,0.12658227848101267,0.02031769533996275,0.42424242424242425,758504000,0,0,0,0,0,0,0,1172,88,"{""file_context"": 1, ""system_prefix"": 30, ""task_prefix"": 30}",0.0,False
asg-placement-v2-online,heuristic,heuristic,16,0.02,1067781354,,,3.93338953172992e-07,2286699,429369851904,1710,0,0,True,False,asg,asg-v2,asg_cost_aware,none,explicit_selective_state,none,paper_usable,True,30,0,30,,0.12658227848101267,0.02031769533996275,0.42424242424242425,714417780,49153,1075838976,0,0,0,0,0,1173,87,"{""file_context"": 1, ""system_prefix"": 30, ""task_prefix"": 30}",0.0,False
asg-prefetch-v2-online,heuristic,heuristic,16,0.02,1067730153,,,3.933578150059044e-07,2286699,429369851904,1710,0,0,True,False,asg,asg-v2,asg_cost_aware,windowed,explicit_selective_state,none,paper_usable,True,30,0,30,,0.12658227848101267,0.02031769533996275,0.42424242424242425,714468981,49153,1023410176,0,26214400,0,102402,0,1177,83,"{""file_context"": 1, ""system_prefix"": 30, ""task_prefix"": 30}",0.0,False
lru-system,none,none,1,0.05,1102027000,,,3.811158891751291e-07,2300557,436635435008,2011,0,0,False,False,system,lru,static_replica,none,explicit_selective_state,none,paper_usable,True,30,0,30,,0.12658227848101267,0.014380561778449596,0.3228956228956229,766118000,0,0,0,0,0,0,0,897,62,"{""agent_role"": 1, ""file_context"": 1, ""task_prefix"": 1}",1.0,False
kvflow-like,none,none,1,0.05,1102143000,,,3.810757769182402e-07,2302371,437586493440,2102,0,0,False,False,system,kvflow,none,none,explicit_selective_state,none,paper_usable,True,30,0,30,,0.12658227848101267,0.01360339622204998,0.29225589225589227,766321000,0,0,0,0,0,0,0,840,28,"{""agent_role"": 1, ""file_context"": 1, ""task_prefix"": 1}",1.0939993781739041,False
asg-retention-v2-online,heuristic,heuristic,1,0.05,1098467000,,,3.823510401313831e-07,2281259,426517725184,1500,0,0,True,False,asg,asg-v2,none,none,explicit_selective_state,none,paper_usable,True,30,0,30,,0.12658227848101267,0.022648335156287835,0.494949494949495,756447000,0,0,0,0,0,0,0,1381,89,"{""agent_role"": 1, ""assistant_delta"": 1, ""file_context"": 1, ""system_prefix"": 30, ""task_prefix"": 30}",0.0,False
asg-retention-v2-oracle,oracle,oracle,1,0.05,1098467000,,,3.823510401313831e-07,2281259,426517725184,1500,0,0,True,True,oracle,asg-v2,none,none,explicit_selective_state,none,paper_usable,True,30,0,30,,0.12658227848101267,0.022648335156287835,0.494949494949495,756447000,0,0,0,0,0,0,0,1196,274,"{""agent_role"": 1, ""assistant_delta"": 1, ""file_context"": 1, ""system_prefix"": 30, ""task_prefix"": 30}",0.0,False
