baseline,arrival_rate_jobs_per_s,completed_jobs,jobs_per_s,tokens_per_s,jct_p50_ms,jct_p90_ms,jct_p99_ms,ttft_p50_ms,ttft_p90_ms,ttft_p99_ms,tpot_p50_ms,tpot_p90_ms,tpot_p99_ms,queue_wait_ms,mesh_wait_ms,cross_job_prefix_hit_rate,cross_job_prefix_compute_hits,sram_hit_rate,sram_evictions,sram_reload_bytes,mesh_total_traffic_bytes,mesh_hotspot_ratio,computed_prefill_tokens,avoided_prefill_tokens,compute_energy_j,mesh_energy_j,sram_energy_j,offwafer_energy_j,energy_per_job_j,decode_shared_kv_read_bytes,decode_shared_kv_read_bytes_without_cohort,decode_kv_read_reduction_ratio,cross_region_kv_transfer_bytes,num_decode_cohorts,avg_cohort_size,replica_bytes_total,saved_mesh_traffic_bytes,replication_transfer_bytes,replication_actual_transfer_bytes,shared_prefill_compute_ms_saved,sram_read_bytes,sram_write_bytes,offwafer_reload_bytes,shared_kv_extraction_overhead_ms,placement_planning_overhead_ms,replication_planning_overhead_ms,decode_cohort_planning_overhead_ms,scheduling_loop_overhead_ms,total_runtime_overhead_ms,overhead_per_job_ms,overhead_fraction_of_jct,prefill_compute_ms_saved,mesh_traffic_bytes,jct_ms,slo_goodput,energy_j
apc_like,1.0,100,2.9870898373591324,130858.43159502886,19684.873559969696,33398.74999448736,33477.399557694385,11.611005995534548,13.429570094938194,23.696167685853837,4.231528814337384,6.572776216218417,6.572776216218417,24602.80311992959,0.0,0.9107142857142857,765.0,0.8329411764705882,68.0,51631882240.0,123013965126656.0,4.070698710588619,2163200.0,2112000.0,0.8921284608,24.602793025331202,0.01400897536,0.042647683072,0.25551578144563203,35540854374400.0,35540854374400.0,0.0,35540854374400.0,0.0,0.0,0.0,0.0,0.0,0.0,13193.27170559991,225192181760.0,54987325440.0,53309603840.0,79.94943112134933,238.42795006930828,0.0232011079788208,0.8690217509865761,50.83006341010332,499.04961604624987,4.990496160462499,0.0002535159969958136,13193.27170559991,123013965126656.0,19684.873559969696,1.4935449186795662,0.25551578144563203
kvflow_like,1.0,100,2.9870898373591324,130858.43159502886,19684.873559969696,33398.74999448736,33477.399557694385,11.611005995534548,13.429570094938194,23.696167685853837,4.231528814337384,6.572776216218417,6.572776216218417,24603.715822431986,0.0,0.9107142857142857,765.0,0.8258823529411765,74.0,52479131648.0,123018528529408.0,4.070640445131342,2163200.0,2112000.0,0.8921284608,24.6037057058816,0.01400897536,0.0433254825984,0.2555316862464,35540854374400.0,35540854374400.0,0.0,35540854374400.0,0.0,0.0,0.0,0.0,0.0,0.0,13193.27170559991,224344932352.0,55834574848.0,54156853248.0,81.45580068230629,239.26224559545517,0.03214273601770401,0.8677011355757713,51.122087985277176,505.2374992519617,5.052374992519617,0.0002566534768060768,13193.27170559991,123018528529408.0,19684.873559969696,1.4935449186795662,0.2555316862464
no_cache,1.0,100,2.978822026949135,130496.2353565877,19792.71074392166,33570.31709021519,33570.31709021519,18.72303543904387,27.65362898195683,27.65362898195683,4.231528814337384,6.572776216218413,6.572776216218413,24699.42871808001,0.0,0.0,0.0,0.0,449.0,0.0,123497090227200.0,2.036462391848389,4275200.0,0.0,1.7226006528,24.699418045439998,0.02801795072,0.1744830464,0.26624519695359994,35540854374400.0,35540854374400.0,0.0,35540854374400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,560359014400.0,218103808000.0,80.73072228580713,241.7212212458253,0.0369437038898468,0.866263173520565,55.247168987989426,511.6779590025544,5.116779590025544,0.0002585183836729846,0.0,123497090227200.0,19792.71074392166,1.4894110134745675,0.26624519695359994
pat_like,1.0,100,2.31148646302193,101261.5989720647,11630.560199263127,33188.72445050697,39548.42980611086,6.89326242113056,9.909494154296139,23.896167685853836,2.0139673431341967,4.300480281085936,5.06533628793596,13594.187462348998,0.0,0.9107142857142857,765.0,0.7470588235294118,142.0,86000009216.0,67970900741777.0,8.345821878561992,2163200.0,2112000.0,0.8921284608,13.5941801483554,0.01400897536,0.0700884975616,0.14570406082077,17524110812736.0,35540854374400.0,0.5069305135962466,17524110812736.0,80.0,8.2875,0.0,0.0,0.0,0.0,13193.271705599907,190824054784.0,89355452416.0,87610621952.0,80.65352030098438,326.3690061867237,0.0238809734582901,9.513532742857933,64.55168686807156,608.249930664897,6.08249930664897,0.00041686647677918975,13193.271705599907,67970900741777.0,11630.560199263127,1.0401689083598684,0.14570406082077
waferagent_full,1.0,100,3.4556391283032997,151384.63893271095,4788.516133530485,25582.14550906019,28257.88386304755,6.89326242113056,9.909494154296139,23.896167685853836,1.7452490299926622,4.125000504851992,5.065336287935961,9288.364811575768,9323.09979342429,0.9107142857142857,765.0,0.692090395480226,256.0,135677345792.0,2500815364396.0,2.0299395689173894,2163200.0,2112000.0,0.8921284608,0.5001630728792,0.2272433641875,0.11042092482560001,0.017299558226923,15357299811897.0,35540854374400.0,0.5678972809680447,15357299811897.0,99.0,7.545454545454546,0.0,0.0,0.0,0.0,13193.271705599907,4469957014310.0,74910269440.0,138026156032.0,80.20277321338654,243.9348241314292,0.03143586218357086,9.381266310811043,48.11969865113497,503.2080989331007,5.032080989331007,0.00047043549720012683,13193.271705599907,2500815364396.0,4788.516133530485,2.0042706944159137,0.017299558226923
