workload,sram_per_tile_mb,link_bandwidth_GBps,replication_policy,mesh_traffic_bytes,replica_bytes_total,saved_mesh_traffic_bytes,replication_transfer_bytes,sram_pressure_bytes,eviction_count_due_to_replication,reload_bytes_due_to_under_replication,num_replicas_per_shared_kv
moa_decode_cohort_stress,1.0,10.0,no_replication,9998683865088.0,0.0,0.0,0.0,0.0,0.0,4026531840.0,0.0
moa_decode_cohort_stress,1.0,10.0,benefit_cost,9998683865088.0,0.0,0.0,0.0,0.0,0.0,4026531840.0,0.0
moa_decode_cohort_stress,1.0,10.0,replicate_all,9801383804928.0,4026531840.0,197300060160.0,4026531840.0,4026531840.0,0.0,0.0,5.0
moa_decode_cohort_stress,1.0,10.0,oracle,9801383804928.0,4026531840.0,197300060160.0,4026531840.0,4026531840.0,0.0,0.0,5.0
moa_decode_cohort_stress,1.0,25.0,no_replication,9998683865088.0,0.0,0.0,0.0,0.0,0.0,4026531840.0,0.0
moa_decode_cohort_stress,1.0,25.0,benefit_cost,9998683865088.0,0.0,0.0,0.0,0.0,0.0,4026531840.0,0.0
moa_decode_cohort_stress,1.0,25.0,replicate_all,9801383804928.0,4026531840.0,197300060160.0,4026531840.0,4026531840.0,0.0,0.0,5.0
moa_decode_cohort_stress,1.0,25.0,oracle,9801383804928.0,4026531840.0,197300060160.0,4026531840.0,4026531840.0,0.0,0.0,5.0
moa_decode_cohort_stress,1.0,50.0,no_replication,9998683865088.0,0.0,0.0,0.0,0.0,0.0,4026531840.0,0.0
moa_decode_cohort_stress,1.0,50.0,benefit_cost,9998683865088.0,0.0,0.0,0.0,0.0,0.0,4026531840.0,0.0
moa_decode_cohort_stress,1.0,50.0,replicate_all,9801383804928.0,4026531840.0,197300060160.0,4026531840.0,4026531840.0,0.0,0.0,5.0
moa_decode_cohort_stress,1.0,50.0,oracle,9801383804928.0,4026531840.0,197300060160.0,4026531840.0,4026531840.0,0.0,0.0,5.0
moa_decode_cohort_stress,1.0,100.0,no_replication,9998683865088.0,0.0,0.0,0.0,0.0,0.0,4026531840.0,0.0
moa_decode_cohort_stress,1.0,100.0,benefit_cost,9998683865088.0,0.0,0.0,0.0,0.0,0.0,4026531840.0,0.0
moa_decode_cohort_stress,1.0,100.0,replicate_all,9801383804928.0,4026531840.0,197300060160.0,4026531840.0,4026531840.0,0.0,0.0,5.0
moa_decode_cohort_stress,1.0,100.0,oracle,9801383804928.0,4026531840.0,197300060160.0,4026531840.0,4026531840.0,0.0,0.0,5.0
moa_decode_cohort_stress,2.0,10.0,no_replication,9998683865088.0,0.0,0.0,0.0,0.0,0.0,4026531840.0,0.0
moa_decode_cohort_stress,2.0,10.0,benefit_cost,9998683865088.0,0.0,0.0,0.0,0.0,0.0,4026531840.0,0.0
moa_decode_cohort_stress,2.0,10.0,replicate_all,9801383804928.0,4026531840.0,197300060160.0,4026531840.0,4026531840.0,0.0,0.0,5.0
moa_decode_cohort_stress,2.0,10.0,oracle,9801383804928.0,4026531840.0,197300060160.0,4026531840.0,4026531840.0,0.0,0.0,5.0
moa_decode_cohort_stress,2.0,25.0,no_replication,9998683865088.0,0.0,0.0,0.0,0.0,0.0,4026531840.0,0.0
moa_decode_cohort_stress,2.0,25.0,benefit_cost,9998683865088.0,0.0,0.0,0.0,0.0,0.0,4026531840.0,0.0
moa_decode_cohort_stress,2.0,25.0,replicate_all,9801383804928.0,4026531840.0,197300060160.0,4026531840.0,4026531840.0,0.0,0.0,5.0
moa_decode_cohort_stress,2.0,25.0,oracle,9801383804928.0,4026531840.0,197300060160.0,4026531840.0,4026531840.0,0.0,0.0,5.0
moa_decode_cohort_stress,2.0,50.0,no_replication,9998683865088.0,0.0,0.0,0.0,0.0,0.0,4026531840.0,0.0
moa_decode_cohort_stress,2.0,50.0,benefit_cost,9998683865088.0,0.0,0.0,0.0,0.0,0.0,4026531840.0,0.0
moa_decode_cohort_stress,2.0,50.0,replicate_all,9801383804928.0,4026531840.0,197300060160.0,4026531840.0,4026531840.0,0.0,0.0,5.0
moa_decode_cohort_stress,2.0,50.0,oracle,9801383804928.0,4026531840.0,197300060160.0,4026531840.0,4026531840.0,0.0,0.0,5.0
moa_decode_cohort_stress,2.0,100.0,no_replication,9998683865088.0,0.0,0.0,0.0,0.0,0.0,4026531840.0,0.0
moa_decode_cohort_stress,2.0,100.0,benefit_cost,9998683865088.0,0.0,0.0,0.0,0.0,0.0,4026531840.0,0.0
moa_decode_cohort_stress,2.0,100.0,replicate_all,9801383804928.0,4026531840.0,197300060160.0,4026531840.0,4026531840.0,0.0,0.0,5.0
moa_decode_cohort_stress,2.0,100.0,oracle,9801383804928.0,4026531840.0,197300060160.0,4026531840.0,4026531840.0,0.0,0.0,5.0
moa_decode_cohort_stress,4.0,10.0,no_replication,9998683865088.0,0.0,0.0,0.0,0.0,0.0,4026531840.0,0.0
moa_decode_cohort_stress,4.0,10.0,benefit_cost,9998683865088.0,0.0,0.0,0.0,0.0,0.0,4026531840.0,0.0
moa_decode_cohort_stress,4.0,10.0,replicate_all,9801383804928.0,4026531840.0,197300060160.0,4026531840.0,4026531840.0,0.0,0.0,5.0
moa_decode_cohort_stress,4.0,10.0,oracle,9801383804928.0,4026531840.0,197300060160.0,4026531840.0,4026531840.0,0.0,0.0,5.0
moa_decode_cohort_stress,4.0,25.0,no_replication,9998683865088.0,0.0,0.0,0.0,0.0,0.0,4026531840.0,0.0
moa_decode_cohort_stress,4.0,25.0,benefit_cost,9998683865088.0,0.0,0.0,0.0,0.0,0.0,4026531840.0,0.0
moa_decode_cohort_stress,4.0,25.0,replicate_all,9801383804928.0,4026531840.0,197300060160.0,4026531840.0,4026531840.0,0.0,0.0,5.0
moa_decode_cohort_stress,4.0,25.0,oracle,9801383804928.0,4026531840.0,197300060160.0,4026531840.0,4026531840.0,0.0,0.0,5.0
moa_decode_cohort_stress,4.0,50.0,no_replication,9998683865088.0,0.0,0.0,0.0,0.0,0.0,4026531840.0,0.0
moa_decode_cohort_stress,4.0,50.0,benefit_cost,9998683865088.0,0.0,0.0,0.0,0.0,0.0,4026531840.0,0.0
moa_decode_cohort_stress,4.0,50.0,replicate_all,9801383804928.0,4026531840.0,197300060160.0,4026531840.0,4026531840.0,0.0,0.0,5.0
moa_decode_cohort_stress,4.0,50.0,oracle,9801383804928.0,4026531840.0,197300060160.0,4026531840.0,4026531840.0,0.0,0.0,5.0
moa_decode_cohort_stress,4.0,100.0,no_replication,9998683865088.0,0.0,0.0,0.0,0.0,0.0,4026531840.0,0.0
moa_decode_cohort_stress,4.0,100.0,benefit_cost,9998683865088.0,0.0,0.0,0.0,0.0,0.0,4026531840.0,0.0
moa_decode_cohort_stress,4.0,100.0,replicate_all,9801383804928.0,4026531840.0,197300060160.0,4026531840.0,4026531840.0,0.0,0.0,5.0
moa_decode_cohort_stress,4.0,100.0,oracle,9801383804928.0,4026531840.0,197300060160.0,4026531840.0,4026531840.0,0.0,0.0,5.0
moa_decode_cohort_stress,8.0,10.0,no_replication,9998683865088.0,0.0,0.0,0.0,0.0,0.0,4026531840.0,0.0
moa_decode_cohort_stress,8.0,10.0,benefit_cost,9998683865088.0,0.0,0.0,0.0,0.0,0.0,4026531840.0,0.0
moa_decode_cohort_stress,8.0,10.0,replicate_all,9801383804928.0,4026531840.0,197300060160.0,4026531840.0,4026531840.0,0.0,0.0,5.0
moa_decode_cohort_stress,8.0,10.0,oracle,9801383804928.0,4026531840.0,197300060160.0,4026531840.0,4026531840.0,0.0,0.0,5.0
