baseline,arrival_rate_jobs_per_s,shared_kv_extraction_overhead_ms,placement_planning_overhead_ms,replication_planning_overhead_ms,decode_cohort_planning_overhead_ms,scheduling_loop_overhead_ms,total_runtime_overhead_ms,overhead_per_job_ms,overhead_fraction_of_jct
apc_like,2.0,131.37212116271257,236.0550183802843,0.02570357173681259,0.9148474782705307,54.74067572504282,558.3763271570206,5.583763271570206,0.0002832097983789374
kvflow_like,2.0,77.76542846113443,236.90974060446024,0.025966204702854156,0.9897351264953613,54.54618390649557,507.143079303205,5.07143079303205,0.0002572241734709943
no_cache,2.0,77.64170691370964,235.56168377399445,0.041814520955085754,0.9424500167369843,57.22194444388151,508.84299632161856,5.088429963216186,0.00025708605703636826
oracle,2.0,79.77820560336113,244.22791507095098,0.038146041333675385,9.679151698946953,53.65537293255329,515.482441522181,5.15482441522181,0.0038866114716626697
pat_like,2.0,77.79489737004042,231.98150284588337,0.02277083694934845,10.505283251404762,63.80978971719742,510.512531735003,5.10512531735003,0.000304445709774099
wafer_naive,2.0,78.47452908754349,306.47066980600357,0.023892149329185486,0.908922404050827,58.47664084285498,582.1240525692701,5.821240525692701,0.00029411032177491914
waferagent_full,2.0,79.37743328511715,238.05806692689657,0.025453977286815643,9.817218407988548,52.58320551365614,510.8204269781709,5.108204269781709,0.002299375413056044
apc_like,4.0,77.41703279316425,232.39596467465162,0.0308845192193985,0.9027989581227303,53.99999488145113,498.3356362208724,4.983356362208724,0.0002529177671338454
kvflow_like,4.0,77.72475481033325,315.9060515463352,0.02212170511484146,0.9622965008020401,55.343261919915676,583.7303707376122,5.8373037073761225,0.00029625772520457176
no_cache,4.0,77.08252407610416,291.4960840716958,0.023188069462776184,0.9063351899385452,57.24366661161184,566.7607095092535,5.667607095092535,0.000286348200022731
oracle,4.0,78.98233737796545,239.16312027722597,0.023216940462589264,11.027662083506584,55.214209482073784,508.31781793385744,5.083178179338574,0.001507735037747514
pat_like,4.0,77.68237311393023,236.55886389315128,0.021738000214099884,10.806619189679623,63.41828312724829,513.2196238264441,5.1321962382644415,0.00031151114671706915
wafer_naive,4.0,79.15819063782692,236.50405369699,0.02728961408138275,0.9562484920024872,58.3572955802083,511.8192723020911,5.118192723020911,0.00025858978031054734
waferagent_full,4.0,78.25241517275572,310.0763959810138,0.022926367819309235,11.217842809855938,53.789968602359295,578.57496291399,5.7857496291399,0.0013267737352041457
apc_like,8.0,77.01486255973577,305.7056749239564,0.022950582206249237,0.9014103561639786,53.57604380697012,571.9681400805712,5.719681400805712,0.0002904888733692715
kvflow_like,8.0,77.64061354100704,231.7680586129427,0.02217572182416916,0.9637763723731041,53.987130522727966,498.0565533041954,4.980565533041954,0.0002529707857654372
no_cache,8.0,76.50038041174412,230.4414277896285,0.028030946850776672,0.9082295000553131,56.78181257098913,495.9874451160431,4.959874451160431,0.00025059096327589224
oracle,8.0,79.79829888790846,238.8688763603568,0.024337321519851685,11.670430190861225,55.644769221544266,513.7791140004992,5.1377911400049925,0.0009726281509258454
pat_like,8.0,78.29389721155167,234.92620326578617,0.02043694257736206,11.264324188232422,63.666291534900665,513.0292866379023,5.130292866379023,0.0003098436739178469
wafer_naive,8.0,77.58457586169243,291.7351769283414,0.023195520043373108,0.9453287348151207,57.37185664474964,564.8581916466355,5.648581916466355,0.0002853869785471924
waferagent_full,8.0,78.69766838848591,237.5804027542472,0.02268049865961075,11.927005834877491,55.49842305481434,506.5907556563616,5.065907556563616,0.0008945169101265891
apc_like,16.0,77.13475730270147,231.0318648815155,0.022209249436855316,0.9012511000037193,53.64832188934088,495.4581391066313,4.954581391066313,0.0002517813182234877
kvflow_like,16.0,77.94898748397827,291.1433279514313,0.022825784981250763,0.9402651339769363,53.07052005082369,558.8119942694902,5.588119942694902,0.0002839643951574029
no_cache,16.0,77.18210201710463,295.7476507872343,0.01926068216562271,0.9223837405443192,58.10096487402916,563.3424902334809,5.633424902334809,0.0002846211908626429
oracle,16.0,78.41465715318918,238.73346019536257,0.022464431822299957,11.872321367263794,56.76863435655832,506.5894303843379,5.065894303843379,0.0006887090114463301
pat_like,16.0,81.08604978770018,235.0383335724473,0.03615953028202057,11.590801179409027,66.13139249384403,521.5296130627394,5.215296130627394,0.0003149735854769539
wafer_naive,16.0,77.61414907872677,234.21919345855713,0.02302415668964386,0.9056869894266129,57.64725524932146,509.509171359241,5.09509171359241,0.00025742263298407026
waferagent_full,16.0,77.2878210991621,312.46693432331085,0.02118851989507675,12.110392563045025,55.15541136264801,580.5064626038074,5.8050646260380745,0.0008317962712883312
