baseline,mechanism_profile,job_id,workload,seed,job_completion_time_ms,p50_latency_ms,p90_latency_ms,p99_latency_ms,goodput_jobs_per_s,naive_kv_bytes,kv_bytes_total,kv_saving_ratio,kv_duplication_ratio,sram_peak_occupancy_bytes,sram_overflow_bytes,prefill_ms_total,decode_ms_total,queue_wait_ms_total,energy_estimated_j,energy_per_job_j,tool_pause_ms,resume_prefill_ms,resume_reload_bytes,mesh_total_traffic_bytes,mesh_avg_link_load_bytes,mesh_max_link_load_bytes,mesh_hotspot_ratio,mesh_wait_ms,communication_time_ms,prefill_tile_utilization,decode_tile_utilization,tile_busy_time_ms,tile_idle_time_ms,pd_interference_ms,sram_evictions,sram_reload_bytes,sram_spill_bytes,sram_hit_rate,prefix_block_reuse_count,ttl_pinned_bytes,ttl_eviction_avoided_count,input_len
wafer_naive,neutral,sensitivity_input_len_512,debate,19,230.17105639225073,13.600682578062678,27.781972159999974,44.73035950400005,4.344594909864902,1476395008.0,1476395008.0,0.0,1.0,536870912,939524096.0,337.3653507199997,239.83732124900283,0.0,0.0079423424512,0.0079423424512,0.0,0.0,0.0,13287597056.0,781623356.2352941,1409286656.0,1.803025261153735,0.0,265.7949411199996,0.0001265779236025407,0.0012125852995018187,529.0318917780056,942251.615090881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512
waferagent_full,neutral,sensitivity_input_len_512,debate,19,93.0915859922507,7.482851359999991,13.60068257806268,13.600682578062681,10.742109389813638,1476395008.0,805306368.0,0.4545454545454546,1.8333333333333333,536870912,268435456.0,42.22776704000002,239.83732124900285,0.0,0.0052848263168,0.0052848263168,0.0,0.0,0.0,16384.0,2340.5714285714284,6144.0,2.625,0.0006614399999875786,0.00578911999998758,0.00055380913847727,0.0014995297714652342,499.67176377800564,380803.46446048084,0.0,0.0,33554432.0,0.0,0.9444444444444444,17.0,0.0,0.0,512
wafer_naive,neutral,sensitivity_input_len_2048,debate,19,546.6745469522509,13.600682578062678,91.46912816000011,122.38540769599997,1.8292419238742144,5100273664.0,5100273664.0,0.0,1.0,536870912,4563402752.0,1140.3792694400008,239.8373212490028,0.0,0.0249745721344,0.0249745721344,0.0,0.0,0.0,44090565632.0,2593562684.2352943,4831838720.0,1.863012122039632,0.0,881.8543126399998,0.00019248225800734428,0.0005105451514215558,715.9864389780057,2238462.957877442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2048
waferagent_full,neutral,sensitivity_input_len_2048,debate,19,132.26769607225071,10.834034719999991,13.600682578062676,13.60068257806268,7.560425029659199,5100273664.0,2717908992.0,0.4671052631578947,1.876543209876543,536870912,2181038080.0,157.20805760000007,239.8373212490028,0.0,0.0161564622848,0.0161564622848,0.0,0.0,0.0,16384.0,2340.5714285714284,6144.0,2.625,0.0006614399999875786,0.00578911999998758,0.0007609011740031825,0.0013648394405507234,614.6520543380057,541153.8310576009,0.0,0.0,134217728.0,0.0,0.9444444444444444,17.0,0.0,0.0,2048
wafer_naive,neutral,sensitivity_input_len_8192,debate,19,1626.0440409415507,19.31468261649915,319.9718220211927,400.7872162704565,0.6149894927943994,19595788288.0,19595788288.0,0.0,1.0,536870912,19058917376.0,3804.6402033260674,239.83732124900325,0.0,0.09310349086719999,0.09310349086719999,0.0,0.0,0.0,167302439936.0,9841319996.235294,18522046976.0,1.8820693751534792,0.0,3346.0917987199987,0.0004591137045737971,0.00017164482161899814,2291.6948196422786,6657984.69687695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8192
waferagent_full,neutral,sensitivity_input_len_8192,debate,19,184.11089877730876,15.357221320396096,17.49133404348322,18.641068488303414,5.43150897986517,19595788288.0,10368319488.0,0.47089041095890416,1.889967637540453,536870912,9831448576.0,315.1079180623344,239.83732124900285,0.0,0.059643006156799995,0.059643006156799995,0.0,0.0,0.0,16384.0,2340.5714285714284,6144.0,2.625,0.0006614399999875786,0.00578911999998758,0.0021691868513290516,0.002643227911650487,1717.8629317073435,752400.3784601494,0.0,0.0,536870912.0,0.0,0.9444444444444444,17.0,0.0,0.0,8192
wafer_naive,neutral,sensitivity_input_len_32768,debate,19,5938.713362780809,40.54109081866945,1232.0789110531898,1515.673803119793,0.16838664183848553,77577846784.0,77577846784.0,0.0,1.0,536870912,77040975872.0,14424.489542743358,239.8373212490025,0.0,0.36561916579840004,0.36561916579840004,0.0,0.0,0.0,660149937152.0,38832349244.23529,73282880000.0,1.8871606128974783,0.0,13203.041743039988,0.0013393746686743936,4.6997055136764014e-05,20000.824872631903,24304969.10907756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32768
waferagent_full,neutral,sensitivity_input_len_32768,debate,19,1110.2121960222605,35.9829944378369,135.34423975869697,333.83328798979954,0.9007287107661618,77577846784.0,40969961472.0,0.47188581314878897,1.8935298935298934,536870912,40433090560.0,1962.1265577876993,239.83732124900263,0.0,0.2426421673984,0.2426421673984,0.0,0.0,0.0,45264945152.0,6466420736.0,15133054976.0,2.340252141613818,0.003004800000326213,905.3091078400006,0.004649135317714743,0.0005024838606188714,17366.609812221195,4530062.545094958,0.0,0.0,38788923392.0,29125246976.0,0.0,17.0,0.0,0.0,32768
