baseline,mechanism_profile,job_id,workload,seed,job_completion_time_ms,p50_latency_ms,p90_latency_ms,p99_latency_ms,goodput_jobs_per_s,naive_kv_bytes,kv_bytes_total,kv_saving_ratio,kv_duplication_ratio,sram_peak_occupancy_bytes,sram_overflow_bytes,prefill_ms_total,decode_ms_total,queue_wait_ms_total,energy_estimated_j,energy_per_job_j,tool_pause_ms,resume_prefill_ms,resume_reload_bytes,mesh_total_traffic_bytes,mesh_avg_link_load_bytes,mesh_max_link_load_bytes,mesh_hotspot_ratio,mesh_wait_ms,communication_time_ms,prefill_tile_utilization,decode_tile_utilization,tile_busy_time_ms,tile_idle_time_ms,pd_interference_ms,sram_evictions,sram_reload_bytes,sram_spill_bytes,sram_hit_rate,prefix_block_reuse_count,ttl_pinned_bytes,ttl_eviction_avoided_count,link_bandwidth_GBps
wafer_naive,neutral,sensitivity_link_bandwidth_GBps_10,mesh_stress_moa,19,17612.75043777683,27.593155097934797,5202.72369644873,6374.446207888731,0.056777049304868536,48586817536.0,48586817536.0,0.0,1.0,536870912,48049946624.0,147567.49351512812,984.7139093247663,0.0,0.445489217536,0.445489217536,0.0,0.0,0.0,1449822126080.0,30204627626.666668,48318906368.0,1.599718657856945,0.0,144984.11340800184,0.00025001967099813263,0.0002705967044596922,18630.878906226328,72123194.91422768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
waferagent_full,neutral,sensitivity_link_bandwidth_GBps_10,mesh_stress_moa,19,148.88706897252973,20.16566658062529,20.16947947586896,20.16947947586896,6.7165000083687865,48586817536.0,24964497408.0,0.4861878453038674,1.946236559139785,536870912,24427626496.0,796.8657142806337,984.713909324757,0.0,0.1555255263232,0.1555255263232,0.0,0.0,0.0,3670016.0,734003.2,1048576.0,1.4285714285714286,3.6158720000014455,4.005273600001446,0.012997057315200245,0.022643607795437275,11253.927511589025,598587.5069998928,0.0,0.0,134217728.0,0.0,0.9795918367346939,48.0,0.0,0.0,10
wafer_naive,neutral,sensitivity_link_bandwidth_GBps_25,mesh_stress_moa,19,7132.365143854243,20.16947947586914,2093.124633887863,2561.8146860638617,0.1402059456899331,48586817536.0,48586817536.0,0.0,1.0,536870912,48049946624.0,59502.61052037953,984.7139093247558,0.0,0.445489217536,0.445489217536,0.0,0.0,0.0,1449822126080.0,30204627626.666668,48318906368.0,1.599718657856945,0.0,57994.785843208694,0.0003647123058462605,0.0006682148388098298,14202.69480352394,29199964.934423454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25
waferagent_full,neutral,sensitivity_link_bandwidth_GBps_25,mesh_stress_moa,19,146.80695633252964,20.100785940625205,20.169479475868954,20.169479475868954,6.811666320054474,48586817536.0,24964497408.0,0.4861878453038674,1.946236559139785,536870912,24427626496.0,794.2547600406328,984.7139093247569,0.0,0.1555255263232,0.1555255263232,0.0,0.0,0.0,3670016.0,734003.2,1048576.0,1.4285714285714286,1.5711487999988094,1.7403494399988089,0.013173504397845719,0.022964445826325983,11251.914245669024,590069.3788923724,0.0,0.0,134217728.0,0.0,0.9795918367346939,48.0,0.0,0.0,25
wafer_naive,neutral,sensitivity_link_bandwidth_GBps_50,mesh_stress_moa,19,3638.9033792133982,20.16947947586914,1056.5916130342432,1290.937512122245,0.2748080659993134,48586817536.0,48586817536.0,0.0,1.0,536870912,48049946624.0,30147.649522130094,984.7139093247574,0.0,0.445489217536,0.445489217536,0.0,0.0,0.0,1449822126080.0,30204627626.666668,48318906368.0,1.599718657856945,0.0,28998.34332159484,0.0005497545694185161,0.0013097221135790753,12726.633435956486,14892221.607822122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50
waferagent_full,neutral,sensitivity_link_bandwidth_GBps_50,mesh_stress_moa,19,146.11358545252966,20.07915906062522,20.169479475868954,20.16947947586896,6.84399056325181,48586817536.0,24964497408.0,0.4861878453038674,1.946236559139785,536870912,24427626496.0,793.384441960633,984.7139093247569,0.0,0.1555255263232,0.1555255263232,0.0,0.0,0.0,3670016.0,734003.2,1048576.0,1.4285714285714286,0.8895743999991623,0.9853747199991623,0.013233436513631925,0.023073421853175208,11251.243157029025,587230.0028565325,0.0,0.0,134217728.0,0.0,0.9795918367346939,48.0,0.0,0.0,50
wafer_naive,neutral,sensitivity_link_bandwidth_GBps_100,mesh_stress_moa,19,1892.1724968929657,20.169479475868968,538.3251026074375,655.4989251514381,0.5284930425962993,48586817536.0,48586817536.0,0.0,1.0,536870912,48049946624.0,15470.16902300541,984.7139093247564,0.0,0.445489217536,0.445489217536,0.0,0.0,0.0,1449822126080.0,30204627626.666668,48318906368.0,1.599718657856945,0.0,14500.122060801008,0.0008985042190962822,0.0025187725922236606,11988.602752172752,7738349.944521415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
waferagent_full,neutral,sensitivity_link_bandwidth_GBps_100,mesh_stress_moa,19,145.76690001252973,20.068345620625283,20.169479475868954,20.16947947586896,6.860268002640124,48586817536.0,24964497408.0,0.4861878453038674,1.946236559139785,536870912,24427626496.0,792.9492829206333,984.7139093247569,0.0,0.1555255263232,0.1555255263232,0.0,0.0,0.0,3670016.0,734003.2,1048576.0,1.4285714285714286,0.5487872000011862,0.6078873600011863,0.013263616381298672,0.02312829864212239,11250.907612709025,585810.3148386128,0.0,0.0,134217728.0,0.0,0.9795918367346939,48.0,0.0,0.0,100
wafer_naive,neutral,sensitivity_link_bandwidth_GBps_200,mesh_stress_moa,19,1018.8070557327454,20.169479475868968,279.19184739403045,337.7796316660306,0.9815401202544489,48586817536.0,48586817536.0,0.0,1.0,536870912,48049946624.0,8131.428773443007,984.7139093247564,0.0,0.445489217536,0.445489217536,0.0,0.0,0.0,1449822126080.0,30204627626.666668,48318906368.0,1.599718657856945,0.0,7251.01143040058,0.0015213239530051674,0.0046779733199881,11619.587410280896,4161414.1128710443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
waferagent_full,neutral,sensitivity_link_bandwidth_GBps_200,mesh_stress_moa,19,145.59355729252962,20.0629389006252,20.16947947586896,20.16947947586896,6.868435792050737,48586817536.0,24964497408.0,0.4861878453038674,1.946236559139785,536870912,24427626496.0,792.7317034006326,984.713909324757,0.0,0.1555255263232,0.1555255263232,0.0,0.0,0.0,3670016.0,734003.2,1048576.0,1.4285714285714286,0.3783935999985033,0.41914367999850327,0.013278760213056334,0.023155835040505352,11250.739840549024,585100.4708296523,0.0,0.0,134217728.0,0.0,0.9795918367346939,48.0,0.0,0.0,200
