baseline,mechanism_profile,job_id,workload,seed,job_completion_time_ms,p50_latency_ms,p90_latency_ms,p99_latency_ms,goodput_jobs_per_s,naive_kv_bytes,kv_bytes_total,kv_saving_ratio,kv_duplication_ratio,sram_peak_occupancy_bytes,sram_overflow_bytes,prefill_ms_total,decode_ms_total,queue_wait_ms_total,energy_estimated_j,energy_per_job_j,tool_pause_ms,resume_prefill_ms,resume_reload_bytes,mesh_total_traffic_bytes,mesh_avg_link_load_bytes,mesh_max_link_load_bytes,mesh_hotspot_ratio,mesh_wait_ms,communication_time_ms,prefill_tile_utilization,decode_tile_utilization,tile_busy_time_ms,tile_idle_time_ms,pd_interference_ms,sram_evictions,sram_reload_bytes,sram_spill_bytes,sram_hit_rate,prefix_block_reuse_count,ttl_pinned_bytes,ttl_eviction_avoided_count,tool_latency_mean_ms
wafer_naive,neutral,sensitivity_tool_latency_mean_ms_0,tool_pause_resume_loop,19,1225.532252286436,13.600682578062674,168.4727613119995,236.28629345599794,0.815971997582546,6442450944.0,6442450944.0,0.0,1.0,536870912,5905580032.0,2821.729812799998,310.3282167173789,0.0,0.0455518308864,0.0455518308864,0.0,88.58370048000003,4429185024.0,124956763392.0,3288335878.736842,6106908672.0,1.857142608663767,0.0,2499.2412678400074,0.00010710478244334825,0.0003034595544836385,932.0499508747579,5018848.0554143675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
waferagent_full,neutral,sensitivity_tool_latency_mean_ms_0,tool_pause_resume_loop,19,175.9226030064389,8.463713280000007,13.600682578062681,13.600682578062688,5.6843178927008,6442450944.0,3388997632.0,0.47395833333333337,1.900990099009901,536870912,2852126720.0,195.68798848000023,310.3282167173789,0.0,0.0205604898816,0.0205604898816,0.0,0.0,0.0,58368.0,3433.4117647058824,9984.0,2.9078947368421053,0.0028252800000529987,0.019192640000053014,0.0007395318912737281,0.0013367428658132305,805.2141979147578,719773.7677164589,0.0,0.0,134217728.0,0.0,0.9565217391304348,22.0,2214592512.0,0.0,0
wafer_naive,neutral,sensitivity_tool_latency_mean_ms_100,tool_pause_resume_loop,19,1625.5322522864412,77.67118832000013,168.47276131200104,236.2862934559992,0.6151831183868668,6442450944.0,6442450944.0,0.0,1.0,536870912,5905580032.0,2821.729812800008,310.3282167173794,0.0,0.0455518308864,0.0455518308864,1600.0,88.58370048000003,4429185024.0,124956763392.0,3288335878.736842,6106908672.0,1.857142608663767,0.0,2499.2412678400074,8.074916082028954e-05,0.00022878627647102392,932.0499508747579,6657248.055414389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
waferagent_full,neutral,sensitivity_tool_latency_mean_ms_100,tool_pause_resume_loop,19,575.922603006439,13.600682578062674,100.0,100.0,1.7363444233301253,6442450944.0,3388997632.0,0.47395833333333337,1.900990099009901,536870912,2852126720.0,195.68798848000012,310.32821671737884,0.0,0.0205604898816,0.0205604898816,1600.0,0.0,0.0,58368.0,3433.4117647058824,9984.0,2.9078947368421053,0.002825280000138264,0.01919264000013828,0.0002258990611585606,0.00040832445762077716,805.2141979147578,2358173.7677164595,0.0,0.0,134217728.0,0.0,0.9565217391304348,22.0,2214592512.0,0.0,100
wafer_naive,neutral,sensitivity_tool_latency_mean_ms_1000,tool_pause_resume_loop,19,5225.532252286441,77.6711883200004,1000.0,1000.0000000000001,0.19136806581998383,6442450944.0,6442450944.0,0.0,1.0,536870912,5905580032.0,2821.729812800007,310.32821671737827,0.0,0.0455518308864,0.0455518308864,16000.0,88.58370048000003,4429185024.0,124956763392.0,3288335878.736842,6106908672.0,1.857142608663767,0.0,2499.2412678400074,2.5119042218333282e-05,7.11696824991266e-05,932.0499508747579,21402848.055414386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000
waferagent_full,neutral,sensitivity_tool_latency_mean_ms_1000,tool_pause_resume_loop,19,4175.922603006443,13.600682578062681,1000.0,1000.0,0.23946803977642042,6442450944.0,3388997632.0,0.47395833333333337,1.900990099009901,536870912,2852126720.0,195.68798848000387,310.32821671737827,0.0,0.0205604898816,0.0205604898816,16000.0,0.0,0.0,58368.0,3433.4117647058824,9984.0,2.9078947368421053,0.0028252799988877086,0.019192639998887723,3.115488185185319e-05,5.631409076759355e-05,805.2141979147578,17103773.767716475,0.0,0.0,134217728.0,0.0,0.9565217391304348,22.0,2214592512.0,0.0,1000
wafer_naive,neutral,sensitivity_tool_latency_mean_ms_5000,tool_pause_resume_loop,19,21225.532252286335,77.67118832000324,5000.0,5000.000000000001,0.047113070622400235,6442450944.0,6442450944.0,0.0,1.0,536870912,5905580032.0,2821.729812799782,310.3282167173819,0.0,0.0455518308864,0.0455518308864,80000.0,88.58370048000003,4429185024.0,124956763392.0,3288335878.736842,6106908672.0,1.857142608663767,0.0,2499.2412678400074,6.184078858343184e-06,1.75213260550445e-05,932.0499508747579,86938848.05541396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000
waferagent_full,neutral,sensitivity_tool_latency_mean_ms_5000,tool_pause_resume_loop,19,20175.922603006413,13.600682578062333,5000.0,5000.0,0.04956402835580813,6442450944.0,3388997632.0,0.47395833333333337,1.900990099009901,536870912,2852126720.0,195.68798847995203,310.3282167173819,0.0,0.0205604898816,0.0205604898816,80000.0,0.0,0.0,58368.0,3433.4117647058824,9984.0,2.9078947368421053,0.0028252799829715514,0.019192639982971566,6.4482986914195805e-06,1.1655639701408684e-05,805.2141979147578,82639773.76771635,0.0,0.0,134217728.0,0.0,0.9565217391304348,22.0,2214592512.0,0.0,5000
wafer_naive,neutral,sensitivity_tool_latency_mean_ms_20000,tool_pause_resume_loop,19,81225.53225228678,77.67118831998232,20000.0,20000.0,0.012311399781216535,6442450944.0,6442450944.0,0.0,1.0,536870912,5905580032.0,2821.7298128006223,310.328216717411,0.0,0.0455518308864,0.0455518308864,320000.0,88.58370048000003,4429185024.0,124956763392.0,3288335878.736842,6106908672.0,1.857142608663767,0.0,2499.2412678400074,1.6159988321252258e-06,4.578603069402499e-06,932.0499508747579,332698848.05541575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000
waferagent_full,neutral,sensitivity_tool_latency_mean_ms_20000,tool_pause_resume_loop,19,80175.92260300653,13.600682578064152,20000.0,20000.0,0.012472572407448677,6442450944.0,3388997632.0,0.47395833333333337,1.900990099009901,536870912,2852126720.0,195.68798848021032,310.328216717411,0.0,0.0205604898816,0.0205604898816,320000.0,0.0,0.0,58368.0,3433.4117647058824,9984.0,2.9078947368421053,0.0028252800439076964,0.01919264004390771,1.6226863514043344e-06,2.933091093551469e-06,805.2141979147578,328399773.7677168,0.0,0.0,134217728.0,0.0,0.9565217391304348,22.0,2214592512.0,0.0,20000
