Wrote 10 real-trace policy results to agent_results/local_h100_long/wafer_replay/m0.5_c4
policy,effective_prefill_tokens,cache_hit_ratio,oracle_gap
nocache,4818392,0.0,6.163397508976422
lru-basic,4333771,0.7878787878787878,1.0
lru-system,4333771,0.7878787878787878,1.0
kvflow-like,4708166,0.44151189312479633,4.9889938949678765
asg-retention-v2-graph-only,4240096,0.7021831215379603,0.0019391201508678095
asg-retention-v2-online,4239917,0.7191267513848159,3.1963518970348506e-05
asg-retention-v2-trace-stats,4239918,0.7194525904203324,4.261802529379801e-05
asg-retention-v2-oracle,4239914,0.7181492342782665,0.0
asg-placement-v2-online,4239917,0.7191267513848159,3.1963518970348506e-05
asg-prefetch-v2-online,4239917,0.7191267513848159,3.1963518970348506e-05
