baseline,job_id,workload,job_completion_time_ms,p50_latency_ms,p90_latency_ms,p99_latency_ms,goodput_jobs_per_s,naive_kv_bytes,kv_bytes_total,kv_saving_ratio,kv_duplication_ratio,cache_hit_rate,sram_peak_occupancy_bytes,sram_overflow_bytes,prefill_ms_total,decode_ms_total,communication_time_ms,queue_wait_ms_total,prefill_utilization,decode_utilization,energy_estimated_j,energy_per_job_j,mesh_total_traffic_bytes,mesh_avg_link_load_bytes,mesh_max_link_load_bytes,mesh_hotspot_ratio
wafer_naive,debate_job_0,debate,83.40389760000001,30.576085120000002,31.15836352,31.15836352,11.989847342577907,2550136832.0,2550136832.0,0.0,1.0,0.0,2550136832.0,0.0,78.26636160000001,190.3356,0.005281920000000001,0.0,0.9384017276430017,1.0,0.008078232166399999,0.008078232166399999,13312.0,1664.0,2048.0,1.2307692307692308
wafer_naive,debate_job_1,debate,83.40389760000001,30.576085120000002,31.15836352,31.15836352,11.989847342577907,2550136832.0,2550136832.0,0.0,1.0,0.0,2550136832.0,0.0,78.26636160000001,190.3356,0.005281920000000001,0.0,0.9384017276430017,1.0,0.008078232166399999,0.008078232166399999,13312.0,1664.0,2048.0,1.2307692307692308
wafer_naive,debate_job_2,debate,83.40389760000001,30.576085120000002,31.15836352,31.15836352,11.989847342577907,2550136832.0,2550136832.0,0.0,1.0,0.0,2550136832.0,0.0,78.26636160000001,190.3356,0.005281920000000001,0.0,0.9384017276430017,1.0,0.008078232166399999,0.008078232166399999,13312.0,1664.0,2048.0,1.2307692307692308
wafer_naive,debate_job_3,debate,83.40389760000001,30.576085120000002,31.15836352,31.15836352,11.989847342577907,2550136832.0,2550136832.0,0.0,1.0,0.0,2550136832.0,0.0,78.26636160000001,190.3356,0.005281920000000001,0.0,0.9384017276430017,1.0,0.008078232166399999,0.008078232166399999,13312.0,1664.0,2048.0,1.2307692307692308
wafer_naive,debate_job_4,debate,83.40389760000001,30.576085120000002,31.15836352,31.15836352,11.989847342577907,2550136832.0,2550136832.0,0.0,1.0,0.0,2550136832.0,0.0,78.26636160000001,190.3356,0.005281920000000001,0.0,0.9384017276430017,1.0,0.008078232166399999,0.008078232166399999,13312.0,1664.0,2048.0,1.2307692307692308
wafer_naive,moa_job_0,moa,85.20698304,30.576085120000002,32.96080896,32.96138496,11.736127302272338,2751463424.0,2751463424.0,0.0,1.0,0.0,2751463424.0,0.0,85.46418048000002,190.3356,0.015004799999999999,0.0,1.0,1.0,0.008682216857600001,0.008682216857600001,37888.0,4736.0,8192.0,1.7297297297297298
wafer_naive,moa_job_1,moa,85.20698304,30.576085120000002,32.96080896,32.96138496,11.736127302272338,2751463424.0,2751463424.0,0.0,1.0,0.0,2751463424.0,0.0,85.46418048000002,190.3356,0.015004799999999999,0.0,1.0,1.0,0.008682216857600001,0.008682216857600001,37888.0,4736.0,8192.0,1.7297297297297298
wafer_naive,moa_job_2,moa,85.20698304,30.576085120000002,32.96080896,32.96138496,11.736127302272338,2751463424.0,2751463424.0,0.0,1.0,0.0,2751463424.0,0.0,85.46418048000002,190.3356,0.015004799999999999,0.0,1.0,1.0,0.008682216857600001,0.008682216857600001,37888.0,4736.0,8192.0,1.7297297297297298
wafer_naive,moa_job_3,moa,85.20698304,30.576085120000002,32.96080896,32.96138496,11.736127302272338,2751463424.0,2751463424.0,0.0,1.0,0.0,2751463424.0,0.0,85.46418048000002,190.3356,0.015004799999999999,0.0,1.0,1.0,0.008682216857600001,0.008682216857600001,37888.0,4736.0,8192.0,1.7297297297297298
wafer_naive,moa_job_4,moa,85.20698304,30.576085120000002,32.96080896,32.96138496,11.736127302272338,2751463424.0,2751463424.0,0.0,1.0,0.0,2751463424.0,0.0,85.46418048000002,190.3356,0.015004799999999999,0.0,1.0,1.0,0.008682216857600001,0.008682216857600001,37888.0,4736.0,8192.0,1.7297297297297298
kvflow_like,debate_job_0,debate,71.72964056192001,26.53180409152,27.046422032896004,28.8990466218496,13.941238129260643,2550136832.0,1442840576.0,0.4342105263157895,1.7674418604651163,0.8888888888888888,1442840576.0,0.0,39.750979358719995,190.3356,0.00798528,0.0,0.55417786911124,1.0,0.008078319411199998,0.008078319411199998,449536.0,56192.0,71680.0,1.275626423690205
kvflow_like,debate_job_1,debate,71.72964056192001,26.53180409152,27.046422032896004,28.8990466218496,13.941238129260643,2550136832.0,1442840576.0,0.4342105263157895,1.7674418604651163,0.8888888888888888,1442840576.0,0.0,39.750979358719995,190.3356,0.00798528,0.0,0.55417786911124,1.0,0.008078319411199998,0.008078319411199998,449536.0,56192.0,71680.0,1.275626423690205
kvflow_like,debate_job_2,debate,71.72964056192001,26.53180409152,27.046422032896004,28.8990466218496,13.941238129260643,2550136832.0,1442840576.0,0.4342105263157895,1.7674418604651163,0.8888888888888888,1442840576.0,0.0,39.750979358719995,190.3356,0.00798528,0.0,0.55417786911124,1.0,0.008078319411199998,0.008078319411199998,449536.0,56192.0,71680.0,1.275626423690205
kvflow_like,debate_job_3,debate,71.72964056192001,26.53180409152,27.046422032896004,28.8990466218496,13.941238129260643,2550136832.0,1442840576.0,0.4342105263157895,1.7674418604651163,0.8888888888888888,1442840576.0,0.0,39.750979358719995,190.3356,0.00798528,0.0,0.55417786911124,1.0,0.008078319411199998,0.008078319411199998,449536.0,56192.0,71680.0,1.275626423690205
kvflow_like,debate_job_4,debate,71.72964056192001,26.53180409152,27.046422032896004,28.8990466218496,13.941238129260643,2550136832.0,1442840576.0,0.4342105263157895,1.7674418604651163,0.8888888888888888,1442840576.0,0.0,39.750979358719995,190.3356,0.00798528,0.0,0.55417786911124,1.0,0.008078319411199998,0.008078319411199998,449536.0,56192.0,71680.0,1.275626423690205
kvflow_like,moa_job_0,moa,72.5829429824,27.382460752,27.728867361279995,28.967291154688,13.777341602730013,2751463424.0,1543503872.0,0.4390243902439024,1.7826086956521738,0.8888888888888888,1543503872.0,0.0,43.144750960639996,190.3356,0.02188608,0.0,0.5944199723494511,1.0,0.0086824675328,0.0086824675328,1291264.0,161408.0,270336.0,1.6748612212529739
kvflow_like,moa_job_1,moa,72.5829429824,27.382460752,27.728867361279995,28.967291154688,13.777341602730013,2751463424.0,1543503872.0,0.4390243902439024,1.7826086956521738,0.8888888888888888,1543503872.0,0.0,43.144750960639996,190.3356,0.02188608,0.0,0.5944199723494511,1.0,0.0086824675328,0.0086824675328,1291264.0,161408.0,270336.0,1.6748612212529739
kvflow_like,moa_job_2,moa,72.5829429824,27.382460752,27.728867361279995,28.967291154688,13.777341602730013,2751463424.0,1543503872.0,0.4390243902439024,1.7826086956521738,0.8888888888888888,1543503872.0,0.0,43.144750960639996,190.3356,0.02188608,0.0,0.5944199723494511,1.0,0.0086824675328,0.0086824675328,1291264.0,161408.0,270336.0,1.6748612212529739
kvflow_like,moa_job_3,moa,72.5829429824,27.382460752,27.728867361279995,28.967291154688,13.777341602730013,2751463424.0,1543503872.0,0.4390243902439024,1.7826086956521738,0.8888888888888888,1543503872.0,0.0,43.144750960639996,190.3356,0.02188608,0.0,0.5944199723494511,1.0,0.0086824675328,0.0086824675328,1291264.0,161408.0,270336.0,1.6748612212529739
kvflow_like,moa_job_4,moa,72.5829429824,27.382460752,27.728867361279995,28.967291154688,13.777341602730013,2751463424.0,1543503872.0,0.4390243902439024,1.7826086956521738,0.8888888888888888,1543503872.0,0.0,43.144750960639996,190.3356,0.02188608,0.0,0.5944199723494511,1.0,0.0086824675328,0.0086824675328,1291264.0,161408.0,270336.0,1.6748612212529739
continuum_like,debate_job_0,debate,79.23384528,29.047280864,29.600485856,29.600485856,12.620869231654183,2550136832.0,2550136832.0,0.0,1.0,0.0,2550136832.0,0.0,74.35304352,180.81882,0.005281920000000001,0.0,0.9384000392414125,1.0,0.008078232166399999,0.008078232166399999,13312.0,1664.0,2048.0,1.2307692307692308
continuum_like,debate_job_1,debate,79.23384528,29.047280864,29.600485856,29.600485856,12.620869231654183,2550136832.0,2550136832.0,0.0,1.0,0.0,2550136832.0,0.0,74.35304352,180.81882,0.005281920000000001,0.0,0.9384000392414125,1.0,0.008078232166399999,0.008078232166399999,13312.0,1664.0,2048.0,1.2307692307692308
continuum_like,debate_job_2,debate,79.23384528,29.047280864,29.600485856,29.600485856,12.620869231654183,2550136832.0,2550136832.0,0.0,1.0,0.0,2550136832.0,0.0,74.35304352,180.81882,0.005281920000000001,0.0,0.9384000392414125,1.0,0.008078232166399999,0.008078232166399999,13312.0,1664.0,2048.0,1.2307692307692308
continuum_like,debate_job_3,debate,79.23384528,29.047280864,29.600485856,29.600485856,12.620869231654183,2550136832.0,2550136832.0,0.0,1.0,0.0,2550136832.0,0.0,74.35304352,180.81882,0.005281920000000001,0.0,0.9384000392414125,1.0,0.008078232166399999,0.008078232166399999,13312.0,1664.0,2048.0,1.2307692307692308
continuum_like,debate_job_4,debate,79.23384528,29.047280864,29.600485856,29.600485856,12.620869231654183,2550136832.0,2550136832.0,0.0,1.0,0.0,2550136832.0,0.0,74.35304352,180.81882,0.005281920000000001,0.0,0.9384000392414125,1.0,0.008078232166399999,0.008078232166399999,13312.0,1664.0,2048.0,1.2307692307692308
continuum_like,moa_job_0,moa,80.94455798399999,29.047280864,31.311198559999994,31.311198559999994,12.354135038919681,2751463424.0,2751463424.0,0.0,1.0,0.0,2751463424.0,0.0,81.190971456,180.81882,0.009404800000000001,0.0,1.0,1.0,0.008682213990400001,0.008682213990400001,23552.0,1682.2857142857142,4096.0,2.4347826086956523
continuum_like,moa_job_1,moa,80.94455798399999,29.047280864,31.311198559999994,31.311198559999994,12.354135038919681,2751463424.0,2751463424.0,0.0,1.0,0.0,2751463424.0,0.0,81.190971456,180.81882,0.009404800000000001,0.0,1.0,1.0,0.008682213990400001,0.008682213990400001,23552.0,1682.2857142857142,4096.0,2.4347826086956523
continuum_like,moa_job_2,moa,80.94455798399999,29.047280864,31.311198559999994,31.311198559999994,12.354135038919681,2751463424.0,2751463424.0,0.0,1.0,0.0,2751463424.0,0.0,81.190971456,180.81882,0.009404800000000001,0.0,1.0,1.0,0.008682213990400001,0.008682213990400001,23552.0,1682.2857142857142,4096.0,2.4347826086956523
continuum_like,moa_job_3,moa,80.94455798399999,29.047280864,31.311198559999994,31.311198559999994,12.354135038919681,2751463424.0,2751463424.0,0.0,1.0,0.0,2751463424.0,0.0,81.190971456,180.81882,0.009404800000000001,0.0,1.0,1.0,0.008682213990400001,0.008682213990400001,23552.0,1682.2857142857142,4096.0,2.4347826086956523
continuum_like,moa_job_4,moa,80.94455798399999,29.047280864,31.311198559999994,31.311198559999994,12.354135038919681,2751463424.0,2751463424.0,0.0,1.0,0.0,2751463424.0,0.0,81.190971456,180.81882,0.009404800000000001,0.0,1.0,1.0,0.008682213990400001,0.008682213990400001,23552.0,1682.2857142857142,4096.0,2.4347826086956523
waferagent_full,debate_job_0,debate,56.3718877582336,21.117073743001598,21.45969906669568,22.692646231994367,17.73933852080271,2550136832.0,1442840576.0,0.4342105263157895,1.7674418604651163,0.8888888888888888,1442840576.0,0.0,26.4489443147776,156.075192,0.0025096959999999996,0.0,0.4691867767177001,1.0,0.0080782434304,0.0080782434304,69632.0,34816.0,34816.0,1.0
waferagent_full,debate_job_1,debate,56.3718877582336,21.117073743001598,21.45969906669568,22.692646231994367,17.73933852080271,2550136832.0,1442840576.0,0.4342105263157895,1.7674418604651163,0.8888888888888888,1442840576.0,0.0,26.4489443147776,156.075192,0.0025096959999999996,0.0,0.4691867767177001,1.0,0.0080782434304,0.0080782434304,69632.0,34816.0,34816.0,1.0
waferagent_full,debate_job_2,debate,56.3718877582336,21.117073743001598,21.45969906669568,22.692646231994367,17.73933852080271,2550136832.0,1442840576.0,0.4342105263157895,1.7674418604651163,0.8888888888888888,1442840576.0,0.0,26.4489443147776,156.075192,0.0025096959999999996,0.0,0.4691867767177001,1.0,0.0080782434304,0.0080782434304,69632.0,34816.0,34816.0,1.0
waferagent_full,debate_job_3,debate,56.3718877582336,21.117073743001598,21.45969906669568,22.692646231994367,17.73933852080271,2550136832.0,1442840576.0,0.4342105263157895,1.7674418604651163,0.8888888888888888,1442840576.0,0.0,26.4489443147776,156.075192,0.0025096959999999996,0.0,0.4691867767177001,1.0,0.0080782434304,0.0080782434304,69632.0,34816.0,34816.0,1.0
waferagent_full,debate_job_4,debate,56.3718877582336,21.117073743001598,21.45969906669568,22.692646231994367,17.73933852080271,2550136832.0,1442840576.0,0.4342105263157895,1.7674418604651163,0.8888888888888888,1442840576.0,0.0,26.4489443147776,156.075192,0.0025096959999999996,0.0,0.4691867767177001,1.0,0.0080782434304,0.0080782434304,69632.0,34816.0,34816.0,1.0
waferagent_full,moa_job_0,moa,56.937014356991995,21.68230830976,21.9117747201024,22.73785379733504,17.56326725757087,2751463424.0,1543503872.0,0.4390243902439024,1.7826086956521738,0.8888888888888888,1543503872.0,0.0,28.707044053811202,156.075192,0.004960256,0.0,0.5041894868919468,1.0,0.00868220928,0.00868220928,0.0,0.0,0.0,1.0
waferagent_full,moa_job_1,moa,56.937014356991995,21.68230830976,21.9117747201024,22.73785379733504,17.56326725757087,2751463424.0,1543503872.0,0.4390243902439024,1.7826086956521738,0.8888888888888888,1543503872.0,0.0,28.707044053811202,156.075192,0.004960256,0.0,0.5041894868919468,1.0,0.00868220928,0.00868220928,0.0,0.0,0.0,1.0
waferagent_full,moa_job_2,moa,56.937014356991995,21.68230830976,21.9117747201024,22.73785379733504,17.56326725757087,2751463424.0,1543503872.0,0.4390243902439024,1.7826086956521738,0.8888888888888888,1543503872.0,0.0,28.707044053811202,156.075192,0.004960256,0.0,0.5041894868919468,1.0,0.00868220928,0.00868220928,0.0,0.0,0.0,1.0
waferagent_full,moa_job_3,moa,56.937014356991995,21.68230830976,21.9117747201024,22.73785379733504,17.56326725757087,2751463424.0,1543503872.0,0.4390243902439024,1.7826086956521738,0.8888888888888888,1543503872.0,0.0,28.707044053811202,156.075192,0.004960256,0.0,0.5041894868919468,1.0,0.00868220928,0.00868220928,0.0,0.0,0.0,1.0
waferagent_full,moa_job_4,moa,56.937014356991995,21.68230830976,21.9117747201024,22.73785379733504,17.56326725757087,2751463424.0,1543503872.0,0.4390243902439024,1.7826086956521738,0.8888888888888888,1543503872.0,0.0,28.707044053811202,156.075192,0.004960256,0.0,0.5041894868919468,1.0,0.00868220928,0.00868220928,0.0,0.0,0.0,1.0
