policy,prediction_mode,estimator_mode,asg_builder_enabled,oracle_future,baseline_class,retention_policy,mapping_policy,prefetch_policy,prompt_reconstruction_quality,observation_compression_class,data_quality,paper_usable,num_high_quality_traces,num_smoke_traces,num_traces,selected_trace_count,delayed_reuse_ratio,concurrency,memory_budget,total_cycles,p95_llm_step_latency,p99_llm_step_latency,throughput_llm_steps_per_cycle,effective_prefill_tokens,effective_prefill_reduction,cache_hit_ratio,cache_byte_miss,model_compute_cycles,model_comm_cycles,remote_read_bytes,demand_migration_bytes,prefetch_migration_bytes,prefetch_hidden_cycles,prefetch_exposed_cycles,unused_prefetch_events,state_misses,local_state_hits,remote_state_hits,retained_state_type_distribution,LRU_regret_states_preserved,LRU_regret_tokens_preserved,oracle_gap
nocache,none,none,False,False,basic,none,none,none,explicit_selective_state,none,paper_usable,True,52,0,52,,0.02566633761105627,2,0.5,737795000,,,5.63842259706287e-07,436792,0.0,0.0,55663132672,222967000,0,0,0,0,0,0,0,2805,0,0,{},0,0,
lru-basic,none,none,False,False,basic,lru,none,none,explicit_selective_state,none,paper_usable,True,52,0,52,,0.02566633761105627,2,0.5,718733000,,,5.787962984863642e-07,330623,0.24306534918221945,1.0,0,196583000,0,0,0,0,0,0,0,0,942,1863,"{""agent_role"": 2, ""assistant_delta"": 7, ""edit_diff"": 2, ""file_context"": 2, ""system_prefix"": 2, ""task_prefix"": 2, ""test_failure_summary"": 2, ""tool_observation"": 2}",2,290,
lru-system,none,none,False,False,system,lru,static_replica,none,explicit_selective_state,none,paper_usable,True,52,0,52,,0.02566633761105627,2,0.5,718733000,,,5.787962984863642e-07,330623,0.24306534918221945,1.0,0,196583000,0,0,0,0,0,0,0,0,1733,1072,"{""agent_role"": 2, ""assistant_delta"": 7, ""edit_diff"": 2, ""file_context"": 2, ""system_prefix"": 2, ""task_prefix"": 2, ""test_failure_summary"": 2, ""tool_observation"": 2}",2,290,
kvflow-like,none,none,False,False,system,kvflow,none,none,explicit_selective_state,none,paper_usable,True,52,0,52,,0.02566633761105627,2,0.5,726110000,,,5.729159493740618e-07,388944,0.10954413084488723,0.5696969696969697,30577000448,209280000,0,0,0,0,0,0,0,1207,1316,282,"{""agent_role"": 15, ""system_prefix"": 15, ""task_prefix"": 15, ""test_failure_summary"": 2}",1,159,
asg-retention-v2-graph-only,none,none,True,False,asg,asg-v2,none,none,explicit_selective_state,none,paper_usable,True,52,0,52,,0.02566633761105627,2,0.5,718733000,,,5.787962984863642e-07,330623,0.24306534918221945,1.0,0,196583000,0,0,0,0,0,0,0,0,1890,915,"{""agent_role"": 1, ""assistant_delta"": 3, ""edit_diff"": 2, ""file_context"": 1, ""system_prefix"": 52, ""task_prefix"": 52, ""test_failure_summary"": 4, ""tool_observation"": 1}",3,473,
asg-retention-v2-online,heuristic,heuristic,True,False,asg,asg-v2,none,none,explicit_selective_state,none,paper_usable,True,52,0,52,,0.02566633761105627,2,0.5,718733000,,,5.787962984863642e-07,330623,0.24306534918221945,1.0,0,196583000,0,0,0,0,0,0,0,0,1756,1049,"{""agent_role"": 2, ""assistant_delta"": 3, ""edit_diff"": 2, ""file_context"": 1, ""system_prefix"": 52, ""task_prefix"": 52, ""test_failure_summary"": 4, ""tool_observation"": 1}",2,319,
asg-retention-v2-trace-stats,trace_stats,trace_stats,True,False,asg,asg-v2,none,none,explicit_selective_state,none,paper_usable,True,52,0,52,,0.02566633761105627,2,0.5,718733000,,,5.787962984863642e-07,330623,0.24306534918221945,1.0,0,196583000,0,0,0,0,0,0,0,0,1463,1342,"{""agent_role"": 16, ""assistant_delta"": 3, ""edit_diff"": 1, ""file_context"": 1, ""system_prefix"": 52, ""task_prefix"": 52, ""test_failure_summary"": 1, ""tool_observation"": 1}",1,159,
asg-retention-v2-oracle,oracle,oracle,True,True,oracle,asg-v2,none,none,explicit_selective_state,none,paper_usable,True,52,0,52,,0.02566633761105627,2,0.5,718733000,,,5.787962984863642e-07,330623,0.24306534918221945,1.0,0,196583000,0,0,0,0,0,0,0,0,1701,1104,"{""agent_role"": 1, ""assistant_delta"": 4, ""edit_diff"": 2, ""file_context"": 2, ""system_prefix"": 52, ""task_prefix"": 52, ""test_failure_summary"": 2, ""tool_observation"": 2}",2,290,
asg-placement-v2-online,heuristic,heuristic,True,False,asg,asg-v2,asg_cost_aware,none,explicit_selective_state,none,paper_usable,True,52,0,52,,0.02566633761105627,2,0.5,721161938,,,5.76846860711609e-07,330623,0.24306534918221945,1.0,0,165970032,7671417,17289969664,106954752,0,0,0,0,0,1788,1017,"{""agent_role"": 2, ""assistant_delta"": 3, ""edit_diff"": 2, ""file_context"": 1, ""system_prefix"": 52, ""task_prefix"": 52, ""test_failure_summary"": 4, ""tool_observation"": 1}",2,319,
asg-prefetch-v2-online,heuristic,heuristic,True,False,asg,asg-v2,asg_cost_aware,windowed,explicit_selective_state,none,paper_usable,True,52,0,52,,0.02566633761105627,2,0.5,721980723,,,5.761926693436107e-07,330623,0.24306534918221945,1.0,0,138409950,22953626,20464009216,31457280,14828961792,37341352,20586256,222,0,1777,1028,"{""agent_role"": 2, ""assistant_delta"": 3, ""edit_diff"": 2, ""file_context"": 1, ""system_prefix"": 52, ""task_prefix"": 52, ""test_failure_summary"": 4, ""tool_observation"": 1}",2,319,
