baseline,wave_id,time,operator_id,state_id,region_id,policy_before,policy_after,dynamic_hotness_before,dynamic_hotness_after,materialization_bytes,movement_byte_hop,cache_hit
flat_sequential,0,0.0,O_expert_0,S_task,R_0_0,replicate,replicate,0.0,350.0,4000,4000,False
flat_sequential,0,0.0,O_expert_0,S_document,R_0_0,replicate,replicate,0.0,350.0,4000,4000,False
flat_sequential,0,0.0,O_expert_0,S_rubric,R_0_0,replicate,replicate,0.0,350.0,4000,4000,False
flat_sequential,0,0.0,O_expert_0,S_unique_expert_0,R_0_0,inline,inline,0.0,155.75,1780,1780,False
flat_sequential,1,6.940003202153125,O_expert_1,S_task,R_0_0,replicate,replicate,350.0,577.5,4000,4000,False
flat_sequential,1,6.940003202153125,O_expert_1,S_document,R_0_0,replicate,replicate,350.0,577.5,4000,4000,False
flat_sequential,1,6.940003202153125,O_expert_1,S_rubric,R_0_0,replicate,replicate,350.0,577.5,4000,4000,False
flat_sequential,1,6.940003202153125,O_expert_1,S_unique_expert_1,R_0_0,inline,inline,0.0,138.6,1584,1584,False
flat_sequential,2,13.782006404275624,O_expert_2,S_task,R_0_0,replicate,replicate,577.5,725.375,4000,4000,False
flat_sequential,2,13.782006404275624,O_expert_2,S_document,R_0_0,replicate,replicate,577.5,725.375,4000,4000,False
flat_sequential,2,13.782006404275624,O_expert_2,S_rubric,R_0_0,replicate,replicate,577.5,725.375,4000,4000,False
flat_sequential,2,13.782006404275624,O_expert_2,S_unique_expert_2,R_0_0,inline,inline,0.0,142.79999999999998,1632,1632,False
flat_sequential,3,20.648009606405623,O_expert_3,S_task,R_0_0,replicate,replicate,725.375,821.4937500000001,4000,4000,False
flat_sequential,3,20.648009606405623,O_expert_3,S_document,R_0_0,replicate,replicate,725.375,821.4937500000001,4000,4000,False
flat_sequential,3,20.648009606405623,O_expert_3,S_rubric,R_0_0,replicate,replicate,725.375,821.4937500000001,4000,4000,False
