wave_id,baseline,scheduler,seed_state_id,operator_ids,region_ids,start_time,end_time,batch_size,materialization_bytes,movement_byte_hop,max_link_load_delta,benefit,wait_penalty
2,kvflow_like_future_eviction,operator_centric,,"[""O_refine_2""]","[""R_0_0""]",19.882006403681878,30.136009604370628,1,4408,4408,0,1.0,0.0
3,kvflow_like_future_eviction,operator_centric,,"[""O_refine_3""]","[""R_0_0""]",30.136009604370628,39.8720128048975,1,3372,3372,0,1.0,0.0
4,kvflow_like_future_eviction,operator_centric,,"[""O_refine_4""]","[""R_0_0""]",39.8720128048975,49.8900160055125,1,3936,3936,0,1.0,0.0
5,kvflow_like_future_eviction,operator_centric,,"[""O_refine_5""]","[""R_0_0""]",49.8900160055125,60.13601920619875,1,4392,4392,0,1.0,0.0
6,kvflow_like_future_eviction,operator_centric,,"[""O_refine_6""]","[""R_0_0""]",60.13601920619875,70.56802240694313,1,4764,4764,0,1.0,0.0
7,kvflow_like_future_eviction,operator_centric,,"[""O_refine_7""]","[""R_0_0""]",70.56802240694313,80.54402560754501,1,3852,3852,0,1.0,0.0
0,wafer_request_centric,wafer_request_centric,,"[""O_refine_0""]","[""R_0_0""]",0.0,9.83,1,19560,0,0,1.0,0.0
1,wafer_request_centric,wafer_request_centric,,"[""O_refine_1""]","[""R_0_0""]",9.83,19.882,1,4004,0,0,1.0,0.0
2,wafer_request_centric,wafer_request_centric,,"[""O_refine_2""]","[""R_0_0""]",19.882,30.136000000000003,1,4408,0,0,1.0,0.0
3,wafer_request_centric,wafer_request_centric,,"[""O_refine_3""]","[""R_0_0""]",30.136000000000003,39.872,1,3372,0,0,1.0,0.0
4,wafer_request_centric,wafer_request_centric,,"[""O_refine_4""]","[""R_0_0""]",39.872,49.89,1,3936,0,0,1.0,0.0
5,wafer_request_centric,wafer_request_centric,,"[""O_refine_5""]","[""R_0_0""]",49.89,60.136,1,4392,0,0,1.0,0.0
6,wafer_request_centric,wafer_request_centric,,"[""O_refine_6""]","[""R_0_0""]",60.136,70.568,1,4764,0,0,1.0,0.0
7,wafer_request_centric,wafer_request_centric,,"[""O_refine_7""]","[""R_0_0""]",70.568,80.544,1,3852,0,0,1.0,0.0
0,replicate_all_hot_states,replicate_all_hot_states,,"[""O_refine_0""]","[""R_0_0""]",0.0,9.83,1,19560,0,0,1.0,0.0
1,replicate_all_hot_states,replicate_all_hot_states,,"[""O_refine_1""]","[""R_0_0""]",9.83,19.882,1,4004,0,0,1.0,0.0
2,replicate_all_hot_states,replicate_all_hot_states,,"[""O_refine_2""]","[""R_0_0""]",19.882,30.136000000000003,1,4408,0,0,1.0,0.0
3,replicate_all_hot_states,replicate_all_hot_states,,"[""O_refine_3""]","[""R_0_0""]",30.136000000000003,39.872,1,3372,0,0,1.0,0.0
4,replicate_all_hot_states,replicate_all_hot_states,,"[""O_refine_4""]","[""R_0_0""]",39.872,49.89,1,3936,0,0,1.0,0.0
5,replicate_all_hot_states,replicate_all_hot_states,,"[""O_refine_5""]","[""R_0_0""]",49.89,60.136,1,4392,0,0,1.0,0.0
