job_id,workload,node_id,input_tokens,output_tokens,shared_prefix_token_len,private_prefix_token_len,shared_prefix_ratio
debate_job_0,debate,debate_job_0_r0_proposer_0,2049,128,1024,1025,0.4997559785261103
debate_job_0,debate,debate_job_0_r0_proposer_1,2049,128,1024,1025,0.4997559785261103
debate_job_0,debate,debate_job_0_r0_proposer_2,2049,128,1024,1025,0.4997559785261103
debate_job_0,debate,debate_job_0_r0_proposer_3,2049,128,1024,1025,0.4997559785261103
debate_job_0,debate,debate_job_0_r0_critic_0,2177,128,1088,1089,0.4997703261368856
debate_job_0,debate,debate_job_0_r0_critic_1,2177,128,1088,1089,0.4997703261368856
debate_job_0,debate,debate_job_0_r0_critic_2,2177,128,1088,1089,0.4997703261368856
debate_job_0,debate,debate_job_0_r0_critic_3,2177,128,1088,1089,0.4997703261368856
debate_job_0,debate,debate_job_0_r0_judge,2560,64,1280,1280,0.5
debate_job_1,debate,debate_job_1_r0_proposer_0,2049,128,1024,1025,0.4997559785261103
debate_job_1,debate,debate_job_1_r0_proposer_1,2049,128,1024,1025,0.4997559785261103
debate_job_1,debate,debate_job_1_r0_proposer_2,2049,128,1024,1025,0.4997559785261103
debate_job_1,debate,debate_job_1_r0_proposer_3,2049,128,1024,1025,0.4997559785261103
debate_job_1,debate,debate_job_1_r0_critic_0,2177,128,1088,1089,0.4997703261368856
debate_job_1,debate,debate_job_1_r0_critic_1,2177,128,1088,1089,0.4997703261368856
debate_job_1,debate,debate_job_1_r0_critic_2,2177,128,1088,1089,0.4997703261368856
debate_job_1,debate,debate_job_1_r0_critic_3,2177,128,1088,1089,0.4997703261368856
debate_job_1,debate,debate_job_1_r0_judge,2560,64,1280,1280,0.5
debate_job_2,debate,debate_job_2_r0_proposer_0,2049,128,1024,1025,0.4997559785261103
debate_job_2,debate,debate_job_2_r0_proposer_1,2049,128,1024,1025,0.4997559785261103
debate_job_2,debate,debate_job_2_r0_proposer_2,2049,128,1024,1025,0.4997559785261103
debate_job_2,debate,debate_job_2_r0_proposer_3,2049,128,1024,1025,0.4997559785261103
debate_job_2,debate,debate_job_2_r0_critic_0,2177,128,1088,1089,0.4997703261368856
debate_job_2,debate,debate_job_2_r0_critic_1,2177,128,1088,1089,0.4997703261368856
