source_result_dir,source_git_commit,source_git_dirty,source_command,source_arrival_mode,source_arrival_rates,source_duration_source,source_accounting_mode
results/round13_randomized_regime_sweep,b987c302c19a2c59f80aa96dad6d8edd4d2ebfa4,True,scripts/run_randomized_regime_sweep.py --num-configs 160 --num-jobs 20 --wafer-config configs/wafer/wse_like.yaml --shared-attention-cost-fit results/round10_shared_attention_fit/simulation/shared_attention_cost_fit.json --shared-attention-accounting cohort_stage --out results/round13_randomized_regime_sweep --clean-required,,,,cohort_stage
results/round13_adaptive_semantics_audit,1dfda1daa7c9564e66f917bd124fd2e561394ee5,False,scripts/audit_adaptive_execution_semantics.py --results results/round13_randomized_regime_sweep --out results/round13_adaptive_semantics_audit --clean-required,,,,
results/round13_policy_selector_v2,1dfda1daa7c9564e66f917bd124fd2e561394ee5,False,scripts/train_policy_selector.py --regimes results/round13_randomized_regime_sweep/simulation/randomized_regime_summary.csv --oracle-labels results/round13_randomized_regime_sweep/simulation/randomized_policy_oracle_labels.csv --out results/round13_policy_selector_v2 --clean-required,,,,
results/round13_policy_selector_v2_eval,1dfda1daa7c9564e66f917bd124fd2e561394ee5,False,scripts/evaluate_policy_selector.py --model results/round13_policy_selector_v2/simulation/policy_selector_v2_model.json --regimes results/round13_randomized_regime_sweep/simulation/randomized_regime_summary.csv --oracle-labels results/round13_randomized_regime_sweep/simulation/randomized_policy_oracle_labels.csv --out results/round13_policy_selector_v2_eval --clean-required,,,,
results/round12_paper_artifacts,5b456c204701171e0f101e0112f537333ce4d3c5,True,"scripts/export_paper_figures.py --source-results results/round12_global_main,results/round10_existing_cache_gap,results/round10_attention_accounting_sweep,results/round12_controlled_regime_sweep,results/round12_adaptive_policy_sweep,results/round10_transient_staging_sweep,results/round10_shared_attention_fit,results/round9_shared_attention_microbench_h100,results/round11_characterization_h100_hf_mini,results/round11_characterization_h100_vllm_mini,results/round12_characterization_h100_hf_10jobs,results/round12_characterization_h100_vllm_10jobs,results/round9_ablation --out results/round12_paper_artifacts --clean-required",,,,
results/round12_characterization_h100_hf_10jobs,5007d9d2388469153fea4dca57ce3c15ec8a1ee4,False,"scripts/collect_h100_traces.py --model Qwen2.5-7B-Instruct --engine hf --workloads debate,moa,planner_worker_tool,swe_like,rag_like --num-jobs 10 --gpus 0 --max-new-tokens 32 --max-input-tokens 4096 --stop-after-minutes 60 --out results/round12_characterization_h100_hf_10jobs --seed 11 --clean-required",,,,
results/round12_characterization_h100_vllm_10jobs,5007d9d2388469153fea4dca57ce3c15ec8a1ee4,False,"scripts/collect_h100_traces.py --model Qwen2.5-7B-Instruct --engine vllm --workloads debate,moa,planner_worker_tool,swe_like,rag_like --num-jobs 10 --gpus 1 --max-new-tokens 32 --max-input-tokens 4096 --stop-after-minutes 60 --out results/round12_characterization_h100_vllm_10jobs --seed 31 --clean-required",,,,
