prefix_id,scope,selected_policy,confidence,opportunity_score,predicted_delta_ms_vs_apc,predicted_delta_ms_vs_pat,reason,baseline,arrival_rate_jobs_per_s,config_id,split,reuse_group_size,shared_prefix_tokens,private_suffix_tokens,decode_tokens,num_agents_per_job,fanin
sha256:30c00bbc44c49eadbe7b3b73cf4e889ea4008e331a13bf71addca22383d4b37b,shared_kv_object,waferagent_latency_safe,0.6215948345742266,506121.00459967996,-506121.00459967996,-308068.3919302399,positive_latency_safe_opportunity,waferagent_adaptive,8.0,19,train,38,1072,1101,985,8,False
sha256:fd97e8b16ca0b8f0690c98ea51d9fbe04bfab5485e6c49d62631e9124aa4f7d7,shared_kv_object,waferagent_latency_safe,0.6216097436152372,1141421.5548788481,-1141421.5548788481,-694773.0747088641,positive_latency_safe_opportunity,waferagent_adaptive,8.0,20,train,92,18604,751,128,8,False
sha256:87df2283954fc38405f76af1869a0152915c7efa3c933f0e658fb4ad2b3fac09,shared_kv_object,waferagent_latency_safe,0.6216149396293483,2920022.672085104,-2920022.672085104,-1777397.5305626718,positive_latency_safe_opportunity,waferagent_adaptive,1.0,21,train,82,2322,92,633,32,True
sha256:1a97063fe46d211aab37ad3622a1050435874184770baaf2988f08ae2ac46600,shared_kv_object,waferagent_latency_safe,0.6215383007029768,58366.102099904,-58366.102099904,-35525.30453907199,positive_latency_safe_opportunity,waferagent_adaptive,4.0,22,train,49,3096,3954,106,2,True
sha256:9c78cd9d3072f70eeff08310671a941d7129e955048ce14ba21ffd7a7c38aba3,shared_kv_object,waferagent_latency_safe,0.6213010862335083,16698.389933791997,-16698.389933791997,-10162.158546655997,positive_latency_safe_opportunity,waferagent_adaptive,2.0,23,train,36,583,80,96,4,True
sha256:7593f9ca9ff35b16c5b2b374f28d8763e092af9faf987a4c82620fb7d218b411,shared_kv_object,waferagent_latency_safe,0.6215778314581767,111062.077953984,-111062.077953984,-67601.115928512,positive_latency_safe_opportunity,waferagent_adaptive,4.0,24,train,78,7261,215,86,2,True
sha256:2fe736b22877bdb3c0f2e144d1d2d678cb8c35f292a2b1612fcb3a12b1f4b760,shared_kv_object,waferagent_latency_safe,0.621569719801421,468030.148521728,-468030.148521728,-284878.486056704,positive_latency_safe_opportunity,waferagent_adaptive,16.0,25,train,114,6571,724,132,8,True
sha256:85abda6c77883320a00207f0637381453eb0b17c8fed3439ca66f7ea5c7c8964,shared_kv_object,waferagent_latency_safe,0.6215834504401226,3797276.770836992,-3797276.770836992,-2311329.590944256,positive_latency_safe_opportunity,waferagent_adaptive,32.0,26,train,34,54758,79,36,32,False
sha256:a14a1c0bf4b4a570f9a42bdc4e5de4cb2286d8d87fa23f79d16d2dbc85ece4f2,shared_kv_object,waferagent_latency_safe,0.6216175566081544,240537.36203711998,-240537.36203711998,-146413.66689216,positive_latency_safe_opportunity,waferagent_adaptive,8.0,27,train,2,36517,2845,437,2,True
sha256:141143a10e99167c7f67d89824d602b991d67564dacf2255e4cad9022ee63a6d,shared_kv_object,waferagent_latency_safe,0.6216175566081544,240537.36203711998,-240537.36203711998,-146413.66689216,positive_latency_safe_opportunity,waferagent_adaptive,8.0,27,train,2,36517,2845,437,2,True
sha256:bb267dcbfa0a6ad9549c6c64efcb0ea0bdb1d314e60e5d56eddcf4d6c4e0b0ab,shared_kv_object,waferagent_latency_safe,0.6216175566081544,240537.36203711998,-240537.36203711998,-146413.66689216,positive_latency_safe_opportunity,waferagent_adaptive,8.0,27,train,2,36517,2845,437,2,True
sha256:35bc6b509902463c9974e32aa325a66a9056bf35f3b207d39117e02a0bfe21a6,shared_kv_object,waferagent_latency_safe,0.6216175566081544,240537.36203711998,-240537.36203711998,-146413.66689216,positive_latency_safe_opportunity,waferagent_adaptive,8.0,27,train,2,36517,2845,437,2,True
sha256:eef47630a69e6400f0ff6884322b2606903f78e93ad7cbf75889c98f1f1c49ae,shared_kv_object,waferagent_latency_safe,0.6216175566081544,240537.36203711998,-240537.36203711998,-146413.66689216,positive_latency_safe_opportunity,waferagent_adaptive,8.0,27,train,2,36517,2845,437,2,True
sha256:2768a4ef1d532f2b4fbec741321b52805b726528ecab43d52a4d37c2ba399d76,shared_kv_object,waferagent_latency_safe,0.6216175566081544,240537.36203711998,-240537.36203711998,-146413.66689216,positive_latency_safe_opportunity,waferagent_adaptive,8.0,27,train,2,36517,2845,437,2,True
sha256:f283932640159517d879f6fdf1fad623f4e31e0e1317b100ac80160b8c2dd92f,shared_kv_object,waferagent_latency_safe,0.6216175566081544,240537.36203711998,-240537.36203711998,-146413.66689216,positive_latency_safe_opportunity,waferagent_adaptive,8.0,27,train,2,36517,2845,437,2,True
sha256:c57240c819eb0da8e50d3c9a2576ca5b22ea71cf3e7d44642dbe8a9beabc337e,shared_kv_object,waferagent_latency_safe,0.6216175566081544,240537.36203711998,-240537.36203711998,-146413.66689216,positive_latency_safe_opportunity,waferagent_adaptive,8.0,27,train,2,36517,2845,437,2,True
sha256:7ca4b8d32ca843305f3b12a8a7450863524ad78d877dc9a6a2538173ddaf6fda,shared_kv_object,waferagent_latency_safe,0.6216175566081544,240537.36203711998,-240537.36203711998,-146413.66689216,positive_latency_safe_opportunity,waferagent_adaptive,8.0,27,train,2,36517,2845,437,2,True
sha256:d7410f639bce9b871f4a48551645d1f027a41975d271d465e9dd5632367e0676,shared_kv_object,waferagent_latency_safe,0.6216175566081544,240537.36203711998,-240537.36203711998,-146413.66689216,positive_latency_safe_opportunity,waferagent_adaptive,8.0,27,train,2,36517,2845,437,2,True
sha256:52340782f13cd3bced2003e5521814fcd63841c14ba65c8895a1f0259d320365,shared_kv_object,waferagent_latency_safe,0.6204956686161626,17622.800575999998,-17622.800575999998,-10719.205567999998,positive_latency_safe_opportunity,waferagent_adaptive,32.0,28,train,19,1734,1796,45,4,False
sha256:4821d99120847eee071c9c2c70c2ae925f6af85ae22794dadb75c611a074e2c3,shared_kv_object,waferagent_latency_safe,0.6186559478901553,703.6208230399999,-703.6208230399999,-427.47702271999987,positive_latency_safe_opportunity,waferagent_adaptive,32.0,28,train,19,1734,1796,45,4,False
sha256:ee1e102f27ca06f025b70347d31d6260668d2e01567e182b2b783a6591cc5dbd,shared_kv_object,apc_like,0.5814104411497152,42475.10960888,-42475.10960888,-30523.688742319995,high_queue_and_sram_risk,waferagent_adaptive,1.0,29,train,113,755,328,21,32,False
sha256:1bd07828cdccc72588e5a55075a05c1b3eb59b4efd3ba6408fa235e2b912ffc6,shared_kv_object,apc_like,0.6046479727960462,5026141.946020544,-5026141.946020544,-3286317.8598980475,high_queue_and_sram_risk,waferagent_adaptive,4.0,30,train,36,47664,1510,97,16,False
sha256:9eca5059d211482b49dbdaa71495876a6c5c0d3c8bcdd1f2a0ef05651729dc6c,shared_kv_object,waferagent_latency_safe,0.6215670563259862,380529.40539136,-380529.40539136,-231618.53371648,positive_latency_safe_opportunity,waferagent_adaptive,32.0,31,train,77,1087,302,1470,4,False
sha256:b6608a8e2be006b98c1dd55c75876ed403521f7200965d89855558b8cfb731ff,shared_kv_object,waferagent_latency_safe,0.6209420410004858,63120.3217792,-63120.3217792,-38404.395865599996,positive_latency_safe_opportunity,waferagent_adaptive,32.0,32,train,28,4682,198,25,8,True
sha256:b3d495e4b1129c50672b98a07e0f344c50c2234477a5d50cb85ce7fd4795ae3c,shared_kv_object,waferagent_latency_safe,0.6216184719250165,1994251.333184432,-1994251.333184432,-1213889.677536176,positive_latency_safe_opportunity,waferagent_adaptive,1.0,33,train,42,8063,2047,516,8,False
sha256:071bdb0e5aa117420feac0379aacd1c8077ff9fef49f4fbea0b11f6ce2e23efa,shared_kv_object,waferagent_latency_safe,0.6215529233845342,106553.616042848,-106553.616042848,-64855.880960864,positive_latency_safe_opportunity,waferagent_adaptive,2.0,34,train,25,1416,4031,157,8,False
sha256:290d2e5919144ce5691a7a21a511c0afc1f23bbc1dc9984566e17601194cacaa,shared_kv_object,waferagent_latency_safe,0.6215535077260854,137987.952200384,-137987.952200384,-83989.017643712,positive_latency_safe_opportunity,waferagent_adaptive,4.0,35,train,116,1358,571,212,8,False
sha256:a650ddaaccbf17af57707e3edddccfc25cc0a3e4cf8d1473b96f4e2e02883c4b,shared_kv_object,waferagent_latency_safe,0.6216154066304413,1500280.664765312,-1500280.664765312,-913210.698118016,positive_latency_safe_opportunity,waferagent_adaptive,8.0,36,train,64,50777,3360,99,4,True
sha256:bdfff16c88fee6decd11985e03a3fb315343374e591a4ef270bb3ceeb1567933,shared_kv_object,waferagent_latency_safe,0.6216088281494697,1033150.9351467199,-1033150.9351467199,-628869.3512849598,positive_latency_safe_opportunity,waferagent_adaptive,2.0,37,train,67,605,709,1671,16,True
sha256:523c60d56436ffae7719bffaed53dee93d928d7460e64bbf2093d1865f3f3ee0,shared_kv_object,waferagent_latency_safe,0.6216203359638813,32068059.38736512,-32068059.38736512,-19519672.318396162,positive_latency_safe_opportunity,waferagent_adaptive,16.0,38,train,122,25730,72,1296,16,False
sha256:747f5024caf1859aad0ef2e16a8945d9a2aad84f0544514130bab79a39221aa3,shared_kv_object,waferagent_latency_safe,0.62028976610834,30889.461516032,-30889.461516032,-18786.276574976,positive_latency_safe_opportunity,waferagent_adaptive,16.0,39,train,33,453,741,71,16,False
sha256:46f7d9a2b1e8b489b833550ad3431c2fdc15ccf543152ab2dbf1820cb6d9af10,shared_kv_object,waferagent_latency_safe,0.6216109403872635,688921.2673287679,-688921.2673287679,-419340.52359142393,positive_latency_safe_opportunity,waferagent_adaptive,16.0,40,train,55,12794,2830,458,2,False
sha256:14c491b71bcab0f55e227bd23cf8076f774887030e59c7a2816bd2e519c2aaf9,shared_kv_object,waferagent_latency_safe,0.6215725906571329,996012.3571680001,-996012.3571680001,-606249.4326240001,positive_latency_safe_opportunity,waferagent_adaptive,8.0,41,train,37,1337,841,375,32,True
sha256:b7953abb0da8f0fa7e2d4b6297a0d3b3af11e36c65eb60680745dcad3bb0d796,shared_kv_object,apc_like,0.5816803874389587,529520.3665856,-529520.3665856,-380570.46035839996,high_queue_and_sram_risk,waferagent_adaptive,16.0,42,train,58,3800,802,52,32,False
sha256:50b069dfcb9a6e3569eac4907b0d16cc47325a743d9a2c586a0d2c469e6b3b7c,shared_kv_object,apc_like,0.5818177108006963,37820537.221091434,-37820537.221091434,-27183505.683714155,high_queue_and_sram_risk,waferagent_adaptive,1.0,43,train,116,36008,2783,380,32,True
sha256:ef7874d81cfff80d2daf3c9dc85a7b63e2f5668cc30930de15128a02ed8655d0,shared_kv_object,waferagent_latency_safe,0.6215920937069426,315764.980593536,-315764.980593536,-192201.151230848,positive_latency_safe_opportunity,waferagent_adaptive,8.0,44,train,61,40694,1392,26,4,True
sha256:6104d9aba1747109173bba7ab2b5ea950a8bb524757ee8f6d066e60b3cc4eab3,shared_kv_object,apc_like,0.5818167675776504,12596234.561196145,-12596234.561196145,-9053538.146914417,high_queue_and_sram_risk,waferagent_adaptive,1.0,45,train,35,11197,1283,407,32,True
sha256:124cb41de6c18dbe8ef449893c857b5c6671b53db83ae705645f3406eec86931,shared_kv_object,waferagent_latency_safe,0.6162070730826487,26538.284163584,-26538.284163584,-16097.468621312,positive_latency_safe_opportunity,waferagent_adaptive,32.0,46,train,35,513,134,27,32,False
sha256:f74412bf95125b6c00951ee7b07d8e2cb5f02a3b0da45bbf4ad487ad222c8ac0,shared_kv_object,waferagent_latency_safe,0.6216076737829209,1331216.2275724802,-1331216.2275724802,-810298.3220006402,positive_latency_safe_opportunity,waferagent_adaptive,8.0,47,train,7,18823,2449,102,32,True
sha256:ff04925b8989d394d3c00dbe658bb2660e41f85fc7a587ec943a0fe7c456f2fb,shared_kv_object,waferagent_latency_safe,0.6216076737829209,1331216.2275724802,-1331216.2275724802,-810298.3220006402,positive_latency_safe_opportunity,waferagent_adaptive,8.0,47,train,7,18823,2449,102,32,True
sha256:ba32cd87efc4ae89798f3746180d48947bdf5a1427c3aab57e56b847a7e772b4,shared_kv_object,waferagent_latency_safe,0.6216073795107623,1140215.305529472,-1140215.305529472,-694037.795104896,positive_latency_safe_opportunity,waferagent_adaptive,8.0,47,train,7,18823,2449,102,32,True
sha256:34e19d63786ce28d4a8b3abc66dd0f4106c2f372fdceef30b7bb83184bcd1d7e,shared_kv_object,waferagent_latency_safe,0.6216212293328894,31683460.2981216,-31683460.2981216,-19285579.704508804,positive_latency_safe_opportunity,waferagent_adaptive,8.0,48,train,18,45200,406,1626,8,False
sha256:3d5373077df854667fd1b8eaa5a8853ed4e0010463aedf3de39944995eeef579,shared_kv_object,waferagent_latency_safe,0.621620963437807,3323439.0147679998,-3323439.0147679998,-2022962.0294239998,positive_latency_safe_opportunity,waferagent_adaptive,8.0,48,train,18,45200,406,1626,8,False
