config_id,split,predicted_policy,oracle_best_policy,score,confidence,correct
0,train,apc_like,waferagent_latency_safe,11.715908378984706,0.2403584436322266,False
1,train,apc_like,waferagent_latency_safe,10.09265487845356,0.3456077145922795,False
2,train,apc_like,waferagent_latency_safe,11.854522574304955,0.2313709114954427,False
3,train,apc_like,waferagent_latency_safe,8.988399752502529,0.4172059257910962,False
4,train,apc_like,apc_like,11.339787822835726,0.26474552446391225,True
5,train,waferagent_latency_safe,waferagent_latency_safe,15.801751431147691,0.024561362397232604,True
6,train,apc_like,apc_like,15.297083542919655,0.008160530576089323,True
7,train,apc_like,waferagent_latency_safe,12.356890404035488,0.198798150792557,False
8,train,waferagent_latency_safe,apc_like,18.262865081704156,0.18413620230125555,False
9,train,apc_like,waferagent_latency_safe,14.089670646538982,0.08644733362333365,False
10,train,apc_like,waferagent_latency_safe,14.82281483304073,0.038911387381627346,False
11,train,apc_like,waferagent_latency_safe,10.75253087417451,0.3028223656304915,False
12,train,apc_like,apc_like,11.384297759661957,0.261859568327113,True
13,train,apc_like,waferagent_latency_safe,7.331334650271203,0.5246474892228865,False
14,train,apc_like,apc_like,10.020721834682215,0.35027174298488384,True
15,train,waferagent_latency_safe,waferagent_latency_safe,17.029387613407753,0.10415941232891364,True
16,train,apc_like,waferagent_latency_safe,14.749055639964341,0.04369382049842125,False
17,train,apc_like,waferagent_latency_safe,5.892172612336328,0.6179605516844593,False
18,train,apc_like,apc_like,8.206810466357728,0.4678829780999386,True
19,train,apc_like,waferagent_latency_safe,10.135466547555458,0.3428318715338272,False
20,train,apc_like,waferagent_latency_safe,15.12347937209278,0.019416759137539784,False
21,train,waferagent_latency_safe,waferagent_latency_safe,15.85770151704537,0.02818908027922469,True
22,train,apc_like,waferagent_latency_safe,10.189154792988667,0.3393508079235404,False
23,train,apc_like,waferagent_latency_safe,8.601131963582116,0.4423157761236833,False
24,train,apc_like,waferagent_latency_safe,13.000663209927906,0.1570569079971994,False
25,train,waferagent_latency_safe,waferagent_latency_safe,16.00637411662177,0.03782878394352108,True
26,train,apc_like,apc_like,7.518179091546777,0.51253278180303,True
27,train,apc_like,waferagent_latency_safe,8.395076853802697,0.45567607386817066,False
28,train,apc_like,waferagent_latency_safe,6.778201578408568,0.5605117904785977,False
29,train,waferagent_latency_safe,waferagent_latency_safe,16.148128397123262,0.04701991439441304,True
30,train,apc_like,apc_like,11.6274504982443,0.24609391714610016,True
31,train,apc_like,waferagent_latency_safe,12.796206684419584,0.1703135559857823,False
32,train,apc_like,waferagent_latency_safe,7.610844731234232,0.5065244836432168,False
33,train,apc_like,waferagent_latency_safe,11.5294515681678,0.25244801768679936,False
34,train,apc_like,waferagent_latency_safe,8.611527916469331,0.44164171845988864,False
35,train,waferagent_latency_safe,waferagent_latency_safe,16.001393338456058,0.037505837915323074,True
36,train,apc_like,waferagent_latency_safe,13.042141864726943,0.1543674955446318,False
37,train,apc_like,waferagent_latency_safe,13.175040298871757,0.14575056460876912,False
38,train,waferagent_latency_safe,apc_like,18.493749939074075,0.19910642285272726,False
39,train,apc_like,waferagent_latency_safe,7.756359112939578,0.49708955398886573,False
40,train,apc_like,waferagent_latency_safe,11.999560161121224,0.22196689649148751,False
41,train,apc_like,waferagent_latency_safe,10.510761133158777,0.31849834536734745,False
42,train,apc_like,waferagent_latency_safe,10.602042829025075,0.3125797800053867,False
43,train,waferagent_latency_safe,apc_like,19.719948262646568,0.27861124422918837,False
44,train,apc_like,waferagent_latency_safe,12.120887212534743,0.2141002362903375,False
45,train,apc_like,apc_like,12.659319090571104,0.17918913792742852,True
46,train,apc_like,waferagent_latency_safe,4.881988453340985,0.6834593454556508,False
47,train,apc_like,apc_like,8.938247998095312,0.4204576887393973,True
48,train,apc_like,waferagent_latency_safe,10.858311260563084,0.2959637273798257,False
49,train,apc_like,waferagent_latency_safe,11.302067919410158,0.26719122523395566,False
50,train,apc_like,apc_like,5.8748191795525235,0.6190857216893612,True
51,train,apc_like,waferagent_latency_safe,7.8536661585739616,0.4907803141757716,False
52,train,waferagent_latency_safe,waferagent_latency_safe,16.05818881595481,0.041188369694010664,True
53,train,apc_like,waferagent_latency_safe,11.642226383900397,0.24513587134944279,False
54,train,apc_like,apc_like,12.19363050677957,0.20938367249793205,True
55,train,apc_like,waferagent_latency_safe,8.52551025428844,0.44721897193956056,False
56,train,apc_like,waferagent_latency_safe,9.225370193000561,0.40184112534967437,False
57,train,apc_like,waferagent_latency_safe,13.818740806846524,0.10401400949966769,False
58,train,apc_like,waferagent_latency_safe,8.86773761301806,0.4250294741210799,False
59,train,apc_like,apc_like,13.970027431645835,0.09420481644330003,True
60,train,apc_like,waferagent_latency_safe,14.87183817645427,0.03573278887399373,False
61,train,waferagent_latency_safe,waferagent_latency_safe,16.64287148454857,0.07909829848352866,True
62,train,waferagent_latency_safe,waferagent_latency_safe,17.179109263500674,0.1138671348220793,True
63,train,apc_like,waferagent_latency_safe,9.861482753734524,0.36059656111871774,False
64,train,apc_like,waferagent_latency_safe,8.462978662177969,0.4512734246048066,False
65,train,apc_like,waferagent_latency_safe,11.077799147828992,0.2817324689154267,False
66,train,waferagent_latency_safe,waferagent_latency_safe,16.29641357275851,0.05663449808370527,True
67,train,apc_like,waferagent_latency_safe,14.405597379300717,0.0659631281131752,False
68,train,apc_like,waferagent_latency_safe,9.43770630464405,0.3880735770636814,False
69,train,apc_like,waferagent_latency_safe,8.520810391767519,0.44752370382757284,False
70,train,apc_like,waferagent_latency_safe,14.793139794534182,0.04083547143104029,False
71,train,apc_like,waferagent_latency_safe,10.940646365342241,0.2906252452822418,False
72,train,apc_like,waferagent_latency_safe,10.86337289184686,0.29563553895927913,False
73,train,waferagent_latency_safe,apc_like,18.265414197859528,0.18430148308879585,False
74,train,pat_like_traffic_only,apc_like,15.322942940357725,0.006483846849898299,False
75,train,apc_like,waferagent_latency_safe,8.00233881898554,0.4811406065670154,False
76,train,apc_like,waferagent_latency_safe,11.891928989171758,0.2289455368434416,False
77,train,apc_like,waferagent_latency_safe,9.242139139187731,0.4007538525605564,False
78,train,apc_like,waferagent_latency_safe,12.371457646023654,0.19785363313179022,False
79,train,apc_like,waferagent_latency_safe,8.590189627888927,0.4430252604118314,False
80,train,apc_like,apc_like,12.058536005719185,0.21814299304932167,True
81,train,apc_like,waferagent_latency_safe,12.99018259290361,0.15773645515397913,False
82,train,apc_like,apc_like,9.064822596244193,0.4122507856445496,True
83,train,apc_like,waferagent_latency_safe,13.289928982498022,0.13830135831457785,False
84,train,waferagent_latency_safe,waferagent_latency_safe,16.674469460625296,0.08114706286001101,True
85,train,apc_like,apc_like,14.521822419811745,0.0584272744852079,True
86,train,apc_like,waferagent_latency_safe,14.790735537161579,0.0409913597969573,False
87,train,apc_like,waferagent_latency_safe,7.24142592870852,0.5304770330337123,False
88,train,apc_like,waferagent_latency_safe,9.368924565071604,0.39253327971825475,False
89,train,waferagent_latency_safe,waferagent_latency_safe,16.560989253347024,0.07378918001514069,True
90,train,apc_like,waferagent_latency_safe,12.283076324443375,0.20358414266697164,False
91,train,apc_like,waferagent_latency_safe,13.557249587400932,0.1209686996944514,False
92,train,apc_like,apc_like,15.206443598075982,0.01403748578458539,True
93,train,apc_like,waferagent_latency_safe,14.16379517522662,0.08164121270501831,False
94,train,apc_like,waferagent_latency_safe,7.5343236724439535,0.5114859919030992,False
95,train,apc_like,waferagent_latency_safe,10.77216579640356,0.30154926734406334,False
96,validation,apc_like,apc_like,10.157047541234684,0.34143259295497996,True
97,validation,apc_like,waferagent_latency_safe,10.051651326746992,0.3482663220879523,False
98,validation,apc_like,waferagent_latency_safe,11.20135884187298,0.27372104758541166,False
99,validation,apc_like,waferagent_latency_safe,9.758859004146645,0.367250527873619,False
100,validation,apc_like,waferagent_latency_safe,6.629691743236356,0.5701409407482003,False
101,validation,apc_like,waferagent_latency_safe,8.749131125292248,0.432719737139265,False
102,validation,apc_like,apc_like,9.35056479545685,0.3937236990620696,True
103,validation,apc_like,waferagent_latency_safe,9.928613952312572,0.356243877014416,False
104,validation,apc_like,waferagent_latency_safe,13.668510662446899,0.11375470198492049,False
105,validation,apc_like,waferagent_latency_safe,14.955314405863673,0.030320318003018282,False
106,validation,apc_like,waferagent_latency_safe,11.615017431995847,0.24690005812039628,False
107,validation,apc_like,waferagent_latency_safe,8.374961110128531,0.45698034788072167,False
108,validation,apc_like,waferagent_latency_safe,14.98506514339757,0.028391325744605185,False
109,validation,apc_like,apc_like,10.30099152619016,0.33209948542082623,True
110,validation,apc_like,waferagent_latency_safe,11.474517793205845,0.25600983952420037,False
111,validation,apc_like,waferagent_latency_safe,11.384596144999428,0.2618402214788088,False
112,validation,waferagent_latency_safe,waferagent_latency_safe,15.486007960010301,0.004089039290131331,True
113,validation,apc_like,waferagent_latency_safe,12.480396905848744,0.19079017836531853,False
114,validation,apc_like,waferagent_latency_safe,8.08495241584595,0.4757840674693941,False
115,validation,apc_like,waferagent_latency_safe,6.98088513940781,0.5473700987934866,False
116,validation,apc_like,waferagent_latency_safe,5.806769779126486,0.6234979405952595,False
117,validation,apc_like,waferagent_latency_safe,12.313680099956516,0.2015998407324129,False
118,validation,apc_like,waferagent_latency_safe,10.351795534486655,0.32880543132927187,False
119,validation,apc_like,apc_like,13.660604247071992,0.11426734184914622,True
120,validation,waferagent_latency_safe,waferagent_latency_safe,15.580399091646656,0.010209215705318516,True
121,validation,waferagent_latency_safe,waferagent_latency_safe,16.400069082814014,0.06335536260718506,True
122,validation,apc_like,waferagent_latency_safe,13.904470424268725,0.09845543240100842,False
123,validation,apc_like,waferagent_latency_safe,13.283864010379656,0.13869460181822177,False
124,validation,apc_like,waferagent_latency_safe,9.231029092799918,0.40147421095329483,False
125,validation,apc_like,waferagent_latency_safe,8.324893347356317,0.46022666494004244,False
126,validation,apc_like,waferagent_latency_safe,5.4909404467173895,0.6439758308157217,False
127,validation,apc_like,apc_like,4.432961606462339,0.7125735585221896,True
128,test,waferagent_latency_safe,waferagent_latency_safe,15.446585540964524,0.0015329500146779578,True
129,test,waferagent_latency_safe,waferagent_latency_safe,15.898082814575796,0.030807341767099233,True
130,test,apc_like,waferagent_latency_safe,7.705521289688653,0.5003858005902777,False
