config_id,split,reuse_group_size,shared_prefix_tokens,private_suffix_tokens,decode_tokens,num_agents_per_job,arrival_rate_jobs_per_s,fanin,cross_job_shared_prefix_reuse_rate,intra_job_shared_prefix_reuse_rate,comparison,jct_delta_pct
18,train,58,10485,220,19,32,32.0,False,1.0,1.0,apc_global_orchestrator_vs_engine,2.9879021008811986
18,train,58,10485,220,19,32,32.0,False,1.0,1.0,pat_global_orchestrator_vs_engine,2.5037981857319687
18,train,58,10485,220,19,32,32.0,False,1.0,1.0,adaptive_vs_apc_global_orchestrator,-0.08656724157345368
19,train,38,1072,1101,985,8,8.0,False,1.0,1.0,apc_global_orchestrator_vs_engine,1.7411527435474317
19,train,38,1072,1101,985,8,8.0,False,1.0,1.0,pat_global_orchestrator_vs_engine,9.25759782096776
19,train,38,1072,1101,985,8,8.0,False,1.0,1.0,adaptive_vs_apc_global_orchestrator,-0.9993890569005921
20,train,92,18604,751,128,8,8.0,False,1.0,1.0,apc_global_orchestrator_vs_engine,1.79134381523509
20,train,92,18604,751,128,8,8.0,False,1.0,1.0,pat_global_orchestrator_vs_engine,1.7913313736891048
20,train,92,18604,751,128,8,8.0,False,1.0,1.0,adaptive_vs_apc_global_orchestrator,-0.9961448188416162
21,train,82,2322,92,633,32,1.0,True,1.0,1.0,apc_global_orchestrator_vs_engine,0.9673574585801382
21,train,82,2322,92,633,32,1.0,True,1.0,1.0,pat_global_orchestrator_vs_engine,0.11312964414290445
21,train,82,2322,92,633,32,1.0,True,1.0,1.0,adaptive_vs_apc_global_orchestrator,-0.999818690756188
22,train,49,3096,3954,106,2,4.0,True,1.0,1.0,apc_global_orchestrator_vs_engine,-0.9766422670632621
22,train,49,3096,3954,106,2,4.0,True,1.0,1.0,pat_global_orchestrator_vs_engine,-0.9746272350519847
22,train,49,3096,3954,106,2,4.0,True,1.0,1.0,adaptive_vs_apc_global_orchestrator,-2.5831287890816787e-05
23,train,36,583,80,96,4,2.0,True,1.0,1.0,apc_global_orchestrator_vs_engine,-0.9645147315833766
23,train,36,583,80,96,4,2.0,True,1.0,1.0,pat_global_orchestrator_vs_engine,-0.962522788494055
23,train,36,583,80,96,4,2.0,True,1.0,1.0,adaptive_vs_apc_global_orchestrator,0.0
24,train,78,7261,215,86,2,4.0,True,1.0,1.0,apc_global_orchestrator_vs_engine,-0.9873089963467456
