baseline,arrival_rate_jobs_per_s,chosen_policy,num_decisions,mean_opportunity_score,config_id,split,reuse_group_size,shared_prefix_tokens,private_suffix_tokens,decode_tokens,num_agents_per_job,fanin
waferagent_adaptive,8.0,waferagent_latency_safe,1,153863.08151129598,61,train,126,418,97,768,8,False
waferagent_adaptive,2.0,waferagent_latency_safe,1,4325463.319752416,62,train,108,42131,1207,344,4,True
waferagent_adaptive,4.0,waferagent_latency_safe,1,118883.76360416,63,train,39,2756,393,90,8,False
waferagent_adaptive,1.0,apc_like,1,26987.137918064,64,train,28,582,124,36,16,True
waferagent_adaptive,8.0,waferagent_latency_safe,1,6371078.31399872,65,train,32,3914,635,845,32,False
waferagent_adaptive,1.0,waferagent_latency_safe,1,1252480.018459568,66,train,102,20414,263,128,8,False
waferagent_adaptive,8.0,waferagent_latency_safe,1,70965.835648896,67,train,103,652,3422,612,2,True
waferagent_adaptive,16.0,waferagent_latency_safe,1,636201.758402304,68,train,27,5012,1450,533,4,False
waferagent_adaptive,8.0,waferagent_latency_safe,1,2833.77200576,69,train,49,297,3648,20,8,False
waferagent_adaptive,2.0,apc_like,1,228131.928258784,70,train,90,737,2796,112,32,True
waferagent_adaptive,2.0,apc_like,1,63864.015509344004,71,train,53,2798,678,21,16,False
waferagent_adaptive,32.0,waferagent_latency_safe,1,26735.260169728,72,train,109,796,75,17,32,True
waferagent_adaptive,1.0,waferagent_latency_safe,1,44841073.65101682,73,train,103,41122,522,1067,16,True
waferagent_adaptive,32.0,waferagent_latency_safe,1,19154668.407103997,74,train,126,6629,412,1500,32,False
waferagent_adaptive,1.0,waferagent_latency_safe,2,43823.696081104004,75,train,16,13192,489,38,2,True
waferagent_adaptive,4.0,waferagent_latency_safe,1,901352.830698944,76,train,53,3382,74,893,4,True
waferagent_adaptive,2.0,waferagent_latency_safe,1,35995.528090208,77,train,39,581,1737,527,2,False
waferagent_adaptive,1.0,apc_like,1,29094.796050863995,78,train,76,653,463,41,16,False
waferagent_adaptive,8.0,waferagent_latency_safe,2,103519.238239616,79,train,18,3423,104,528,2,False
waferagent_adaptive,2.0,apc_like,1,289239.464655072,80,train,50,5814,81,18,32,True
waferagent_adaptive,2.0,waferagent_latency_safe,1,47225.60636656,81,train,85,565,875,351,4,False
waferagent_adaptive,16.0,waferagent_latency_safe,1,3523311.252172544,82,train,20,4184,382,824,16,True
waferagent_adaptive,1.0,waferagent_latency_safe,1,2301924.9502120796,83,train,63,19145,211,676,2,True
waferagent_adaptive,1.0,waferagent_latency_safe,1,426422.02059121605,84,train,118,943,1043,838,8,True
waferagent_adaptive,1.0,waferagent_latency_safe,1,14666770.886553008,85,train,56,5716,794,1332,32,False
waferagent_adaptive,4.0,apc_like,1,29497.456100032,86,train,109,1597,3824,17,16,False
waferagent_adaptive,1.0,waferagent_latency_safe,1,995.2819276639999,87,train,36,312,251,18,2,True
waferagent_adaptive,32.0,waferagent_latency_safe,1,2967088.3313761284,88,train,22,7928,1014,1254,4,True
waferagent_adaptive,16.0,waferagent_latency_safe,1,211263.153487616,89,train,120,6219,64,191,2,True
waferagent_adaptive,16.0,waferagent_latency_safe,1,5467.538380544001,90,train,89,398,347,117,2,False
waferagent_adaptive,4.0,apc_like,1,38493.452831168004,91,train,88,606,696,23,32,True
waferagent_adaptive,2.0,waferagent_latency_safe,1,12802258.715891551,92,train,74,15886,1032,838,16,False
waferagent_adaptive,8.0,waferagent_latency_safe,1,46513.423024512,93,train,99,1366,88,143,4,False
