config_id,split,reuse_group_size,shared_prefix_tokens,private_suffix_tokens,decode_tokens,num_agents_per_job,arrival_rate_jobs_per_s,fanin,cross_job_shared_prefix_reuse_rate,intra_job_shared_prefix_reuse_rate,shared_decode_cohort_reuse_rate,placement_mesh_reduction_ratio,scheduler_parallelism_gain,waferagent_vs_apc_jct_p99_delta_pct,regime_label
40,train,55,12794,2830,458,2,16.0,False,1.0,1.0,0.4037500000003711,1.0,0.9966477390986491,-0.9966477059532163,waferagent_latency_beneficial
41,train,37,1337,841,375,32,8.0,True,1.0,1.0,0.4108333333333334,0.9907428967448064,-0.9996476480224088,-0.9991118011327959,waferagent_latency_beneficial
42,train,58,3800,802,52,32,16.0,False,1.0,1.0,0.0,1.0,-2.8987263814894764,0.0,low_reuse_apc_better
43,train,116,36008,2783,380,32,1.0,True,1.0,1.0,0.0,0.9158941212332318,-1.101760189498322,0.0,low_reuse_apc_better
44,train,61,40694,1392,26,4,8.0,True,1.0,1.0,0.33150000000056246,1.0,0.9948791921897672,-0.9948790926572599,waferagent_latency_beneficial
45,train,35,11197,1283,407,32,1.0,True,1.0,1.0,0.0,0.9178776487867991,-1.0900667940692164,0.0,low_reuse_apc_better
46,train,35,513,134,27,32,32.0,False,1.0,1.0,0.0,1.0,-2.5143654148518118,-0.9941617462665707,waferagent_latency_beneficial
47,train,7,18823,2449,102,32,8.0,True,1.0,1.0,0.26401515151613897,0.9163223964828223,-1.0535347951434773,0.954690682650944,traffic_reduction_only
48,train,18,45200,406,1626,8,8.0,False,1.0,1.0,0.41437500000000005,0.9999162211820436,-1.8287041555493708,-0.9978656930737347,waferagent_latency_beneficial
49,train,53,11340,305,23,16,8.0,True,1.0,1.0,0.0,0.961570773653114,-0.3343967983936166,0.0,low_reuse_apc_better
50,train,7,60696,412,117,32,32.0,False,1.0,1.0,0.18593750000014098,0.9221988535215444,-3.0362450128648333,2.560275506186243,traffic_reduction_only
51,train,21,1026,65,212,8,16.0,False,1.0,1.0,0.41968750001039123,-0.0,-1.6136526641844442,-0.9949359945407614,waferagent_latency_beneficial
52,train,111,45320,218,43,2,32.0,False,1.0,1.0,0.40375000000000005,1.0,0.9839575785672077,-0.9839571085067038,waferagent_latency_beneficial
53,train,33,51319,642,337,8,2.0,False,1.0,1.0,0.41968750000008714,0.9995953144325381,-1.8089548192828042,-0.9972347972869312,waferagent_latency_beneficial
54,train,41,12296,79,49,32,2.0,True,1.0,1.0,0.0,0.9158093913003246,-1.0305624369438597,0.0,low_reuse_apc_better
55,train,21,21280,2223,34,2,4.0,False,1.0,1.0,0.4037500000050088,1.0,0.9752455540892511,-0.9752445263446622,waferagent_latency_beneficial
56,train,45,425,1609,70,8,2.0,True,1.0,1.0,0.0,0.9997996680212924,0.8459289509227994,-0.9661754584247448,waferagent_latency_beneficial
57,train,73,22352,1254,121,8,4.0,False,1.0,1.0,0.41968750000083566,0.9989434025103557,-1.762596363951502,-0.9930330676201733,waferagent_latency_beneficial
58,train,25,26888,91,20,2,4.0,False,1.0,1.0,0.40375000000000005,1.0,0.9661711145086356,-0.9661698474194478,waferagent_latency_beneficial
59,train,57,8172,97,175,32,1.0,False,1.0,1.0,0.0,0.9150884390165963,-2.9418432443122926,0.0,low_reuse_apc_better
60,train,108,547,466,163,8,1.0,False,1.0,1.0,0.0,-0.0,0.7163969747407876,-0.9874108341642694,waferagent_latency_beneficial
61,train,126,418,97,768,8,8.0,False,1.0,1.0,0.0,-0.0,-1.5402578290028324,-0.9959101859475641,waferagent_latency_beneficial
62,train,108,42131,1207,344,4,2.0,True,1.0,1.0,0.3315000000000411,1.0,0.9994871136317033,-0.9994871111920045,waferagent_latency_beneficial
63,train,39,2756,393,90,8,4.0,False,1.0,1.0,0.4196875,-0.0,-1.0914003018360134,-0.9940710786834104,waferagent_latency_beneficial
64,train,28,582,124,36,16,1.0,True,1.0,1.0,0.0,0.9997370740599771,0.7588924402103119,0.0,low_reuse_apc_better
65,train,32,3914,635,845,32,8.0,False,1.0,1.0,0.4236718750011498,1.0,-3.0164904040712948,-0.9998730668007436,waferagent_latency_beneficial
66,train,102,20414,263,128,8,1.0,False,1.0,1.0,0.41968750000086497,0.9990098160088695,-1.554341308719376,-0.9959946711133904,waferagent_latency_beneficial
67,train,103,652,3422,612,2,8.0,True,1.0,1.0,0.0,1.0,0.9765619113919151,-0.9765619113919151,waferagent_latency_beneficial
68,train,27,5012,1450,533,4,16.0,False,1.0,1.0,0.4143750000011138,1.0,0.9982914275249434,-0.9982914443966057,waferagent_latency_beneficial
69,train,49,297,3648,20,8,8.0,False,1.0,1.0,0.0,-0.0,0.6396351168354842,-0.837015955763051,waferagent_latency_beneficial
70,train,90,737,2796,112,32,2.0,True,1.0,1.0,0.0,0.9948502641592073,-0.7195918035782587,0.0,low_reuse_apc_better
71,train,53,2798,678,21,16,2.0,False,1.0,1.0,0.0,1.0,0.3534353359751615,0.0,low_reuse_apc_better
72,train,109,796,75,17,32,32.0,True,1.0,1.0,0.0,0.9992560650543123,-0.7491691397427233,-0.9953426605782901,waferagent_latency_beneficial
73,train,103,41122,522,1067,16,1.0,True,1.0,1.0,0.30000000000001226,0.9492633985970347,-0.35431462340668196,0.3222362676061505,traffic_reduction_only
74,train,126,6629,412,1500,32,32.0,False,1.0,1.0,0.274921875,0.9170310008275238,-3.0575353526601656,2.813578434200695,traffic_reduction_only
75,train,16,13192,489,38,2,1.0,True,1.0,1.0,0.25500000000365264,1.0,0.9846053922028416,-0.9846053922028416,waferagent_latency_beneficial
76,train,53,3382,74,893,4,4.0,True,1.0,1.0,0.33150000000078816,1.0,0.9987536130898399,-0.9987536188641457,waferagent_latency_beneficial
77,train,39,581,1737,527,2,2.0,False,1.0,1.0,0.0,-0.0,0.964310359847181,-0.964310359847181,waferagent_latency_beneficial
78,train,76,653,463,41,16,1.0,False,1.0,1.0,0.0,1.0,0.6396919103128711,0.0,low_reuse_apc_better
79,train,18,3423,104,528,2,8.0,False,1.0,1.0,0.3612500000003588,-0.0,0.9923923820420173,-0.9923923820420173,waferagent_latency_beneficial
80,train,50,5814,81,18,32,2.0,True,1.0,1.0,0.0,0.9157056249621567,-0.7078607545933273,0.0,low_reuse_apc_better
